 	a66	a87	a23	a99	a83	a88	a0	a56	a44	a96	a88	a71	a53	a15	a47	a0	a75	a12	a96	a62	a83	a71	a38	a93	a94	a90	a98	a92	a7	a0	a94	a66	a26	a57	a87	a23	a97	a3	a87	</S>
j'	0.0348297	0.0430286	0.0811082	0.0370955	0.0358361	0.0246339	0.0257587	0.0224946	0.0346864	0.0353162	0.0135755	0.0287979	0.0468781	0.0358787	0.0263718	0.027224	0.023112	0.0260575	0.0199537	0.0174414	0.0190537	0.0142392	0.0169797	0.0156031	0.0201964	0.0162232	0.0160357	0.0217619	0.0225892	0.021942	0.028717	0.0186348	0.0172007	0.0160746	0.0171457	0.0135363	0.0109482	0.0176834	0.0122856	0.023071
ai	0.0360086	0.0180619	0.0359306	0.0275207	0.0197096	0.0197821	0.0145524	0.0252921	0.0340757	0.0349769	0.0329001	0.0485274	0.0200083	0.0265898	0.042119	0.0238851	0.0272863	0.0197686	0.027006	0.0312095	0.0268767	0.0390542	0.0259877	0.0162679	0.0154503	0.0127654	0.0125098	0.0166206	0.0189939	0.0195577	0.016455	0.0242125	0.0146457	0.0147607	0.0162416	0.0198522	0.0262749	0.0238568	0.0396139	0.0347919
acheté	0.0273994	0.0189293	0.0201681	0.0143287	0.0128541	0.00947742	0.0122003	0.0138649	0.0164851	0.0201328	0.0212492	0.0300771	0.0173621	0.0197914	0.0193655	0.0170946	0.0220837	0.0145398	0.0202331	0.0387077	0.027611	0.0297648	0.0220428	0.0119738	0.0211104	0.0163454	0.0163762	0.0117254	0.0182651	0.0240655	0.0413629	0.0389558	0.0350113	0.032092	0.0323475	0.0541897	0.0417328	0.0324643	0.0674369	0.0387822
des	0.0815575	0.0555919	0.022547	0.015799	0.0217032	0.0164258	0.0186547	0.0201689	0.0241484	0.0129572	0.0112201	0.00941864	0.00740587	0.0121773	0.00973177	0.015351	0.0115175	0.0112094	0.0196014	0.0285159	0.0329758	0.0226015	0.0362594	0.0326665	0.0499144	0.052181	0.0217066	0.0229863	0.0174311	0.0167175	0.0245704	0.0276089	0.0151647	0.0206597	0.0267067	0.0263433	0.0305284	0.0283292	0.0439827	0.0249637
tissus	0.0334455	0.0489132	0.0347545	0.0328981	0.0604418	0.0370002	0.0416811	0.0332028	0.039409	0.0212591	0.0187771	0.0248002	0.0700237	0.0357386	0.0927744	0.0564811	0.0390261	0.0428868	0.0341836	0.021864	0.0239735	0.0145151	0.0176112	0.0121735	0.0106521	0.0114428	0.00656514	0.00389311	0.00414744	0.00539128	0.00395471	0.00606427	0.00360476	0.0048878	0.0112219	0.0062696	0.0093188	0.00841124	0.0103804	0.00596062
de	0.115474	0.0949419	0.0899523	0.0754559	0.0809792	0.0553747	0.0278506	0.0238853	0.0194692	0.0105616	0.013569	0.0143568	0.0179765	0.0223207	0.0281785	0.0369874	0.0281704	0.028406	0.0327737	0.0193747	0.0246444	0.0114131	0.00735562	0.00354553	0.00628124	0.00449587	0.00385179	0.00386094	0.0053956	0.00527345	0.00610274	0.00318579	0.00549826	0.00922699	0.0058697	0.00834132	0.00901212	0.00810471	0.013155	0.0193275
raphia	0.0956891	0.0519763	0.0290409	0.0164829	0.0162934	0.011154	0.0108761	0.0120486	0.0156846	0.00663779	0.0122282	0.0137461	0.0117075	0.0218017	0.0206981	0.0468579	0.0362197	0.0335973	0.0429497	0.0423856	0.0395409	0.0265368	0.0238039	0.0176587	0.0189398	0.0240689	0.02176	0.0221543	0.0250998	0.0204567	0.0204573	0.0168014	0.0162541	0.0256469	0.0160331	0.0213965	0.0172441	0.0285256	0.0369013	0.0126445
pour	0.0580149	0.0280889	0.0282527	0.0194022	0.0211863	0.0272547	0.0304835	0.0454149	0.0346936	0.0198023	0.0210758	0.0193943	0.0154669	0.023186	0.012894	0.0174045	0.0184364	0.0152452	0.00995564	0.013866	0.0145086	0.0103148	0.00910461	0.00549445	0.00513125	0.00559771	0.00696547	0.0143193	0.0382402	0.0271827	0.0275604	0.0180057	0.0293488	0.0538615	0.0291432	0.0375162	0.0474293	0.0410155	0.0471527	0.052589
confectionner	0.0409553	0.0244291	0.0237243	0.0171125	0.0214025	0.0229281	0.0247134	0.0431059	0.0266548	0.0148634	0.0197748	0.0224253	0.0232925	0.0429667	0.0306689	0.0302988	0.0220584	0.0232005	0.0225108	0.0320875	0.0307722	0.0173933	0.0200124	0.0127046	0.0164271	0.017419	0.0191357	0.0167368	0.0259667	0.0157009	0.0243077	0.0135394	0.0226371	0.0315633	0.0238261	0.034093	0.036021	0.0277323	0.0362804	0.0285578
une	0.0777416	0.0230026	0.0216227	0.0102293	0.0134497	0.0172618	0.0125012	0.0248214	0.0158991	0.0118212	0.0123318	0.0128949	0.0168659	0.0355827	0.0297129	0.0261988	0.0202228	0.0146527	0.0158231	0.0318394	0.0213122	0.0139076	0.0146456	0.00636296	0.015683	0.015603	0.0215771	0.0305431	0.0382877	0.0239201	0.0249469	0.02263	0.0252751	0.0342209	0.0239042	0.0401922	0.0479893	0.0423522	0.0513614	0.0408096
robe	0.0236549	0.0150663	0.0114198	0.0113901	0.0142703	0.0104682	0.0127247	0.0238623	0.0199423	0.0187771	0.0219256	0.0357534	0.0693929	0.0802081	0.0845983	0.0514141	0.0358116	0.0214921	0.0145582	0.0160606	0.016422	0.0194582	0.0166672	0.0104538	0.0160157	0.0215722	0.0233002	0.0294596	0.0330836	0.0155692	0.0141599	0.0108449	0.0148807	0.0194755	0.0136535	0.0249106	0.0301404	0.0237804	0.034898	0.0184637
pour	0.010831	0.00615922	0.00668722	0.0053842	0.00475707	0.00321134	0.00677707	0.0157965	0.0152013	0.0113951	0.0148295	0.0207341	0.0448279	0.0605022	0.0447452	0.0371911	0.0180534	0.0206184	0.021155	0.019178	0.0141287	0.0165105	0.0120468	0.00627592	0.012723	0.0160587	0.0222608	0.0383144	0.0671116	0.042742	0.0502417	0.0256223	0.0361549	0.0309141	0.0194012	0.0405407	0.0347405	0.0440908	0.045418	0.0366685
la	0.0306121	0.0149307	0.0229573	0.0118356	0.00798366	0.0110481	0.0113441	0.0169213	0.0168196	0.00712203	0.00634262	0.00850015	0.0140053	0.0231662	0.0172486	0.00869038	0.00818288	0.00669744	0.00555271	0.00820155	0.00565712	0.00461025	0.00519234	0.00213532	0.00696272	0.00597119	0.0113046	0.0192016	0.0385162	0.0346795	0.0338521	0.0279106	0.0506134	0.0669033	0.0439685	0.0896746	0.081841	0.0679417	0.0712189	0.0736828
danse	0.0164295	0.0131171	0.0192832	0.0117244	0.0129429	0.01161	0.00993568	0.0174247	0.017329	0.00937364	0.00680218	0.00910621	0.0233017	0.0307472	0.0220311	0.00895886	0.0080829	0.00891752	0.00794488	0.00986152	0.0109439	0.012427	0.0134162	0.012244	0.0157152	0.0166568	0.0209248	0.0266882	0.0369455	0.0351263	0.0543215	0.03153	0.0555857	0.0774401	0.0418698	0.0910964	0.0402655	0.0402845	0.0427256	0.0488687
kyebé-kyebé	0.0314887	0.0199138	0.0254854	0.0153575	0.0191383	0.0157161	0.0112578	0.0127641	0.0151357	0.0100521	0.00630403	0.00815983	0.0142961	0.0147979	0.0152396	0.00628299	0.00744586	0.0053064	0.00374605	0.00471421	0.0043829	0.00290488	0.00338558	0.00143103	0.00280296	0.00316602	0.0089832	0.0128775	0.0175333	0.0220069	0.0371443	0.0366074	0.0637258	0.0702798	0.0663261	0.065938	0.0704103	0.0811608	0.0752879	0.0910429
</S>	0.0524132	0.0423697	0.0486287	0.024444	0.0237975	0.0279714	0.0242944	0.0238722	0.0227372	0.0229521	0.013188	0.0144991	0.00888833	0.00893468	0.0118468	0.0113101	0.0174214	0.0120187	0.0101402	0.0172481	0.0170687	0.00839555	0.00982259	0.00501423	0.0103654	0.0137668	0.0156936	0.0135655	0.0143142	0.0150411	0.0193942	0.0261574	0.034278	0.0422792	0.0462734	0.0333907	0.0433032	0.0516713	0.0562146	0.0850143
