 	a66	a87	a99	a11	a43	a75	a92	a90	a44	a94	a61	a47	a96	a66	a24	a31	a88	a71	a9	a99	a30	a93	a75	a61	a62	a0	a75	a21	a61	a18	a70	a13	a9	a3	a97	</S>
à	0.0438919	0.0788092	0.0767619	0.0710929	0.0395172	0.0344994	0.0412883	0.0308657	0.0355068	0.042772	0.0315296	0.0190416	0.0234848	0.0183334	0.0172376	0.0256312	0.0133654	0.0148186	0.0163193	0.0147632	0.017447	0.0149577	0.0118608	0.0144248	0.00824735	0.0142216	0.0122084	0.0190922	0.0291754	0.0149844	0.0239038	0.0197693	0.0201241	0.0303957	0.0157257	0.0439318
la	0.0139094	0.0176315	0.024087	0.0225955	0.0581279	0.0793743	0.0682247	0.0572127	0.0450269	0.0250439	0.0266694	0.0279661	0.0267344	0.0256972	0.0281397	0.02112	0.0398524	0.033085	0.0380752	0.0250038	0.0312134	0.0205243	0.0415881	0.0293521	0.0145853	0.0122746	0.00961663	0.0100264	0.016121	0.00804247	0.0141797	0.0160096	0.0146413	0.0149362	0.0178347	0.0254771
tombée	0.0504752	0.0273379	0.0216216	0.0111456	0.00613128	0.00996589	0.00662549	0.00972205	0.0335672	0.0242668	0.0425919	0.135086	0.0923256	0.0866581	0.140001	0.0689655	0.0486646	0.0315314	0.0226479	0.008779	0.0217759	0.00867406	0.0115596	0.0111975	0.00560298	0.00468223	0.00474287	0.0058815	0.00794224	0.00339004	0.00695471	0.00574333	0.00464348	0.00889318	0.00480976	0.00539578
de	0.0473999	0.041199	0.0314925	0.016822	0.0305193	0.0245298	0.044729	0.0401275	0.0512684	0.0518874	0.0545867	0.0303273	0.0362849	0.0396454	0.0385057	0.01679	0.0321325	0.0286601	0.0201874	0.0220615	0.017378	0.0142691	0.0199292	0.0203864	0.0167685	0.0108994	0.0137883	0.0105375	0.0193976	0.0212691	0.0211984	0.0206925	0.0188622	0.0251845	0.0304905	0.0197925
la	0.0537291	0.0373387	0.0203955	0.0178025	0.0173526	0.0145173	0.0139709	0.0131536	0.0216681	0.0309383	0.0486675	0.0886454	0.0792509	0.0606456	0.0675482	0.052077	0.0406541	0.0293681	0.0272775	0.0178863	0.0198329	0.0125723	0.0101411	0.0175257	0.0191644	0.0142703	0.0164298	0.00914904	0.015532	0.0111643	0.0200839	0.0163399	0.00824341	0.0151071	0.0144269	0.0271299
nuit	0.124825	0.073879	0.0466739	0.0280865	0.0153395	0.00954095	0.00828798	0.00931737	0.00989627	0.0144171	0.0109229	0.0258481	0.0260423	0.0379582	0.0331596	0.0301099	0.0212319	0.0279376	0.0227146	0.0159144	0.0179337	0.00952412	0.0065909	0.0114963	0.0116827	0.0228686	0.0304285	0.0461362	0.0312466	0.0398801	0.0430298	0.0164339	0.0125049	0.0384493	0.0231169	0.0465744
tout	0.0883631	0.0589631	0.0593943	0.0641775	0.0665324	0.0343212	0.0324321	0.030562	0.0264908	0.019705	0.0239718	0.0240831	0.0234243	0.0213414	0.0162458	0.0112014	0.0126345	0.0129813	0.00838385	0.00696917	0.00422128	0.00455196	0.00409085	0.00958749	0.00708864	0.0170415	0.0143035	0.0209736	0.0234687	0.0536541	0.0407619	0.0229435	0.0278859	0.0336931	0.0340395	0.0395163
le	0.0322679	0.0255805	0.0218388	0.0226343	0.0225927	0.0109873	0.0130154	0.0122274	0.0107931	0.00491254	0.00654506	0.00659895	0.00835689	0.00826181	0.00961533	0.0100174	0.0104423	0.0129383	0.0111492	0.00965932	0.00915783	0.00610128	0.00691791	0.0112664	0.00945925	0.0319635	0.0261093	0.0449354	0.050832	0.0937884	0.0642312	0.0693163	0.0924808	0.0807544	0.073099	0.0591523
village	0.0331072	0.0212348	0.0254736	0.0366881	0.056815	0.0392422	0.0269379	0.0269462	0.0171982	0.0106832	0.012469	0.0112961	0.0117807	0.00888821	0.0182024	0.0161788	0.0266847	0.0304414	0.025187	0.0212254	0.0162394	0.0124003	0.0135509	0.019893	0.0132929	0.0247713	0.0189586	0.0297185	0.024039	0.0624349	0.0361807	0.0389591	0.0652554	0.0484985	0.056979	0.0421482
est	0.0427421	0.0340309	0.0228037	0.0260067	0.0206351	0.0114866	0.0129888	0.0135884	0.0138997	0.00874941	0.00996382	0.00870369	0.00938382	0.0084106	0.0113315	0.0140247	0.019534	0.0200456	0.0155844	0.0167642	0.017028	0.0130772	0.0127282	0.0231814	0.0247185	0.0472194	0.0312004	0.0449312	0.0499338	0.099781	0.064398	0.042357	0.0532946	0.0533071	0.0514547	0.0307119
dans	0.0305116	0.0199901	0.0200229	0.0228914	0.0246075	0.0229015	0.0164956	0.0192974	0.0141329	0.0102094	0.0100446	0.00979893	0.0115419	0.0118893	0.0146461	0.0192737	0.0196279	0.0171917	0.0193792	0.0211481	0.0226538	0.0201186	0.0152943	0.0195796	0.0188355	0.0409225	0.0331603	0.0397745	0.0410289	0.079161	0.0453665	0.0584641	0.067876	0.0465906	0.0591097	0.0364621
l'	0.0215052	0.0112692	0.00485498	0.00409251	0.00234249	0.00146077	0.00159887	0.00183589	0.00427617	0.00476886	0.00501146	0.00397413	0.00438379	0.00499231	0.00807547	0.00778971	0.0106352	0.0100672	0.0139556	0.0194705	0.0228132	0.0199248	0.017444	0.0339846	0.0307442	0.0508925	0.0559126	0.085026	0.0822757	0.0731105	0.0848387	0.0991838	0.0664272	0.0522551	0.055477	0.0233299
obscurité	0.0188157	0.00945981	0.00666647	0.00801778	0.00768921	0.008617	0.00570427	0.00692035	0.00672874	0.0055391	0.00484253	0.00593802	0.00700736	0.00814963	0.0126418	0.0169014	0.0157604	0.0124022	0.0150874	0.0186166	0.0205274	0.0171342	0.0150866	0.032523	0.0366656	0.0597482	0.0574735	0.0560094	0.067303	0.092471	0.0637837	0.0792041	0.0840103	0.0422622	0.0420821	0.0322099
</S>	0.0263488	0.0173037	0.0118691	0.0118574	0.00671461	0.00593135	0.00541311	0.00534086	0.00719073	0.0107116	0.0169616	0.0174379	0.0229614	0.0223593	0.027444	0.0176412	0.0179194	0.0143469	0.0120308	0.0113011	0.0242844	0.0138659	0.0113103	0.0124998	0.0119179	0.0173085	0.0182676	0.0283382	0.0434486	0.0495492	0.0870991	0.0794891	0.064558	0.104186	0.0665763	0.0782163
