 	a15	a66	a87	a23	a40	a47	a0	a75	a25	a98	a47	a85	a6	a37	a88	a61	a0	a75	a5	a61	a66	a54	a36	a2	a57	a87	a23	a87	</S>
le	0.0414486	0.080155	0.0990073	0.0957174	0.104583	0.0837631	0.050203	0.0254682	0.0278196	0.0338336	0.0242841	0.0155449	0.0142395	0.00770054	0.00701607	0.012098	0.00850872	0.0142371	0.0132542	0.0207376	0.0164763	0.020106	0.0185575	0.0144913	0.0198439	0.0225396	0.0236757	0.0272764	0.0574133
bateau	0.0011543	0.00572488	0.00798324	0.0130608	0.0452265	0.0723453	0.135469	0.269319	0.095862	0.127879	0.0837413	0.0518657	0.0399245	0.015083	0.0128763	0.00670753	0.00220515	0.00191027	0.00158822	0.00122139	0.000398698	0.000486998	0.000235688	0.000283728	0.000516385	0.00107411	0.00124795	0.00330895	0.00130024
a	0.0320045	0.0454726	0.071314	0.0471417	0.0763335	0.0659682	0.0720913	0.102328	0.0701317	0.0994508	0.060784	0.0484728	0.0290619	0.0289165	0.0312117	0.0216794	0.0102268	0.0079505	0.00800273	0.00554614	0.00448058	0.0127	0.00586302	0.00605967	0.00596929	0.0100512	0.0062565	0.00958368	0.00494773
coulé	0.0701633	0.0280235	0.0334682	0.0162068	0.00987324	0.00665993	0.00660373	0.0168848	0.0374531	0.102744	0.0911249	0.127279	0.107062	0.0739833	0.0475805	0.0220812	0.0205241	0.0235207	0.0101708	0.0121467	0.0120652	0.0167241	0.0191642	0.0122177	0.0133974	0.0142101	0.015844	0.0183949	0.0144286
à	0.0773933	0.0261669	0.0145915	0.0125135	0.0183121	0.039812	0.0398456	0.0261528	0.0322125	0.0243656	0.0183698	0.0247706	0.0176681	0.0155904	0.0399426	0.0408112	0.0482224	0.0219938	0.0390967	0.02795	0.0370272	0.0469932	0.0379743	0.0312819	0.0462792	0.0472525	0.0594678	0.0392224	0.0487199
pic	0.0434629	0.023019	0.0165673	0.0117313	0.00698607	0.00292111	0.00226024	0.00330175	0.00364438	0.00649505	0.0166225	0.0210615	0.0156517	0.016637	0.0457358	0.0683674	0.112451	0.0384804	0.0687278	0.046482	0.0491699	0.0715301	0.060724	0.0465732	0.0331924	0.0469965	0.0439417	0.0424471	0.034819
dans	0.0588913	0.0169935	0.0217948	0.0175912	0.0066803	0.00331288	0.00363583	0.00631883	0.00872947	0.0133309	0.0334549	0.0254176	0.0188552	0.0280958	0.0733292	0.0899421	0.109955	0.0360554	0.0592911	0.0389592	0.0470775	0.0771365	0.0444443	0.0376044	0.0315993	0.0335101	0.0306819	0.0185245	0.00878705
l'	0.0828316	0.0371021	0.0322604	0.0162624	0.00599647	0.00216632	0.0013824	0.00176985	0.00385085	0.00825099	0.0184049	0.0221763	0.0210944	0.0212712	0.0228109	0.0369863	0.055824	0.062542	0.113033	0.0644501	0.0658934	0.0710269	0.0436314	0.035027	0.0328658	0.0344456	0.0324395	0.0269478	0.027256
alima	0.0272252	0.0221269	0.0241228	0.0201894	0.00688634	0.00378596	0.00362464	0.00430746	0.00498832	0.0112577	0.0267963	0.0300238	0.0245207	0.0296348	0.0372539	0.0516853	0.0530856	0.0320156	0.0666259	0.0590223	0.0660598	0.0599738	0.0689572	0.0586202	0.0581999	0.0475976	0.0468463	0.0373258	0.0172407
</S>	0.0523084	0.0796881	0.0801602	0.0556895	0.023962	0.00752662	0.00421821	0.0033032	0.00761632	0.0116623	0.0119097	0.00919631	0.00495391	0.00619376	0.0103714	0.0117726	0.00848251	0.00914268	0.0130518	0.0126619	0.0228079	0.0234916	0.0421778	0.0403842	0.0504177	0.0730182	0.0712222	0.104048	0.148561
