 	a66	a87	a97	a3	a99	a62	a88	a18	a11	a62	a21	a47	a21	a12	a18	a62	a21	a5	a94	a98	a85	a21	a61	a96	a93	a44	a70	a90	a92	a79	a44	a90	a93	a70	a93	a44	a62	a83	a9	a3	a99	a83	a94	a93	a56	a44	a93	a56	a43	a11	a93	a4	a13	a53	a90	a15	a69	a7	a26	a57	a3	a82	a3	a57	a3	a97	a87	</S>
la	0.0256907	0.0224048	0.0225446	0.0189337	0.0156303	0.0129513	0.0195469	0.0237681	0.0166872	0.0208183	0.0186263	0.0207616	0.00830914	0.00705089	0.0116663	0.00651477	0.0087514	0.00879045	0.00556794	0.00569433	0.00588791	0.00696467	0.00482972	0.019187	0.0172774	0.0108613	0.0149488	0.0194141	0.0147949	0.0212173	0.0257632	0.0361878	0.0311679	0.0186131	0.0124754	0.00474748	0.0167399	0.0130698	0.0219673	0.015197	0.00576031	0.00457044	0.00737534	0.00439226	0.00572531	0.00522683	0.0157424	0.0122961	0.0133293	0.0129409	0.0189902	0.00897805	0.00713056	0.00626398	0.0143998	0.0103939	0.0148085	0.0256638	0.0245306	0.0231254	0.021626	0.00983378	0.0166979	0.011347	0.0176636	0.0197168	0.0166533	0.0127968
manière	0.003062	0.00272821	0.00382516	0.00615734	0.00542539	0.00472858	0.00687202	0.00806117	0.0168525	0.0211264	0.0237204	0.0187728	0.00670984	0.00804302	0.0179987	0.0211801	0.013175	0.0265387	0.0230261	0.00928835	0.00358226	0.00190654	0.00692308	0.00524449	0.001467	0.0143927	0.00910424	0.0118008	0.00802878	0.00763596	0.0117323	0.0138664	0.0160691	0.0456862	0.0654669	0.0588469	0.0259113	0.0163813	0.0241544	0.0140532	0.00861281	0.0226152	0.0088491	0.0148028	0.00617628	0.0195526	0.0164907	0.0453186	0.038412	0.0501273	0.0216418	0.0402668	0.0239326	0.0125127	0.0120866	0.00722136	0.00906611	0.00572823	0.00282186	0.00165225	0.00411737	0.00408712	0.0030959	0.00132537	0.00239351	0.0026595	0.00375444	0.00113364
dont	0.0222264	0.0184508	0.0115226	0.00777208	0.00370211	0.00447815	0.00598078	0.00866352	0.00591359	0.00921332	0.00994521	0.0113975	0.00860612	0.00961401	0.0152281	0.00996769	0.0123226	0.0178352	0.0122715	0.0221147	0.0158345	0.0162412	0.0313078	0.0335967	0.018561	0.0507851	0.0733955	0.0744175	0.0207804	0.0418973	0.0283167	0.0291171	0.0412309	0.0290304	0.048672	0.0269691	0.030553	0.0124008	0.0261417	0.00955175	0.00979828	0.0112211	0.00619388	0.00296428	0.00151614	0.00838352	0.00374157	0.00323158	0.00479816	0.00566968	0.00498165	0.00542816	0.00784204	0.00381137	0.00205396	0.00266759	0.00245365	0.00243588	0.00273445	0.00328004	0.00162348	0.00180708	0.00199369	0.00213836	0.00396256	0.00317424	0.00298787	0.00107945
ils	0.0096631	0.0104081	0.00670522	0.00689385	0.00300772	0.00214031	0.00332054	0.00186765	0.0016735	0.00201929	0.00467009	0.00387018	0.00254989	0.00389646	0.00581751	0.00309508	0.0036562	0.00656212	0.00718397	0.0130596	0.0119334	0.0135188	0.0230617	0.0230618	0.0190367	0.0110394	0.0183833	0.025831	0.0132812	0.0215556	0.0331037	0.0228317	0.0508561	0.0219853	0.0341402	0.0328559	0.0593999	0.0243928	0.0325396	0.0255525	0.0385581	0.058807	0.0137975	0.026615	0.0203953	0.0440081	0.0183168	0.0111789	0.0249582	0.0220402	0.0123721	0.0126003	0.0142432	0.012107	0.0036204	0.00694013	0.00330809	0.00298428	0.00317493	0.00266523	0.00208467	0.00352573	0.003011	0.00283863	0.00522463	0.00436635	0.00469628	0.00114101
gardent	0.010352	0.0093833	0.00312333	0.00475709	0.00270581	0.0019793	0.00234338	0.0021819	0.00139728	0.00131463	0.00125269	0.000948477	0.00101278	0.00140283	0.0026277	0.00308867	0.00304347	0.00519895	0.00355742	0.0038995	0.00509714	0.00829565	0.0072316	0.00722256	0.00767062	0.00724172	0.00693118	0.0122258	0.0109286	0.0202591	0.0178265	0.00971376	0.028029	0.0104593	0.0318535	0.0225865	0.0764615	0.052476	0.0737174	0.0560077	0.0494592	0.0609767	0.0303056	0.0228747	0.0275044	0.0369688	0.027231	0.0137408	0.0179848	0.0109486	0.0116755	0.00972034	0.0124194	0.0105606	0.00378224	0.0142241	0.00718338	0.00573361	0.00337742	0.0031792	0.00832343	0.00568221	0.00683576	0.00844806	0.0135631	0.0118208	0.0163427	0.0113278
cette	0.0116018	0.00638714	0.00364745	0.00302195	0.00186243	0.00160547	0.00326766	0.00292388	0.00380036	0.00286259	0.00168741	0.00175277	0.00186895	0.00190197	0.00588578	0.00828721	0.00946977	0.0119017	0.00721318	0.00659772	0.0117668	0.00812906	0.010727	0.0124979	0.00764657	0.026611	0.0175525	0.0167454	0.0150673	0.0219118	0.033231	0.0140225	0.0260839	0.0103623	0.0241459	0.029519	0.0547051	0.0374326	0.0278909	0.0313558	0.0251346	0.0488929	0.0230993	0.0305706	0.0218331	0.0582476	0.0357259	0.0100176	0.0136646	0.00755766	0.00798084	0.00700907	0.00534133	0.00279848	0.00254354	0.0143245	0.0056973	0.00450753	0.00396298	0.00512945	0.00999837	0.00623918	0.00926455	0.0192268	0.0245466	0.0153472	0.0309379	0.0154491
banque	0.0107267	0.00525927	0.00294285	0.00298941	0.00142827	0.0012756	0.00188977	0.00156432	0.00232874	0.00245252	0.00337647	0.00314083	0.00257063	0.00504704	0.00939695	0.00760619	0.0167859	0.0166469	0.0135637	0.0155359	0.0311693	0.0176192	0.0264334	0.0240657	0.0203501	0.018546	0.020623	0.0222938	0.0497055	0.0174821	0.0334464	0.0183601	0.0183008	0.0134922	0.0237002	0.0257033	0.0219776	0.0276796	0.0244552	0.0276719	0.0321881	0.02566	0.0202274	0.0269351	0.0127137	0.0298541	0.0253924	0.0107632	0.00862132	0.00446416	0.00516181	0.00336497	0.00384388	0.00239775	0.0020278	0.00834793	0.00350666	0.00340794	0.00542359	0.0111218	0.00619576	0.0179059	0.0155296	0.0236404	0.0188842	0.0233617	0.0153173	0.024138
le	0.0251681	0.0170023	0.008412	0.00439678	0.00125909	0.00112902	0.00229518	0.00185521	0.00247868	0.00173178	0.0020149	0.00191852	0.00446123	0.0102604	0.00875061	0.0146968	0.0350537	0.0316429	0.0211651	0.0211736	0.0259044	0.0122618	0.0170111	0.0225311	0.0211725	0.0365826	0.0139298	0.013123	0.0237867	0.024368	0.0656046	0.02791	0.027276	0.0154328	0.0107807	0.0190458	0.0168983	0.0111623	0.0104463	0.00813719	0.007815	0.00746033	0.00973405	0.00696175	0.00292024	0.00829363	0.00994053	0.00182251	0.00400419	0.00495285	0.00623684	0.00474804	0.00771832	0.00353961	0.00496892	0.049387	0.020434	0.012978	0.017665	0.00745457	0.0129118	0.0203659	0.0135306	0.0123033	0.0289082	0.0295938	0.0308593	0.0122608
combrioleur	0.00661975	0.00604011	0.00212122	0.00186299	0.000851073	0.0013231	0.00316436	0.00394	0.00354541	0.00550161	0.00543027	0.00721122	0.0178328	0.01649	0.0109561	0.02888	0.0427085	0.0385852	0.0195052	0.0162192	0.0227837	0.0117405	0.013903	0.0191151	0.0127599	0.0264678	0.0130487	0.00774947	0.0117092	0.0214374	0.0371319	0.0218449	0.025456	0.0128552	0.0181115	0.0166053	0.0260815	0.0164173	0.0124053	0.00920162	0.00703152	0.00967151	0.0142212	0.0101591	0.00562784	0.014108	0.0141855	0.00531951	0.00784061	0.0118619	0.0129949	0.0126039	0.0140806	0.00683728	0.00507535	0.0210674	0.0113651	0.00993348	0.0117473	0.00891767	0.0124665	0.0250829	0.0192772	0.0134062	0.0267307	0.0409132	0.0246212	0.0272391
ne	0.0111291	0.0126319	0.00692848	0.00610535	0.00339693	0.00306804	0.00512735	0.00799847	0.00353638	0.00385801	0.00313459	0.00360607	0.0050639	0.00563816	0.00437131	0.00739542	0.00722755	0.00980526	0.0063211	0.00792695	0.00971137	0.00992242	0.0098106	0.0115708	0.0113777	0.0146165	0.00674695	0.00992665	0.00843045	0.0148621	0.0147473	0.00991527	0.0111691	0.010067	0.00951965	0.00600704	0.0136407	0.00932398	0.00856257	0.00540054	0.0057666	0.00580515	0.00814254	0.00401383	0.00338607	0.00821881	0.00692439	0.00457945	0.00746113	0.00956246	0.0204603	0.0138714	0.0181578	0.00775271	0.00540259	0.0218641	0.0155225	0.0246413	0.0293952	0.0277881	0.0412614	0.0640268	0.0725407	0.043023	0.0635676	0.0603796	0.047373	0.0295123
