 	a66	a87	a23	a87	a23	a83	a5	a23	a37	a61	a12	a61	a75	a37	a93	a13	a53	a90	a4	a54	a47	a36	a2	a57	a87	a23	a87	</S>
l'	0.0779943	0.083059	0.126652	0.0832734	0.0571387	0.0396919	0.0308675	0.0399792	0.0179391	0.0130617	0.00821013	0.0178921	0.0153524	0.0216295	0.0229338	0.0173823	0.00845221	0.0100489	0.0114938	0.0118076	0.0247072	0.0160997	0.0203603	0.0336524	0.0369256	0.0517276	0.0433763	0.058292
argument	0.0108871	0.0187317	0.0427034	0.0633646	0.0435503	0.0509899	0.0275278	0.124463	0.153851	0.0970956	0.157968	0.0331359	0.0259671	0.0282782	0.0315965	0.0215801	0.0101394	0.00683216	0.00661582	0.0027926	0.00766639	0.00249338	0.00206851	0.00297101	0.00280505	0.00582723	0.00725166	0.0108466
que	0.0603563	0.0601465	0.0668885	0.0474932	0.0262611	0.0304461	0.0279732	0.0156597	0.00817994	0.00375359	0.00432163	0.00333223	0.00489132	0.00771687	0.0185681	0.0128807	0.0115377	0.0242409	0.0235597	0.0281452	0.0358015	0.034056	0.0462361	0.0559855	0.0617807	0.0583131	0.144981	0.0764939
tu	0.0962038	0.0545174	0.0340461	0.0307974	0.0333138	0.0225775	0.0114598	0.0153381	0.0106042	0.010167	0.0130659	0.00556536	0.0213274	0.0198524	0.107948	0.042235	0.0305751	0.0312126	0.0396396	0.0280589	0.0561405	0.0325361	0.0298128	0.0233842	0.030388	0.0461772	0.0577637	0.0652917
as	0.126418	0.073367	0.0423378	0.0516307	0.0185126	0.0102125	0.0054875	0.00572235	0.00341193	0.00264956	0.00765848	0.00642867	0.0177157	0.0103013	0.0795189	0.0646036	0.028576	0.0404322	0.0348271	0.0241406	0.0489104	0.0304256	0.0283924	0.021657	0.0261889	0.0464092	0.0395294	0.104535
avancé	0.0556618	0.0534837	0.0515363	0.0490713	0.0442809	0.0376999	0.0248121	0.0184584	0.0218996	0.0159963	0.0168475	0.0142755	0.0398369	0.0362499	0.0597065	0.0371157	0.0137011	0.0244007	0.0269403	0.0214994	0.0232942	0.0298996	0.0572956	0.0393065	0.0342932	0.041057	0.0415961	0.069784
n'	0.0622978	0.0345593	0.0203628	0.0158561	0.011878	0.00955949	0.0109205	0.0119207	0.0153718	0.0203529	0.00728913	0.00888169	0.0158442	0.0140873	0.0312682	0.0427599	0.0264277	0.0285775	0.0425822	0.0392679	0.0593228	0.0549221	0.112711	0.0704871	0.0586601	0.0426859	0.0630496	0.0680967
est	0.0490885	0.0453484	0.0373937	0.0301735	0.0421015	0.0389605	0.0488543	0.0442447	0.0335275	0.0287822	0.0218792	0.0146721	0.0148193	0.017688	0.0245777	0.0228598	0.0159613	0.0235314	0.0227773	0.0269332	0.0188926	0.0316707	0.091667	0.0418236	0.0379768	0.0475383	0.0635786	0.0626782
pas	0.0725317	0.059389	0.0503374	0.0323633	0.0280498	0.0235808	0.0255029	0.0238429	0.0150557	0.0146757	0.010724	0.0181066	0.0155687	0.0154284	0.0411665	0.0242575	0.012044	0.0138237	0.0197537	0.0171926	0.0329574	0.0312771	0.053115	0.0546124	0.0531514	0.0602569	0.0770603	0.104175
pertinent	0.0737683	0.0505709	0.040684	0.0344056	0.0271364	0.0202842	0.015409	0.0104532	0.00377375	0.00303923	0.00261277	0.0125912	0.0167272	0.0235516	0.0275735	0.014831	0.0106079	0.0127459	0.0199313	0.0185655	0.0382038	0.0440536	0.0821762	0.0702018	0.0817336	0.0671836	0.0842699	0.0929148
</S>	0.082479	0.061485	0.0525361	0.0456075	0.0314224	0.0208859	0.0117185	0.007615	0.00249616	0.00223216	0.00117807	0.00397471	0.00461765	0.00772666	0.0184665	0.00837164	0.0079181	0.0115663	0.0212016	0.0202143	0.044462	0.045375	0.0943736	0.0614541	0.0741107	0.0650764	0.0840445	0.107391
