 	a82	a3	a97	a3	a97	a3	a99	a3	a99	a83	a70	a53	a70	a93	a70	a62	a12	a96	a54	a20	a44	a26	a27	a53	a90	a41	a94	a70	a11	a56	a66	a26	a11	a38	a70	a11	a66	a13	a71	a9	a97	a87	a23	a97	a99	a44	a13	a38	a7	a27	a40	a44	a40	a27	a84	a38	a36	a2	a26	a57	a87	a97	a87	a23	a87	a99	a97	</S>
pourquoi	0.0540109	0.0467982	0.0231166	0.0182234	0.0108668	0.0112531	0.0146274	0.0146457	0.0192595	0.023641	0.0307536	0.0319472	0.0247334	0.030015	0.0225523	0.0118175	0.0208349	0.0148406	0.0210922	0.0270136	0.0196455	0.0175645	0.017738	0.0141405	0.0126987	0.00535425	0.00498681	0.0100287	0.0158518	0.0143611	0.012361	0.0101263	0.0123853	0.0163022	0.0169342	0.0134552	0.0128954	0.00530926	0.00707704	0.00780233	0.00502251	0.00435773	0.00741536	0.00379282	0.00714406	0.00393739	0.00745023	0.00650308	0.0102876	0.0128018	0.017205	0.01281	0.00785904	0.011229	0.0235823	0.0123765	0.00695158	0.0120111	0.0098871	0.0130789	0.010364	0.0095032	0.00778151	0.00888704	0.00758185	0.0125491	0.0128467	0.0157223
t'	0.00570797	0.00809387	0.00695411	0.00414336	0.00407333	0.00591137	0.00415773	0.00460593	0.00323985	0.00239777	0.0051423	0.0129393	0.00808013	0.0113043	0.0130025	0.0148635	0.0166359	0.0164442	0.0160199	0.017766	0.00950946	0.0110611	0.020296	0.0108243	0.0161336	0.0250858	0.0355686	0.014419	0.0245899	0.0227588	0.0299375	0.0257331	0.0410073	0.0359416	0.0276676	0.0156023	0.019919	0.0175376	0.017406	0.0193304	0.0169702	0.0106884	0.0165327	0.0201411	0.0151861	0.0132743	0.0121889	0.0140002	0.00855169	0.00983621	0.0134264	0.013761	0.015226	0.0155568	0.0132	0.0166163	0.012671	0.0119764	0.0115097	0.0143596	0.0152337	0.0119694	0.0113543	0.0106152	0.0114081	0.0127537	0.0165486	0.0126316
immisces-tu	0.0582289	0.00981832	0.0122763	0.00739234	0.00523876	0.00912949	0.00879666	0.00967035	0.0108069	0.00613393	0.00570045	0.00590355	0.00619024	0.00912537	0.00730475	0.0122558	0.0120744	0.0108503	0.0164169	0.012947	0.0113901	0.0193116	0.0223786	0.0130012	0.0163342	0.0206445	0.0274871	0.0134165	0.0194313	0.0279923	0.0329575	0.0189437	0.0176339	0.0266178	0.0243483	0.0267211	0.0218552	0.0352219	0.030533	0.0267563	0.0379586	0.029595	0.0196776	0.0361183	0.0294743	0.0215437	0.0205863	0.0123106	0.00748791	0.00867973	0.00876752	0.00565215	0.00401014	0.00241492	0.00314688	0.00275577	0.00320094	0.00421392	0.0053469	0.00515941	0.00427507	0.00391427	0.00356511	0.00324934	0.00376333	0.00572817	0.00963973	0.00852746
dans	0.0398376	0.040517	0.0180346	0.0111174	0.00460249	0.00906984	0.0103122	0.00462446	0.010944	0.0126622	0.0124112	0.0128772	0.00749848	0.0093794	0.00347494	0.00468096	0.00496045	0.00370392	0.00293571	0.00359845	0.00490531	0.00950006	0.00806104	0.00848297	0.00836742	0.0108062	0.0211616	0.0179821	0.0202935	0.0149533	0.0168037	0.0149014	0.0256641	0.0326679	0.0438928	0.0210721	0.0296944	0.0436319	0.0612594	0.0406421	0.0402761	0.0216828	0.0161092	0.0138945	0.0165629	0.0149811	0.0101881	0.0138966	0.0131229	0.0122991	0.0057537	0.00511914	0.0047568	0.00626262	0.00707111	0.00752319	0.00959444	0.00470491	0.00714715	0.00668076	0.00617693	0.0081198	0.0094653	0.00996502	0.0104097	0.0127414	0.0130428	0.010466
les	0.0388039	0.0315691	0.0207222	0.0156813	0.00974583	0.0127035	0.0105486	0.00762545	0.0157829	0.0144893	0.0077189	0.0046076	0.00627988	0.0047267	0.0027764	0.00274916	0.00267924	0.00260306	0.0023553	0.00214835	0.00367636	0.00903594	0.010314	0.0133057	0.0111727	0.0122709	0.0191052	0.0224825	0.0206123	0.0187106	0.0183995	0.0151055	0.0267799	0.0225997	0.0287887	0.0267573	0.0356329	0.0340298	0.0332294	0.0176728	0.0301414	0.0252852	0.0181084	0.0209225	0.0153098	0.0216219	0.0121072	0.0297164	0.0162158	0.0153554	0.00971949	0.00891434	0.0104542	0.0133789	0.00530148	0.0116121	0.00777884	0.00386658	0.006247	0.00374583	0.00505064	0.0060305	0.00637953	0.0130621	0.00985307	0.0182454	0.0189903	0.0205873
affaires	0.0488776	0.0331041	0.0338066	0.0232633	0.0113213	0.0168283	0.0213312	0.0121222	0.0238541	0.0247331	0.0157377	0.0101376	0.00723265	0.00677376	0.00196602	0.00196187	0.00157835	0.00203599	0.00315329	0.00168146	0.00413015	0.00626962	0.00578181	0.0117919	0.0120902	0.0134383	0.0172007	0.0186871	0.0253478	0.0293158	0.0247335	0.0199086	0.0218657	0.0211459	0.0217437	0.0344018	0.0409541	0.0315924	0.0306087	0.0096861	0.036274	0.0246951	0.0253029	0.0165431	0.010526	0.0156756	0.00635776	0.00886428	0.00363828	0.00330272	0.00711974	0.00870141	0.0128181	0.00891014	0.0114676	0.0174881	0.0099307	0.00704582	0.0112906	0.00690594	0.00674786	0.00865173	0.00559129	0.00598541	0.00401783	0.00595583	0.00406818	0.00392965
de	0.0469963	0.0222769	0.0121325	0.00729967	0.00674506	0.00786782	0.00983501	0.00544592	0.00482916	0.005898	0.00646536	0.00983253	0.00987656	0.0142357	0.00457923	0.00467833	0.00383858	0.0041363	0.00723845	0.0043108	0.00737089	0.0101764	0.0129315	0.0149924	0.0207083	0.017527	0.0251743	0.0246224	0.0334192	0.034482	0.04098	0.0249333	0.0262782	0.0259864	0.0297486	0.0446392	0.029808	0.0160645	0.0252191	0.0118461	0.0288278	0.0140414	0.0245927	0.0190817	0.0113753	0.0136061	0.00816946	0.0148705	0.00307353	0.00327566	0.00512908	0.00494963	0.00696874	0.00479165	0.00719048	0.0132714	0.0103342	0.00847212	0.0161787	0.00814748	0.0107334	0.0165123	0.0117987	0.0152021	0.00987443	0.0133859	0.0116735	0.0090461
tes	0.0406045	0.0170661	0.0122288	0.00548707	0.00473467	0.00539653	0.00879933	0.00440416	0.00672223	0.00788112	0.00623393	0.00472316	0.0103767	0.00788777	0.0054086	0.00657287	0.00542627	0.00779072	0.00986421	0.00496797	0.00736164	0.0108484	0.0126013	0.0129922	0.0192011	0.0136572	0.0162997	0.0211481	0.0256295	0.0279499	0.031105	0.0207673	0.0249111	0.0299895	0.029742	0.033059	0.0289602	0.0174859	0.0184418	0.014856	0.0173532	0.0101797	0.0167298	0.0136984	0.0104857	0.0106413	0.00979329	0.0154491	0.00543925	0.00427393	0.003985	0.00243122	0.0036509	0.00323429	0.00606302	0.00966514	0.00952464	0.0101808	0.0214809	0.0137586	0.0170033	0.0242478	0.0184852	0.0232492	0.028093	0.0270785	0.0324481	0.0317932
petits	0.0323898	0.0133669	0.00784434	0.0077375	0.00531965	0.00570708	0.00796106	0.00495863	0.0063888	0.0048324	0.00417885	0.0025652	0.00398569	0.00221951	0.00167488	0.0020392	0.00188932	0.00239885	0.00284831	0.00187515	0.0045634	0.0115619	0.00976546	0.0158676	0.0152255	0.0193532	0.0290774	0.0326923	0.0357755	0.0290625	0.0370492	0.0331471	0.0300448	0.03574	0.0380976	0.0497264	0.0502672	0.0282691	0.0285436	0.029009	0.0272175	0.0172379	0.0209333	0.0201938	0.0160334	0.016064	0.013433	0.0162792	0.00941834	0.00618359	0.00774611	0.00504552	0.00623079	0.00636573	0.00686741	0.00613888	0.00533944	0.00578271	0.00656323	0.00350574	0.00498627	0.00631467	0.00687764	0.0132139	0.0122606	0.0157729	0.0177279	0.0152466
fils	0.0336996	0.018979	0.0118618	0.0141642	0.011111	0.00973978	0.0124765	0.0101208	0.00977301	0.00599637	0.00483324	0.00434872	0.00544697	0.0029479	0.00287273	0.00508468	0.00347171	0.00481221	0.0046644	0.00408264	0.00571639	0.0115066	0.0144787	0.0199094	0.0163079	0.0166745	0.0278192	0.03048	0.039955	0.0333923	0.0392895	0.0373311	0.0280162	0.0212021	0.0290896	0.0303309	0.0274402	0.0146818	0.0161028	0.0173365	0.0176727	0.0156648	0.0167981	0.0147807	0.0159635	0.0144612	0.0114838	0.00969106	0.00821918	0.00654294	0.013662	0.00992577	0.0125362	0.0105059	0.0103065	0.00631636	0.00608072	0.00688952	0.00734426	0.00437317	0.00505145	0.00699866	0.00957625	0.0173061	0.0188597	0.0223063	0.0297334	0.0134019
