 	a66	a87	a23	a30	a53	a15	a6	a56	a62	a75	a25	a90	a69	a58	a57	a82	a87	a99	a30	a93	a4	a53	a90	a25	a79	a44	a90	a56	a32	a24	a88	a70	a96	a62	a88	a11	a90	a25	a79	a7	a37	a94	a38	a82	a87	a23	a87	</S>
prend	0.0399036	0.0321927	0.0637062	0.0792123	0.0874438	0.107549	0.0584881	0.0498905	0.0190405	0.0176152	0.0196811	0.0229023	0.0191203	0.0123815	0.0162249	0.0108177	0.00977102	0.00684579	0.00385652	0.00632161	0.00504602	0.00572803	0.00669662	0.00424347	0.00812818	0.00595092	0.00616933	0.00835417	0.00744465	0.00480432	0.00512996	0.00500602	0.00597023	0.00391795	0.00591265	0.00566104	0.0094151	0.0103171	0.0125882	0.0229967	0.0255869	0.0188087	0.0232379	0.0246131	0.0133759	0.0241297	0.0125863	0.0252168
cette	0.00272821	0.00466939	0.00288463	0.00659781	0.00907399	0.0143225	0.014155	0.0171656	0.0102999	0.0115801	0.0254483	0.0235479	0.0283907	0.0417703	0.0408931	0.0302166	0.041939	0.0784865	0.0486009	0.0850204	0.0440644	0.0601562	0.072135	0.0440932	0.0534482	0.0297944	0.0170127	0.0231224	0.0148831	0.0137958	0.0186864	0.0103096	0.00270722	0.00572158	0.00396545	0.00386463	0.00326797	0.00408388	0.0044223	0.00352855	0.00320856	0.00518964	0.0044423	0.00499498	0.00469133	0.00248209	0.00219619	0.00194105
corde	0.0269139	0.0158532	0.0150287	0.0108183	0.019863	0.0223365	0.0551936	0.0307103	0.0296338	0.0323504	0.0259139	0.0253381	0.0255337	0.0318427	0.0475945	0.0498354	0.0295948	0.0503256	0.0286304	0.0498052	0.0305347	0.0371984	0.03509	0.020818	0.0286387	0.0148882	0.0216944	0.0130034	0.00828347	0.00545423	0.00355907	0.00309777	0.00268617	0.0035328	0.0034855	0.00751589	0.00802442	0.0124149	0.0100495	0.0145849	0.0123139	0.00643765	0.014153	0.0131219	0.015056	0.0103224	0.0128688	0.00805615
et	0.0220178	0.0145907	0.0171416	0.0197378	0.0144433	0.0114479	0.022679	0.0404573	0.0724895	0.0599889	0.047494	0.0429867	0.0503166	0.050733	0.0583229	0.0535718	0.023454	0.0521334	0.0363363	0.0256564	0.0200145	0.0166915	0.01822	0.0200687	0.0142604	0.0124591	0.00931359	0.00888736	0.0125823	0.0108405	0.0132929	0.0132146	0.0200024	0.0145321	0.00655016	0.00494835	0.00310167	0.00460767	0.00486245	0.00370511	0.00434442	0.00513838	0.00443733	0.00277224	0.00360778	0.00236743	0.00304041	0.00613798
attache	0.0332569	0.022616	0.0255348	0.0352482	0.0299925	0.0184325	0.0141287	0.0108552	0.0242631	0.0259248	0.0224369	0.0517766	0.0386636	0.0508327	0.0604204	0.0810093	0.0504341	0.0434582	0.0698458	0.0321809	0.0274181	0.0119527	0.0103852	0.00909948	0.00620045	0.00784155	0.00522358	0.00560117	0.00447514	0.00781325	0.00769899	0.00994389	0.0109183	0.0116685	0.0133721	0.00683557	0.00926114	0.00956223	0.0178427	0.012263	0.0109882	0.00674421	0.00591654	0.00518698	0.00478293	0.00587069	0.00558969	0.0082326
le	0.0552429	0.027052	0.0116189	0.0136979	0.0111355	0.0354074	0.0252417	0.0614182	0.018537	0.0353174	0.0271315	0.043543	0.0472704	0.0572858	0.0603699	0.046945	0.0616624	0.0507714	0.0306245	0.0197872	0.0161434	0.0163214	0.00975024	0.0066475	0.00318441	0.00596144	0.00590912	0.0098981	0.00518469	0.00431217	0.00773408	0.0043193	0.00457681	0.00203937	0.00375854	0.00681636	0.00716631	0.00518837	0.00629331	0.00731592	0.0105272	0.0101983	0.0144684	0.0176773	0.0102566	0.0200521	0.0132072	0.0250321
cabri	0.0274099	0.0120148	0.005974	0.00784321	0.00923955	0.00911608	0.0360177	0.0159502	0.0582399	0.0470272	0.0785555	0.0491619	0.041191	0.0619834	0.0506616	0.0410333	0.0407586	0.0727029	0.0596525	0.0640209	0.0308871	0.0206917	0.0149441	0.00686313	0.00383022	0.00295203	0.00288892	0.00338801	0.00692019	0.00483719	0.00563925	0.0050168	0.00385077	0.00178544	0.00134052	0.00328509	0.00426717	0.00409427	0.00445301	0.00718654	0.0101039	0.00663361	0.00933703	0.0128621	0.00905046	0.00975594	0.0087589	0.00582236
à	0.0183113	0.0102285	0.00475065	0.00843839	0.00871207	0.0133791	0.0254199	0.0236675	0.0254524	0.0284084	0.0669519	0.0552117	0.0484052	0.0577467	0.053875	0.0309447	0.0596186	0.0586235	0.0331165	0.0213702	0.0167122	0.0082928	0.0074091	0.0037013	0.00147896	0.00204209	0.00131831	0.00336126	0.00412227	0.0035123	0.00281722	0.002345	0.00302016	0.00236512	0.00225225	0.00287552	0.00210302	0.00389788	0.00741653	0.0197455	0.0444649	0.0194856	0.0318142	0.0311084	0.0286586	0.0332973	0.0334025	0.0243472
ce	0.00860191	0.00883046	0.00784103	0.0137515	0.0148588	0.0173265	0.0295879	0.0134835	0.0301583	0.0227013	0.0410476	0.0538508	0.0432813	0.0535766	0.0426723	0.0304881	0.0402254	0.0263107	0.0197969	0.0187293	0.0172308	0.0101209	0.0100352	0.00443936	0.00201442	0.00422908	0.0026079	0.00628173	0.00477616	0.00538586	0.0061443	0.0063148	0.00544247	0.0051617	0.0043078	0.00549908	0.00389061	0.00892826	0.0311719	0.041891	0.0587645	0.029387	0.0362172	0.0275901	0.0162869	0.0341913	0.0318577	0.0427119
poteau	0.0145116	0.0126672	0.0116317	0.0156654	0.0168154	0.0250974	0.0285753	0.0193763	0.0305567	0.0264238	0.0294055	0.0384923	0.026484	0.0312417	0.02137	0.0196203	0.0234963	0.0183916	0.0277445	0.0156834	0.0222406	0.0165612	0.0183673	0.0106504	0.00685266	0.0117885	0.00868332	0.0132354	0.0135193	0.0181524	0.0253375	0.0231899	0.0185554	0.0177353	0.0148792	0.0208966	0.0112247	0.0166131	0.0211356	0.0241375	0.0276965	0.0236022	0.0286349	0.0318594	0.0266673	0.0259959	0.0274958	0.0210421
