 	a23	a87	a40	a73	a26	a94	a24	a71	a9	a53	a76	a94	a54	a14	a30	a2	a76	a69	a57	a53	a90	a94	a11	a75	a73	a84	a53	a90	a94	a24	a98	a24	a25	a76	a94	a76	a69	a58	a84	a87	</S>
on	0.0590535	0.0576684	0.0841109	0.119083	0.0786903	0.0557028	0.0466802	0.0328345	0.0440324	0.031057	0.0237049	0.0202035	0.0169969	0.0139361	0.0109828	0.00656241	0.00811615	0.00899624	0.00590865	0.00506171	0.00535806	0.0049786	0.00973043	0.011224	0.0149393	0.0172405	0.0067541	0.0045971	0.00574421	0.00703474	0.00578572	0.00537412	0.00773138	0.0126898	0.0095757	0.00964987	0.0315499	0.017648	0.0183324	0.0230266	0.0416532
a	0.0113646	0.00929915	0.0188021	0.0179949	0.0267572	0.0307458	0.0185812	0.0503266	0.0542155	0.0716354	0.0630302	0.0783019	0.0473943	0.0249221	0.0151686	0.00929335	0.00798353	0.00815097	0.00729888	0.00460263	0.00548781	0.00734857	0.0103077	0.0109843	0.0172985	0.0230989	0.0215324	0.0152785	0.0155166	0.0175752	0.0154086	0.0227227	0.0256629	0.0195369	0.0176515	0.0132032	0.0290024	0.0277927	0.0320708	0.0339534	0.0426976
assassiné	0.0257604	0.0136387	0.013428	0.0119571	0.010825	0.0217116	0.0216059	0.0274807	0.0296101	0.0183413	0.0200348	0.0248931	0.0234068	0.0116882	0.00550412	0.00318565	0.00313174	0.00528195	0.00487813	0.00278233	0.00501374	0.00400802	0.00537536	0.00269212	0.00483906	0.00849706	0.00631992	0.00949692	0.00959183	0.00861473	0.0132563	0.0120236	0.0132937	0.0303776	0.0628408	0.0747263	0.0829845	0.0836814	0.079064	0.0952855	0.088872
le	0.0154554	0.00636672	0.00633362	0.00869076	0.0148375	0.0366938	0.0362719	0.0307973	0.0375179	0.0246858	0.0285232	0.040857	0.0388912	0.0350317	0.0274748	0.0304645	0.0290832	0.0236454	0.0183331	0.0182876	0.0151311	0.016682	0.0206552	0.0178631	0.0202052	0.0167694	0.023915	0.0180995	0.0208106	0.0262691	0.0270965	0.0284128	0.0193361	0.0236206	0.0202955	0.0196012	0.0304117	0.0439149	0.0355213	0.0201909	0.0269559
chef	0.0103423	0.00492978	0.00347985	0.0039518	0.0057865	0.00744146	0.00863712	0.0128244	0.0397158	0.0257093	0.0260778	0.0496878	0.0452115	0.0442236	0.0404134	0.0403863	0.0324971	0.0488936	0.0355836	0.0372912	0.0291079	0.0345677	0.0281632	0.041174	0.050332	0.0480828	0.0269338	0.035486	0.0331036	0.0279054	0.0250393	0.0175976	0.0147975	0.011421	0.0141852	0.00404641	0.00660317	0.00817047	0.00852206	0.00765495	0.00402187
du	0.0399109	0.0311082	0.0217985	0.0235453	0.0273919	0.0337965	0.0436008	0.0454894	0.0453442	0.0391814	0.0291867	0.0527221	0.0419942	0.0479931	0.0483919	0.0319456	0.0421423	0.0422662	0.0225802	0.0181923	0.0168576	0.0194395	0.0157926	0.0205997	0.0175574	0.0131123	0.0135971	0.0113249	0.0107117	0.00758562	0.00871755	0.00400679	0.00336908	0.00690527	0.00542919	0.00915653	0.0168207	0.0158067	0.0157361	0.0126678	0.0262241
village	0.0177166	0.0133736	0.0121136	0.00853107	0.0154266	0.0136142	0.0106458	0.0210467	0.0289732	0.0517231	0.0402536	0.0510825	0.0388802	0.0386443	0.0498411	0.0328305	0.0393903	0.0438205	0.0410577	0.0263972	0.0245183	0.0327308	0.0446879	0.0358724	0.038052	0.0376807	0.0271226	0.0283687	0.0207433	0.0126311	0.0192093	0.00523598	0.00359704	0.00921168	0.0129881	0.0116944	0.00958974	0.00918292	0.0124163	0.00510951	0.00399492
d'	0.0785517	0.056439	0.0464637	0.0263453	0.0192353	0.00752302	0.00618827	0.00686359	0.00893268	0.00780264	0.00915225	0.0160262	0.0124707	0.0126459	0.00872036	0.00965532	0.0169202	0.0125847	0.0171501	0.010384	0.020591	0.0220879	0.0235775	0.0169244	0.0279224	0.0306102	0.0125583	0.0144295	0.00946444	0.00877469	0.0152888	0.0060422	0.00878632	0.0217766	0.0250944	0.0289676	0.0598064	0.0539236	0.0660101	0.0451433	0.0921656
un	0.0404469	0.0255115	0.0243432	0.0151511	0.0162126	0.00675473	0.00722794	0.00947157	0.00991134	0.00876778	0.0100086	0.0154749	0.0151147	0.016185	0.0132087	0.0222735	0.0199394	0.018889	0.0229206	0.0147297	0.0238598	0.0320475	0.0344807	0.0316695	0.0291986	0.0358857	0.0197664	0.018795	0.0201182	0.0160374	0.0243693	0.0112967	0.0137134	0.0245344	0.0339126	0.0276038	0.0454129	0.0456847	0.0615919	0.0478849	0.0695941
coup	0.0234066	0.0198594	0.0193577	0.0186459	0.0216777	0.0186604	0.0116058	0.00888738	0.0129532	0.00931067	0.00755153	0.0111216	0.012756	0.0113475	0.0104896	0.00955511	0.00878562	0.0159758	0.0177256	0.0184414	0.0294786	0.0375151	0.0365106	0.0402097	0.0461863	0.0370764	0.018382	0.025267	0.0165304	0.0144266	0.0154158	0.00904053	0.0144988	0.0322069	0.0418757	0.0422094	0.0532037	0.0593384	0.0744345	0.03378	0.034299
