 	a66	a87	a23	a99	a44	a43	a11	a34	a56	a37	a75	a56	a96	a62	a0	a62	a88	a71	a70	a93	a56	a25	a79	a44	a90	a56	a96	a62	a21	a85	a6	a36	a11	a66	a26	a57	a87	a23	a87	</S>
le	0.0368127	0.0465472	0.040695	0.0261555	0.0273051	0.0247393	0.0208132	0.0271539	0.0238494	0.0216922	0.0162085	0.0131605	0.00982129	0.00903803	0.015956	0.012473	0.0139496	0.0232239	0.0274206	0.028746	0.0219602	0.0226144	0.0263729	0.0176969	0.0381411	0.040576	0.0278502	0.0360036	0.0317473	0.0240736	0.0225111	0.0192572	0.0243463	0.0258655	0.0137884	0.0209456	0.0197872	0.0193254	0.0202599	0.0611162
soleil	0.00324268	0.0132638	0.0145649	0.0451968	0.0568281	0.0662094	0.0601425	0.0732733	0.0469058	0.036562	0.0288205	0.0381939	0.0320576	0.0335993	0.0320218	0.0251904	0.0326957	0.0456431	0.0439315	0.0502539	0.0762477	0.049913	0.0325232	0.0163482	0.0126451	0.00718965	0.00434239	0.00409294	0.00465818	0.00342621	0.00306283	0.00121086	0.000991552	0.000845817	0.000961988	0.000508588	0.000546376	0.000534705	0.000747039	0.000606501
a	0.0178398	0.0122724	0.0200623	0.0451212	0.0360819	0.0415576	0.0905724	0.0346079	0.0452358	0.0259012	0.048239	0.085123	0.121717	0.0870148	0.0680612	0.0655714	0.0277528	0.0163997	0.0152361	0.0110673	0.0158186	0.00757479	0.0105611	0.00573697	0.00667007	0.00467538	0.00167696	0.00246198	0.00505778	0.00472337	0.00630969	0.00116744	0.00314002	0.00110923	0.00203263	0.00127107	0.00156055	0.00108313	0.00128067	0.000653934
fait	0.0379216	0.0261455	0.0224493	0.0123763	0.0107997	0.0103096	0.0117925	0.0200173	0.0171244	0.0125628	0.0270075	0.0485304	0.052846	0.071165	0.0852258	0.119349	0.0935427	0.0544247	0.0300708	0.0259614	0.0255543	0.0208947	0.0239865	0.0289923	0.013572	0.0141867	0.0114948	0.00629039	0.0104077	0.00854957	0.00779548	0.00306985	0.00372383	0.00385936	0.00352318	0.00420707	0.00545169	0.00479257	0.00509867	0.00492645
éclater	0.0399813	0.0338743	0.0319121	0.0264096	0.0233376	0.0237972	0.0131908	0.0241011	0.0148245	0.0125638	0.014714	0.0147165	0.012454	0.023226	0.0257428	0.0310175	0.047759	0.0336809	0.0404174	0.0372261	0.0261331	0.0241251	0.0219967	0.0245694	0.0275286	0.0316101	0.0359611	0.0253902	0.0314756	0.0337841	0.0310408	0.0188191	0.0237797	0.0185667	0.0162541	0.0212218	0.0197002	0.0147189	0.0136235	0.0147546
le	0.0329107	0.0244084	0.0244514	0.0238769	0.0201565	0.0233038	0.0203185	0.0242749	0.0355251	0.0372631	0.0409656	0.035361	0.0357248	0.0356577	0.0559005	0.0440597	0.0292694	0.032717	0.0292114	0.0213852	0.0182701	0.0120241	0.00868455	0.00997378	0.00664051	0.013044	0.0151549	0.0127357	0.0213204	0.0268832	0.0332538	0.0221067	0.0241426	0.0236162	0.0189001	0.0201319	0.0146605	0.0204042	0.0189293	0.0323819
pneu	0.0441746	0.0234759	0.0253979	0.0255638	0.0173927	0.021069	0.0222597	0.0238505	0.028077	0.0229718	0.0507515	0.068496	0.0662871	0.0908519	0.0985435	0.052909	0.0397676	0.0286127	0.042144	0.037216	0.0144502	0.0177323	0.0132726	0.0112495	0.00513067	0.00635606	0.0054609	0.00417111	0.00746653	0.00697253	0.00659095	0.00401316	0.0066978	0.00778913	0.0100932	0.00726717	0.0086726	0.00840102	0.0110056	0.00739453
du	0.0576036	0.0462862	0.0340676	0.0266942	0.0280412	0.030226	0.026881	0.0213093	0.0308392	0.0344256	0.0373528	0.0427727	0.0566204	0.044513	0.0492342	0.033915	0.0179423	0.0122878	0.0129744	0.00870245	0.00500736	0.00952289	0.00740505	0.0078186	0.00453699	0.00733209	0.00624935	0.00733506	0.00787482	0.00960008	0.0142571	0.0116727	0.019553	0.0226296	0.0341099	0.0270074	0.0307783	0.0347329	0.0449124	0.0349753
véhicule	0.0321723	0.0278483	0.0222794	0.0188981	0.0179935	0.020244	0.0179357	0.0179459	0.0183568	0.0150925	0.0198465	0.028204	0.036095	0.0651243	0.069475	0.0679047	0.0306365	0.0220708	0.0260023	0.0138444	0.0134732	0.0176394	0.0266103	0.0314806	0.0193478	0.0312854	0.0280213	0.0221858	0.0247378	0.0226132	0.0267866	0.0170368	0.0274537	0.0169193	0.0286089	0.0132906	0.0195665	0.010189	0.0115039	0.0032799
de	0.0326262	0.0349104	0.0285291	0.0336417	0.0353486	0.0363272	0.031896	0.0303788	0.0319105	0.0194472	0.0150622	0.0133786	0.0158972	0.0113573	0.0144671	0.0116838	0.00527132	0.00546201	0.00694896	0.00585246	0.00582341	0.0049301	0.00912639	0.00867244	0.00845804	0.0142767	0.0194939	0.0230747	0.0150833	0.02087	0.0293297	0.0382518	0.0244599	0.0429262	0.0400097	0.0361261	0.038287	0.048685	0.0451684	0.10655
tsimba	0.0266473	0.0284071	0.0269938	0.0276527	0.0256696	0.0332342	0.0270339	0.0259208	0.0290699	0.0123287	0.0128902	0.0127323	0.0136981	0.0126723	0.0129584	0.0121505	0.00719812	0.00590984	0.00584987	0.00680963	0.00652137	0.00703687	0.00786739	0.00872782	0.0093521	0.0174651	0.0151252	0.0187294	0.0158933	0.0134882	0.022311	0.0302137	0.0257877	0.0575725	0.0517016	0.0463009	0.0415897	0.0581493	0.0617207	0.118619
</S>	0.0489753	0.0391037	0.0382354	0.02624	0.0302061	0.0281948	0.0345411	0.0342175	0.0391084	0.0300249	0.0277201	0.0232059	0.0247746	0.0211773	0.0288455	0.0285524	0.0184382	0.0113719	0.00817897	0.0143558	0.0124235	0.0133657	0.00864827	0.0106409	0.0057519	0.0135499	0.0111183	0.0129016	0.0118633	0.00774823	0.0150377	0.0143091	0.0127867	0.0274434	0.0295882	0.0240457	0.0227627	0.0347918	0.0429924	0.112763
