 	a87	a23	a53	a56	a70	a50	a62	a21	a47	a0	a56	a96	a61	a62	a96	a21	a66	a0	a47	a83	a24	a0	a83	a70	a83	a0	a83	a0	a9	a10	a87	a23	a87	</S>
tout	0.135017	0.163811	0.163502	0.125793	0.0491893	0.0445644	0.0350743	0.0277422	0.0106769	0.013383	0.00870858	0.00616764	0.00589145	0.00589133	0.00453307	0.00603827	0.00778744	0.00633679	0.0051963	0.00371831	0.00266993	0.00165415	0.00299807	0.00859206	0.00664631	0.00612367	0.0105218	0.00643872	0.0221217	0.0248658	0.0246839	0.0181586	0.0123976	0.0231055
le	0.0121703	0.0109837	0.0156735	0.0173892	0.0229737	0.0132646	0.0232703	0.0242097	0.0674642	0.107278	0.080536	0.0563001	0.0241096	0.0226279	0.0406774	0.0124786	0.0239284	0.0165089	0.0506256	0.0325397	0.0326567	0.020587	0.020157	0.0165052	0.0205259	0.0247186	0.0226362	0.0382688	0.0281165	0.0339387	0.0242728	0.0144296	0.016956	0.0112221
bois	0.0198079	0.0144283	0.0152382	0.0120931	0.0278425	0.0187667	0.0239586	0.0334627	0.0444995	0.129033	0.0916835	0.0787502	0.0578768	0.068586	0.077286	0.0411456	0.0341668	0.0193639	0.0282527	0.0219051	0.0278154	0.00817821	0.00737859	0.0086085	0.00655455	0.00368882	0.00343863	0.00371245	0.00550866	0.00652816	0.0101714	0.00932736	0.0213534	0.0195885
de	0.0101334	0.00651494	0.00864579	0.0126147	0.0144975	0.0162351	0.0135062	0.0181717	0.0345754	0.0961379	0.0664678	0.0849011	0.069649	0.0813434	0.0549606	0.0457756	0.0527316	0.0300193	0.0438859	0.0202923	0.0270464	0.0236389	0.0211525	0.00878577	0.00968957	0.00763862	0.0124125	0.0190126	0.0159673	0.0088047	0.0130213	0.00838808	0.00975634	0.0336264
chauffe	0.0135219	0.00779816	0.00836146	0.00527062	0.00931549	0.00722387	0.00783072	0.00787845	0.00938712	0.0321945	0.0255518	0.0199108	0.0155638	0.0147707	0.0139	0.0106092	0.0139767	0.00824144	0.00821239	0.00985033	0.0145933	0.0498804	0.0735179	0.0444369	0.0400916	0.0694626	0.0489308	0.040279	0.0595848	0.0602551	0.0617571	0.0456088	0.0664122	0.0758202
que	0.100758	0.0703434	0.0467466	0.067173	0.0821292	0.0782648	0.0762778	0.0632903	0.0430013	0.0239993	0.0234146	0.0153749	0.0109441	0.0115586	0.0115591	0.0155815	0.0148224	0.00837213	0.0102425	0.00922583	0.0108756	0.0146491	0.0119569	0.0133894	0.0145429	0.0152656	0.011813	0.0155966	0.0134691	0.0162633	0.0160819	0.0201534	0.0187438	0.02412
j'	0.0522791	0.0322063	0.0211813	0.0245791	0.0273365	0.0201012	0.0264848	0.016337	0.0188617	0.00983137	0.0124237	0.00910038	0.0123658	0.0118619	0.0101353	0.0147071	0.0129622	0.0123432	0.0134418	0.0208226	0.0215242	0.019049	0.0210581	0.0189723	0.0295593	0.0468818	0.0482293	0.0357776	0.0683285	0.0771611	0.0739841	0.0654485	0.0577382	0.0369257
ai	0.0217943	0.0103108	0.00779436	0.00966223	0.0209203	0.0180158	0.0215382	0.0119054	0.0218917	0.0257871	0.0219417	0.0135052	0.0135137	0.0148108	0.0123543	0.0102696	0.0117404	0.00992448	0.0188518	0.0248988	0.0211529	0.0163141	0.022954	0.0183905	0.0285664	0.0424035	0.037114	0.0427573	0.0685711	0.088997	0.0815139	0.0675826	0.0929834	0.0492684
acheté	0.0462684	0.0443118	0.0342612	0.0305936	0.0285686	0.0343286	0.0202905	0.0198165	0.0165966	0.0141746	0.0170535	0.0133283	0.00936194	0.0133361	0.0150984	0.0172932	0.0191642	0.0104648	0.0123425	0.0125678	0.0129463	0.0139654	0.0186604	0.0129919	0.0126214	0.018956	0.0182711	0.0233933	0.0534066	0.0872865	0.0659516	0.0380471	0.0895855	0.104696
est	0.0306187	0.0363111	0.0255338	0.0214534	0.0162611	0.0195566	0.0134638	0.0101149	0.014937	0.0193831	0.0219227	0.0210508	0.0131572	0.0163103	0.0180329	0.0168455	0.0210369	0.00999389	0.0113259	0.00981962	0.00758724	0.0125194	0.0211776	0.0175079	0.0224093	0.0223743	0.0216066	0.0316699	0.0723863	0.100298	0.0789899	0.0392097	0.0643485	0.120786
déjà	0.0173754	0.0237199	0.0171738	0.0187719	0.0183696	0.0224569	0.0227516	0.0201754	0.0377172	0.043973	0.0471261	0.0458548	0.0376876	0.0331117	0.0270218	0.0242047	0.0297546	0.0197576	0.0203592	0.0147681	0.00975404	0.00968143	0.0140169	0.013165	0.0120719	0.0167223	0.0165926	0.012078	0.0452541	0.03931	0.0668281	0.0346377	0.0709536	0.0968037
rongé	0.0162459	0.0219284	0.0244585	0.0180859	0.0196518	0.0223852	0.021414	0.0197371	0.0337432	0.0282773	0.0217238	0.0186793	0.0133156	0.0149054	0.0130908	0.0210669	0.0231266	0.0151278	0.015584	0.0134753	0.00870907	0.0125133	0.0248984	0.0266079	0.0307614	0.026896	0.0456262	0.031847	0.0675543	0.057512	0.0698284	0.0431718	0.0635075	0.0945442
par	0.0159509	0.017665	0.0177633	0.0125888	0.0135901	0.0103585	0.0131393	0.00802675	0.0104709	0.00648862	0.00633708	0.00694534	0.00542221	0.00558489	0.0045831	0.00643944	0.0107108	0.00488322	0.0097284	0.00493438	0.00418185	0.00693866	0.0154122	0.0246545	0.0218365	0.0219398	0.043956	0.0362347	0.0818331	0.0776928	0.0886412	0.0654667	0.0835767	0.236024
les	0.0415748	0.0331471	0.0246634	0.0259332	0.0277637	0.0168778	0.0173905	0.00830488	0.00639722	0.00888915	0.00560659	0.00549638	0.00343605	0.00308503	0.00325238	0.00270771	0.00491633	0.00329297	0.00649898	0.00690169	0.00621641	0.00758304	0.0128964	0.0245031	0.0160936	0.0219019	0.0324052	0.0446824	0.0792844	0.100161	0.0838342	0.0695682	0.0861775	0.158557
termites	0.0259909	0.0353696	0.0286184	0.0245414	0.0275761	0.0267487	0.0287198	0.0210613	0.0185006	0.0213057	0.0144314	0.0141171	0.0108375	0.0109909	0.0118914	0.00887283	0.0128204	0.00900936	0.01822	0.0119732	0.00843274	0.00747874	0.0119616	0.0176279	0.0199176	0.0149068	0.0241255	0.0382981	0.0645406	0.0791504	0.0765204	0.0545187	0.0783244	0.1226
</S>	0.0474088	0.0848453	0.0709337	0.0459197	0.0341463	0.0297723	0.0263159	0.0259255	0.0168069	0.0258136	0.0230248	0.0195351	0.0172855	0.0151727	0.0190725	0.00960144	0.0170634	0.0132426	0.0123154	0.0112894	0.0073853	0.00714742	0.0112431	0.0201858	0.0158141	0.0177726	0.039451	0.0250112	0.0518469	0.0682954	0.043325	0.037369	0.034835	0.0548274
