 	a66	a87	a23	a87	a10	a87	a10	a38	a12	a18	a93	a56	a43	a0	a31	a21	a5	a98	a85	a37	a21	a47	a62	a47	a88	a62	a21	a85	a6	a92	a37	a90	a25	a98	a15	a7	a75	a36	a27	a10	a9	a10	a87	a23	a87	</S>
cette	0.0644507	0.0435087	0.0428482	0.0370836	0.0367958	0.0286517	0.019269	0.0235488	0.0201021	0.0235016	0.0340516	0.0242394	0.0110668	0.00816987	0.00693518	0.00640088	0.00652764	0.0107645	0.00870148	0.00807679	0.00718072	0.00829626	0.0104956	0.0135126	0.0148971	0.0191704	0.0119221	0.0094239	0.0112445	0.0225039	0.034594	0.0344706	0.05003	0.0165725	0.0158677	0.00855756	0.00745907	0.0183983	0.0105498	0.0145444	0.0192145	0.0191263	0.0287313	0.0324627	0.0295798	0.0664999
manière	0.0071916	0.00720305	0.0130654	0.0184839	0.0255917	0.029363	0.0271006	0.0186652	0.0275074	0.0178195	0.0183428	0.0147102	0.0123603	0.00777508	0.0152602	0.0242528	0.0374678	0.0353064	0.0286489	0.0201222	0.0356424	0.0486923	0.0318989	0.0439061	0.051716	0.0186801	0.0231569	0.0405027	0.0313951	0.0511997	0.0170249	0.0580126	0.0255033	0.060518	0.0228206	0.0250416	0.00114043	0.00148317	0.000422416	0.000826891	0.000706357	0.000529639	0.000651148	0.000421697	0.00123389	0.000634814
de	0.0393421	0.0285272	0.0249712	0.0149094	0.014982	0.0132865	0.0105239	0.0112876	0.00940545	0.0093267	0.00751621	0.0107351	0.00746507	0.0114575	0.00962302	0.010618	0.0130937	0.0145995	0.014583	0.0106291	0.0137773	0.014217	0.0205332	0.0210762	0.0393211	0.0188061	0.0122722	0.0147585	0.0180914	0.0105597	0.0075372	0.00664582	0.00819362	0.0155768	0.0187747	0.0391331	0.0326493	0.0439071	0.0510817	0.0401055	0.026183	0.0366446	0.0484204	0.0625511	0.0558476	0.0364533
cajoler	0.0229691	0.0132159	0.0154767	0.0126141	0.0108797	0.0095305	0.00774627	0.0126263	0.0108584	0.0176449	0.0237334	0.0318634	0.0168868	0.0373677	0.0395918	0.0466225	0.049126	0.0406856	0.0427304	0.032883	0.0332052	0.0372069	0.0383468	0.0413617	0.0207547	0.0345197	0.0189028	0.0289793	0.0243924	0.0158375	0.024045	0.0116506	0.0109621	0.00691191	0.00670532	0.00793177	0.0100124	0.0165193	0.011522	0.0126918	0.0121117	0.0147871	0.015442	0.0211795	0.0203795	0.00858829
les	0.0358033	0.0292825	0.0193266	0.0228063	0.0202795	0.023839	0.027469	0.043838	0.0336047	0.0290572	0.0268871	0.0276546	0.0266453	0.0202348	0.0153608	0.00840937	0.0124727	0.012596	0.016296	0.0487937	0.027114	0.0351853	0.0573818	0.0605959	0.061593	0.0397751	0.0250336	0.0182995	0.0161473	0.00992152	0.00595689	0.00323589	0.00491957	0.0080842	0.00576176	0.0141836	0.011811	0.0121253	0.0146614	0.00658808	0.00851675	0.0101977	0.0090948	0.00883871	0.0103157	0.0140048
enfants	0.0387843	0.0261015	0.0267663	0.0155561	0.0116199	0.0109371	0.0131471	0.0236715	0.0168125	0.0244622	0.0139302	0.0132093	0.0189451	0.0152391	0.00990194	0.00515646	0.0115117	0.00882169	0.0127999	0.0244631	0.0126805	0.0136481	0.0213553	0.0155583	0.0189225	0.00860384	0.00685701	0.00372569	0.00433585	0.00450128	0.00619609	0.00418216	0.00540224	0.0120055	0.00914366	0.0368362	0.0321438	0.0472478	0.0568605	0.0484948	0.0501844	0.076563	0.0350891	0.0358031	0.0258619	0.0659602
est	0.0215261	0.0151023	0.0216261	0.010554	0.00825102	0.00780452	0.00693576	0.0121107	0.00933668	0.0114768	0.00735837	0.00822184	0.0115789	0.0126146	0.00971904	0.00713289	0.0118792	0.00923356	0.0120781	0.0162821	0.0112479	0.0132352	0.0205533	0.0116151	0.0157222	0.00822957	0.00660974	0.00369783	0.004465	0.00508421	0.00494834	0.00408975	0.00690199	0.0119739	0.0144004	0.0263345	0.0394143	0.0622802	0.082841	0.0752189	0.0743932	0.0768303	0.0501363	0.0408514	0.0321827	0.0659201
celle	0.0229077	0.0181845	0.0137331	0.00796735	0.00658829	0.00542835	0.00315575	0.00646315	0.00330018	0.00586547	0.00216583	0.00305854	0.00490608	0.00527796	0.0043168	0.0040659	0.0041097	0.00331588	0.00398957	0.00535279	0.00325878	0.00383067	0.011339	0.00812384	0.0126502	0.0109736	0.00914651	0.00616893	0.00693851	0.00717824	0.0104056	0.00565139	0.00893695	0.0118384	0.0149255	0.0216633	0.0291592	0.0551933	0.0557287	0.0695071	0.0807246	0.0950038	0.0976949	0.0891061	0.0659401	0.07476
des	0.0157976	0.0125809	0.00848003	0.00631102	0.00686309	0.00669598	0.00441846	0.00712153	0.00465877	0.00873685	0.0040453	0.00678177	0.0106022	0.00962362	0.00795231	0.00786782	0.00787265	0.00582336	0.00758118	0.00991475	0.00745518	0.00928522	0.0213695	0.0150453	0.0207385	0.0139381	0.0103503	0.0109977	0.0134132	0.016129	0.0121381	0.0138653	0.0143415	0.0130758	0.0170732	0.0149411	0.0238421	0.0499772	0.0490308	0.0574162	0.0773525	0.0598834	0.0825116	0.0925603	0.0647379	0.0588015
mères	0.0122825	0.00941019	0.00747269	0.00656949	0.00699953	0.00758469	0.00736012	0.00942948	0.00621978	0.0113886	0.00597001	0.00916399	0.0148063	0.0148439	0.00992684	0.00854771	0.00958307	0.0105754	0.0145877	0.0204993	0.0156359	0.0154208	0.0249442	0.0172983	0.0209236	0.0103314	0.00721033	0.00848586	0.0103714	0.0104078	0.00832779	0.00964891	0.0118913	0.0114429	0.0154685	0.0161949	0.0244019	0.0365447	0.0447689	0.0457697	0.0631587	0.0672844	0.0858822	0.0951672	0.0603548	0.0594425
