 	a66	a87	a23	a40	a6	a47	a6	a37	a12	a43	a0	a24	a38	a93	a4	a98	a15	a0	a56	a75	a92	a37	a61	a5	a43	a75	a6	a36	a7	a69	a58	a82	a87	a23	a87	a23	a36	a7	a47	a37	a85	a47	a36	a47	a36	a2	a57	a87	a23	a87	</S>
les	0.0316259	0.0437913	0.0246997	0.0247103	0.0276657	0.0412335	0.0326258	0.05068	0.0670256	0.0481936	0.0319943	0.0338231	0.0463338	0.0355761	0.0521256	0.0405108	0.0327116	0.0314782	0.021599	0.0300422	0.0150069	0.012116	0.0150135	0.0154086	0.0154196	0.0105406	0.00907423	0.0110801	0.00940118	0.00540754	0.00714669	0.00384668	0.00636052	0.00308565	0.00930435	0.00497443	0.00579491	0.00677554	0.00436021	0.00335548	0.00395188	0.00544045	0.0051109	0.00659954	0.0084272	0.00875894	0.00811265	0.00853574	0.00661704	0.00445348	0.0120735
petits	0.00658115	0.0126425	0.0131103	0.0282051	0.0417825	0.0722037	0.0913542	0.110203	0.0601463	0.0437022	0.0293511	0.0250326	0.0204821	0.00458792	0.026131	0.0240678	0.0275072	0.0268654	0.0362568	0.0616885	0.037716	0.0404949	0.0361498	0.0190662	0.0180754	0.0192626	0.0178151	0.00978643	0.00407393	0.00362423	0.00296486	0.00155384	0.00118088	0.00109403	0.00072649	0.00167392	0.00144252	0.00576011	0.00241392	0.000996265	0.000961212	0.000770851	0.001546	0.000893174	0.00169037	0.00137415	0.00133334	0.00101752	0.000891701	0.00115775	0.000590974
enfants	0.0117164	0.00443518	0.0027922	0.007119	0.0195603	0.0263242	0.0344665	0.0261835	0.0140575	0.00788836	0.0134491	0.0167157	0.0411069	0.0190104	0.0207755	0.0451779	0.0308145	0.037109	0.0484175	0.0690683	0.0408566	0.0450243	0.0453211	0.0279566	0.0313857	0.0304904	0.0435113	0.0349426	0.0209274	0.0278281	0.0160385	0.00870363	0.0111699	0.00971834	0.00522779	0.00757618	0.00703504	0.00949945	0.00649822	0.0049273	0.00444355	0.00153693	0.00811146	0.00245143	0.00950971	0.00972002	0.0077888	0.00236732	0.00544033	0.00611787	0.0116864
sont	0.0216241	0.0167331	0.00855032	0.0167288	0.0270203	0.023505	0.0267552	0.0161793	0.0238219	0.0219694	0.0163191	0.0360853	0.040479	0.0105769	0.0159946	0.0338296	0.0183174	0.0192119	0.0226804	0.067521	0.0280569	0.0413011	0.0385273	0.030073	0.0279273	0.0294809	0.0349165	0.0225997	0.0132015	0.0173461	0.0164907	0.0178266	0.0203605	0.0230564	0.0155098	0.0147753	0.0114937	0.0105819	0.00993544	0.00979329	0.00536403	0.00293666	0.0120731	0.00963884	0.0033419	0.00818292	0.00753858	0.00348611	0.0116453	0.00944738	0.00918845
en	0.0087292	0.00691093	0.00868074	0.0105841	0.00894023	0.00912692	0.0104178	0.0104073	0.0147454	0.00859501	0.0120607	0.0104288	0.0199373	0.0186774	0.0160849	0.0257238	0.0113737	0.0256259	0.0303368	0.0208758	0.030811	0.0319993	0.0460837	0.0466182	0.0234529	0.0370867	0.0403957	0.0422982	0.0410244	0.0345395	0.0120023	0.0152961	0.00796354	0.00875903	0.01108	0.00915146	0.0156034	0.0112458	0.0147466	0.00970056	0.0153531	0.00857058	0.0310517	0.0248012	0.0492348	0.0090551	0.0260713	0.0210235	0.0137278	0.0137932	0.0091964
train	0.0118385	0.0127583	0.0116985	0.0135929	0.0149942	0.0197058	0.0162247	0.0249123	0.0264524	0.0206534	0.0269737	0.024481	0.0468619	0.0442936	0.0267648	0.0394525	0.0121436	0.0172357	0.0191325	0.0142749	0.0146404	0.0142512	0.0132576	0.0137409	0.00898093	0.0111079	0.0150164	0.0174261	0.018459	0.01871	0.00852079	0.0156601	0.01256	0.0141544	0.0175625	0.0154541	0.0195689	0.0190925	0.0199856	0.015966	0.0150672	0.0146613	0.0219074	0.0219171	0.0427487	0.0134401	0.0311832	0.0309277	0.0194459	0.0277298	0.0124111
d'	0.0145491	0.0100705	0.00497764	0.00329049	0.00428605	0.00207692	0.00534918	0.00843062	0.0217005	0.0129027	0.0151154	0.0539891	0.0277799	0.0597084	0.0642109	0.0842173	0.0638719	0.049928	0.0486142	0.105905	0.0456688	0.0336834	0.0202786	0.0212447	0.0255019	0.0212259	0.0272654	0.0209311	0.0206014	0.00995019	0.00789647	0.00570669	0.00728845	0.0057306	0.00675293	0.00658502	0.00461433	0.00294075	0.00240921	0.0031278	0.00223116	0.00179271	0.00178382	0.00128901	0.00280728	0.00161149	0.00308157	0.00384586	0.00643362	0.00643732	0.00830871
allumer	0.0174049	0.00992375	0.00583403	0.00518727	0.00439843	0.00335811	0.002825	0.00264862	0.00540343	0.00422209	0.00862458	0.0157973	0.0245843	0.039127	0.0241058	0.0352002	0.0440392	0.0377164	0.0359343	0.0514208	0.0441471	0.0326952	0.034608	0.0397427	0.032732	0.0382541	0.0349838	0.030482	0.0411445	0.0426084	0.0309761	0.0287674	0.0324986	0.0240053	0.0242672	0.0214571	0.0150104	0.0165323	0.00853281	0.00516275	0.00229841	0.0018519	0.00288108	0.00152084	0.00142693	0.00241426	0.00393904	0.0024935	0.0047458	0.00930854	0.0107565
le	0.057107	0.024172	0.00712206	0.00231366	0.00200906	0.000708507	0.00120832	0.000953194	0.00231732	0.00202564	0.00267551	0.00846209	0.0068233	0.0131115	0.0250342	0.0291725	0.0277274	0.0302073	0.0383445	0.0430442	0.0305758	0.0249257	0.0203042	0.0210629	0.0160811	0.01591	0.0202411	0.0178078	0.0184784	0.0231187	0.0144768	0.0212648	0.01615	0.0204962	0.0188461	0.0192941	0.0202085	0.0144965	0.0197222	0.0243085	0.0120341	0.0128657	0.0263364	0.0128938	0.0323652	0.0257307	0.0208013	0.0232346	0.032247	0.041572	0.0376105
feu	0.0169832	0.00741423	0.00367682	0.0014704	0.00178556	0.00143834	0.00174927	0.00160645	0.00218171	0.00296383	0.00438199	0.0129827	0.0134044	0.0230452	0.0182592	0.0193672	0.0332474	0.0310578	0.0313499	0.0380999	0.0302808	0.0313076	0.0257047	0.0246427	0.0246366	0.0249751	0.0288797	0.0248123	0.0246853	0.0269121	0.0194476	0.022137	0.0176826	0.0185097	0.0194025	0.0183508	0.0201773	0.0168068	0.017911	0.0192908	0.0148332	0.0132522	0.0207993	0.0164606	0.0491807	0.0265416	0.0193293	0.0216963	0.0232787	0.0376934	0.0339164
