 	a66	a87	a23	a13	a96	a93	a69	a54	a6	a37	a56	a96	a62	a12	a31	a12	a43	a75	a5	a61	a21	a85	a79	a7	a84	a87	</S>
cette	0.0316103	0.0423294	0.033119	0.0396978	0.059605	0.0408145	0.0541654	0.0524203	0.0334409	0.0338118	0.0283851	0.0371621	0.0408904	0.0322371	0.0215767	0.0171014	0.0249582	0.0218973	0.0296301	0.0389391	0.0380827	0.0420615	0.0330083	0.0273339	0.0354519	0.0279428	0.0823271
femme	0.0227446	0.0299539	0.0407648	0.0224489	0.0269115	0.0347771	0.0589852	0.106934	0.141207	0.0339023	0.041892	0.0590401	0.0292889	0.0386527	0.0251361	0.0352695	0.0531629	0.0389692	0.0436748	0.0200024	0.0164642	0.00801	0.00975856	0.0136213	0.0196567	0.0185497	0.0102217
a	0.0739955	0.103689	0.0973406	0.0921457	0.0410254	0.0485445	0.0221814	0.0203821	0.0263945	0.0330442	0.0211937	0.0116693	0.00976885	0.0113453	0.00982673	0.0123536	0.0100258	0.0140841	0.013065	0.0171215	0.0435898	0.0393048	0.0600592	0.0711599	0.0426657	0.0468054	0.00721796
mis	0.0462323	0.039436	0.0256269	0.0180636	0.0101006	0.00582554	0.00905015	0.0347287	0.0338462	0.0437381	0.0398424	0.0409331	0.0359161	0.0428303	0.0446473	0.0598628	0.0623779	0.0417389	0.0464813	0.0418688	0.0415494	0.0276182	0.0355347	0.0340949	0.0379686	0.0420443	0.0580431
de	0.0620844	0.0360448	0.0362184	0.0411691	0.0297419	0.0162897	0.023454	0.0322496	0.0250488	0.0288704	0.0228785	0.0202623	0.0207044	0.0194362	0.0180358	0.0176	0.01619	0.0374632	0.0446164	0.0481868	0.0371291	0.0390105	0.0560489	0.0358232	0.063633	0.0473975	0.124413
l'	0.0632471	0.0259293	0.0216625	0.0393833	0.0267097	0.0169974	0.027533	0.0480572	0.0689311	0.0865718	0.0673824	0.0422128	0.0269509	0.0267205	0.0251506	0.0165264	0.0192688	0.0329855	0.0388968	0.0371772	0.0301291	0.0366098	0.0375895	0.0286139	0.0368127	0.0302202	0.0417306
ordre	0.0774509	0.0637288	0.057106	0.0463452	0.0230806	0.0177618	0.0113652	0.0131594	0.025951	0.0319363	0.0223893	0.0165122	0.0115876	0.0187898	0.0206986	0.0301115	0.0265904	0.0242389	0.0274211	0.0339566	0.048441	0.053203	0.0605645	0.0588431	0.0619786	0.0617411	0.0550474
dans	0.0645862	0.0340547	0.0246206	0.0424877	0.0381041	0.0309029	0.0209318	0.012072	0.00723334	0.00727515	0.00886024	0.00951328	0.0122886	0.0124966	0.0137353	0.0184101	0.014435	0.0211328	0.043818	0.0493562	0.0635665	0.0880021	0.0864546	0.0528131	0.0539267	0.0505996	0.118323
sa	0.041936	0.0416302	0.0326078	0.0272829	0.0183814	0.00968328	0.00716922	0.00840967	0.00783117	0.00779949	0.00801508	0.00874981	0.0142736	0.0114547	0.0163793	0.0315615	0.0308434	0.0266129	0.0542919	0.0622833	0.0868304	0.0796617	0.0951293	0.0706096	0.0711315	0.0586709	0.0707702
maison	0.0231506	0.0127533	0.0115417	0.0143346	0.0136386	0.0112588	0.00904181	0.00762762	0.00775504	0.0142208	0.0161224	0.0133911	0.0172812	0.0161	0.0186879	0.0224898	0.0242592	0.034021	0.0551259	0.0662256	0.0981104	0.123066	0.0920027	0.0663728	0.0754854	0.0626244	0.0733116
</S>	0.0388486	0.0349566	0.0320028	0.0292419	0.0198846	0.0161414	0.01638	0.0229894	0.0212636	0.0244144	0.0140041	0.0161063	0.0177211	0.0186145	0.0173857	0.0238617	0.0223278	0.0308328	0.0372753	0.0511342	0.0630188	0.0793201	0.0633014	0.0511855	0.0631128	0.0689624	0.105712
