 	a40	a73	a44	a26	a24	a25	a87	a79	a98	a73	a44	a53	a20	a84	a40	a54	a73	a84	a57	a87	a23	a82	a53	a69	a58	a82	a57	a90	a94	a32	a54	a73	a44	a58	a75	a41	a75	a66	a38	a56	a34	a98	a73	a69	a84	a87	a23	a87	</S>
on	0.0254441	0.0202631	0.0229271	0.0230236	0.0369193	0.0382419	0.0488812	0.0566908	0.0516122	0.0574721	0.0334811	0.0590176	0.0368554	0.0368252	0.0308835	0.013792	0.0374925	0.028291	0.0253042	0.0248472	0.0166623	0.0205851	0.017649	0.0198632	0.0112693	0.0106488	0.00939018	0.00797108	0.00685577	0.0105458	0.00546608	0.00525195	0.00514042	0.00643026	0.00732502	0.00865729	0.0112247	0.0168097	0.00468634	0.00496569	0.00606658	0.00851715	0.00716237	0.00592299	0.00698112	0.0065551	0.00893461	0.0127283	0.0214689
ne	0.00914232	0.0112359	0.0272419	0.0267483	0.0395945	0.0198989	0.00985204	0.0110919	0.0138115	0.0213127	0.0276845	0.0409748	0.0562565	0.0457837	0.102064	0.0554301	0.0853076	0.0443346	0.0580975	0.0331482	0.0251849	0.0139115	0.0204318	0.0134934	0.0128587	0.0100197	0.0132957	0.016074	0.0156526	0.00974183	0.00476389	0.00655104	0.00356821	0.0047012	0.00615291	0.00504144	0.00669987	0.00801736	0.00512793	0.00758144	0.00438238	0.00433555	0.00622825	0.00491781	0.00563356	0.00518284	0.00607399	0.00814207	0.00722248
l'	0.0568202	0.0221877	0.0282083	0.0228592	0.0159681	0.00512963	0.00696635	0.0088126	0.00692235	0.0133222	0.00880974	0.00667463	0.0130151	0.0149005	0.0531711	0.0357948	0.0431911	0.0297547	0.0411084	0.0238739	0.0155179	0.0102612	0.0182239	0.0160738	0.0202497	0.0276081	0.034693	0.0990337	0.089651	0.0382314	0.0139171	0.0139532	0.0084987	0.0110108	0.00733363	0.00688725	0.00773842	0.00482169	0.00498196	0.00568504	0.00568366	0.00616523	0.0098262	0.0109177	0.0117324	0.00833288	0.0107275	0.0162017	0.00855058
aime	0.0180925	0.0156391	0.022666	0.0282155	0.0306626	0.0165828	0.0142541	0.0172048	0.0161445	0.0179629	0.017172	0.0162472	0.0141764	0.0239293	0.0273213	0.040825	0.0225765	0.0259596	0.0241768	0.0217221	0.0274947	0.0228052	0.025335	0.031107	0.0348093	0.0269935	0.0316955	0.0303154	0.0350878	0.0278326	0.0288758	0.0282312	0.0246561	0.0216686	0.0235584	0.0223717	0.0193581	0.0141775	0.0167977	0.00757007	0.00417243	0.00783884	0.00661826	0.00650954	0.00696148	0.00771752	0.00796943	0.00862562	0.0113148
pas	0.0211816	0.0226333	0.0248184	0.0132045	0.0236916	0.0101592	0.00884841	0.0110694	0.0116112	0.0175998	0.0223237	0.0243095	0.0300037	0.0285101	0.0184321	0.0296798	0.0245404	0.0219878	0.0279791	0.0285984	0.0461337	0.0277775	0.0462218	0.0428182	0.0328598	0.0286219	0.0280206	0.0193143	0.029065	0.0162169	0.0112019	0.0161076	0.0151558	0.017362	0.0143271	0.0165646	0.0162928	0.0165897	0.0173332	0.0117189	0.00598256	0.0100791	0.00839759	0.0110762	0.0136088	0.0133286	0.0112777	0.0172147	0.0181493
à	0.0156966	0.0124078	0.00952884	0.0071622	0.00989851	0.00690116	0.00688841	0.0100309	0.0117784	0.0126132	0.0205986	0.0125418	0.0188133	0.0164591	0.010154	0.0124417	0.01195	0.0147605	0.0172941	0.0184141	0.0278256	0.0263046	0.0362889	0.0435632	0.0436475	0.046562	0.0535915	0.0507781	0.0470007	0.02864	0.01743	0.0204099	0.0186508	0.0253614	0.0196689	0.0231786	0.0231695	0.0323212	0.0355936	0.0169048	0.00824415	0.017341	0.011477	0.0105948	0.0133897	0.0126038	0.0108699	0.0123493	0.00990634
cause	0.0181888	0.0151932	0.00550771	0.00368895	0.00332465	0.00278897	0.00305697	0.00375766	0.00444268	0.00776506	0.0076021	0.00507508	0.00759035	0.00582585	0.00634033	0.00826626	0.00919209	0.0121217	0.0185216	0.0179418	0.0334745	0.0264056	0.0451557	0.0509035	0.0540381	0.048942	0.0712724	0.0919377	0.0870109	0.0462908	0.0215087	0.0210617	0.0164664	0.0190459	0.0129535	0.0144073	0.0144223	0.0127964	0.0154525	0.0135137	0.00841533	0.0188202	0.015024	0.0119067	0.0149197	0.0102663	0.0152267	0.0118835	0.0102858
de	0.0276338	0.00883766	0.00667897	0.00438072	0.0049873	0.00435672	0.00701176	0.00460476	0.00736587	0.00851318	0.00916914	0.00869066	0.0126668	0.00942942	0.0109386	0.0110301	0.0176583	0.021676	0.0240857	0.0240439	0.0331171	0.0192286	0.0405547	0.0425892	0.0363264	0.0375741	0.0485064	0.0913083	0.0851721	0.0469636	0.0204351	0.0191649	0.0109815	0.0132382	0.0107505	0.0109043	0.0143102	0.0122459	0.0137325	0.0108596	0.0109233	0.016461	0.0165975	0.0152136	0.021013	0.0150267	0.0177321	0.0142367	0.0210736
son	0.0213203	0.0106802	0.00878247	0.00541802	0.00829288	0.0121663	0.0247184	0.017574	0.0235007	0.0093376	0.0111818	0.0162202	0.0150393	0.0169019	0.0126724	0.0114675	0.0176194	0.0165497	0.0192287	0.0190708	0.0279026	0.0208543	0.0320545	0.035113	0.0343443	0.0349597	0.038041	0.0461156	0.0449753	0.0346006	0.0355244	0.026405	0.0189769	0.0170062	0.01427	0.0114486	0.0153584	0.0111939	0.014165	0.0117736	0.0156366	0.0244178	0.022498	0.0153727	0.0185028	0.0119827	0.024044	0.0159134	0.0288064
avarice	0.0179432	0.00959654	0.00950058	0.00440485	0.00719345	0.00436462	0.00710643	0.00456366	0.00434928	0.00348156	0.00278263	0.00587682	0.0066979	0.0070023	0.00696826	0.0061639	0.0151048	0.0176494	0.0242625	0.0321301	0.0346553	0.0305305	0.0470362	0.0433842	0.0378729	0.0416923	0.0434899	0.055466	0.0403925	0.0396054	0.0120896	0.0102337	0.00859463	0.0117758	0.0149577	0.0169546	0.0233779	0.0309074	0.0251245	0.0265779	0.0250947	0.0339046	0.0231733	0.0221952	0.0200586	0.018156	0.0296192	0.0212526	0.0146838
