 	a23	a87	a10	a87	a23	a24	a76	a41	a32	a75	a41	a26	a24	a76	a35	a26	a24	a25	a87	a79	a41	a32	a26	a76	a90	a38	a41	a25	a87	</S>
il	0.13994	0.105688	0.0568374	0.0472801	0.0291203	0.0374932	0.0286701	0.0243213	0.0203894	0.023017	0.0239394	0.0232829	0.014106	0.0141659	0.0157805	0.0148792	0.0137927	0.0237062	0.0374629	0.0430271	0.0327212	0.022044	0.014898	0.0167254	0.0150506	0.019242	0.0220277	0.0403777	0.0358224	0.0441918
est	0.0108902	0.00598326	0.010764	0.0111754	0.0149912	0.0273883	0.0231976	0.0106173	0.0113568	0.012117	0.0116588	0.0141712	0.0203471	0.0482916	0.0340145	0.0305156	0.0459094	0.0181121	0.0184413	0.0242519	0.028016	0.0206925	0.0245563	0.0407637	0.0678221	0.0629437	0.0889529	0.0940649	0.111008	0.0569854
agréable	0.00750025	0.00799732	0.0081175	0.0124948	0.0108613	0.0135374	0.0128895	0.0048767	0.00364237	0.00539071	0.00989733	0.0101389	0.0143616	0.0133295	0.0161268	0.0133207	0.014576	0.0094494	0.010468	0.017463	0.013986	0.0213896	0.0949585	0.121412	0.12924	0.0794414	0.0883246	0.067166	0.100349	0.0672945
de	0.197325	0.100596	0.0539355	0.0339409	0.028894	0.019935	0.0254623	0.0150158	0.00936921	0.0306314	0.0143246	0.00769501	0.0128572	0.0170115	0.0184701	0.023897	0.01369	0.0141913	0.0101698	0.0298406	0.0141085	0.0159001	0.0156509	0.0169237	0.0107361	0.019705	0.037567	0.051384	0.0661716	0.0746009
se	0.0344004	0.0461122	0.0676238	0.084199	0.0641308	0.0437027	0.0341628	0.00787526	0.00705706	0.018974	0.00818689	0.00877116	0.0173682	0.0547609	0.0461885	0.0663084	0.0501933	0.0347676	0.0309399	0.0259919	0.0266526	0.0216251	0.0162443	0.0134065	0.0169801	0.0191851	0.0280752	0.0312983	0.0476909	0.0271272
reposer	0.0355581	0.0438709	0.0477518	0.0608532	0.0463228	0.0533158	0.0846103	0.035918	0.0182422	0.0183123	0.00971146	0.00972941	0.0211151	0.0364454	0.0408045	0.0404458	0.039388	0.0345789	0.0401176	0.0376991	0.028027	0.0268307	0.0158279	0.0163063	0.0232786	0.0261082	0.0250034	0.0276093	0.023227	0.0329909
à	0.0980088	0.0623219	0.0530989	0.0424024	0.0422471	0.0220477	0.0123028	0.00674345	0.00281594	0.00254619	0.00231844	0.00239721	0.00644443	0.0202227	0.0218017	0.0230263	0.0351626	0.0299629	0.0329176	0.0558375	0.0400516	0.0473124	0.0434321	0.0329947	0.0360925	0.0455421	0.0407592	0.0536577	0.0452931	0.0402384
l'	0.039986	0.0271756	0.0140749	0.0109844	0.0097124	0.00579481	0.00458136	0.00517275	0.00413792	0.00624741	0.00514261	0.00509226	0.0114541	0.0164764	0.0157445	0.0145214	0.0179842	0.0203593	0.0268395	0.0252564	0.0323847	0.0422133	0.0701187	0.0887568	0.0933758	0.0827883	0.0872467	0.0795114	0.084251	0.0526149
ombre	0.0185204	0.0216511	0.00895927	0.00877001	0.00650497	0.0036998	0.00369388	0.0039908	0.00296818	0.00718484	0.00306624	0.00374918	0.0048739	0.00925887	0.00832776	0.00997127	0.0119906	0.0162619	0.0621154	0.09582	0.0650202	0.0528477	0.0717152	0.112973	0.0965846	0.0816131	0.0593625	0.0623738	0.0563559	0.0297756
</S>	0.0964556	0.0346108	0.0337534	0.0109663	0.00956312	0.00782047	0.00461749	0.00487992	0.0111782	0.0106864	0.0163137	0.00913251	0.0196855	0.0115149	0.00790677	0.00685502	0.00828464	0.00847292	0.0115323	0.0176012	0.00811537	0.00816273	0.0179546	0.0238835	0.0259252	0.0413337	0.122409	0.130032	0.153459	0.126894
