 	a66	a87	a40	a47	a0	a21	a75	a98	a85	a37	a56	a25	a69	a90	a25	a79	a44	a56	a43	a75	a61	a18	a54	a36	a26	a57	a97	a87	a97	</S>
les	0.102309	0.0713373	0.0780999	0.070751	0.0575868	0.0698231	0.0671687	0.0350618	0.0166262	0.0122206	0.0160905	0.0155895	0.0222393	0.0185247	0.0165861	0.0159716	0.0154506	0.0242513	0.0204757	0.0192927	0.0181468	0.0179004	0.0261817	0.0198492	0.0253739	0.0168007	0.0168884	0.0241698	0.0263278	0.0429055
canards	0.00665846	0.00645847	0.0170075	0.0261983	0.0180442	0.0590763	0.0802422	0.0667755	0.0936723	0.12246	0.100052	0.106927	0.0535899	0.0828563	0.0488688	0.0250542	0.0103148	0.00614638	0.00432465	0.00361094	0.00232623	0.00476713	0.00676801	0.00429666	0.00710062	0.00438125	0.0076028	0.00638217	0.0128961	0.00514161
ne	0.036305	0.0142682	0.00871739	0.0126309	0.0306446	0.0377335	0.116748	0.124157	0.159064	0.113397	0.0579881	0.036603	0.0188699	0.0160962	0.0152435	0.0144257	0.0102316	0.0112623	0.00865174	0.00778106	0.0110094	0.0108375	0.0228692	0.0156799	0.0168439	0.0175027	0.028301	0.00868766	0.0134577	0.00399085
veulent	0.083522	0.06326	0.0292594	0.0291569	0.0569805	0.0996751	0.0966283	0.0554965	0.0525495	0.0692947	0.0813833	0.0724566	0.0432115	0.0416002	0.02159	0.0155619	0.0124608	0.00511503	0.00513397	0.00352416	0.00467987	0.00535963	0.00559715	0.00612646	0.00581624	0.0054157	0.00661652	0.00465784	0.00534539	0.0125249
pas	0.0435171	0.0383906	0.0247278	0.0384431	0.0428959	0.0526243	0.0527832	0.0304711	0.022148	0.018758	0.0188922	0.0241048	0.0445322	0.0465676	0.0535505	0.0438534	0.0242505	0.0163071	0.0162108	0.00930942	0.0101803	0.0113121	0.0117879	0.0199995	0.0208902	0.032795	0.0293925	0.0486901	0.0521239	0.100491
s'	0.0680965	0.052117	0.0416738	0.0434493	0.0462202	0.0472542	0.0457637	0.0499556	0.036583	0.0258274	0.0250988	0.0191954	0.0178579	0.0200086	0.0220164	0.0271793	0.0275	0.0243987	0.0288535	0.0135152	0.0194176	0.0283478	0.0242003	0.0299063	0.0321476	0.0255656	0.0411964	0.0294977	0.0329577	0.0541985
exposer	0.0441401	0.0348646	0.029006	0.0287285	0.0320711	0.029722	0.0365743	0.0426723	0.0393651	0.0289472	0.0358549	0.0239799	0.0210833	0.0225902	0.0221775	0.0264792	0.0289819	0.0232828	0.0262235	0.018717	0.0231689	0.0347386	0.0311483	0.0411252	0.0434257	0.0409024	0.0646568	0.041562	0.0398745	0.0439364
au	0.0953808	0.0569744	0.0384816	0.0259341	0.0272993	0.0219693	0.0241227	0.0269877	0.018909	0.0157686	0.0174124	0.0137856	0.0124889	0.0141417	0.0129383	0.0149923	0.016853	0.0169718	0.0267168	0.0183485	0.027261	0.0398674	0.0356312	0.0441296	0.0506556	0.0465522	0.0769656	0.0518686	0.0492194	0.0613726
soleil	0.0426538	0.0216314	0.00790897	0.0070739	0.00837373	0.00636343	0.0101935	0.014514	0.0130837	0.0122393	0.0166543	0.0203715	0.0204582	0.021002	0.0213936	0.0205287	0.0238484	0.0295097	0.0370455	0.0367164	0.0447237	0.058982	0.0535211	0.0600699	0.0669545	0.0661426	0.0791406	0.0671003	0.0630824	0.0487188
</S>	0.0910717	0.0414794	0.0198586	0.0154297	0.0180677	0.0153997	0.0298914	0.0388765	0.0279265	0.0138754	0.0148621	0.0163287	0.0158837	0.0162642	0.0177967	0.0145255	0.0155466	0.0171305	0.0200226	0.0165883	0.0229218	0.0306105	0.0323321	0.044674	0.0530931	0.0477195	0.0825102	0.066628	0.0661739	0.0765114
