 	a66	a87	a23	a83	a9	a38	a54	a79	a56	a93	a15	a98	a47	a0	a21	a85	a92	a98	a79	a56	a75	a98	a79	a7	a44	a26	a57	a3	a97	a87	a23	a99	a87	</S>
ce	0.0432497	0.0544759	0.0315962	0.0252165	0.0454733	0.0297394	0.0314694	0.0296692	0.0217927	0.0179536	0.0142742	0.0179414	0.0293907	0.0342366	0.0433661	0.0221582	0.0254858	0.030352	0.0318838	0.0249987	0.024932	0.0190707	0.00831068	0.0134132	0.0305278	0.0200797	0.0246012	0.0456441	0.0357626	0.03858	0.034475	0.0323528	0.0245476	0.0429794
qui	0.0020081	0.00224189	0.00258092	0.00174787	0.00321792	0.0110697	0.0196615	0.0365701	0.0473039	0.0670478	0.0573777	0.0717177	0.0797221	0.0760463	0.0571121	0.0364088	0.063513	0.0529777	0.0771826	0.0353087	0.0437122	0.0433958	0.0260379	0.0131917	0.0269111	0.00968724	0.00269205	0.0059989	0.00337089	0.00351441	0.00393353	0.00328902	0.00628204	0.00716669
fait	0.0552805	0.0321923	0.0406923	0.0379956	0.0451862	0.0961386	0.0732816	0.0351417	0.0305948	0.0175489	0.0095022	0.00558225	0.00388137	0.0194702	0.0173621	0.0275087	0.0233419	0.0245571	0.0093651	0.00872703	0.0128075	0.0312243	0.0423963	0.0252209	0.0331625	0.0278969	0.0217989	0.0243453	0.0203677	0.0257094	0.0212515	0.0243341	0.0428555	0.0332786
le	0.0552476	0.0232084	0.0185212	0.0137803	0.0125047	0.0160391	0.0266001	0.0157291	0.0150418	0.0070871	0.00604541	0.0100735	0.0108061	0.0446883	0.0464844	0.030371	0.0338591	0.0343024	0.0322104	0.025725	0.0272035	0.0458141	0.0519053	0.0343712	0.0466159	0.0416057	0.0235918	0.039381	0.0348732	0.0349414	0.0356276	0.0346042	0.0353273	0.0358128
rythme	0.066433	0.0426396	0.0668188	0.0530018	0.0408476	0.0288001	0.0243626	0.0200573	0.0221521	0.023471	0.0304444	0.0609019	0.065393	0.0576332	0.0671473	0.0691928	0.043508	0.0467793	0.0329373	0.0198677	0.01316	0.0112151	0.00878864	0.0038208	0.00753447	0.00490468	0.00320225	0.010661	0.0076683	0.00880146	0.00537993	0.00757833	0.0120473	0.0128489
dans	0.0719337	0.0772992	0.0819855	0.0808936	0.0780621	0.0379614	0.0214802	0.012772	0.0115703	0.0125783	0.0148621	0.0129144	0.0125177	0.0199164	0.0270919	0.0115443	0.00912566	0.0180604	0.0104585	0.00837683	0.0213073	0.0244576	0.0264632	0.0194398	0.0159849	0.0271425	0.019273	0.0304157	0.0373059	0.0317348	0.0245905	0.0313866	0.0300951	0.0289988
la	0.0574057	0.0327441	0.0547303	0.0477316	0.0532636	0.0590619	0.0404408	0.0312863	0.0272889	0.024674	0.0246018	0.016605	0.0168267	0.0301624	0.0244626	0.014732	0.0111443	0.0157	0.00714737	0.00589369	0.00955402	0.0167088	0.0281169	0.015832	0.0245416	0.0312487	0.013673	0.0342564	0.0347351	0.0298565	0.0381626	0.0337583	0.0355982	0.0580551
danse	0.0421878	0.0383789	0.0479294	0.049412	0.0532707	0.0432541	0.0369613	0.0211813	0.0267034	0.0293887	0.0237355	0.0205264	0.0202861	0.0424168	0.0329198	0.0294028	0.0283059	0.0328125	0.0165911	0.0117207	0.0108658	0.0106493	0.0170832	0.0146042	0.0153668	0.0235785	0.0125479	0.0309774	0.0365537	0.03014	0.031193	0.0321162	0.0429016	0.0440369
ikango	0.0285942	0.0369869	0.0505948	0.0461172	0.0540221	0.0516976	0.047398	0.0411528	0.0371269	0.0307358	0.0243331	0.0188421	0.0125989	0.019561	0.0160486	0.0114477	0.00798003	0.0115575	0.00928273	0.0127399	0.0151032	0.0146828	0.0201668	0.0256138	0.0275829	0.0283886	0.0185966	0.0393511	0.0289768	0.03457	0.0319171	0.041497	0.0468732	0.0578624
c'	0.0568863	0.0520912	0.0384982	0.0295912	0.0327567	0.0384368	0.0309873	0.0292956	0.017021	0.0163496	0.0165036	0.0164035	0.0166186	0.0405487	0.0361487	0.0239042	0.0268258	0.024407	0.0150738	0.0131793	0.0121068	0.00978868	0.0186312	0.0162754	0.0250401	0.0231866	0.0145062	0.0561211	0.0559948	0.0409987	0.0461389	0.0340809	0.0396684	0.0359352
est	0.0519735	0.0506714	0.0335217	0.0312922	0.0480532	0.0609241	0.0327952	0.024466	0.0221795	0.0195353	0.0159979	0.0121861	0.0139401	0.0427262	0.0403904	0.0371274	0.0430427	0.0415149	0.0267611	0.0195564	0.0197285	0.021203	0.0262338	0.0181789	0.0197214	0.0147377	0.0145333	0.0298791	0.0319973	0.023751	0.028319	0.0224284	0.0332644	0.027369
le	0.0362798	0.0434117	0.0399056	0.0397735	0.052537	0.0521094	0.0539803	0.0391845	0.0333769	0.0299724	0.0188185	0.0166586	0.0152549	0.0439711	0.0360741	0.0363086	0.0409748	0.0340893	0.0190496	0.0177888	0.0186761	0.0230318	0.0262664	0.0251369	0.0257881	0.0120535	0.015096	0.0297094	0.0217199	0.0214066	0.020445	0.0171065	0.0250856	0.018959
son	0.0606624	0.0695789	0.0523085	0.0383944	0.0456202	0.0421791	0.0329347	0.02874	0.0333498	0.0345861	0.0215708	0.0134842	0.0157783	0.0488303	0.0401281	0.0226464	0.0196652	0.0205002	0.0199468	0.0168845	0.0169267	0.0223994	0.00995622	0.00741889	0.0098208	0.0117913	0.00448844	0.0305572	0.0287104	0.0274604	0.0325663	0.0322066	0.043134	0.0447744
