 	a66	a87	a23	a40	a7	a0	a75	a25	a15	a79	a20	a98	a15	a73	a56	a92	a37	a75	a85	a5	a36	a27	a82	a87	a23	a99	a97	</S>
le	0.0903198	0.0913776	0.0822153	0.0448206	0.0452174	0.0599229	0.021041	0.0136943	0.0170343	0.0173662	0.0203791	0.0281205	0.0351516	0.0163073	0.0103035	0.00990199	0.0147574	0.0145738	0.0178713	0.0319997	0.0371145	0.0357004	0.0503315	0.0384117	0.0309321	0.0347215	0.025457	0.0649559
bateau	0.00322445	0.0101927	0.0210783	0.0350122	0.166741	0.17834	0.157519	0.243358	0.0518953	0.0590037	0.00623857	0.0062346	0.0111435	0.00893161	0.00477992	0.00503873	0.00472341	0.00445656	0.00354283	0.00277423	0.00109781	0.00186193	0.00146935	0.0019391	0.00121361	0.00127253	0.00362736	0.0032896
est	0.0531529	0.0641283	0.0408328	0.0521999	0.0647097	0.0604644	0.0828875	0.0694195	0.0762009	0.0798209	0.0108551	0.0258965	0.0413076	0.0307232	0.0115131	0.00711174	0.0128729	0.00508152	0.0100096	0.0110321	0.00825093	0.0163906	0.0267399	0.0227208	0.033677	0.0386913	0.0249406	0.0183687
en	0.0110504	0.00591872	0.00316574	0.00495389	0.0062263	0.00617944	0.0259413	0.0224954	0.0467361	0.0573281	0.0413999	0.0745602	0.0829279	0.0756396	0.0700283	0.0717794	0.0297072	0.0284909	0.0221279	0.0303597	0.0476869	0.0211478	0.0297391	0.044999	0.0402715	0.0390334	0.028254	0.0318519
train	0.0136023	0.0152774	0.0143482	0.02146	0.0131692	0.0118042	0.0148909	0.0129278	0.0761189	0.0769991	0.122477	0.118945	0.0949999	0.0987431	0.0934486	0.0683723	0.0322794	0.0146978	0.0157764	0.017427	0.013988	0.00665542	0.00895259	0.00551648	0.00478351	0.0045305	0.00362145	0.00418753
de	0.0475089	0.0229089	0.0151798	0.00914662	0.00355616	0.00633217	0.00674915	0.00870195	0.00858066	0.0108655	0.0098717	0.0176627	0.014516	0.0108309	0.0183966	0.0200674	0.0612185	0.037185	0.0899612	0.0852893	0.0935045	0.0766456	0.0597646	0.0592008	0.0454181	0.0411119	0.0617668	0.0580585
vrombir	0.0179357	0.00736733	0.00504116	0.00804317	0.00460023	0.0119259	0.0382647	0.0621136	0.144313	0.126523	0.0918381	0.0900402	0.0970573	0.0575209	0.06228	0.0279703	0.0220974	0.0115111	0.0133209	0.0128086	0.0224987	0.0128818	0.0117589	0.0160932	0.00860425	0.00777896	0.00559282	0.00221811
au	0.0517213	0.02161	0.0113327	0.00909589	0.00155104	0.0045429	0.00866055	0.0099272	0.0124362	0.0103814	0.0107863	0.0117444	0.00649214	0.00724891	0.00741245	0.0112631	0.0236872	0.0324385	0.0360484	0.0468807	0.0842528	0.0495943	0.0690236	0.117334	0.087391	0.127095	0.0823986	0.0476488
fleuve	0.0142081	0.00660454	0.00271999	0.0018753	0.000664544	0.00196434	0.00375164	0.00580989	0.0089449	0.00847352	0.00789334	0.00978295	0.00931128	0.0117533	0.0117033	0.0143428	0.0277098	0.0312411	0.0341517	0.0639309	0.130202	0.0895678	0.0952396	0.120011	0.0866386	0.111804	0.0640323	0.0256681
</S>	0.0271484	0.0271	0.0200885	0.00855202	0.00668247	0.00605883	0.00610018	0.00510067	0.00771113	0.00729294	0.00630326	0.00769104	0.0090447	0.0133003	0.0193752	0.0367796	0.0566072	0.0311567	0.0489135	0.0660233	0.122561	0.0717455	0.0816001	0.0891649	0.054629	0.0583411	0.050484	0.0544443
