 	a85	a87	a23	a79	a76	a94	a32	a54	a30	a41	a24	a30	a41	a2	a40	a41	a36	a73	a35	a66	a35	a94	a66	a98	a73	a94	a98	a14	a73	a2	a57	a87	a23	a99	a20	a14	a41	a12	a43	a11	a76	a73	a94	a90	a94	a4	a57	a82	a53	a90	a4	a90	a57	a3	a87	a23	a87	</S>
le	0.0233959	0.0240683	0.0291908	0.0343049	0.027036	0.0252548	0.0187104	0.0209052	0.0151302	0.0112693	0.0181292	0.014216	0.00797526	0.0154655	0.0212971	0.0122527	0.0163413	0.0162976	0.0136854	0.0146939	0.00834752	0.00788541	0.00575794	0.00481697	0.00635122	0.00370338	0.00530119	0.00700466	0.00941769	0.00577278	0.00839921	0.00742828	0.00961395	0.0138228	0.0159968	0.0202332	0.0205381	0.0110517	0.00790999	0.00672726	0.00604979	0.00542776	0.003522	0.00460909	0.00367436	0.00456395	0.0104982	0.0142922	0.00822131	0.0214178	0.0143066	0.0164028	0.0217987	0.035763	0.0539947	0.0327212	0.0719141	0.105123
jardinier	0.00249002	0.00682074	0.0116679	0.0139227	0.0106994	0.011989	0.0253157	0.0258989	0.0153184	0.0273996	0.0279657	0.0231095	0.0340618	0.0304887	0.0381074	0.0292342	0.0388545	0.055727	0.0478404	0.0571568	0.0447804	0.0477554	0.0303481	0.0267375	0.0264313	0.0244	0.0362892	0.0331804	0.0331537	0.0194562	0.0195211	0.0202236	0.0161847	0.0135558	0.0141783	0.00884237	0.00677244	0.0023129	0.00396079	0.00174571	0.00466198	0.00259843	0.00367844	0.00296865	0.00266166	0.00257484	0.00415156	0.00178612	0.00269855	0.00217018	0.000884709	0.000705831	0.000725769	0.000435921	0.000777032	0.00069632	0.00102188	0.000903827
arrose	0.00516409	0.00829652	0.0103923	0.0124439	0.0159689	0.0257084	0.0400401	0.0368705	0.0260376	0.0490963	0.0524371	0.0377011	0.0642401	0.0742536	0.0670722	0.0639156	0.0700647	0.0333508	0.016826	0.0225394	0.0163324	0.0193048	0.0159548	0.0154298	0.0183311	0.0131642	0.0109906	0.0108346	0.0163975	0.00380639	0.00598618	0.00706315	0.00497104	0.00702184	0.00630913	0.00920239	0.00695421	0.0057119	0.0055769	0.00292416	0.0035209	0.00238019	0.0020079	0.00179502	0.00125192	0.00242086	0.00551322	0.00236808	0.00380904	0.00641085	0.00577865	0.00461722	0.00570093	0.00290934	0.00349257	0.00285939	0.00225479	0.00622283
les	0.0298957	0.0285465	0.0226216	0.0268413	0.035849	0.0240699	0.0204927	0.0179189	0.0161831	0.014903	0.0157727	0.0283102	0.0102667	0.0185915	0.0154497	0.0196052	0.0217067	0.0330446	0.0439125	0.034269	0.0328493	0.0325601	0.0307019	0.0254971	0.0336115	0.0292613	0.023107	0.0296681	0.0239816	0.00656832	0.0113097	0.00989015	0.00617279	0.00681939	0.00359061	0.00421846	0.00370251	0.00360466	0.00322527	0.00320363	0.00333135	0.00354212	0.00395313	0.00344007	0.00256576	0.00365064	0.00416131	0.00407773	0.00870211	0.00732103	0.0114673	0.0107294	0.00982154	0.0115011	0.0185949	0.0124985	0.0308215	0.0480264
légumes	0.03351	0.0169463	0.0193854	0.0102327	0.0103514	0.0195911	0.0226826	0.0274038	0.0345634	0.0283635	0.0215134	0.0318171	0.029398	0.0199074	0.0269575	0.0169406	0.0216834	0.0227356	0.0305377	0.0204216	0.0203492	0.0262987	0.0196287	0.0105876	0.0115483	0.018518	0.0218981	0.0205651	0.0221205	0.0205962	0.0193811	0.0192683	0.02026	0.0243977	0.0223332	0.0132149	0.0127204	0.00686864	0.00827221	0.00660966	0.00919308	0.00673283	0.00859015	0.00902452	0.00708425	0.00732719	0.0124875	0.0163521	0.0115933	0.013117	0.00529754	0.0106483	0.00938195	0.0101746	0.00871116	0.0107692	0.0150879	0.0180486
pour	0.0356107	0.0277797	0.0208018	0.0151191	0.0184221	0.020383	0.0127973	0.00805887	0.00832006	0.0136853	0.0105835	0.0143365	0.013216	0.0146403	0.0228518	0.0168166	0.030953	0.0200279	0.0261041	0.0102299	0.016211	0.0314411	0.0402532	0.031981	0.0280845	0.0449436	0.0280227	0.0266347	0.0217029	0.00723183	0.016768	0.0122942	0.0125758	0.0192642	0.0174584	0.0147848	0.0106453	0.013254	0.0061105	0.00416482	0.00471185	0.0026396	0.00159721	0.00248035	0.00228365	0.00401543	0.00565328	0.00488433	0.00986062	0.00840592	0.0116453	0.0181558	0.0189841	0.0156994	0.0275354	0.0201628	0.0226695	0.0540517
les	0.0238254	0.0116768	0.00795528	0.00767684	0.0123624	0.00837225	0.00662546	0.00553803	0.00426201	0.00555363	0.00190346	0.00248469	0.00489957	0.00643928	0.0114797	0.0130634	0.0125062	0.0137333	0.0178313	0.0119205	0.0165145	0.0190891	0.0338694	0.0240509	0.0228303	0.030442	0.0312272	0.0349117	0.023554	0.0115503	0.0244462	0.0297064	0.0324211	0.0372364	0.0339496	0.0281133	0.0195657	0.0276765	0.0149052	0.0138609	0.0194854	0.0140135	0.00797644	0.012731	0.0115731	0.0222627	0.0175333	0.0178642	0.0185049	0.0158915	0.0108211	0.0136063	0.0186848	0.0146618	0.019939	0.0239419	0.01386	0.0266191
faire	0.0132041	0.00411883	0.00369324	0.00440786	0.00336544	0.00207728	0.00241866	0.00417373	0.00252284	0.002392	0.00191843	0.00415532	0.00432561	0.00597927	0.0142756	0.0177155	0.0249634	0.0184017	0.0174373	0.0169557	0.034692	0.0431833	0.067733	0.0466554	0.040915	0.064154	0.0371443	0.0212318	0.0326011	0.0163414	0.0315988	0.0245847	0.0200783	0.03034	0.0267164	0.0275539	0.0222788	0.0237386	0.0207425	0.0196486	0.0205609	0.0106907	0.00910163	0.0119726	0.0115923	0.0150433	0.0200257	0.0174597	0.012628	0.0103384	0.00707368	0.00459884	0.00884794	0.00489212	0.00370096	0.00459797	0.00234039	0.0041014
pousser	0.0363424	0.0157963	0.00878605	0.00919772	0.00453949	0.00338884	0.00297366	0.00325303	0.00277776	0.00315237	0.00211477	0.00263962	0.00588712	0.00415537	0.0122881	0.0149464	0.0177453	0.0201349	0.0126128	0.0133936	0.0193143	0.0168618	0.0345443	0.0234801	0.0241949	0.0360514	0.0311569	0.0503803	0.0182544	0.0147564	0.0235016	0.0109663	0.021957	0.0223503	0.0233269	0.0297438	0.0220957	0.0264107	0.019249	0.0150389	0.0133435	0.00951206	0.0128757	0.0118414	0.00849121	0.00854495	0.0112498	0.0140794	0.0186806	0.0173221	0.0217156	0.0159907	0.023127	0.0234007	0.0249871	0.0280186	0.0185201	0.0385386
plus	0.0204896	0.0119663	0.0115868	0.0132805	0.00535778	0.00193917	0.00153118	0.00137337	0.000954976	0.000680604	0.00058389	0.000633841	0.000618456	0.000844956	0.00216938	0.00151689	0.00147172	0.00123741	0.00208499	0.00109029	0.00160647	0.00239757	0.00451673	0.0047949	0.00301142	0.00541297	0.00493686	0.00603568	0.00518368	0.00253354	0.00636017	0.0049406	0.00688102	0.00791318	0.011178	0.0167049	0.0122711	0.00929085	0.00435932	0.00576047	0.00499571	0.00471183	0.0029936	0.00556326	0.0059308	0.00892277	0.0169478	0.0258233	0.0354567	0.0495397	0.0645654	0.0655591	0.0801779	0.1086	0.0733003	0.0755278	0.0609289	0.102954
