 	a23	a53	a20	a30	a44	a26	a38	a41	a24	a88	a24	a76	a44	a57	a38	a35	a66	a75	a35	a76	a90	a84	a38	a41	a35	a14	a73	a90	a76	a73	a57	a87	a23	a87	</S>
il	0.0102256	0.0195671	0.0289198	0.0912757	0.0928747	0.135872	0.0841872	0.130021	0.0416845	0.0339791	0.0236337	0.0264024	0.0137816	0.0404915	0.00614107	0.00614007	0.0137395	0.0038466	0.00207538	0.00336404	0.00389777	0.00275592	0.00393847	0.00539065	0.00461916	0.00752178	0.00469914	0.0107705	0.0195909	0.0184163	0.023198	0.0308983	0.0165783	0.0151891	0.0243131
a	0.00209988	0.00244631	0.00465559	0.00656638	0.00795088	0.0332695	0.0327371	0.0507782	0.0360084	0.0368776	0.0173394	0.0238753	0.0309681	0.0526746	0.0387506	0.0313213	0.0720808	0.050408	0.0523832	0.0462106	0.0320052	0.0238667	0.0121314	0.00677984	0.00661349	0.00770156	0.0102371	0.0146293	0.0138689	0.0267803	0.0328228	0.0345374	0.0523276	0.051377	0.0449196
accepté	0.0113586	0.0100174	0.0127984	0.0189767	0.0482978	0.0233773	0.0334462	0.0246313	0.039114	0.0546107	0.0359759	0.0430462	0.0344802	0.0510225	0.0209482	0.0114271	0.0109616	0.00770141	0.0081123	0.00771505	0.00235016	0.00235302	0.00271826	0.00432794	0.00576021	0.00636578	0.0156459	0.0159589	0.0326553	0.0391417	0.0500523	0.0511118	0.088113	0.0742131	0.101214
le	0.0710388	0.0404945	0.0369578	0.0548285	0.110462	0.0469582	0.0227577	0.0438181	0.0455737	0.0469895	0.0300428	0.0441825	0.0200373	0.0193136	0.0147305	0.0226072	0.0133887	0.0194211	0.0459244	0.0207999	0.0139117	0.0322477	0.0304531	0.0276587	0.0136475	0.0185343	0.011204	0.00916157	0.00885894	0.00746387	0.00988955	0.00671728	0.00792355	0.0128191	0.0191823
vêtement	0.0269369	0.0128827	0.0119467	0.00724854	0.0141718	0.0210933	0.0393356	0.0148287	0.0388923	0.0395882	0.0723154	0.071242	0.07337	0.0362365	0.0534163	0.0691561	0.0397451	0.0330111	0.0471395	0.0262194	0.0264888	0.0242556	0.0162502	0.0179309	0.0129602	0.0257841	0.0174543	0.0159649	0.015087	0.00916568	0.0140417	0.0147391	0.01322	0.0130616	0.01482
que	0.00805579	0.0065561	0.00803989	0.0279615	0.0238334	0.0794133	0.0813402	0.0825787	0.0834748	0.101689	0.0516669	0.0377533	0.0278154	0.0186986	0.0120199	0.0172486	0.0200301	0.0102306	0.0146703	0.0213643	0.0141641	0.015893	0.00905343	0.00868471	0.00439686	0.0124812	0.00366123	0.00740388	0.0161749	0.019315	0.0217795	0.0203018	0.0296421	0.0399203	0.0426872
je	0.0189957	0.0116236	0.0124458	0.0124361	0.0092759	0.0215303	0.0285097	0.0548592	0.0345712	0.145658	0.0246239	0.0276441	0.0299172	0.0194961	0.0104041	0.0114129	0.0180747	0.0180376	0.0184805	0.0341011	0.0246565	0.0138006	0.0103404	0.00924336	0.00507371	0.0167423	0.013235	0.0131443	0.0171524	0.0290236	0.0317401	0.0241476	0.068604	0.0791471	0.0818511
lui	0.02708	0.0207403	0.0230863	0.01576	0.00828915	0.0157438	0.0186265	0.0278617	0.0214985	0.0420449	0.0068537	0.0116812	0.018096	0.0111272	0.00293216	0.0031946	0.00657137	0.00656485	0.0149541	0.0348836	0.055379	0.0689314	0.0374523	0.0529982	0.0187031	0.0461917	0.0390588	0.0428186	0.0455902	0.0601774	0.0478088	0.037773	0.0346643	0.0451737	0.0296899
ai	0.0238244	0.0186174	0.024634	0.0105883	0.0117449	0.0117401	0.0114446	0.00852862	0.00592392	0.00950814	0.00433429	0.0037658	0.00572816	0.00345679	0.00199922	0.00337888	0.00318911	0.0033577	0.0089174	0.00955849	0.0160681	0.0295521	0.0295017	0.0529329	0.0436953	0.0626065	0.0491875	0.0530284	0.0527113	0.0509048	0.0588469	0.0645507	0.0778039	0.0827472	0.0916223
donné	0.0277153	0.0273344	0.0326867	0.0229092	0.0264719	0.0164683	0.0182487	0.0178775	0.00999102	0.0210877	0.00769393	0.00892529	0.0108003	0.00738257	0.00461107	0.00799894	0.00585156	0.00675398	0.00946524	0.0102276	0.00851429	0.0116631	0.012983	0.0165734	0.0198544	0.0382583	0.0235847	0.0280957	0.0333285	0.0318341	0.0496917	0.0624957	0.108293	0.0840062	0.170322
</S>	0.0149697	0.011869	0.0138062	0.0102516	0.00948034	0.011051	0.0187641	0.0112137	0.0114004	0.0172172	0.0099956	0.00773384	0.0103086	0.00638568	0.00633628	0.00711115	0.00763825	0.00887601	0.00737714	0.00841123	0.00466647	0.00384362	0.00559333	0.00545965	0.00738853	0.0177174	0.0105772	0.0187867	0.0298781	0.0340104	0.0528763	0.0723207	0.143191	0.114161	0.269333
