 	a23	a54	a73	a94	a76	a73	a94	a98	a71	a9	a38	a24	a96	a90	a76	a69	a58	a84	a87	a23	a40	a20	a32	a90	a32	a76	a73	a44	a58	a11	a90	a57	a82	a57	a53	a4	a57	a82	a87	a23	a87	</S>
les	0.0419379	0.0493164	0.0515146	0.0682945	0.0736212	0.055454	0.0397887	0.0506873	0.0253817	0.0365326	0.0309771	0.029542	0.0156682	0.016394	0.0171695	0.00805404	0.00934848	0.00846356	0.00692657	0.0108002	0.00953853	0.0124704	0.00923928	0.00955473	0.00788055	0.0127237	0.00847095	0.00664718	0.00605316	0.00983849	0.00631076	0.00955087	0.011734	0.012424	0.0209832	0.022306	0.0341685	0.0476415	0.0343763	0.0170077	0.0181101	0.0270974
uns	0.0106166	0.0134711	0.0155561	0.0206113	0.02882	0.0486862	0.0369509	0.0290888	0.0349374	0.0321099	0.024806	0.0280921	0.0510279	0.0340308	0.041279	0.0370326	0.0509086	0.0353681	0.0528247	0.0661287	0.0474294	0.0301541	0.0208363	0.0239993	0.016503	0.0232173	0.00966135	0.0147882	0.0123777	0.018147	0.00920109	0.00649787	0.0103166	0.00793425	0.00405248	0.00531343	0.0038702	0.00412866	0.00904404	0.0120987	0.0117973	0.00628506
sont	0.0254172	0.0194919	0.0312167	0.0728787	0.076659	0.0872331	0.0547385	0.0454745	0.0301598	0.0333099	0.0180348	0.0128554	0.0256056	0.0194798	0.0118571	0.0106218	0.0109115	0.00747822	0.00839001	0.00906924	0.00706097	0.00911232	0.00857648	0.0102829	0.00869613	0.0107999	0.0109741	0.00897965	0.0119615	0.00960512	0.0214048	0.0207907	0.0240685	0.043784	0.0311159	0.0338493	0.0236075	0.0241061	0.0182346	0.0202013	0.0165923	0.015313
allés	0.0110737	0.00969008	0.0100154	0.0127957	0.00976189	0.0197279	0.0269925	0.0377986	0.0332135	0.04955	0.0495175	0.0817708	0.0536804	0.0572864	0.0458455	0.0386346	0.0314174	0.0410439	0.0290973	0.032905	0.0384667	0.0270362	0.04133	0.029022	0.0265089	0.0178255	0.018823	0.0185347	0.00926549	0.00858729	0.0147608	0.0087588	0.00870322	0.00801759	0.00813318	0.00926003	0.00487274	0.00383884	0.00671958	0.00307022	0.00417078	0.00247641
à	0.0288817	0.0160394	0.0151284	0.0154467	0.0155796	0.0210198	0.0166901	0.0204481	0.0232039	0.0228866	0.0259647	0.0287713	0.0317898	0.0383351	0.0479668	0.0348044	0.0288014	0.0323071	0.0285603	0.0272247	0.0299999	0.0274242	0.0161213	0.0240796	0.02178	0.0225112	0.0283104	0.0170874	0.0164444	0.0158655	0.0233015	0.0153871	0.0115071	0.0136572	0.0204288	0.0246779	0.0288929	0.0291378	0.0268682	0.0161509	0.0149228	0.0355939
la	0.0343483	0.0267748	0.0208217	0.0169901	0.0141022	0.0131853	0.0121987	0.0155604	0.0143827	0.0173324	0.0162582	0.0233356	0.0192059	0.0278254	0.0274308	0.0210566	0.0191574	0.0354909	0.0290456	0.0286629	0.0208906	0.0207837	0.0181835	0.0223078	0.0266923	0.0176628	0.0301563	0.026375	0.0217924	0.0174018	0.0215673	0.0217239	0.0231312	0.0233189	0.0252695	0.0290621	0.0303784	0.042087	0.0320418	0.0275707	0.0288095	0.0396279
pêche	0.0140017	0.00921268	0.00841715	0.00629226	0.00750198	0.00946052	0.00779206	0.0162258	0.0164716	0.0217511	0.0252166	0.0217896	0.0332847	0.0354972	0.0366233	0.0291974	0.0288098	0.031848	0.0378099	0.0382168	0.030705	0.035498	0.0260026	0.0395595	0.0343286	0.0344465	0.0328559	0.0351499	0.0353778	0.0291447	0.0357826	0.0319776	0.029573	0.0212218	0.0166288	0.0291952	0.0144733	0.0149226	0.0138648	0.00859107	0.0107039	0.00457668
et	0.0578926	0.0461187	0.0470039	0.0261686	0.0323079	0.0442802	0.0251532	0.0356044	0.0173911	0.0239112	0.0187473	0.0140054	0.0187729	0.0196741	0.021783	0.0108234	0.0120477	0.0188573	0.0206098	0.0292536	0.0142763	0.0160654	0.00807413	0.012209	0.00960855	0.0213803	0.0134014	0.0193699	0.0216349	0.023318	0.0194513	0.0191299	0.0185362	0.0149444	0.0119726	0.035389	0.0177136	0.0377976	0.0310811	0.0207722	0.0280082	0.0454596
les	0.0149636	0.00901861	0.00933812	0.00688406	0.00906735	0.0124339	0.00771743	0.0149408	0.0123103	0.0160012	0.0204882	0.0270707	0.0351909	0.0452607	0.0438155	0.0263173	0.0227492	0.0412886	0.0338041	0.0399422	0.0229055	0.0203499	0.0223697	0.0224097	0.0187702	0.0408651	0.0212867	0.02423	0.0256865	0.023355	0.0290567	0.0219462	0.0230582	0.022895	0.0179013	0.0367962	0.0121804	0.028147	0.0318029	0.0202722	0.0340657	0.0310471
autres	0.0232878	0.018103	0.0158003	0.0122915	0.0137246	0.0144474	0.0121899	0.0129018	0.0144136	0.0132084	0.0199241	0.0175559	0.0251827	0.0419333	0.0441379	0.0257527	0.0218745	0.0459698	0.0347636	0.0348613	0.0273876	0.0186503	0.0144101	0.0222816	0.0215114	0.0224479	0.021057	0.0204908	0.0262997	0.0248071	0.0258896	0.0276266	0.0295423	0.0276991	0.0216703	0.0274918	0.0142144	0.0237291	0.0240848	0.0228355	0.0328262	0.0407223
au	0.0323795	0.0300122	0.0251154	0.0185252	0.02009	0.0160794	0.0126391	0.0110744	0.0102943	0.00919899	0.0175088	0.0157023	0.0213345	0.0217639	0.019968	0.015496	0.0158516	0.02125	0.0172949	0.0193386	0.0137241	0.0159374	0.00838435	0.0110567	0.00884644	0.0111665	0.00870181	0.0121056	0.0178111	0.015006	0.0162321	0.0175166	0.0287573	0.0281439	0.046221	0.0443638	0.029653	0.0647164	0.0634545	0.0473432	0.0675924	0.0523486
village	0.0338794	0.0443879	0.0439257	0.0299279	0.034989	0.0176679	0.0132613	0.0114638	0.0115178	0.0134722	0.0163967	0.0128351	0.0198928	0.0207927	0.0186975	0.0226878	0.0245274	0.030656	0.0286732	0.0240758	0.0225578	0.0147367	0.00671691	0.00805374	0.00861073	0.0104405	0.00667615	0.0152282	0.0173044	0.0163811	0.0145196	0.0142707	0.0202673	0.0168868	0.0260806	0.0261707	0.0235454	0.0576425	0.056208	0.0366235	0.0493654	0.0579853
</S>	0.0201025	0.0183763	0.0149196	0.0145448	0.0156593	0.00662066	0.00693115	0.00806011	0.00878231	0.0137529	0.0260291	0.0255436	0.0235868	0.0198558	0.0151157	0.0128976	0.017143	0.0123532	0.0127749	0.0133722	0.00881174	0.0123234	0.00649243	0.00773	0.00792212	0.00973451	0.00848943	0.0178967	0.0253862	0.0215926	0.0247918	0.031406	0.0422246	0.0427074	0.0707497	0.0378958	0.0441543	0.0685811	0.0922535	0.0345328	0.0471774	0.0307251
