 	a23	a87	a97	a99	a97	a99	a83	a75	a92	a79	a7	a90	a98	a92	a21	a37	a56	a44	a58	a53	a90	a4	a96	a43	a62	a47	a31	a47	a62	a96	a62	a0	a93	a4	a13	a4	a13	a38	a30	a97	a3	a97	a3	</S>
hier	0.049493	0.0518145	0.0392136	0.0325528	0.0247267	0.0360125	0.033679	0.0327247	0.0609756	0.0590125	0.124712	0.0769666	0.0537565	0.0267132	0.0155787	0.0133075	0.00735897	0.00775579	0.00585943	0.00366647	0.00600956	0.0147499	0.0170046	0.0135174	0.0147803	0.0174075	0.0165077	0.0149706	0.0125683	0.00787005	0.00651822	0.00828536	0.0042858	0.00374466	0.00477555	0.00535491	0.00567409	0.00426738	0.00518408	0.00488863	0.00669611	0.0108645	0.0118239	0.0263704
soir	0.0117306	0.0092268	0.0106151	0.00988603	0.0100348	0.0180543	0.0256762	0.0274109	0.0259281	0.0301757	0.0703145	0.0522626	0.0626203	0.0281864	0.0475218	0.0161163	0.0379994	0.0285759	0.0229557	0.0238683	0.0228531	0.0236247	0.0160717	0.00933977	0.00620982	0.0081567	0.0100252	0.00552319	0.00699645	0.0077354	0.00976379	0.00954166	0.0168503	0.012243	0.0271534	0.0168198	0.0235886	0.0274666	0.0210996	0.0382847	0.0291839	0.0224377	0.0323908	0.0274806
nous	0.0327799	0.0166691	0.0127938	0.0107236	0.008107	0.0094606	0.0104897	0.0137226	0.0124556	0.0104885	0.0173213	0.0193673	0.0256139	0.0354038	0.0923293	0.0283658	0.0952577	0.0541015	0.0619474	0.056001	0.0407754	0.0211814	0.0112347	0.0154637	0.00671163	0.00820234	0.00799522	0.00852057	0.0100352	0.00905727	0.0060388	0.00550721	0.0042101	0.00367821	0.00655686	0.00569603	0.0137231	0.0153891	0.0173577	0.0192839	0.0222428	0.0237445	0.0478563	0.0461388
nous	0.0421868	0.0542781	0.0560368	0.0427889	0.0374735	0.0275528	0.0119516	0.0178635	0.0204511	0.0349185	0.00616702	0.0138236	0.0275697	0.0192252	0.0263722	0.0144471	0.0228571	0.0125745	0.0190042	0.0162676	0.0183934	0.017815	0.0191915	0.0173831	0.0174481	0.0146096	0.0120435	0.0158799	0.0188454	0.0242082	0.0308521	0.0216729	0.0414092	0.016739	0.0104717	0.0182413	0.0133086	0.0188437	0.0176089	0.0175575	0.0202307	0.0263352	0.0242349	0.0228667
sommes	0.0660684	0.0531861	0.0467774	0.0379959	0.0349611	0.0218049	0.0144127	0.0189491	0.0245623	0.0356733	0.0157377	0.0170957	0.023507	0.0187124	0.0156729	0.0159723	0.0132683	0.013647	0.0204562	0.0136835	0.02206	0.0316057	0.0336911	0.0259024	0.0273848	0.0215815	0.01505	0.0253912	0.0221565	0.0225229	0.0243598	0.0247284	0.0177151	0.0150231	0.00940976	0.0119939	0.0107502	0.0101097	0.0085606	0.017464	0.0232643	0.0165273	0.0197919	0.0208115
égarés	0.0680621	0.0482272	0.0426049	0.0346821	0.0335943	0.0319937	0.0189349	0.0177471	0.0161128	0.0214934	0.0192605	0.0346965	0.0190962	0.0168938	0.0124399	0.0121661	0.0122025	0.0111897	0.0157511	0.014231	0.016298	0.0276151	0.0381772	0.0356599	0.0285157	0.0256387	0.0227604	0.0290778	0.0255635	0.0247023	0.0195313	0.0232069	0.0127467	0.0218343	0.0182406	0.0159136	0.0177681	0.0151887	0.019155	0.0120781	0.0173135	0.00995732	0.00793518	0.0137422
dans	0.0861632	0.0569866	0.0405763	0.032332	0.0331285	0.0306878	0.0291151	0.0229274	0.0284548	0.0293895	0.0248747	0.022173	0.0161637	0.0104867	0.0117185	0.00721387	0.0106822	0.00827211	0.011696	0.0116015	0.0108481	0.0173569	0.0159986	0.0184582	0.0165985	0.0174172	0.0162982	0.0262135	0.0265701	0.023477	0.0274163	0.0231971	0.0131964	0.0245652	0.0200207	0.0214817	0.0149776	0.0171714	0.0228297	0.0205817	0.0207369	0.0167881	0.0168703	0.0262872
la	0.0736073	0.059745	0.044099	0.0254033	0.0211662	0.0176837	0.018556	0.0162799	0.0149243	0.0200465	0.0217785	0.0212186	0.0305698	0.0294049	0.0311697	0.0212392	0.024844	0.0149888	0.00896112	0.0114854	0.00999545	0.011792	0.00669908	0.00979249	0.0096493	0.00753495	0.00889919	0.0189869	0.0210628	0.0119562	0.0105183	0.0113374	0.0102027	0.0153116	0.0209158	0.0246538	0.0255384	0.0229356	0.0277288	0.0327283	0.034534	0.0362732	0.0505599	0.0332229
forêt	0.0381958	0.0232339	0.0196561	0.0144947	0.0178759	0.0153916	0.0204583	0.0137231	0.0245762	0.0175514	0.0405809	0.0230342	0.0225675	0.015609	0.0114708	0.0153651	0.0169099	0.0147688	0.023332	0.0205136	0.0229708	0.0261618	0.0287793	0.031322	0.0338196	0.027191	0.0255879	0.027736	0.0281369	0.02838	0.034213	0.0238328	0.0150987	0.0147871	0.0178857	0.0174419	0.0276131	0.0174602	0.0228219	0.0200144	0.0249674	0.0247671	0.0242382	0.0254644
</S>	0.0634184	0.0213152	0.0104466	0.00845726	0.00441897	0.00731779	0.00413965	0.00366289	0.00349142	0.00355151	0.00669215	0.00772217	0.00975419	0.0106952	0.00958964	0.00790494	0.00675163	0.00729687	0.00511031	0.0052137	0.00792052	0.0172126	0.0161146	0.019886	0.0207929	0.0167695	0.0121189	0.027575	0.0299476	0.0141652	0.00986591	0.0109473	0.00825003	0.0117712	0.0185443	0.0298009	0.0335677	0.0306438	0.0502756	0.0704696	0.0657269	0.0709712	0.105613	0.0940998
