 	a66	a87	a23	a18	a88	a31	a18	a62	a88	a75	a98	a92	a37	a25	a69	a98	a79	a56	a12	a75	a85	a92	a7	a26	a57	a87	a23	a87	</S>
j'	0.0424106	0.0373741	0.0364685	0.019874	0.0192703	0.0183597	0.0236122	0.0165921	0.0158069	0.0163822	0.0135689	0.0169452	0.0170463	0.0167476	0.017135	0.0162917	0.0153537	0.0173932	0.0260901	0.0518104	0.044565	0.0565858	0.0719279	0.0595571	0.0594555	0.0563143	0.0586222	0.0522334	0.0862062
ai	0.0610827	0.0599496	0.0686565	0.0556957	0.0488837	0.0391278	0.0296751	0.0283142	0.0232396	0.0406995	0.0171765	0.0182615	0.0163272	0.0328772	0.0173935	0.0293991	0.0351327	0.0400221	0.0402707	0.0322765	0.0508413	0.0308215	0.0373514	0.0264644	0.0226004	0.0248623	0.020405	0.0294125	0.0227799
besoin	0.0287114	0.0307214	0.0491095	0.0501758	0.0435231	0.028693	0.0464285	0.0351416	0.0342449	0.0523229	0.0349063	0.0347147	0.0274954	0.0482146	0.0388447	0.0343313	0.0266824	0.0271237	0.0290575	0.03466	0.0362744	0.0195894	0.0240558	0.0288841	0.023954	0.0337523	0.02373	0.0509247	0.0237323
du	0.0409043	0.0204875	0.0155079	0.011261	0.0124952	0.0115209	0.0139279	0.0239024	0.019798	0.0116852	0.0159818	0.03591	0.0280995	0.0415704	0.041427	0.0461714	0.052499	0.0566589	0.0413379	0.0268555	0.0295747	0.0193176	0.0297564	0.0492499	0.0432673	0.047369	0.0427931	0.0638747	0.106796
sel	0.0470969	0.0305166	0.0340003	0.0677869	0.0671764	0.0599734	0.0614863	0.0526627	0.056462	0.0450896	0.0449083	0.0475704	0.0474329	0.0512158	0.0435302	0.0256361	0.00978444	0.0075129	0.0156786	0.015749	0.0118819	0.0147101	0.0161674	0.0233084	0.0196202	0.0175538	0.0179535	0.0249924	0.0225424
pour	0.0934829	0.0741902	0.0667809	0.0941184	0.0837094	0.0501876	0.0502139	0.0427155	0.0169232	0.00469657	0.00262811	0.00333837	0.00380554	0.004549	0.00330791	0.00333579	0.00296942	0.00453409	0.0142205	0.0135202	0.0162608	0.0208397	0.0207239	0.0318388	0.0367794	0.045931	0.0436108	0.0471576	0.103631
préparer	0.0512502	0.0525802	0.0561057	0.0823317	0.062546	0.0586876	0.0299362	0.0513034	0.0246601	0.00895515	0.00497221	0.0104397	0.00518298	0.0155511	0.0166528	0.0093556	0.0131426	0.0166362	0.0179744	0.0225568	0.0168005	0.0166045	0.0209795	0.0339498	0.0379298	0.0406774	0.0467791	0.0681217	0.107337
la	0.0540079	0.042662	0.049509	0.0395981	0.0361229	0.0376681	0.0154948	0.0243315	0.0189401	0.0139701	0.00701607	0.00938149	0.00957341	0.00969253	0.00978089	0.00659219	0.00687834	0.00918774	0.00992573	0.0144472	0.0107682	0.0182151	0.0275105	0.0603466	0.063538	0.0592511	0.069683	0.106466	0.159441
nourriture	0.0433885	0.0321661	0.0336182	0.044232	0.0437934	0.0395425	0.0273451	0.0417751	0.0225351	0.0134828	0.00575963	0.00632366	0.00564917	0.00693461	0.00581253	0.0050638	0.00742355	0.0100368	0.0146829	0.0158448	0.0132714	0.0154849	0.0187101	0.0470293	0.0528796	0.054921	0.0663943	0.0961431	0.209756
</S>	0.0188489	0.00815655	0.00688925	0.00563587	0.00440844	0.0035245	0.00252604	0.00498721	0.00273921	0.00172257	0.000959303	0.00204717	0.00122492	0.0019317	0.0017005	0.00131091	0.00143932	0.00246081	0.00736654	0.0197055	0.0229432	0.0533787	0.0808509	0.12153	0.130804	0.1212	0.123747	0.118338	0.127623
