 	a66	a87	a23	a87	a23	a53	a15	a6	a0	a47	a96	a62	a88	a71	a9	a38	a5	a18	a21	a25	a79	a69	a44	a75	a5	a18	a0	a11	a54	a36	a27	a57	a87	a23	a87	</S>
ma	0.0278027	0.0460402	0.0198869	0.0188162	0.0454676	0.076718	0.105182	0.11496	0.096395	0.0645789	0.0326139	0.0407742	0.0142507	0.0186137	0.00545315	0.00693525	0.00420237	0.00395686	0.00463378	0.00302335	0.00235723	0.0023387	0.0024347	0.00280367	0.00502582	0.0102411	0.0181986	0.0220411	0.0224635	0.0221171	0.0251365	0.0257659	0.0226125	0.02275	0.0216287	0.0217799
mère	0.00905391	0.0156184	0.0239283	0.046935	0.0763301	0.104369	0.167583	0.0841708	0.0269824	0.0153761	0.0258794	0.0455305	0.0248801	0.0119406	0.0191206	0.0336248	0.022683	0.0217633	0.0204301	0.0328755	0.0272303	0.0236051	0.0103938	0.00661686	0.00376901	0.00677672	0.0128898	0.0158836	0.00542221	0.00649946	0.00915102	0.00627931	0.00702079	0.00669895	0.0172238	0.00546479
a	0.0213231	0.0209948	0.0203559	0.0191889	0.0251608	0.0239596	0.0234358	0.0562644	0.0471022	0.0239583	0.0422672	0.0602979	0.0618475	0.0780493	0.0753226	0.0460759	0.0585027	0.026833	0.0496313	0.0306551	0.0185896	0.0129162	0.00849914	0.00963813	0.00643161	0.00851716	0.00701197	0.0108409	0.0104537	0.0125032	0.010243	0.0112609	0.0130037	0.0141791	0.0235505	0.0111347
lancé	0.0307797	0.0103317	0.013363	0.0337983	0.0253985	0.0376715	0.020196	0.0428149	0.0452123	0.0557975	0.0501695	0.0406475	0.0201615	0.0228653	0.0209842	0.0257587	0.0268003	0.0175488	0.0161809	0.026787	0.017456	0.0193186	0.0123904	0.0158431	0.0126063	0.017188	0.0123574	0.0174012	0.023247	0.0361639	0.0314285	0.0371853	0.0404727	0.0378339	0.0347471	0.0510934
un	0.0619069	0.0378507	0.0237997	0.0241676	0.0204802	0.0156694	0.0312349	0.0366478	0.0383826	0.028316	0.0148046	0.0234237	0.0169763	0.0286424	0.0298103	0.020436	0.00746691	0.00459637	0.0117625	0.00640574	0.00519031	0.00468593	0.0108204	0.0200777	0.0203288	0.0333913	0.0285311	0.0366123	0.0203119	0.0314063	0.0463747	0.0431158	0.0470054	0.052467	0.0460141	0.0708866
cri	0.0157314	0.00819111	0.00619468	0.00444921	0.00513716	0.00838843	0.0148171	0.0316705	0.0473887	0.0697447	0.052474	0.060043	0.0747399	0.0696806	0.0958092	0.0536731	0.0627816	0.043	0.0560243	0.0192616	0.0162984	0.0124667	0.0128616	0.0187745	0.0115257	0.0148494	0.0140974	0.0116053	0.0100326	0.0122232	0.00873321	0.0102441	0.0091461	0.0120878	0.0119451	0.0139086
d'	0.0456326	0.0431674	0.0189885	0.017379	0.0252465	0.019563	0.0418228	0.0737277	0.0706877	0.0570519	0.0389357	0.0378853	0.0275153	0.0494715	0.0560297	0.020673	0.00990342	0.00526412	0.0103531	0.00302391	0.00202309	0.00153505	0.00367049	0.00512343	0.00758758	0.0119176	0.0145375	0.0118915	0.018273	0.0239003	0.0303337	0.0255031	0.0332007	0.0393408	0.0489865	0.0498535
étonnement	0.0364371	0.0129898	0.00956785	0.0104696	0.00729884	0.0073953	0.0100901	0.0182728	0.029792	0.0263511	0.0208414	0.0182061	0.03681	0.048575	0.0263381	0.0158894	0.0168179	0.0116615	0.0283041	0.0183922	0.0189784	0.0239482	0.0290148	0.0211014	0.012358	0.022924	0.0225824	0.0237861	0.0331843	0.0548605	0.0563129	0.0590945	0.0650913	0.0623259	0.0470242	0.0369127
en	0.0127458	0.00776019	0.0061396	0.00379217	0.00405877	0.00421606	0.00566866	0.019766	0.0321686	0.039676	0.0347373	0.0264468	0.0266279	0.0334628	0.0197943	0.0162217	0.0175821	0.0155794	0.0212084	0.0143561	0.0111699	0.0100366	0.0143433	0.0113436	0.0149431	0.0194376	0.0229797	0.018929	0.0324376	0.0352281	0.0664084	0.0596933	0.0726061	0.0833055	0.0843777	0.0807518
me	0.00610405	0.00526907	0.00577899	0.00613118	0.0037189	0.00347721	0.0065683	0.01679	0.0174479	0.0224964	0.0220709	0.0230586	0.0303445	0.0272603	0.0285218	0.0301224	0.0309047	0.0282683	0.0273639	0.0199628	0.0196431	0.0166567	0.0203808	0.0166811	0.0183597	0.0230562	0.021677	0.022604	0.0308986	0.0414779	0.0538785	0.0665961	0.0595791	0.0791558	0.0674924	0.0802029
