 	a66	a87	a23	a99	a30	a13	a88	a94	a54	a6	a0	a54	a47	a98	a47	a36	a37	a12	a61	a70	a75	a98	a79	a7	a0	a90	a79	a44	a58	a82	a87	</S>
a	0.0370556	0.040488	0.0490638	0.0516102	0.0279002	0.0431284	0.0411194	0.0471967	0.025049	0.0245931	0.0242808	0.026832	0.0247083	0.0319675	0.0214973	0.0159902	0.0177334	0.0110471	0.0151901	0.0117828	0.0212186	0.0332842	0.0262403	0.0336958	0.0401168	0.0345024	0.0490597	0.038135	0.0298102	0.0316128	0.0258291	0.0482612
obongui	0.0306931	0.0226179	0.0267444	0.0175026	0.0167207	0.026588	0.02692	0.0339842	0.0347657	0.0460629	0.0333378	0.0296534	0.050731	0.0174574	0.0295852	0.0287982	0.0422594	0.0272001	0.0279958	0.0296939	0.0199787	0.0116581	0.0261966	0.0480878	0.0498373	0.0467026	0.0485329	0.0391681	0.0424764	0.0245383	0.0231368	0.0203749
on	0.0205327	0.0161142	0.0174436	0.011207	0.016083	0.0190862	0.0211082	0.0246342	0.0275143	0.0621873	0.0619091	0.0478064	0.0373298	0.011544	0.00765114	0.0125904	0.0102532	0.00606398	0.0125456	0.00837822	0.00595415	0.0101789	0.0119378	0.018308	0.0293525	0.0588012	0.0652175	0.0560649	0.0934545	0.0568561	0.0707851	0.0711064
pratique	0.0666659	0.0936057	0.0815949	0.0611487	0.0689684	0.046755	0.0356718	0.0271866	0.024431	0.0188828	0.0229213	0.0292985	0.0386661	0.0389761	0.0496839	0.0387734	0.0352194	0.0229679	0.0245157	0.0177248	0.0114866	0.00792195	0.00966425	0.00646365	0.0046853	0.00507637	0.00722868	0.0124482	0.0132929	0.0147249	0.0264324	0.0369165
encore	0.056815	0.0511024	0.0480566	0.0495553	0.0489043	0.0397324	0.0442906	0.0522911	0.0380627	0.0273757	0.0225051	0.0154983	0.0119684	0.0146294	0.0119204	0.00914436	0.00742831	0.00824237	0.00959607	0.00950694	0.0107291	0.0220029	0.0164767	0.0231227	0.0190306	0.0358797	0.0541021	0.043502	0.0363335	0.0366143	0.052171	0.0734097
la	0.047277	0.0290284	0.0261577	0.018254	0.0166105	0.0295662	0.0364696	0.0476191	0.0355455	0.0380725	0.0193548	0.0131705	0.0131234	0.0126114	0.0136893	0.0273311	0.0227934	0.0176926	0.0168685	0.0373439	0.0380033	0.0368554	0.0369366	0.0525718	0.041959	0.059212	0.0574907	0.0474223	0.0367762	0.0291648	0.0210269	0.0240016
chasse	0.0595533	0.0452557	0.0419961	0.0328484	0.0335023	0.0196267	0.0310286	0.0263328	0.0341795	0.0404357	0.024181	0.0216257	0.0252707	0.0169104	0.0186513	0.0189959	0.0167714	0.024048	0.036055	0.0320056	0.0354118	0.0293806	0.0240428	0.0327671	0.0214868	0.0350753	0.0387617	0.0583935	0.0372807	0.0357163	0.0274241	0.0249849
au	0.104006	0.0606771	0.0502021	0.0191251	0.0240562	0.0186073	0.0201854	0.0189156	0.0104592	0.0108693	0.00572394	0.00693864	0.00399498	0.00901294	0.00394272	0.00477033	0.00579842	0.00613789	0.0156279	0.00980037	0.0117644	0.0368556	0.0320434	0.0496131	0.0560529	0.0680582	0.0744426	0.0890708	0.0566684	0.0525163	0.0394405	0.0246227
gros	0.0542316	0.0535668	0.0536034	0.0403446	0.0418383	0.0289714	0.0238718	0.0227987	0.0205486	0.0179865	0.0161432	0.0200164	0.0135206	0.0159578	0.0110845	0.0166044	0.0127885	0.0113525	0.026886	0.0262018	0.0147948	0.0180447	0.00909615	0.0099386	0.0116254	0.0290117	0.0511709	0.066148	0.0507922	0.0638497	0.0643724	0.0828383
gibier	0.0453004	0.0385545	0.0507856	0.0282739	0.0354814	0.0331757	0.0217233	0.0214084	0.0184596	0.011268	0.0108901	0.0134996	0.0147729	0.0126583	0.00784271	0.00687616	0.00529728	0.00699744	0.0200387	0.0129459	0.00972834	0.0128015	0.00999454	0.0120254	0.011497	0.0222399	0.0424222	0.067962	0.0598835	0.0650144	0.0771834	0.192998
</S>	0.0269143	0.0225115	0.0324966	0.0190729	0.0199042	0.0170002	0.00778798	0.00893973	0.00805666	0.00527745	0.00649888	0.00581495	0.00706627	0.00484437	0.00321384	0.00294178	0.00350452	0.00383569	0.00790643	0.00469175	0.0058631	0.0146279	0.0170765	0.0232361	0.0303788	0.0510634	0.0789068	0.122329	0.119159	0.0733178	0.0829356	0.162826
