 	a66	a87	a23	a20	a7	a27	a18	a75	a6	a36	a37	a18	a5	a12	a18	a11	a62	a88	a18	a66	a71	a9	a99	a87	a23	a71	a62	a94	a53	a15	a47	a36	a69	a79	a7	a37	a12	a18	a25	a87	a23	a87	</S>
il	0.0885301	0.0907172	0.0868114	0.0693178	0.0285251	0.0191128	0.0277165	0.0350761	0.0253344	0.0656014	0.0259433	0.0265903	0.0201441	0.0129111	0.0122656	0.0124783	0.0146702	0.0193532	0.0068107	0.00579538	0.0084999	0.00760237	0.00828798	0.0075401	0.00732474	0.00683756	0.00739182	0.00828687	0.0125645	0.00754921	0.00717475	0.00860636	0.00804324	0.0143052	0.0137587	0.0178466	0.0138291	0.0138807	0.0200736	0.0193509	0.0250341	0.0261539	0.0363527
buvait	0.00784513	0.00976101	0.00624804	0.0115148	0.0125632	0.0283933	0.0354548	0.0479455	0.0306222	0.0420569	0.062703	0.0454661	0.0232802	0.0331835	0.0509658	0.0536151	0.026619	0.0306778	0.0338011	0.0256102	0.0311745	0.0187132	0.0261936	0.0167826	0.019681	0.00763196	0.0115519	0.00593915	0.00617063	0.00650323	0.00707858	0.0117338	0.0163864	0.0189233	0.0281263	0.0251114	0.0215704	0.0213437	0.0181547	0.0225509	0.0137425	0.020441	0.00616854
le	0.00744073	0.00637855	0.00327439	0.00567471	0.00610213	0.0216953	0.023338	0.0285633	0.0157755	0.0351004	0.0379656	0.0421142	0.0294497	0.0489494	0.0465469	0.0405869	0.0650354	0.0632274	0.0705892	0.0706155	0.0547079	0.0447856	0.0438584	0.0262257	0.0251309	0.0161985	0.0169665	0.00585823	0.00502606	0.00368546	0.00381452	0.00381255	0.00268604	0.0028072	0.0060851	0.00733729	0.00758658	0.00700238	0.0122847	0.0111067	0.00800783	0.00741873	0.0091837
vin	0.0242046	0.0187653	0.0100362	0.0108417	0.0118622	0.0199504	0.0126688	0.013351	0.0168767	0.0167707	0.0166755	0.0136718	0.0101535	0.0120091	0.0113702	0.0114436	0.00808147	0.00820907	0.0137966	0.00846695	0.00814712	0.00715686	0.00485902	0.00492818	0.00847182	0.0150881	0.0209541	0.013689	0.0181543	0.0178778	0.0620383	0.0300235	0.0454855	0.0323777	0.0442436	0.0535927	0.0812257	0.0783305	0.0548182	0.0489575	0.0351859	0.0221771	0.0230122
de	0.00855336	0.00979402	0.00937313	0.00990593	0.00443714	0.0126065	0.0188862	0.0338681	0.0310066	0.0316686	0.0385779	0.0517051	0.0361315	0.0574187	0.0505574	0.0591105	0.0407927	0.0357194	0.043784	0.0275416	0.0223389	0.0174261	0.0165163	0.0194786	0.0271397	0.0273807	0.0221618	0.0130667	0.00781544	0.00494594	0.00656158	0.00417311	0.00708021	0.00617579	0.00874608	0.0132956	0.0110182	0.0231265	0.0216256	0.0283294	0.0175166	0.0164303	0.0462126
palme	0.0321194	0.0219937	0.0214925	0.0216745	0.00954126	0.00562196	0.00246141	0.00246105	0.0031413	0.00644793	0.00933217	0.0100601	0.00842283	0.0133051	0.0147462	0.0257917	0.0479711	0.0547352	0.0508043	0.0319526	0.0310346	0.0413782	0.0664902	0.0436722	0.0422221	0.0479306	0.0340098	0.023778	0.0152483	0.0155053	0.0109043	0.0136403	0.0177514	0.0107148	0.0185235	0.0308617	0.0307212	0.0308029	0.0277526	0.0160045	0.0160596	0.0112933	0.00962412
à	0.0359084	0.0228776	0.0279941	0.0196196	0.00678128	0.00249483	0.00179536	0.00209199	0.00295304	0.00702331	0.00776176	0.00890313	0.00710778	0.0142564	0.0184228	0.024302	0.0280371	0.0318212	0.0272288	0.0287941	0.0308959	0.0176991	0.0271365	0.0387943	0.0377618	0.0485382	0.0595153	0.0562216	0.038007	0.0230699	0.0177601	0.026558	0.0204509	0.0247088	0.0193178	0.0348913	0.0266284	0.0170989	0.0262943	0.0167276	0.0220793	0.0203161	0.0233543
grandes	0.0226865	0.0246144	0.0374518	0.0309984	0.00699198	0.00515626	0.0049595	0.0062046	0.0069943	0.0134758	0.0144996	0.0106956	0.00850847	0.0130437	0.0177072	0.0252782	0.0318304	0.0297264	0.0359429	0.0491209	0.0356129	0.0352633	0.0335167	0.0389862	0.0328056	0.0478188	0.0415504	0.0359957	0.0254494	0.0180016	0.0166058	0.0241011	0.0167521	0.0158767	0.0136145	0.0197515	0.0181183	0.0102978	0.0280821	0.0113883	0.0282497	0.0327569	0.0235178
gorgées	0.00518312	0.00457712	0.00903689	0.00722006	0.00327039	0.0039704	0.00346953	0.00398953	0.00635515	0.00866745	0.0102319	0.0121903	0.00753613	0.0199691	0.0299154	0.0299333	0.0421856	0.0288738	0.0308861	0.0757061	0.064868	0.0601455	0.060912	0.0421542	0.0290941	0.017963	0.0135652	0.0103927	0.00790553	0.0089686	0.0100625	0.00956215	0.0100225	0.0116436	0.0331387	0.0351105	0.0413385	0.0353962	0.0502248	0.0336203	0.026183	0.0277977	0.0167632
</S>	0.0106325	0.005986	0.0111199	0.0105256	0.00675382	0.00751547	0.00661712	0.00679157	0.0101914	0.0148653	0.0187432	0.0209765	0.017389	0.0447601	0.0525062	0.0355069	0.038107	0.0357673	0.0399347	0.0522748	0.0381335	0.0280949	0.0336077	0.0242138	0.0200495	0.0123018	0.0147524	0.0127344	0.0111908	0.0124703	0.0102216	0.00978306	0.00985195	0.0148942	0.0307377	0.0319809	0.0350655	0.0508912	0.0374703	0.0354165	0.0227227	0.0292204	0.0272306
