 	a66	a87	a23	a99	a83	a99	a30	a53	a44	a54	a56	a96	a79	a69	a13	a54	a7	a44	a4	a57	a38	a26	a20	a4	a44	a4	a99	a70	a99	a9	a99	a97	a87	a23	a97	</S>
cette	0.0235898	0.0472943	0.0405855	0.0418281	0.0403845	0.0408777	0.0383885	0.03104	0.0369678	0.0253499	0.0271093	0.0544642	0.0201005	0.0252859	0.0236897	0.0194344	0.0105871	0.0111393	0.00597752	0.00763177	0.0111035	0.00609144	0.00419462	0.0145682	0.0350606	0.0338098	0.0339587	0.0342498	0.0447224	0.0292602	0.0368628	0.0326545	0.0226984	0.0263902	0.0207576	0.0418915
femme	0.00336197	0.00885519	0.00704006	0.0175045	0.0147124	0.0172298	0.0435497	0.06178	0.0457569	0.0662045	0.136078	0.154186	0.0548061	0.079116	0.0305915	0.0418318	0.0126731	0.0167515	0.00689083	0.0133755	0.0116032	0.0108169	0.00728966	0.0129982	0.0231873	0.0144175	0.0217799	0.0183688	0.00862021	0.00530713	0.0074616	0.00498312	0.00413366	0.00332542	0.00772398	0.00568806
élève	0.0344948	0.023384	0.024829	0.0168034	0.018095	0.0136698	0.0196204	0.0262182	0.0515065	0.0683246	0.0719181	0.19241	0.0920726	0.0587139	0.0392278	0.0232749	0.0166692	0.0222174	0.0217727	0.0131717	0.00930861	0.0120699	0.00417065	0.00333686	0.00246087	0.00278589	0.00424123	0.0060703	0.00909335	0.00603351	0.0103899	0.0141701	0.016767	0.0152523	0.0221171	0.0133388
ses	0.0378507	0.0165297	0.0115154	0.00737071	0.00873328	0.0111981	0.0077034	0.00832119	0.0161304	0.0229155	0.0217099	0.0532835	0.0453228	0.0327957	0.0507789	0.0636146	0.0815526	0.0505449	0.0550924	0.0389089	0.0274183	0.0182962	0.00781917	0.00954725	0.00845069	0.0096469	0.0136452	0.0151962	0.0158319	0.0145534	0.0214426	0.0203879	0.0343688	0.0271488	0.0265502	0.0878241
enfants	0.047314	0.046962	0.0340991	0.0215651	0.0199537	0.0275096	0.0215539	0.0196057	0.00877205	0.0106252	0.00859889	0.00502825	0.0075602	0.0181176	0.0213984	0.0348881	0.0465916	0.0648173	0.0625462	0.0493244	0.0617553	0.0720843	0.0441328	0.041714	0.0220532	0.0164462	0.0124727	0.0219123	0.01607	0.0160243	0.0191128	0.01556	0.0117615	0.0149878	0.0105555	0.026526
par	0.0324349	0.0338805	0.0288965	0.013731	0.0168596	0.0188668	0.00837405	0.0103035	0.0135908	0.0133055	0.0102917	0.0196316	0.0505096	0.0494017	0.0308614	0.0275245	0.0172743	0.00609595	0.00780465	0.00383456	0.00880599	0.0076164	0.00772525	0.0121402	0.0143725	0.0317907	0.0294205	0.0333999	0.0347608	0.0412798	0.0487294	0.0544736	0.0593546	0.0573705	0.0551617	0.0901252
ses	0.0436717	0.0328498	0.0276062	0.0197534	0.0170577	0.0192844	0.00870592	0.00855639	0.0180174	0.022388	0.0264503	0.0385201	0.0610273	0.0501899	0.05153	0.0489646	0.0395011	0.031766	0.026679	0.0171292	0.0255925	0.0268558	0.0151599	0.0192367	0.0172695	0.0113002	0.0147803	0.017298	0.0201026	0.0195997	0.0217525	0.0286779	0.0393063	0.0314649	0.0317412	0.0502133
propres	0.0425567	0.0290346	0.0222286	0.0169576	0.0169766	0.0290813	0.0178913	0.0184809	0.0208714	0.0191532	0.0212675	0.0235291	0.0308937	0.0273009	0.0230145	0.028123	0.0354834	0.0495119	0.0412232	0.0290578	0.0300786	0.038102	0.0186272	0.019336	0.0151179	0.0120787	0.0165482	0.0251074	0.0214012	0.0271561	0.0295417	0.032231	0.0406379	0.038613	0.0252679	0.0675181
moyens	0.0328859	0.0367068	0.0263784	0.0199213	0.0195328	0.0227094	0.0174358	0.0197012	0.01559	0.0118371	0.0126164	0.0114136	0.010782	0.0086753	0.00729215	0.0073171	0.00557592	0.00807653	0.00596123	0.00865933	0.00793786	0.0109383	0.0086379	0.0111121	0.0175459	0.0322104	0.0373369	0.0480049	0.0445368	0.0605355	0.0641228	0.0720807	0.068283	0.0731194	0.0610979	0.0734316
</S>	0.0383673	0.0458455	0.0388815	0.0261182	0.0266054	0.0271799	0.016029	0.0162222	0.0133703	0.01481	0.0158384	0.012202	0.0143754	0.0140186	0.0082583	0.0086636	0.00614361	0.00766293	0.00514835	0.00807384	0.00827648	0.00879872	0.00460483	0.0125391	0.025327	0.0362151	0.0200846	0.0388881	0.046255	0.0471736	0.0674491	0.0672795	0.0484075	0.0667996	0.051642	0.0864452
