 	a23	a79	a69	a44	a75	a92	a75	a70	a61	a75	a56	a90	a13	a93	a56	a11	a90	a58	a40	a44	a54	a47	a2	a57	a87	a23	a87	</S>
il	0.0594318	0.0990573	0.145348	0.148606	0.0974721	0.0476031	0.0391561	0.0556865	0.0307998	0.0313934	0.0225861	0.0144723	0.00800643	0.00511411	0.00432318	0.00137668	0.00154399	0.00158107	0.00198964	0.00631993	0.00830803	0.0108126	0.0201734	0.0140115	0.0275632	0.022966	0.0245765	0.0497214
ne	0.00238157	0.00218251	0.00635481	0.0160498	0.0498338	0.0621878	0.0507038	0.0653661	0.0730875	0.0646739	0.0795554	0.0743318	0.0472867	0.0321409	0.0329463	0.0307414	0.0141178	0.0184877	0.00885565	0.0235455	0.0156241	0.0222796	0.0234775	0.0267892	0.0351245	0.0349919	0.0493436	0.0375392
faut	0.011428	0.00725175	0.00833416	0.0120941	0.0317165	0.0473971	0.0554067	0.0582357	0.064685	0.0512636	0.0632264	0.0297928	0.00756191	0.00674625	0.00489573	0.00481195	0.00317197	0.0098727	0.0123741	0.0273732	0.0480234	0.0653382	0.050147	0.0563299	0.0628624	0.0595349	0.0503436	0.0897809
pas	0.0774029	0.0349699	0.025233	0.0123784	0.0213765	0.0464857	0.0537715	0.0639552	0.0756584	0.0732192	0.0537028	0.0248378	0.00604916	0.0052934	0.00868384	0.0118006	0.0155561	0.0218414	0.0273202	0.0281625	0.0400169	0.0596373	0.0390526	0.036153	0.0339991	0.0258957	0.0255301	0.052017
donner	0.0548312	0.0474928	0.0379702	0.0295171	0.0287662	0.0271415	0.0194332	0.0169132	0.0179293	0.0168859	0.0132704	0.0122847	0.0100828	0.00882913	0.0189634	0.0275446	0.0339162	0.0365462	0.0288877	0.0281222	0.0406851	0.0651166	0.0448563	0.0431959	0.0486557	0.0513689	0.0625454	0.128248
des	0.0484852	0.0354418	0.0270059	0.0354288	0.0227424	0.018595	0.0152866	0.0155201	0.0203019	0.017733	0.0167923	0.0101481	0.00451054	0.00403849	0.00487928	0.00614537	0.00895358	0.0158923	0.0210523	0.0294877	0.04965	0.100719	0.0524306	0.0446321	0.0668743	0.0735669	0.085284	0.148402
coups	0.0242996	0.0202696	0.0180487	0.0164932	0.0239798	0.0335209	0.0334136	0.0466814	0.0540967	0.0488561	0.0486999	0.0398797	0.017442	0.0129815	0.0123223	0.0234532	0.0302834	0.0322808	0.0407348	0.0295754	0.0349108	0.0590765	0.0352864	0.0440599	0.0575362	0.0489765	0.0497938	0.0630476
bas	0.0161348	0.0109791	0.00745039	0.00411809	0.0172517	0.0215362	0.0232756	0.0188401	0.0180731	0.0197889	0.0150264	0.00604738	0.00394495	0.00234548	0.00173911	0.00160722	0.0025947	0.00386484	0.0104439	0.0589941	0.0548942	0.227276	0.0987323	0.0633881	0.0931906	0.0625449	0.0908811	0.0450365
à	0.0454917	0.0351862	0.027324	0.022503	0.034412	0.0475516	0.0547141	0.0663752	0.0299983	0.0317137	0.0205112	0.0100935	0.00403961	0.00200198	0.00292231	0.00507604	0.0086966	0.0087347	0.0136755	0.0196589	0.0396987	0.0745217	0.0453575	0.0425628	0.0502483	0.0551758	0.0667224	0.135033
son	0.0341624	0.0379497	0.0358732	0.0167131	0.0168669	0.0222948	0.0210245	0.0197104	0.0223331	0.0226425	0.0185043	0.00729054	0.00388668	0.00261855	0.00368174	0.00360195	0.00446489	0.00649006	0.00587446	0.0275313	0.0339948	0.0591972	0.0643488	0.0535526	0.0818397	0.0767835	0.0746689	0.222099
ami	0.0183933	0.0157301	0.0181653	0.0097729	0.0240834	0.0361441	0.046506	0.0355036	0.0338025	0.0271857	0.0131296	0.00604554	0.00445592	0.00362069	0.00412801	0.00321599	0.00331069	0.00870315	0.0134139	0.0508104	0.0436763	0.0836121	0.0733814	0.0788574	0.0753754	0.0859173	0.0972295	0.0858298
</S>	0.0138039	0.015122	0.0264701	0.0136308	0.0442632	0.0302799	0.0224972	0.0157602	0.0215699	0.0155066	0.013045	0.00419459	0.00416419	0.00466254	0.00433487	0.00366233	0.0051185	0.00787183	0.00885951	0.022927	0.0242567	0.0733688	0.0859923	0.062214	0.0799154	0.0846781	0.114647	0.177184
