 	a66	a87	a23	a62	a18	a62	a47	a12	a31	a47	a88	a62	a0	a43	a34	a96	a34	a92	a79	a7	a20	a53	a90	a56	a25	a79	a69	a75	a21	a5	a18	a36	a2	a57	a87	a23	a99	a87	</S>
ce	0.0419687	0.0363951	0.0279089	0.0431194	0.0440853	0.0388531	0.0438337	0.0254743	0.0530441	0.028997	0.0135119	0.0147624	0.0181023	0.0106602	0.0158522	0.0225801	0.025487	0.0370998	0.0337623	0.0343304	0.0755888	0.0223295	0.0137268	0.0178682	0.0106182	0.0124724	0.0255316	0.0165383	0.00867353	0.00888303	0.00858545	0.013467	0.0181158	0.0130622	0.0229679	0.0145773	0.020626	0.0157403	0.0507994
bébé	0.00379883	0.00479669	0.00884515	0.00601694	0.0125961	0.0187601	0.0168895	0.0185365	0.0305687	0.0578876	0.0405729	0.038567	0.0588831	0.0494129	0.0368633	0.0521608	0.0562597	0.0423592	0.0408198	0.0566502	0.0826626	0.0435565	0.0505567	0.041034	0.0255924	0.036279	0.0161555	0.00780871	0.00591535	0.00284664	0.00317038	0.00275185	0.00473101	0.00491256	0.00636872	0.00290583	0.00375378	0.00497699	0.00277649
pleurnichard	0.0106288	0.00557261	0.0105576	0.00861289	0.0149416	0.0397404	0.0251717	0.0348309	0.0284785	0.0824654	0.0709667	0.0755196	0.0625372	0.0981888	0.136843	0.0626685	0.043881	0.017392	0.00767344	0.00865984	0.00651366	0.00540278	0.00556278	0.00688618	0.0246854	0.0139887	0.0104203	0.00319032	0.00580239	0.00502689	0.0072266	0.00591668	0.00843385	0.0060535	0.0101661	0.00837453	0.00546455	0.0134403	0.00211424
nous	0.019299	0.0257296	0.0280525	0.00949352	0.00591531	0.00489225	0.00271402	0.00291396	0.00257174	0.00489719	0.00537715	0.00641665	0.0082971	0.0111163	0.0156316	0.00724467	0.0128097	0.0161782	0.014865	0.0387803	0.0315461	0.0436077	0.0585739	0.062525	0.0982514	0.141652	0.118548	0.0338534	0.0198645	0.0183708	0.0105281	0.00970024	0.00945597	0.0131276	0.0224757	0.0118129	0.0144405	0.0144868	0.0239838
empêche	0.0342739	0.0406124	0.0373731	0.0387601	0.0221318	0.0220826	0.0262387	0.0288229	0.031956	0.0214436	0.0258144	0.0244876	0.0247637	0.0161472	0.018045	0.012147	0.0132086	0.0205068	0.0181814	0.0244504	0.0329186	0.0353767	0.0311188	0.0391946	0.0557459	0.0507578	0.0567931	0.0218766	0.0159383	0.0197227	0.0103608	0.013134	0.0150164	0.0118703	0.018322	0.0139704	0.0232372	0.0139515	0.019247
de	0.0268787	0.0228841	0.0234845	0.0212122	0.0165915	0.0221844	0.0255091	0.0384654	0.0285705	0.0476059	0.0366435	0.0412582	0.0377868	0.0626714	0.092367	0.0552209	0.0461668	0.0275955	0.0186498	0.0107893	0.00916447	0.00531227	0.00342899	0.00843199	0.0105721	0.0125321	0.0119408	0.00938875	0.0135929	0.0202043	0.0227227	0.0199186	0.0288058	0.0183711	0.0192935	0.0185064	0.0257669	0.0168498	0.0226613
dormir	0.0293275	0.0285755	0.0246686	0.0227109	0.0212121	0.020478	0.0211301	0.0252762	0.0198569	0.0283172	0.031495	0.0314016	0.0241031	0.0409896	0.0404296	0.0405564	0.0468913	0.0340978	0.0234788	0.0168165	0.0161955	0.011861	0.00984389	0.0181412	0.0224577	0.0221905	0.027713	0.0236254	0.0215005	0.0266937	0.0262739	0.0233574	0.0279367	0.021949	0.024234	0.0254399	0.0302666	0.0213708	0.027137
la	0.0402076	0.0171996	0.0148672	0.0122906	0.0140765	0.0187967	0.0196675	0.0374931	0.0293562	0.0481773	0.0421692	0.0481193	0.0409082	0.0385337	0.0526958	0.0320082	0.0433846	0.0305356	0.0331017	0.0204217	0.0114743	0.0110207	0.00727403	0.0178451	0.0157907	0.0187962	0.013189	0.0110073	0.0155577	0.0181034	0.0310171	0.028527	0.0284361	0.0163281	0.0216228	0.021118	0.0291762	0.0188651	0.0308409
nuit	0.0150156	0.0132096	0.0162267	0.0115479	0.0162683	0.0137048	0.013784	0.0141206	0.0177168	0.0359268	0.0226235	0.0283802	0.0261878	0.0384648	0.0603192	0.0380372	0.0490775	0.0314628	0.0622976	0.0277935	0.0172897	0.0385038	0.0340705	0.0420221	0.0281038	0.0203008	0.0183508	0.0151194	0.0238349	0.0199912	0.0269056	0.0137973	0.0223947	0.0175944	0.0234024	0.02079	0.0204527	0.0324658	0.0124447
</S>	0.0334642	0.0264804	0.0247918	0.0115244	0.00806968	0.00643415	0.01103	0.014184	0.0172521	0.0274634	0.0137312	0.0175686	0.0167667	0.0150043	0.0282985	0.0196864	0.0366661	0.020185	0.0385948	0.0111465	0.0117691	0.0188554	0.0156149	0.0208784	0.0200602	0.015516	0.0331687	0.0269113	0.0409172	0.0230893	0.0318929	0.0175898	0.0376336	0.0290428	0.0569131	0.0357343	0.0451322	0.0492315	0.0717072
