 	a85	a66	a87	a23	a87	a23	a87	a10	a87	a23	a10	a99	a54	a47	a6	a37	a47	a36	a56	a90	a13	a93	a13	a38	a0	a90	a25	a92	a85	a92	a34	a75	a92	a37	a85	a6	a36	a47	a36	a2	a57	a87	a23	a87	</S>
ces	0.0155063	0.0152709	0.0178334	0.0159833	0.0118039	0.0320442	0.0273082	0.0343232	0.0402356	0.0852309	0.0766634	0.0966416	0.130055	0.103488	0.0273424	0.0411758	0.0140067	0.0172855	0.00923738	0.0062806	0.00296689	0.00253538	0.0029024	0.00393796	0.00492374	0.00660539	0.0121146	0.010839	0.020772	0.0168041	0.0130188	0.0116632	0.00582939	0.00370057	0.00355489	0.00270995	0.00483646	0.00554053	0.00583031	0.00495028	0.00477143	0.00425154	0.00871176	0.00628593	0.012227
enfants	0.00133123	0.00187322	0.0030354	0.00674049	0.0107579	0.0255386	0.0369564	0.0271785	0.020932	0.0533417	0.0586855	0.0540531	0.0867895	0.0615355	0.0581797	0.0607473	0.0721123	0.0984773	0.0526516	0.0465289	0.0128448	0.0118384	0.0125152	0.0153849	0.00953679	0.013293	0.00646425	0.00509254	0.0192763	0.0188854	0.00542628	0.00200907	0.00142866	0.00155062	0.00298457	0.00322524	0.00323111	0.000968277	0.00376795	0.00173839	0.00247539	0.00217884	0.00158305	0.00356878	0.00128595
sont	0.0233098	0.0254772	0.0200516	0.0197061	0.0251665	0.0277855	0.035429	0.02955	0.0292983	0.0534405	0.0580161	0.0338078	0.0352162	0.0465389	0.0370846	0.0427104	0.0437848	0.0297583	0.0235589	0.0353349	0.019423	0.0293905	0.0372999	0.0211694	0.0188444	0.0115002	0.0152881	0.023474	0.0182927	0.00914616	0.0106036	0.00719461	0.00842013	0.00736298	0.011109	0.00868616	0.0176296	0.00358507	0.00757409	0.00494711	0.00596128	0.00658894	0.00788567	0.00987658	0.00372156
rentrés	0.0105455	0.00782817	0.00720628	0.00618597	0.00609421	0.0064223	0.00447668	0.00599181	0.00804389	0.0146726	0.0183277	0.0224515	0.0176385	0.0324153	0.0244881	0.0196821	0.0384208	0.0470603	0.050136	0.0169275	0.0186539	0.0380673	0.0973429	0.0755678	0.0232955	0.0620767	0.0283873	0.017456	0.0229047	0.0197224	0.0223502	0.0171174	0.0131691	0.0165871	0.0125458	0.013845	0.0176061	0.0191781	0.0114812	0.0148096	0.018734	0.0180056	0.0123582	0.01406	0.00966293
au	0.0224995	0.00879819	0.00657284	0.00554526	0.00605029	0.00661707	0.00642973	0.00778917	0.0102921	0.0160193	0.0227341	0.0263251	0.0223041	0.021425	0.0236831	0.0249135	0.0368087	0.0308259	0.0284864	0.0117089	0.0149215	0.031523	0.0351828	0.0264727	0.02296	0.041681	0.020876	0.0178217	0.0234767	0.0221304	0.0248416	0.0168844	0.0166601	0.0286329	0.0435752	0.0415138	0.03472	0.0250322	0.0238083	0.0256556	0.0249123	0.0309797	0.0255777	0.0209486	0.0133836
village	0.0266604	0.0217361	0.0128409	0.00896932	0.00925529	0.00780812	0.00750833	0.00928886	0.00858444	0.0145462	0.0144646	0.00895566	0.00454051	0.00862454	0.010342	0.012587	0.00926842	0.005401	0.00450236	0.00331631	0.00495289	0.00866229	0.0155117	0.0186737	0.0346494	0.0602942	0.0726664	0.0681052	0.0472466	0.0645311	0.0676687	0.0516516	0.0313005	0.0360553	0.0237085	0.0232218	0.0169314	0.0285227	0.0177358	0.0191993	0.0146836	0.0162649	0.0162433	0.0175922	0.0147262
et	0.0530831	0.0318302	0.0297345	0.0166333	0.0165105	0.0106733	0.00403069	0.00800094	0.00972941	0.00671245	0.018064	0.011179	0.0086967	0.0122353	0.00870735	0.0074061	0.00856888	0.00242789	0.00271115	0.00301265	0.00342561	0.00622802	0.00597349	0.0106225	0.0505849	0.0176145	0.0366559	0.0741572	0.0505571	0.0180057	0.0528031	0.0531404	0.0427382	0.0250855	0.0324931	0.022212	0.0288474	0.0082516	0.0208359	0.0136717	0.0139727	0.0206642	0.0386873	0.0435123	0.0393122
personne	0.0542402	0.0258517	0.0112153	0.00982782	0.00927543	0.00455011	0.00279351	0.00363309	0.00291213	0.00221747	0.00457904	0.00197512	0.00149707	0.00201151	0.00317175	0.00240561	0.00354155	0.00167651	0.00227141	0.00312218	0.00396909	0.00663937	0.00468224	0.0153453	0.0430552	0.0170624	0.0270598	0.0376704	0.0234951	0.0123551	0.0379197	0.0514141	0.0463103	0.0412542	0.0532726	0.0420894	0.0603554	0.0169329	0.0285131	0.040963	0.0284785	0.0501848	0.0534523	0.0628318	0.0419253
d'	0.0512333	0.0314893	0.0115391	0.0106448	0.0102621	0.00707219	0.00495421	0.00496812	0.00393882	0.00298372	0.00527565	0.00346409	0.00433682	0.00351917	0.0048366	0.00473747	0.00427721	0.00229763	0.00211698	0.00332446	0.00307094	0.00553093	0.00422895	0.012689	0.0354327	0.0165224	0.0324436	0.0412493	0.0200732	0.00959199	0.0211336	0.0361666	0.0266986	0.0273888	0.0401463	0.0337051	0.0541046	0.0202063	0.0378565	0.0501639	0.0412622	0.0610724	0.0641037	0.059195	0.0686916
eux	0.0389728	0.0252633	0.0247613	0.0214008	0.0170801	0.0123182	0.00630253	0.00542096	0.00403919	0.0025644	0.0054189	0.00366487	0.00474813	0.00396119	0.00486591	0.00463607	0.00657259	0.00363057	0.00172646	0.00391613	0.00485398	0.00875179	0.0118124	0.0142086	0.0454282	0.0156643	0.0396508	0.0653912	0.0483961	0.0247596	0.0290125	0.0323215	0.0254121	0.0247046	0.0287922	0.0221045	0.0374697	0.0189832	0.028692	0.0264101	0.0352143	0.0334494	0.0645607	0.0434218	0.0692699
m'	0.0511976	0.0304675	0.0169979	0.0149142	0.00978648	0.00913617	0.00568205	0.0046212	0.00265851	0.00271316	0.00409221	0.00351166	0.00465521	0.00275141	0.00301398	0.00334336	0.00372108	0.00176931	0.00106124	0.00106052	0.00198325	0.00374586	0.00559171	0.00560429	0.011811	0.00657004	0.0112772	0.0303463	0.0192789	0.014514	0.0321981	0.0380173	0.0563282	0.0397906	0.0461158	0.0313246	0.0435401	0.02493	0.0480696	0.0322644	0.0345234	0.0348985	0.0645597	0.0661493	0.119413
a	0.0398485	0.0229177	0.0139774	0.0118843	0.00878608	0.0092867	0.0093132	0.00587065	0.00601502	0.00631691	0.00533496	0.00658476	0.00620888	0.00586188	0.00973902	0.0111962	0.010999	0.00736084	0.00408955	0.00431255	0.00992366	0.0180323	0.0307902	0.0241433	0.0421492	0.0230398	0.0351815	0.0461459	0.0233059	0.0224464	0.0221587	0.0292571	0.0507168	0.0451071	0.040253	0.0280445	0.0384047	0.0107634	0.0259103	0.0270183	0.0261139	0.0293105	0.0418379	0.0424858	0.0615557
dit	0.044135	0.0291469	0.015708	0.016857	0.0120308	0.0127117	0.0132536	0.00983852	0.00910476	0.00635944	0.0053305	0.0064167	0.00520545	0.00522607	0.0071138	0.00923193	0.00667808	0.00399376	0.00395757	0.00479581	0.00790406	0.00903415	0.0103966	0.0170232	0.0368767	0.0142968	0.0262098	0.0264338	0.018101	0.0153418	0.0170569	0.0354453	0.0629517	0.0551334	0.0409212	0.0305329	0.0497316	0.0133464	0.0227243	0.0374446	0.0278647	0.0418687	0.044295	0.0568466	0.0551232
au-revoir	0.0310316	0.0138106	0.0093568	0.00660049	0.00479198	0.0089011	0.00592386	0.00505226	0.00331736	0.00331836	0.00438764	0.00259313	0.00421836	0.00357086	0.00140337	0.00147391	0.00198271	0.000942237	0.000294962	0.000637224	0.000777109	0.00147764	0.00237692	0.00158926	0.00590398	0.00207829	0.00616073	0.0147868	0.0138396	0.00774335	0.0152058	0.0142312	0.0309823	0.0496042	0.0678915	0.0540791	0.0625319	0.0319675	0.06097	0.0534479	0.0467625	0.0523087	0.0626832	0.100612	0.12638
</S>	0.0371359	0.0247315	0.0176904	0.0157447	0.0111019	0.0113756	0.0120419	0.00965733	0.00531885	0.00294189	0.00378845	0.00249883	0.00333867	0.0028281	0.00386966	0.00372015	0.00401567	0.00245729	0.00178805	0.00261406	0.00424947	0.00593907	0.00728934	0.012138	0.0220963	0.0118242	0.018012	0.0191865	0.019392	0.0164965	0.0193129	0.031882	0.0579961	0.0546069	0.0564397	0.0496772	0.0476718	0.0220457	0.0352767	0.0384273	0.0390007	0.0389174	0.0512483	0.0698179	0.0723971
