 	a66	a87	a23	a13	a20	a7	a37	a54	a79	a7	a79	a98	a47	a36	a0	a94	a44	a90	a98	a47	a37	a12	a96	a88	a71	a9	a87	a23	a87	</S>
le	0.0286087	0.0574303	0.0680226	0.0550958	0.0681876	0.0578454	0.0781999	0.0515053	0.0324188	0.0290747	0.0226652	0.0332034	0.017547	0.0114885	0.0137237	0.0139734	0.00903481	0.0096079	0.007319	0.0325491	0.0311381	0.0343318	0.0419816	0.0294563	0.0313429	0.0289179	0.0209695	0.0236683	0.0192519	0.0414404
guérisseur	0.00365053	0.00632788	0.00882972	0.0180076	0.0156983	0.0281913	0.0487486	0.0820533	0.0827439	0.0793315	0.17923	0.172563	0.144403	0.0840662	0.0122181	0.00839728	0.00541255	0.00408008	0.0026412	0.00382355	0.00154267	0.00152409	0.00101343	0.000500819	0.000800532	0.000280441	0.000880194	0.000686567	0.00174634	0.000607207
est	0.0403649	0.0311235	0.0357381	0.0376103	0.0432189	0.0818976	0.0694589	0.108158	0.099045	0.0851356	0.0482855	0.0333696	0.0538335	0.0307158	0.0250146	0.0253891	0.0233341	0.0186041	0.00922831	0.00793378	0.00512245	0.00528465	0.00593903	0.00677523	0.0141768	0.00294029	0.0144049	0.0140708	0.0177105	0.00611595
en	0.0228049	0.00717928	0.00610197	0.00690069	0.0110315	0.0104913	0.0154845	0.0139862	0.053154	0.0481997	0.0407852	0.0462588	0.0758664	0.0977382	0.0543549	0.0398878	0.065819	0.0522908	0.0265652	0.0179661	0.0266917	0.0483622	0.0256946	0.0285526	0.0261874	0.0248591	0.0261725	0.0288444	0.0241667	0.0276022
train	0.0278118	0.0312672	0.035301	0.0241513	0.0216263	0.0275281	0.0122518	0.00428429	0.00628398	0.0055306	0.00859318	0.0302639	0.0699314	0.115513	0.144584	0.0719147	0.11646	0.0811688	0.0136909	0.0289606	0.0141718	0.0251944	0.0183582	0.0158661	0.0116899	0.00861597	0.00846584	0.00742491	0.0065279	0.00656768
de	0.016853	0.0183583	0.0173722	0.00996896	0.0130865	0.0212464	0.0768445	0.0745652	0.127066	0.119387	0.066511	0.0611711	0.015608	0.0122259	0.00512626	0.0136024	0.00483983	0.00331026	0.00491756	0.0151734	0.0146943	0.0141929	0.0193404	0.017195	0.0353069	0.0296436	0.0419091	0.0430581	0.0411357	0.04629
délivrer	0.0153225	0.0127481	0.0192375	0.0106804	0.0110348	0.0114057	0.0140419	0.0249098	0.0327772	0.0660268	0.0871736	0.175682	0.112305	0.0794796	0.0570752	0.0944062	0.0405428	0.0354019	0.00874105	0.0116932	0.00978506	0.00865361	0.00881298	0.00535098	0.00824046	0.00666109	0.00927931	0.00817542	0.006181	0.00817395
alwémbé	0.0195121	0.0196143	0.0280496	0.0214563	0.0247406	0.0370817	0.0594534	0.045479	0.0480983	0.0611512	0.0466496	0.0495888	0.0406095	0.0272276	0.0334931	0.0238123	0.0344951	0.0199166	0.00620082	0.0217076	0.0203946	0.0217739	0.0323409	0.0190301	0.037345	0.0325493	0.0364378	0.0469776	0.0269832	0.0578302
d'	0.0270427	0.0404393	0.0557966	0.0442662	0.0483905	0.0615946	0.0715836	0.0361416	0.0460324	0.0468672	0.0445997	0.0327241	0.0322913	0.0277404	0.0279619	0.0185761	0.0301613	0.0166745	0.0099364	0.0191203	0.0132715	0.0157721	0.0243078	0.0140317	0.0368389	0.031525	0.0406419	0.0259643	0.0272872	0.0324188
un	0.0234187	0.0243564	0.0275868	0.0209005	0.0233009	0.0282664	0.0387812	0.03086	0.0291913	0.0312649	0.0374357	0.0334887	0.0282531	0.0261881	0.0382418	0.024284	0.0372879	0.01713	0.00817748	0.0258404	0.0222232	0.0230847	0.0452212	0.0293959	0.0571867	0.0737317	0.057001	0.0370476	0.0322821	0.0685718
mauvais	0.0313812	0.0298165	0.0287859	0.0205746	0.021014	0.0313558	0.032702	0.037769	0.0230198	0.0345695	0.0287168	0.0277998	0.0214583	0.0170381	0.0472242	0.032919	0.0446397	0.0207843	0.00430409	0.0151363	0.0138576	0.0177108	0.0435038	0.0232978	0.0462713	0.0552146	0.0541838	0.0548328	0.0416511	0.0984672
esprit	0.022577	0.0339024	0.0403112	0.0364278	0.0394922	0.0675437	0.0706165	0.0462479	0.0247921	0.0296554	0.0234035	0.0188533	0.025606	0.0165884	0.034772	0.0296482	0.0575957	0.046196	0.0125085	0.0140081	0.0174295	0.0195811	0.0263786	0.0178963	0.0210265	0.0275764	0.0244786	0.0348807	0.0244754	0.0955312
</S>	0.0465651	0.0651346	0.0432862	0.0381647	0.0267061	0.0194349	0.0225598	0.017047	0.0100684	0.0106797	0.00511829	0.00331606	0.00188025	0.00226658	0.00209799	0.00334467	0.00362516	0.00720785	0.0153916	0.0274039	0.0468733	0.0478477	0.073485	0.0460167	0.0552962	0.0663416	0.0488327	0.0640475	0.0493331	0.130627
