 	a66	a87	a97	a87	a97	a87	a97	a79	a15	a92	a85	a6	a36	a61	a62	a21	a85	a47	a36	a90	a98	a79	a44	a96	a0	a31	a62	a50	a88	a54	a47	a7	a36	a26	a57	a97	a10	a97	</S>
il	0.0168143	0.0374234	0.0359019	0.0555134	0.0233675	0.0269912	0.0338845	0.0352009	0.0342358	0.0337269	0.0392621	0.0332774	0.0578274	0.0239583	0.0241478	0.024976	0.0128731	0.00714896	0.00929448	0.00440687	0.00368061	0.00328389	0.00307188	0.00367026	0.0041764	0.00397578	0.00319684	0.00585466	0.0142171	0.0179045	0.020116	0.0200874	0.0649235	0.0691442	0.0608676	0.0370727	0.0365626	0.0257659	0.0321958
plante	0.00653079	0.00656842	0.00837571	0.0085116	0.0107988	0.00944506	0.0129577	0.00891824	0.0123365	0.0202177	0.0348438	0.0413934	0.0632665	0.0401024	0.0557116	0.0934088	0.0631542	0.0406643	0.0269481	0.00642563	0.00740607	0.00491264	0.00408921	0.00501903	0.00878945	0.0146988	0.0213449	0.0318063	0.0276086	0.0606154	0.0577024	0.0388802	0.0247336	0.0179333	0.0179789	0.0258206	0.0260744	0.0234799	0.0105271
les	0.0132364	0.00694283	0.00731724	0.00462613	0.00463825	0.0045256	0.00456617	0.0056569	0.00835331	0.0208752	0.0468824	0.0625131	0.0464172	0.053778	0.0626129	0.0462967	0.0370259	0.0547676	0.0278188	0.0312955	0.0200107	0.0126248	0.00640901	0.00470737	0.00347959	0.0030367	0.00431923	0.00706319	0.00799991	0.0122683	0.0119558	0.0246836	0.03189	0.0344085	0.0419788	0.0455895	0.0438266	0.0648789	0.0687233
piquets	0.0273361	0.0213182	0.017106	0.0157326	0.0163791	0.0261402	0.0178668	0.0247282	0.0229591	0.0344099	0.0291538	0.0209963	0.00824004	0.0163466	0.0187294	0.0186325	0.0212096	0.0201251	0.0200649	0.020497	0.0257176	0.0269787	0.0520651	0.0406384	0.0744073	0.0550091	0.0657312	0.0366855	0.0371593	0.0296358	0.0350747	0.0309668	0.0154528	0.00878817	0.0131878	0.0075071	0.00631443	0.00791163	0.0127972
à	0.0259804	0.0300795	0.0348122	0.0198427	0.0213962	0.0197686	0.0148909	0.0148804	0.0118548	0.0149308	0.0109095	0.0116724	0.0108768	0.00921119	0.00805268	0.00807868	0.00793474	0.00693421	0.005627	0.00780535	0.00776232	0.00672794	0.0132325	0.0123521	0.0141369	0.0180048	0.0325553	0.0395342	0.0575544	0.0874036	0.105737	0.112555	0.0535608	0.0352469	0.0367492	0.0218839	0.0184467	0.0130915	0.0179267
la	0.019979	0.0218254	0.0235625	0.0196858	0.0226729	0.0280092	0.0180248	0.0355136	0.0302978	0.0450988	0.0296182	0.0266704	0.0118276	0.0163056	0.0102016	0.00569878	0.0063504	0.00937908	0.0103078	0.0139063	0.0117182	0.00967771	0.00960044	0.0129815	0.0175891	0.0241302	0.0260755	0.0305768	0.0387207	0.0557892	0.0581697	0.0575237	0.0435854	0.0419181	0.0356683	0.0341227	0.031495	0.0276352	0.028087
limite	0.0171052	0.0240207	0.0215408	0.0218268	0.0175255	0.0266061	0.0251826	0.0249097	0.036356	0.0510307	0.0746446	0.0806093	0.0555034	0.079089	0.0771112	0.0434799	0.0255091	0.0207585	0.016705	0.00585034	0.00309897	0.00194244	0.00190637	0.00352441	0.009186	0.0124296	0.00592085	0.010277	0.0185092	0.0132687	0.0190421	0.0219724	0.0325892	0.0323902	0.0237709	0.0162269	0.0116896	0.009524	0.00736721
de	0.0323719	0.0296332	0.00685949	0.00649344	0.00320226	0.00512397	0.00439979	0.00716433	0.00731547	0.0134571	0.0388768	0.0370953	0.0361978	0.038397	0.0350572	0.0273962	0.0287053	0.0294564	0.0340911	0.02088	0.0105386	0.0067117	0.0039995	0.00210606	0.00178901	0.00265422	0.00188723	0.00591276	0.0209105	0.0244226	0.0396669	0.0343018	0.0485143	0.0418165	0.0439765	0.0712997	0.0770649	0.0627802	0.0574729
la	0.0761825	0.0324367	0.0242377	0.0178783	0.0132769	0.00867171	0.00732195	0.00429812	0.00365989	0.00625836	0.00722634	0.00835693	0.00881684	0.0123575	0.0132633	0.00819225	0.00566734	0.0100605	0.0120886	0.00920483	0.00860998	0.00686227	0.00453264	0.00296531	0.00267439	0.00279207	0.00644742	0.00871801	0.0295816	0.0416887	0.0498568	0.0480284	0.0560117	0.0567037	0.0511914	0.0711746	0.100667	0.0929314	0.0691061
parcelle	0.0355668	0.0295806	0.0275693	0.0293071	0.0153535	0.0141029	0.00880348	0.0106606	0.00530408	0.00625807	0.00713623	0.00613812	0.00753867	0.00878941	0.01158	0.00492221	0.00519675	0.00929456	0.010705	0.0154786	0.0142461	0.0105908	0.00793554	0.0039242	0.00341391	0.00371801	0.0094984	0.0120504	0.0149855	0.0203197	0.0268208	0.0302035	0.0489244	0.0510002	0.0576264	0.062716	0.0869647	0.106102	0.159674
</S>	0.0464683	0.0275861	0.0214919	0.0144175	0.00790707	0.00726907	0.0101553	0.0167509	0.00678113	0.0123412	0.0226627	0.0152232	0.0166368	0.0137047	0.0284283	0.0118719	0.010881	0.0163811	0.0192148	0.0117171	0.00914437	0.006676	0.00383903	0.00207558	0.00291405	0.00305591	0.00539783	0.00510089	0.00856763	0.00951904	0.0209269	0.0181419	0.0333285	0.0357679	0.0459675	0.0610894	0.0746566	0.0963565	0.219584
