 	a66	a87	a23	a50	a96	a61	a43	a0	a75	a56	a37	a21	a85	a98	a92	a79	a44	a56	a96	a93	a56	a21	a5	a23	a21	a75	a79	a90	a79	a94	a44	a58	a82	a87	a23	a87	a23	a99	a26	</S>
la	0.0445378	0.0444956	0.040169	0.0623574	0.0249544	0.0273649	0.016155	0.0444548	0.0256107	0.0192124	0.0192158	0.0192146	0.0108754	0.00817246	0.0112096	0.00923234	0.0151718	0.0160422	0.0186226	0.0343316	0.0328346	0.0318405	0.0315327	0.0258765	0.0220103	0.0182065	0.015323	0.0314118	0.0167193	0.0150983	0.0262216	0.0153516	0.0289505	0.0358031	0.017045	0.0215339	0.0243287	0.0212179	0.0274842	0.0298093
manière	0.00111417	0.00326347	0.00377667	0.00555917	0.00273105	0.00477142	0.00594953	0.0225952	0.0275494	0.0323501	0.0431112	0.0871978	0.206649	0.11689	0.140549	0.0395176	0.0281534	0.0436997	0.0322782	0.023716	0.0263414	0.00893553	0.0129405	0.0109734	0.00617965	0.00904183	0.0080544	0.00677977	0.00560302	0.00620737	0.00451558	0.00248745	0.00214721	0.00368145	0.00256418	0.000941429	0.000881928	0.00157923	0.00675209	0.00197035
de	0.0793928	0.0628439	0.0402707	0.0332743	0.0249349	0.026384	0.0228773	0.0330273	0.0382434	0.0303088	0.0239534	0.0351345	0.0673894	0.0552135	0.0343027	0.0379086	0.0143411	0.016141	0.00735092	0.0111222	0.00716381	0.00635752	0.00778634	0.00943779	0.00461296	0.0082055	0.00590956	0.00674761	0.00501966	0.00506746	0.00671238	0.0110717	0.0162054	0.0213651	0.0154973	0.0214872	0.025226	0.0278535	0.034216	0.0596426
rugir	0.029355	0.013868	0.00864452	0.00911034	0.0100672	0.00979083	0.0131705	0.0212308	0.0155064	0.0111973	0.00821029	0.0081167	0.00917298	0.00883815	0.0110672	0.0117959	0.0165591	0.0234597	0.0235372	0.0179631	0.0263401	0.0212518	0.0301799	0.0310424	0.0265718	0.0358588	0.0267174	0.0437148	0.0180742	0.0139804	0.0244357	0.0226176	0.0223081	0.0373318	0.0436441	0.0479415	0.0548059	0.0521697	0.0952986	0.0450543
du	0.0383311	0.0220848	0.0157561	0.0166747	0.0150103	0.0192125	0.0238267	0.0408227	0.0310869	0.0263613	0.0228793	0.0181847	0.0136281	0.0109498	0.0106791	0.00788202	0.0157796	0.0124269	0.0136731	0.0146103	0.0129109	0.0162262	0.0170692	0.0135116	0.0135805	0.0210392	0.0248068	0.0333378	0.03446	0.015579	0.0387468	0.0217471	0.022325	0.0328732	0.0325276	0.0658224	0.0653147	0.0451775	0.0444143	0.0386702
lion	0.0467824	0.0179678	0.0148927	0.0140458	0.0207399	0.0224828	0.0210711	0.0161331	0.0242415	0.0177703	0.018021	0.0220264	0.022753	0.022281	0.0240656	0.0129237	0.0150179	0.0077022	0.010587	0.00892511	0.0115608	0.012414	0.0123942	0.0264169	0.0181297	0.0420676	0.0206343	0.0381383	0.031716	0.0066651	0.0261468	0.00648808	0.00929729	0.0157694	0.0359217	0.0562525	0.0617128	0.053693	0.0463967	0.0877545
me	0.0469243	0.0287774	0.0335051	0.0242178	0.0388936	0.0378886	0.0444399	0.0199604	0.0279543	0.0257798	0.0200756	0.016832	0.0198303	0.0295065	0.0265594	0.0306988	0.0320539	0.0213257	0.0329836	0.0336835	0.0325886	0.0230202	0.0204315	0.0237053	0.0187367	0.0261243	0.017996	0.0151613	0.0148634	0.00402139	0.0118169	0.00867308	0.00507978	0.00742993	0.019358	0.0313242	0.0165606	0.0196772	0.0326304	0.0589108
fait	0.0306388	0.0252563	0.0295653	0.0221962	0.0252444	0.0188121	0.0159721	0.00652151	0.0107586	0.010177	0.00613308	0.0061319	0.00856526	0.0155711	0.00821484	0.0127424	0.00771919	0.00657878	0.00621454	0.00631599	0.00651923	0.00669743	0.00678694	0.0104212	0.00957763	0.010741	0.0177609	0.0129439	0.0302352	0.0191032	0.0361957	0.0513105	0.0380922	0.051267	0.0721585	0.0827666	0.0622237	0.0600511	0.0667028	0.0691159
peur	0.0255061	0.0211284	0.0219092	0.0186591	0.0219404	0.0187296	0.0188855	0.0159309	0.0175124	0.0163787	0.0115586	0.0112345	0.0155305	0.0251392	0.017331	0.0269512	0.0161207	0.0161766	0.0109663	0.0116627	0.00820721	0.0111538	0.00966708	0.010248	0.0122843	0.0115792	0.0135675	0.0109159	0.0162249	0.00636753	0.0281824	0.0184724	0.0245563	0.0531457	0.04249	0.0580842	0.0569688	0.0620184	0.0652884	0.121326
</S>	0.0221249	0.0206025	0.0211462	0.0176551	0.0161675	0.0159834	0.0152214	0.0178634	0.0164446	0.0161907	0.0146083	0.0156523	0.0230059	0.0315768	0.0222376	0.0344154	0.0220879	0.0217072	0.0143374	0.0163091	0.0105783	0.0150903	0.0132356	0.0101027	0.0140774	0.0138646	0.0100869	0.0134575	0.0135609	0.00663311	0.0370514	0.0217733	0.0270765	0.052657	0.0420711	0.0552364	0.0533917	0.0543126	0.0504165	0.0899885
