 	a66	a87	a23	a13	a57	a82	a53	a20	a15	a7	a69	a93	a4	a53	a15	a79	a44	a25	a90	a15	a69	a93	a61	a47	a96	a94	a54	a6	a37	a56	a31	a18	a20	a36	a2	a57	a87	a23	a87	</S>
l'	0.02334	0.046828	0.0243677	0.0200236	0.077969	0.0249143	0.0292482	0.0179677	0.0133669	0.0146044	0.0236504	0.0171614	0.0311729	0.0328682	0.0085	0.00664038	0.00665209	0.00692601	0.0135047	0.0132938	0.0144297	0.0190699	0.0330614	0.0340481	0.0250597	0.0152336	0.00894975	0.0176095	0.0192741	0.0272332	0.0252852	0.020879	0.0243198	0.0218737	0.01888	0.024241	0.0217339	0.0379074	0.0390325	0.098879
esprit	0.00388441	0.00591977	0.00639021	0.0103386	0.0207617	0.0341637	0.0421422	0.0263403	0.0522873	0.0196271	0.0678477	0.0246257	0.0365157	0.0494925	0.0227248	0.0536155	0.0285384	0.0318011	0.0473884	0.0631419	0.049253	0.0580719	0.0586615	0.039941	0.0732287	0.0246641	0.0126548	0.00986571	0.00743128	0.00525073	0.00152894	0.000806804	0.00131879	0.000650487	0.000587924	0.000741725	0.000714925	0.00172382	0.00152521	0.00383173
de	0.0281305	0.0297708	0.0332501	0.0605055	0.0489928	0.0668835	0.0472138	0.0335831	0.0297599	0.0319133	0.0157788	0.0534106	0.0217777	0.042661	0.0294249	0.0212861	0.0265002	0.0266025	0.0226397	0.0252514	0.0140441	0.00966349	0.00837922	0.0132615	0.0129095	0.0133849	0.00774771	0.0105773	0.00918885	0.00835393	0.0100283	0.0207077	0.0169757	0.0134022	0.0139873	0.0167766	0.0233822	0.0244747	0.0290351	0.0283834
sa	0.0224162	0.0152354	0.0140495	0.0154784	0.0167043	0.0264492	0.0267811	0.0252514	0.024123	0.0296868	0.0144531	0.033082	0.01322	0.0206811	0.0249329	0.0179356	0.0224652	0.0162003	0.0144066	0.00897084	0.00644027	0.00780324	0.00723334	0.00633064	0.00813044	0.00644867	0.00586029	0.0130149	0.015771	0.0202001	0.036343	0.0332186	0.0393965	0.042872	0.0382249	0.0438104	0.0558857	0.0703443	0.0522588	0.0878899
mère	0.0165251	0.0153571	0.02161	0.0210018	0.0211456	0.0235118	0.0278078	0.0387653	0.0417059	0.0335425	0.0306014	0.0494086	0.0236103	0.0290996	0.0581241	0.0525289	0.0566139	0.0478918	0.0246374	0.0259466	0.0246451	0.0297602	0.0243316	0.0248197	0.0207248	0.0206022	0.0237647	0.0158504	0.012067	0.0133573	0.00994151	0.00435835	0.00578385	0.00675727	0.008628	0.0116541	0.00907384	0.0197237	0.0232753	0.0314459
l'	0.0228498	0.0282414	0.0218353	0.0241735	0.0277184	0.0446477	0.0230406	0.0173906	0.014691	0.00952109	0.0106809	0.0105007	0.00963212	0.00872588	0.0221185	0.0290793	0.0300553	0.0422711	0.0455632	0.0357483	0.0431441	0.054719	0.0416679	0.0388617	0.0235051	0.025694	0.0401284	0.0353392	0.0225086	0.0177934	0.0197419	0.0234445	0.0259935	0.0200004	0.0175919	0.012934	0.0125972	0.0129367	0.0151889	0.017725
envoûte	0.040422	0.0394254	0.0387078	0.0374291	0.0412995	0.0416787	0.0303842	0.0290782	0.0383431	0.0184456	0.0256946	0.0353097	0.0252003	0.0354499	0.0295066	0.0363342	0.0237085	0.0253188	0.0196233	0.0220879	0.016362	0.021019	0.0163845	0.0158242	0.0129615	0.0143594	0.0156867	0.0134064	0.0144573	0.0184729	0.0184981	0.0121035	0.0101414	0.0131413	0.0145958	0.0176761	0.0198818	0.0296601	0.0291658	0.0427553
depuis	0.0312205	0.032908	0.0224995	0.0179733	0.0208537	0.0270596	0.0215538	0.0207503	0.0225533	0.0273574	0.0243497	0.0452999	0.0262977	0.0376726	0.0432215	0.0381988	0.0370428	0.0324865	0.0232735	0.0306519	0.0311595	0.0363619	0.0510453	0.0259132	0.0200987	0.0219469	0.0185052	0.0162522	0.0137811	0.0155957	0.0167316	0.0117617	0.0121276	0.0165073	0.017401	0.0179053	0.0183524	0.018562	0.0179731	0.0187939
deux	0.0228615	0.0239915	0.0256474	0.024901	0.022183	0.0247237	0.0178216	0.0219983	0.023327	0.0238049	0.0327023	0.0489462	0.0333237	0.0440466	0.0533597	0.0625089	0.0470129	0.0295408	0.0207078	0.0121785	0.00776058	0.00538091	0.0073739	0.00602082	0.00550168	0.00877285	0.0110537	0.0156331	0.0211672	0.0287341	0.032197	0.0252597	0.0206118	0.0227775	0.0173669	0.0197699	0.0250169	0.0358313	0.031626	0.0365567
ans	0.0128718	0.0107389	0.0118586	0.013436	0.0152509	0.0147769	0.0123448	0.0277978	0.0184402	0.034749	0.0312647	0.0572885	0.0435371	0.0452186	0.0507463	0.0444608	0.0430025	0.0382946	0.0315672	0.0226413	0.016802	0.0141772	0.0217862	0.0190627	0.0181555	0.0200808	0.0156669	0.0198525	0.0214955	0.026939	0.0244544	0.0185794	0.0227851	0.0204127	0.0185993	0.0201808	0.0238921	0.0273591	0.0269041	0.0225282
</S>	0.0257431	0.0479627	0.0345012	0.0226699	0.0281618	0.0131576	0.00876647	0.00948298	0.0089422	0.00853275	0.0220439	0.0212103	0.0324334	0.036892	0.0199141	0.020076	0.0136801	0.0142054	0.019831	0.0166397	0.0126393	0.0120817	0.0210125	0.0126303	0.00931501	0.0105282	0.0107567	0.0160701	0.0152189	0.0304692	0.031796	0.0197938	0.0231401	0.0260112	0.0331708	0.045884	0.0558992	0.0555994	0.0544013	0.0787359
