 	a66	a87	a23	a40	a7	a4	a54	a37	a12	a5	a37	a11	a94	a66	a18	a71	a38	a25	a87	a23	a87	</S>
on	0.0308851	0.0696361	0.132064	0.172543	0.116484	0.0902119	0.062005	0.034612	0.014359	0.00389189	0.0015601	0.00316163	0.00612805	0.00895908	0.016617	0.026484	0.032896	0.038529	0.0336971	0.0251209	0.0232243	0.0569318
construit	0.0183999	0.012493	0.0120457	0.0336647	0.0831736	0.10647	0.0886436	0.0869227	0.068915	0.040249	0.0420045	0.0435933	0.0516429	0.035422	0.039165	0.0356668	0.0338153	0.0313188	0.0325267	0.036644	0.0328727	0.034351
la	0.0747293	0.0711907	0.0784759	0.0786685	0.0661049	0.0491654	0.0636192	0.0424137	0.0310866	0.0179602	0.0091538	0.0091807	0.0183779	0.0434174	0.0529263	0.0492974	0.0574276	0.0369266	0.0378498	0.0422175	0.0338558	0.0359547
cage	0.0391022	0.0457825	0.0650416	0.0751529	0.102898	0.150622	0.0795661	0.0331262	0.0410446	0.0600537	0.0809319	0.0261511	0.0222939	0.0243777	0.0237445	0.0305459	0.019392	0.0219211	0.0163493	0.0152888	0.0100452	0.0165696
des	0.105631	0.0441371	0.0408846	0.02232	0.0106951	0.0157085	0.0256122	0.0272435	0.0287968	0.0159941	0.0288326	0.0411893	0.0336422	0.0415908	0.0390968	0.0730259	0.0694129	0.0672565	0.0694733	0.0527155	0.0529895	0.0937515
oiseaux	0.0562042	0.0361232	0.0278993	0.0158182	0.00749943	0.00643179	0.0139736	0.0275225	0.0435293	0.0397484	0.0285611	0.0342961	0.0375567	0.0621861	0.0477524	0.0803724	0.137203	0.0918204	0.0796482	0.0568604	0.031306	0.0376876
avec	0.0787632	0.0538503	0.0438911	0.0299344	0.0164238	0.0156374	0.0134908	0.0230989	0.02225	0.0200751	0.0181553	0.047968	0.0618771	0.0853305	0.0700075	0.0629906	0.0373652	0.0513562	0.0597968	0.0394269	0.0384674	0.109844
la	0.0680949	0.0460481	0.0404675	0.0249221	0.0289419	0.0273788	0.0283798	0.0383039	0.0360717	0.0247909	0.0274788	0.028074	0.026375	0.0275919	0.03592	0.0522184	0.0912416	0.0643025	0.0762164	0.0618301	0.0691006	0.0762507
partie	0.0678702	0.0489048	0.0411729	0.0123338	0.00684659	0.00344205	0.00579324	0.0186812	0.0208078	0.0207917	0.0257873	0.0312477	0.0358238	0.0419833	0.0473806	0.0463272	0.0547935	0.0651334	0.0813259	0.100021	0.108019	0.115513
intérieure	0.0685553	0.0432016	0.0246019	0.00706267	0.00367162	0.00211829	0.00307073	0.00867723	0.0108809	0.00545032	0.00560996	0.0107469	0.0120702	0.0191238	0.0223299	0.0533144	0.0832398	0.0832131	0.128997	0.119533	0.125909	0.158623
du	0.173032	0.103651	0.0606319	0.0135307	0.00885932	0.0122867	0.0101311	0.0120978	0.0134084	0.00533649	0.00423531	0.00433489	0.00375144	0.00597128	0.0128653	0.0292463	0.0503494	0.0561645	0.0793995	0.0875573	0.127346	0.125814
bambou	0.108332	0.110857	0.101409	0.0158086	0.00813225	0.00528487	0.00665165	0.0122906	0.0309149	0.0168554	0.0169007	0.0158554	0.0108092	0.0117161	0.00968024	0.0296944	0.0660259	0.0615759	0.0793919	0.0734146	0.0780422	0.130357
</S>	0.037071	0.0283977	0.0260262	0.00763349	0.00650024	0.00527772	0.00433787	0.00249262	0.00290314	0.00193609	0.00164494	0.00539561	0.0163166	0.0431428	0.0436373	0.0503719	0.0929774	0.0764791	0.121663	0.110159	0.12541	0.190227
