 	a66	a87	a23	a79	a7	a36	a75	a85	a6	a36	a21	a47	a56	a44	a34	a96	a75	a47	a6	a36	a6	a36	a27	a82	a87	a23	a38	</S>
le	0.0448994	0.114757	0.0458428	0.0639051	0.0424388	0.044395	0.0411556	0.0182787	0.0136118	0.0120191	0.0112261	0.00546094	0.0123403	0.00616589	0.0086646	0.00596647	0.00779373	0.00884374	0.0253338	0.0362776	0.0448345	0.0572135	0.0555072	0.0725423	0.0521947	0.0421507	0.0436516	0.0625285
toit	0.0104834	0.0139838	0.010867	0.0155414	0.0709929	0.067219	0.176932	0.154017	0.181096	0.205182	0.0337197	0.0203134	0.0154596	0.00585487	0.0029764	0.00117196	0.000664186	0.000438784	0.000571039	0.000849459	0.00057924	0.000588567	0.00104005	0.00122367	0.00168997	0.00165525	0.00267812	0.00221088
de	0.0323273	0.0195679	0.0239817	0.0286393	0.0565948	0.102149	0.0759266	0.0602456	0.0461328	0.0225793	0.0343636	0.0349628	0.0711601	0.0806296	0.0343189	0.0242141	0.0150371	0.00213035	0.0135353	0.0223124	0.0181888	0.0163897	0.0186498	0.0263203	0.0288942	0.0308285	0.0471997	0.0127201
cette	0.0917062	0.0357086	0.0259187	0.00815458	0.00965756	0.0101361	0.00889918	0.010851	0.00752533	0.00731756	0.00633364	0.00857385	0.0190299	0.0243581	0.0284444	0.0424278	0.0410892	0.0448432	0.067908	0.0417506	0.0284407	0.0276465	0.0331456	0.0309504	0.0723989	0.0833073	0.0985231	0.0849543
maison	0.045922	0.0115023	0.0115637	0.0143186	0.0217792	0.0255514	0.0242743	0.0245704	0.0140812	0.011399	0.0245212	0.014863	0.0347104	0.0403286	0.0269871	0.0311662	0.0280549	0.0198075	0.0394938	0.0233132	0.045039	0.0251379	0.0411529	0.038805	0.119041	0.0697631	0.0924163	0.0804363
est	0.0258373	0.0177963	0.0301874	0.0401685	0.0260817	0.0198239	0.0132985	0.0227166	0.0260532	0.0177869	0.0300196	0.0282398	0.0537266	0.0710473	0.0556193	0.0504707	0.0472437	0.0365958	0.0374105	0.0244582	0.028177	0.0289198	0.0332936	0.0331148	0.0395617	0.0500994	0.0603388	0.0519131
fait	0.0108126	0.0124069	0.0136553	0.0152658	0.00868501	0.00750359	0.00498452	0.00889359	0.00856452	0.00959087	0.0170321	0.0166314	0.0343793	0.0617555	0.0435799	0.037066	0.0535412	0.0389163	0.0380993	0.0285397	0.088012	0.0719149	0.0818055	0.0745586	0.0702649	0.0496933	0.052666	0.0411813
en	0.0303781	0.0185057	0.0233404	0.0190091	0.0111778	0.00877227	0.0068447	0.0107285	0.00596864	0.00918224	0.0120501	0.00728907	0.0113664	0.0178076	0.0161376	0.0229144	0.0520348	0.0323613	0.0464646	0.0367209	0.0698821	0.0675919	0.0764776	0.069972	0.089985	0.0679609	0.0714667	0.0876097
tôles	0.0251148	0.0251598	0.0258027	0.0354873	0.0151774	0.0130569	0.0123917	0.0171868	0.00864318	0.00922931	0.0109264	0.0127405	0.0158027	0.0188799	0.0159938	0.0244373	0.0346823	0.0101209	0.0357623	0.0272328	0.0630902	0.055903	0.0832189	0.0856967	0.10561	0.0666373	0.0775689	0.0684457
</S>	0.0406621	0.0509736	0.0496965	0.0273962	0.0158328	0.00638577	0.00468667	0.00991915	0.00404315	0.00334865	0.00241037	0.00167482	0.00400106	0.00591603	0.00732787	0.0153178	0.0274002	0.0315616	0.0255982	0.0202595	0.0634409	0.0673098	0.071968	0.0685951	0.101569	0.0661853	0.106768	0.0997522
