 	a66	a87	a23	a53	a44	a56	a62	a47	a88	a0	a31	a12	a47	a96	a43	a0	a75	a5	a21	a12	a36	a85	a6	a36	a37	a26	a57	a10	a97	a87	a23	a99	a87	</S>
le	0.0496946	0.0901254	0.0924488	0.108916	0.0921783	0.0565689	0.0240432	0.0252095	0.0190453	0.0152637	0.00707844	0.00549503	0.00634197	0.00543653	0.00453646	0.00444239	0.00496484	0.00586979	0.00960129	0.0065288	0.021817	0.0258622	0.0258086	0.0312487	0.0192045	0.0369488	0.0487115	0.034137	0.0289979	0.023293	0.0154728	0.0194995	0.014631	0.0205783
terrier	0.0062135	0.0194429	0.0311336	0.0261709	0.101749	0.0823587	0.066042	0.0882316	0.0624116	0.055744	0.0490693	0.0435175	0.035147	0.033853	0.0798478	0.106975	0.0443469	0.0355265	0.0033245	0.00810694	0.00541705	0.00409257	0.00141387	0.0012134	0.00120728	0.00083397	0.00090678	0.000582375	0.000858194	0.000574723	0.000468419	0.00128551	0.000805688	0.0011272
du	0.0655392	0.0718833	0.08243	0.042597	0.0610772	0.0353188	0.0297423	0.0524797	0.0712868	0.0585337	0.0546523	0.0677484	0.0279029	0.0231341	0.0258398	0.0496759	0.0204133	0.0207294	0.0129016	0.0172686	0.0141265	0.0111378	0.0113141	0.0127101	0.00830921	0.00926394	0.00734299	0.00543378	0.00573191	0.0045125	0.00251998	0.00378861	0.00987053	0.00278384
blaireau	0.0993209	0.0629747	0.0590669	0.036732	0.0282896	0.0287554	0.0307287	0.0492105	0.0329146	0.0457778	0.0276462	0.0341404	0.0199234	0.0141923	0.0127519	0.0208281	0.0135875	0.013358	0.0189648	0.0196039	0.0206678	0.024731	0.0270351	0.0420471	0.0384429	0.0255999	0.0198361	0.0151225	0.0156787	0.0178738	0.0144518	0.0170206	0.0215962	0.0311289
que	0.0346994	0.0312283	0.0315594	0.0187631	0.0172416	0.0200291	0.0304144	0.0560949	0.0682285	0.0666519	0.0793568	0.100788	0.0929444	0.0740239	0.0468464	0.0329237	0.018608	0.0118143	0.0144879	0.0121229	0.0162834	0.0126694	0.00847342	0.00689042	0.00875687	0.00668423	0.00958169	0.010637	0.00836512	0.00619086	0.00994086	0.0130523	0.0120164	0.0116308
nous	0.0467098	0.0545568	0.0509706	0.0474104	0.0435033	0.0550518	0.0575001	0.0595273	0.0474063	0.038861	0.0225741	0.0254966	0.0154702	0.0224116	0.0173685	0.0180054	0.0209637	0.0177499	0.0202467	0.0154759	0.0255797	0.0381041	0.0275935	0.0423238	0.0223963	0.0185042	0.0163356	0.0197343	0.0126555	0.0236348	0.0137239	0.0142083	0.0101252	0.0178206
avons	0.0288427	0.0340279	0.0168333	0.0159728	0.00766605	0.0104716	0.00778185	0.0129177	0.018123	0.0155793	0.0183834	0.0214589	0.0239485	0.0320141	0.0320593	0.0289949	0.0503879	0.0435919	0.0536615	0.0507493	0.0570101	0.0573226	0.0427204	0.0391414	0.0353414	0.0263825	0.0347506	0.0322856	0.0231282	0.0290637	0.0179395	0.0322916	0.0220144	0.0271422
suivi	0.018892	0.0187068	0.0133374	0.0113765	0.00747877	0.0118315	0.00987744	0.0172882	0.0195997	0.0139663	0.0141059	0.015809	0.0209391	0.0225539	0.0203413	0.0136648	0.0225004	0.0218336	0.0267365	0.039416	0.0319722	0.0506509	0.0431899	0.0481258	0.0431479	0.048124	0.0608325	0.0617433	0.044318	0.0475329	0.0349147	0.0451638	0.0399879	0.0400414
était	0.0262179	0.0126967	0.0106432	0.0106181	0.00903683	0.0106619	0.00605816	0.0075709	0.0198527	0.0173468	0.0220757	0.022827	0.0184941	0.0262886	0.0219042	0.0258596	0.0259822	0.0376813	0.0418393	0.0376608	0.0443642	0.0530042	0.0579481	0.0531442	0.0389927	0.0473375	0.0655021	0.0576833	0.0366787	0.0430002	0.0186064	0.0271843	0.03086	0.0143784
déjà	0.0212586	0.0159387	0.0165012	0.0110705	0.00878078	0.0144789	0.0123593	0.0174427	0.0194306	0.0132004	0.0140113	0.0161989	0.0125564	0.0181739	0.0172323	0.0190936	0.0251856	0.0445076	0.061472	0.0533458	0.0633124	0.0393962	0.0359121	0.0298779	0.037164	0.0371126	0.0420471	0.0448653	0.0376653	0.0413632	0.0321505	0.04207	0.0387178	0.0461066
abandonné	0.0170478	0.0116395	0.0139978	0.0111825	0.00934865	0.014158	0.0104965	0.0139127	0.0157686	0.0132322	0.0149485	0.0166068	0.0137409	0.0157723	0.0156081	0.0154929	0.0185968	0.0292277	0.0443787	0.0372266	0.0484631	0.037242	0.0391715	0.0283334	0.0396563	0.0387366	0.0447397	0.0507955	0.0385485	0.0556648	0.0371636	0.0664521	0.0714172	0.0512322
</S>	0.0216535	0.0208806	0.0138706	0.0174068	0.0165822	0.0211161	0.0142992	0.0106504	0.00687583	0.00367117	0.00269818	0.00264146	0.00192574	0.00204771	0.00228224	0.00189148	0.00390052	0.0113232	0.0267479	0.0288434	0.0464063	0.0515826	0.0504696	0.0434159	0.0452992	0.0519759	0.0615517	0.0801391	0.0470326	0.0609002	0.0427536	0.0634762	0.0579058	0.0657828
