 	a85	a87	a23	a87	a23	a10	a87	a97	a83	a70	a75	a5	a61	a75	a85	a37	a98	a41	a61	a75	a44	a54	a37	a11	a75	a66	a90	a57	a53	a4	a57	a82	a97	a87	a97	a87	a10	a38	a66	a9	a99	a97	a87	</S>
je	0.0335963	0.0317335	0.0439106	0.0373815	0.0334233	0.0242458	0.0223043	0.0175258	0.0146214	0.0108387	0.0189815	0.0101376	0.00985309	0.0146696	0.0134563	0.0119172	0.0107286	0.00800533	0.00986813	0.014512	0.0302457	0.0447126	0.0214108	0.0438674	0.0230135	0.0313486	0.0189412	0.0274771	0.0270815	0.0173918	0.0283894	0.0270568	0.024442	0.0278996	0.0365413	0.0492647	0.0263353	0.0149716	0.0117394	0.0219559	0.015478	0.0111001	0.0106987	0.0169266
prépare	0.0244478	0.0217185	0.0197009	0.0171156	0.0269138	0.0549328	0.0447014	0.0487286	0.060075	0.052684	0.0325251	0.0282799	0.0167954	0.0134702	0.00736902	0.0143666	0.0123166	0.0142288	0.0276529	0.0327429	0.0415305	0.0341093	0.0484167	0.027138	0.0294195	0.00852968	0.0127787	0.0146348	0.00983377	0.0123157	0.0122377	0.0155321	0.008563	0.0107467	0.0119344	0.0113983	0.0127801	0.0151341	0.0117783	0.0125733	0.0206186	0.01638	0.0169462	0.0139049
la	0.0629976	0.0313149	0.0258178	0.0194892	0.0156388	0.0180379	0.0116841	0.0148086	0.0124933	0.0130268	0.0115968	0.012103	0.0110576	0.0158858	0.0219067	0.0160083	0.0128476	0.00934857	0.0100481	0.00994933	0.0143668	0.0129916	0.0185772	0.0209805	0.0178706	0.0125372	0.0187139	0.0523292	0.0335214	0.0216946	0.0255531	0.0177371	0.0225358	0.0134266	0.0232009	0.0186323	0.031445	0.0273311	0.0359203	0.0317354	0.0455512	0.0365984	0.0402148	0.0504741
viande	0.0194215	0.0268062	0.0164391	0.0159875	0.0202859	0.0256593	0.0252634	0.022509	0.0171374	0.0321671	0.0124539	0.0211356	0.0320885	0.0263685	0.052903	0.0270546	0.0158797	0.0236147	0.0238601	0.0298423	0.0343531	0.0611084	0.0913115	0.0349795	0.0435236	0.0394592	0.0323537	0.0120933	0.0120955	0.0160196	0.016993	0.00898667	0.00818591	0.00960272	0.0129444	0.020271	0.0173381	0.00642696	0.00561919	0.00549172	0.0038568	0.00611457	0.00581544	0.00817874
à	0.0396835	0.0479334	0.0277181	0.0195774	0.0147592	0.0142001	0.00887436	0.0102399	0.0112103	0.0139337	0.009193	0.0205114	0.0163295	0.0122297	0.0110981	0.0104015	0.0049513	0.00617523	0.00793714	0.00773176	0.00928004	0.0103978	0.00873576	0.0110793	0.0102225	0.0089015	0.00973262	0.00980092	0.0118872	0.0139269	0.0216255	0.0193313	0.0264444	0.0194725	0.0313697	0.0331305	0.0411589	0.0359573	0.0431735	0.0420291	0.0485162	0.0666047	0.0456746	0.106859
la	0.0623784	0.0385999	0.0193617	0.0174216	0.0101154	0.0104178	0.00569334	0.00727909	0.00727998	0.0121737	0.0189007	0.035376	0.0214191	0.0131591	0.0133253	0.00615428	0.00965217	0.0218364	0.0206216	0.0162231	0.0199884	0.0297126	0.0283793	0.0444071	0.0268847	0.0230807	0.0143785	0.017484	0.0249175	0.0199544	0.0266875	0.0199936	0.0316984	0.0209698	0.0211212	0.0203796	0.0291363	0.0171431	0.0360102	0.0323685	0.0279156	0.0446342	0.0406479	0.0147182
sauce	0.0752021	0.075038	0.0631738	0.038835	0.0290305	0.0208056	0.0123859	0.0113757	0.00905842	0.0139789	0.0144682	0.018256	0.0132731	0.0102277	0.0101874	0.00583425	0.00482656	0.00650454	0.0103438	0.0115066	0.0182168	0.0182328	0.0122256	0.0164738	0.0145048	0.0170806	0.0123724	0.01128	0.010255	0.0114292	0.0169012	0.0207526	0.0384634	0.0199695	0.0276541	0.0204177	0.0152618	0.0194403	0.027313	0.0220098	0.0283531	0.0729088	0.038061	0.0361107
d'	0.0707723	0.0217143	0.0139137	0.014409	0.0141986	0.0118515	0.00795713	0.00773643	0.00295339	0.00246545	0.00600686	0.00329986	0.00282486	0.00183832	0.00120379	0.0009352	0.00137007	0.00183108	0.00263332	0.00313663	0.00741127	0.0102822	0.0040898	0.0161886	0.0133176	0.0155691	0.00903572	0.0265013	0.0249379	0.0178766	0.0203482	0.015733	0.0330054	0.0240752	0.0319934	0.0275927	0.0344455	0.0347392	0.0817807	0.0511346	0.0810358	0.087437	0.0888457	0.0495716
arachide	0.0435502	0.0289777	0.0220538	0.0197094	0.0203095	0.0193448	0.00960447	0.00963388	0.00570843	0.0077071	0.00713521	0.00572162	0.00483085	0.00448465	0.00475628	0.00350818	0.00380378	0.00450561	0.00509005	0.00517067	0.0109049	0.0152223	0.0087736	0.0171892	0.0128665	0.0178041	0.0115881	0.0220764	0.0206344	0.0202562	0.0311563	0.0219239	0.0457178	0.0385601	0.0537969	0.04934	0.036966	0.0252691	0.037774	0.0577991	0.0495129	0.039165	0.0484264	0.0716706
</S>	0.0332065	0.0209662	0.0166704	0.0125241	0.00962379	0.00727227	0.0024515	0.0026972	0.00129423	0.00211711	0.00305816	0.0020414	0.00194398	0.0018575	0.00198879	0.00133054	0.00115184	0.00136846	0.00227463	0.00298815	0.00635253	0.0107293	0.00376721	0.014416	0.0174104	0.0152612	0.014969	0.0290092	0.0341622	0.0237096	0.0282219	0.0217495	0.0439652	0.0288279	0.0653685	0.0482887	0.0436427	0.0259828	0.0533377	0.0788485	0.0641358	0.0579995	0.0557662	0.0852515
