 	a66	a87	a23	a79	a4	a83	a62	a21	a85	a47	a36	a54	a47	a37	a44	a34	a21	a5	a23	a88	a71	a9	a87	a23	a87	a23	a87	</S>
au	0.0513123	0.0638471	0.0453459	0.0736403	0.0891635	0.0912493	0.0693456	0.0207228	0.0150383	0.0106729	0.0116322	0.0137703	0.0141747	0.0112272	0.0194314	0.00815756	0.0214554	0.0386311	0.0388695	0.0415002	0.0540877	0.0502789	0.0314899	0.0195318	0.0214765	0.0265479	0.019174	0.0282256
terme	0.00171233	0.00449059	0.00868751	0.0199807	0.0128212	0.0516664	0.0775422	0.169457	0.152737	0.150543	0.122867	0.0828525	0.0446953	0.0254173	0.0147794	0.0229375	0.00103017	0.00413242	0.00259031	0.00283023	0.0031133	0.0032246	0.00498911	0.0040436	0.003577	0.00218834	0.00302488	0.00206911
de	0.0256771	0.0265727	0.0165508	0.0143904	0.0201863	0.0523425	0.0808451	0.0895252	0.0708193	0.0838728	0.0749404	0.0681777	0.0644566	0.04387	0.0370756	0.0309996	0.00596779	0.025509	0.0193001	0.00878618	0.0156172	0.0163048	0.0204973	0.0250045	0.0202017	0.0171618	0.0188989	0.00644849
la	0.0494885	0.0493429	0.0802837	0.037318	0.0127367	0.0185069	0.0201076	0.0259302	0.0181397	0.016828	0.0226767	0.0281405	0.0361969	0.0353535	0.0281165	0.063674	0.0300363	0.0404785	0.02896	0.0219803	0.0285102	0.0316939	0.0273674	0.0469511	0.047693	0.0330554	0.0552462	0.0651872
saison	0.0327522	0.0303817	0.0396112	0.030811	0.0232335	0.00912037	0.0102534	0.0088558	0.00757868	0.0190808	0.0271586	0.037173	0.0493144	0.0421162	0.0445614	0.0353127	0.041685	0.0322894	0.0244138	0.0480018	0.0506758	0.048866	0.0342654	0.0501404	0.0775624	0.0356271	0.0691701	0.0399876
des	0.0319498	0.0177788	0.0221569	0.0187563	0.0138341	0.0190563	0.0359744	0.0348111	0.0489696	0.0714243	0.0531333	0.0416378	0.0349193	0.034731	0.0387375	0.0642313	0.0308691	0.0366008	0.0316591	0.0350713	0.0464356	0.0433438	0.030634	0.0292358	0.0344905	0.0323474	0.034278	0.0329327
pluies	0.0218982	0.0229313	0.0166902	0.0177918	0.0111999	0.014639	0.017015	0.0192137	0.0175775	0.0332902	0.0447266	0.0613144	0.0890211	0.066038	0.0531242	0.0634186	0.048594	0.031078	0.0382407	0.055662	0.0540288	0.0452757	0.0351529	0.0363279	0.0235194	0.0258531	0.0203437	0.0160341
il	0.0531469	0.0472106	0.0318257	0.0193141	0.0127374	0.0182826	0.0369212	0.0430188	0.0687901	0.0686879	0.036415	0.0353642	0.024241	0.0314343	0.038424	0.0145942	0.0300042	0.0278305	0.029593	0.0338084	0.048397	0.0350611	0.0225706	0.0316356	0.0394922	0.0459035	0.0431589	0.0321371
fait	0.0449953	0.0517594	0.0503225	0.0357573	0.0162397	0.0224204	0.0420486	0.0522498	0.05433	0.0413409	0.022843	0.0151801	0.0117343	0.0138623	0.0184402	0.0158636	0.0297966	0.0280123	0.0346231	0.0425212	0.0341748	0.0356817	0.0265799	0.0281991	0.0383401	0.0484414	0.0735787	0.0706638
froid	0.0576652	0.0593812	0.0581289	0.0568254	0.0192224	0.0216318	0.0342791	0.028124	0.0230642	0.0226695	0.0197575	0.0215551	0.0160294	0.0135291	0.0227194	0.0186135	0.0263922	0.029051	0.0322066	0.0257238	0.0303817	0.0279585	0.0279805	0.0284784	0.0417578	0.0559464	0.0738659	0.107062
</S>	0.0381132	0.0429444	0.0479016	0.0571225	0.0147853	0.018202	0.024673	0.0193628	0.0140333	0.0122593	0.00887662	0.00819271	0.00702689	0.00692069	0.0119509	0.00933593	0.0193969	0.0236763	0.0272243	0.0244251	0.0364474	0.0399429	0.0380987	0.0381798	0.0488014	0.0807305	0.0996105	0.181765
