 	a87	a23	a75	a41	a94	a26	a24	a26	a24	a32	a25	a38	a75	a41	a35	a76	a94	a24	a71	a38	a25	a94	a76	a90	a57	a38	a21	a41	a73	a84	a87	a23	a87	</S>
son	0.0813122	0.0979886	0.112371	0.0974956	0.0515087	0.0260066	0.0154898	0.0193681	0.0143465	0.018663	0.0152135	0.0206024	0.0145076	0.0150544	0.0173278	0.0172938	0.0129639	0.0138702	0.0146449	0.01179	0.0150988	0.0117661	0.00927644	0.0220147	0.0214997	0.0154104	0.0135444	0.0292884	0.0374643	0.0454166	0.0196698	0.0221998	0.0111818	0.0383504
père	0.0071144	0.00881117	0.0106641	0.00966587	0.00860038	0.0114063	0.0344068	0.052513	0.0638754	0.052765	0.099294	0.0979884	0.0756678	0.0654227	0.0498671	0.0639151	0.0233103	0.0293327	0.0325675	0.00995606	0.0229347	0.017188	0.0337954	0.0341593	0.0149156	0.0155756	0.00828633	0.00388351	0.00713041	0.00644638	0.00583337	0.00600546	0.00729173	0.00941027
a	0.0149963	0.0158122	0.0228357	0.0251308	0.0212836	0.042149	0.0386135	0.0603082	0.0462671	0.046392	0.0497166	0.0535377	0.0571356	0.0439497	0.0371451	0.0255148	0.0125525	0.0199308	0.00975732	0.00803976	0.0070273	0.00903485	0.00896503	0.01027	0.0067896	0.0093768	0.0139909	0.0290245	0.0252653	0.0134474	0.0197163	0.0327531	0.099094	0.0641767
besoin	0.0237963	0.0250698	0.0375968	0.0362033	0.0213992	0.0423768	0.0265305	0.0287235	0.0396613	0.025759	0.0299806	0.031281	0.0591766	0.0617783	0.0384822	0.0494567	0.0614392	0.044764	0.0425067	0.0333177	0.0335599	0.0245235	0.0273299	0.0201886	0.0149833	0.0148609	0.0109619	0.0104185	0.010126	0.0095932	0.0121282	0.0126629	0.0201802	0.0191839
de	0.131915	0.0962269	0.0475714	0.049618	0.0272619	0.0191294	0.00965941	0.00591769	0.00334068	0.00482306	0.00309763	0.00334576	0.00561592	0.00531544	0.00363186	0.00455516	0.00419469	0.00368076	0.00429537	0.0124545	0.00783375	0.00702156	0.0084405	0.0131482	0.0164801	0.0131198	0.0232538	0.0177312	0.0271483	0.0258865	0.0548776	0.0575907	0.0841876	0.19763
lui	0.0774245	0.0612673	0.0388886	0.0375222	0.0474133	0.0463801	0.0418083	0.0375902	0.0194302	0.0179084	0.0162127	0.0131184	0.0115872	0.0116056	0.0115929	0.0144093	0.00912702	0.00816786	0.00711593	0.0100584	0.0117411	0.0156105	0.0182732	0.0184982	0.017909	0.0201861	0.018156	0.0174756	0.0191749	0.0339209	0.0476312	0.0556795	0.0687416	0.0983733
pour	0.0434143	0.0404213	0.0379308	0.044772	0.046384	0.0711646	0.0618356	0.0670296	0.0436871	0.0356052	0.0387518	0.0333476	0.0275333	0.0275825	0.0200578	0.0307938	0.0130139	0.00937069	0.0187803	0.0281914	0.0204743	0.0166767	0.0131643	0.0103849	0.00454056	0.00517887	0.00305147	0.00288118	0.0132957	0.0187044	0.0329743	0.0330066	0.0382658	0.0477336
aller	0.051667	0.0450077	0.0298516	0.0374108	0.0424274	0.0280594	0.0156127	0.0102311	0.00448801	0.00594551	0.00736073	0.00761444	0.00657107	0.00833335	0.00624984	0.0136099	0.00795068	0.00616023	0.0086501	0.0115198	0.010698	0.00878536	0.0117101	0.0183114	0.0210638	0.0196653	0.0215067	0.0319651	0.0449414	0.0594712	0.0768423	0.0907712	0.0897963	0.13975
à	0.0329528	0.0335943	0.0134643	0.0155123	0.0191385	0.0196487	0.0217726	0.0205507	0.0108478	0.0111704	0.0193491	0.0156709	0.0184801	0.0132673	0.016426	0.0310374	0.0148277	0.0185744	0.0139769	0.0129093	0.0148415	0.0164495	0.0173082	0.0210166	0.0156834	0.0147275	0.0240885	0.0142896	0.0519564	0.0594994	0.0779404	0.0781789	0.0808648	0.139984
la	0.0270041	0.0219702	0.00913579	0.00786262	0.0109232	0.0102198	0.0108428	0.00932008	0.00975351	0.0076764	0.00979461	0.00740279	0.0111955	0.0105627	0.00921581	0.0129596	0.00752497	0.00969811	0.00880925	0.00743357	0.0086418	0.0111787	0.0116586	0.0167594	0.0199644	0.0171625	0.0338307	0.0160097	0.0391245	0.0433868	0.0782942	0.0872408	0.13325	0.264193
chasse	0.0541463	0.0433749	0.0358485	0.0389936	0.039642	0.0347803	0.0204893	0.018325	0.0148635	0.00928077	0.00699502	0.00907491	0.0141604	0.0147614	0.0102391	0.0161924	0.0098954	0.00839604	0.0141993	0.0201466	0.0231919	0.0239077	0.0198766	0.0292941	0.022833	0.0276712	0.0248579	0.0227188	0.0419338	0.0404962	0.0509557	0.0585837	0.107336	0.0725388
</S>	0.0545841	0.0482247	0.0221165	0.0280926	0.039471	0.0188644	0.00857939	0.00504106	0.00312708	0.00253886	0.00255503	0.00240833	0.0043262	0.00319931	0.00222757	0.00258451	0.00167827	0.00202268	0.00110619	0.00190315	0.00217491	0.00366523	0.00374609	0.00750762	0.0144797	0.0125531	0.0315865	0.0363238	0.05331	0.0932844	0.115719	0.130059	0.111551	0.129389
