 	a85	a66	a87	a23	a88	a71	a38	a62	a47	a62	a0	a24	a62	a21	a5	a36	a27	a75	a5	a37	a21	a47	a21	a5	a61	a96	a70	a13	a9	a99	a87	a23	a87	</S>
cette	0.067288	0.0902181	0.101146	0.0706804	0.052134	0.0508402	0.0260375	0.0134401	0.0163776	0.0124868	0.00954654	0.0123262	0.0166759	0.0129658	0.0121518	0.00897975	0.00939662	0.00963338	0.0144129	0.0151275	0.0171062	0.0140752	0.0224295	0.0262921	0.0334901	0.0205803	0.0220299	0.0329389	0.0225677	0.0317899	0.0178659	0.0396404	0.0298887	0.0474401
manière	0.0191148	0.0182206	0.0438751	0.0456256	0.0518622	0.038697	0.0531423	0.0406432	0.0510208	0.0530801	0.0230384	0.0251468	0.0708022	0.0570534	0.0688756	0.057399	0.0471616	0.0183229	0.0341721	0.0307082	0.0160412	0.0251113	0.0163485	0.0111239	0.00825167	0.00798526	0.00339822	0.0064691	0.00454598	0.00271533	0.0106729	0.00493969	0.0230413	0.0113935
de	0.028696	0.0170831	0.012939	0.0129292	0.0195945	0.0160938	0.0101134	0.0133836	0.0157393	0.0351045	0.0448544	0.0168532	0.026312	0.0126007	0.0235003	0.0279275	0.0279755	0.0494388	0.042065	0.0137363	0.0173455	0.024496	0.0171023	0.00953299	0.0171925	0.0156822	0.045984	0.043659	0.0718435	0.059233	0.0768996	0.0418565	0.0712755	0.0209573
faire	0.0368409	0.0255993	0.01489	0.0135041	0.014172	0.0202525	0.0109261	0.00987466	0.0179731	0.0210274	0.0391549	0.041462	0.0282714	0.0635411	0.058284	0.0874747	0.0695432	0.136108	0.0441109	0.0479264	0.0418896	0.0301917	0.0144676	0.0167473	0.0138326	0.00871662	0.0113856	0.00808094	0.00794902	0.00879021	0.00895553	0.00952405	0.0134372	0.00509485
couler	0.048352	0.040644	0.0351152	0.0265668	0.0332752	0.033034	0.0283232	0.0360702	0.0309179	0.0319172	0.0966022	0.055091	0.0588098	0.0385024	0.0401145	0.0379938	0.0600437	0.0877986	0.0279538	0.0270755	0.0207689	0.0411576	0.0138438	0.00816968	0.00773867	0.00382276	0.00271738	0.00353986	0.00476214	0.002829	0.00360299	0.00383912	0.00504712	0.00396002
les	0.0432948	0.0268138	0.0279858	0.0274106	0.0268654	0.0294955	0.030404	0.0362733	0.0314604	0.0307006	0.0378107	0.0336589	0.0379043	0.0171211	0.0150758	0.0097471	0.0219581	0.0301519	0.0319311	0.046938	0.0460747	0.0491256	0.0382085	0.0298941	0.0327345	0.0187329	0.0158372	0.0239115	0.0317952	0.0242163	0.0171033	0.0253177	0.0183992	0.035648
larmes	0.0195541	0.00856355	0.00879462	0.0138329	0.0124297	0.0226111	0.0230736	0.0582569	0.0381915	0.0448399	0.0621234	0.0443071	0.0380578	0.0185927	0.0197313	0.0198767	0.0328732	0.0431254	0.0350021	0.0345252	0.0567942	0.0374659	0.0341768	0.0195998	0.0225317	0.00834372	0.0309609	0.0212416	0.0391694	0.0353182	0.0264863	0.027089	0.0264917	0.0159683
est	0.018166	0.00945856	0.0106431	0.0170961	0.0146378	0.0294602	0.0237102	0.0314469	0.0306518	0.0386123	0.0313497	0.04539	0.0238007	0.0351162	0.0424344	0.044597	0.0383321	0.0588469	0.0321594	0.0287899	0.0314342	0.0329475	0.0434736	0.0266803	0.028881	0.0205649	0.0390478	0.0329748	0.0358668	0.0273162	0.0170959	0.0165738	0.0301158	0.0123284
celle	0.0118547	0.0117898	0.0118664	0.00877725	0.00748828	0.0111206	0.0129276	0.0203061	0.017338	0.0151368	0.0321102	0.0424103	0.0259093	0.0273999	0.028201	0.0339173	0.0245743	0.0294937	0.0193877	0.0162735	0.0185772	0.0193958	0.026913	0.0283369	0.022606	0.0293354	0.0574422	0.082469	0.0654613	0.0743489	0.0341123	0.0683709	0.0293612	0.0349872
des	0.0302473	0.027488	0.0207482	0.0137925	0.0140234	0.0190969	0.0261848	0.0246812	0.0272524	0.0232427	0.0229245	0.0240768	0.0234939	0.0136212	0.0112958	0.00863798	0.00879985	0.0113678	0.0109504	0.0114016	0.0131238	0.0137599	0.0179815	0.017049	0.0214608	0.0290366	0.0581975	0.0711488	0.0703669	0.0820324	0.062108	0.0840693	0.0492371	0.0371015
filles	0.0173734	0.0153973	0.0146844	0.0107878	0.0123453	0.0170914	0.020736	0.0245723	0.0292358	0.0319253	0.043924	0.0257554	0.0292748	0.01631	0.0224931	0.0188905	0.020363	0.0249984	0.0184867	0.0133365	0.0137399	0.0175766	0.0173949	0.0125948	0.0151695	0.0146738	0.0413703	0.0478468	0.0571746	0.0721941	0.059592	0.0873911	0.0603999	0.0549005
</S>	0.0373602	0.0351112	0.0374397	0.0232156	0.0174285	0.0157522	0.0156217	0.0124577	0.0154067	0.0103666	0.00861458	0.00789638	0.00912732	0.00495589	0.00375769	0.00300472	0.00550846	0.00598125	0.00863002	0.0121796	0.0147286	0.0186228	0.0242024	0.0261247	0.0330679	0.0328667	0.0547685	0.0768676	0.0436102	0.076657	0.0279526	0.0686792	0.061926	0.15011
