 	a87	a23	a79	a44	a54	a47	a85	a92	a61	a37	a0	a75	a85	a6	a36	a47	a88	a71	a9	a62	a88	a62	a34	a92	a37	a21	a47	a96	a18	a75	a47	a36	a7	a2	a57	a87	a23	a87	</S>
celui	0.0452482	0.0387939	0.0325076	0.0420161	0.0640173	0.0516223	0.0835126	0.0634982	0.0599376	0.0403573	0.0398299	0.0156175	0.016496	0.0155505	0.0179892	0.0146056	0.0145324	0.0108236	0.0124039	0.0133888	0.017041	0.0127069	0.00899346	0.0114307	0.0196792	0.013678	0.014765	0.0130658	0.0132673	0.0137722	0.00890934	0.0171626	0.0174245	0.010613	0.0149054	0.0137958	0.020338	0.0158659	0.0498372
qui	0.022421	0.0334562	0.0316762	0.0329753	0.0235151	0.0430196	0.0448275	0.0511286	0.0487561	0.0476988	0.0410513	0.0233982	0.0240928	0.0219131	0.0291668	0.0271934	0.0230056	0.0131907	0.0240947	0.0187392	0.0146055	0.00902553	0.0153104	0.00843136	0.0122434	0.0124477	0.0152092	0.014267	0.0149412	0.0265933	0.0222774	0.0155572	0.0222139	0.0405503	0.0335982	0.0308904	0.0208229	0.0229945	0.0227003
nous	0.0315931	0.0221232	0.0162431	0.0299445	0.0361351	0.0474986	0.0461477	0.0293178	0.02811	0.0149028	0.0175337	0.0224479	0.0313663	0.0187132	0.0402898	0.0324968	0.0226305	0.0133971	0.0162345	0.0102411	0.0106982	0.0116047	0.0101596	0.0106013	0.0117733	0.00858212	0.0170574	0.0182865	0.012881	0.0244983	0.0169072	0.0161467	0.0199244	0.0361249	0.0451736	0.0370513	0.0442382	0.0639153	0.0570093
a	0.0539037	0.0245276	0.0189767	0.016321	0.0164198	0.0194522	0.0200299	0.0113772	0.011753	0.0167886	0.0193629	0.0251691	0.0302503	0.0346755	0.0263751	0.0291966	0.0255216	0.0185918	0.0308348	0.0207002	0.0297221	0.0243082	0.0256021	0.0230708	0.0384812	0.0284021	0.032991	0.0243944	0.0243847	0.0243737	0.017814	0.0196051	0.019104	0.039965	0.0236516	0.0272617	0.0304125	0.0240189	0.0522093
lancé	0.0590395	0.0459418	0.0322181	0.0200733	0.0203785	0.0264509	0.0382885	0.0233597	0.0281724	0.0278046	0.0276283	0.0250921	0.0212322	0.0199254	0.035601	0.0278562	0.0521709	0.041215	0.0394669	0.0194996	0.018805	0.0177846	0.0246704	0.0136318	0.0117437	0.0224891	0.0251234	0.0250079	0.0169332	0.0198481	0.0162509	0.0195416	0.0141371	0.0203085	0.0146975	0.0208141	0.0241211	0.0240938	0.0185832
les	0.024315	0.0144646	0.0145836	0.0274977	0.0498154	0.049234	0.0877143	0.0713807	0.0670405	0.067646	0.0364177	0.0420236	0.0263685	0.0245832	0.0239253	0.0254028	0.0468975	0.0317152	0.0443393	0.0254135	0.0233032	0.0155993	0.0118019	0.0125302	0.0157231	0.008062	0.0202709	0.0133737	0.0116389	0.0118041	0.0053237	0.00535728	0.00361351	0.0131496	0.00783276	0.00547948	0.00572967	0.00592853	0.00269988
pierres	0.0479519	0.0231613	0.0111964	0.0139871	0.025286	0.0159853	0.0147374	0.0170569	0.015429	0.0133343	0.00741316	0.00806305	0.00592349	0.00977454	0.00965972	0.0111384	0.0196686	0.0129231	0.0182652	0.0134233	0.0131354	0.0142942	0.0123416	0.0199674	0.0156241	0.0184516	0.0482813	0.0537357	0.0368932	0.0847257	0.0457017	0.0465065	0.0474716	0.0715298	0.0525421	0.0467569	0.0245851	0.0247533	0.00832456
c'	0.0828117	0.0463832	0.0286744	0.0191495	0.0120408	0.0185264	0.0161948	0.0154622	0.0110509	0.00878349	0.00461499	0.0050326	0.00413826	0.00506712	0.00684525	0.00749701	0.0135334	0.00922007	0.0119606	0.0101835	0.0142437	0.0140849	0.00959585	0.0183559	0.0228933	0.0180153	0.0362209	0.0412166	0.0341333	0.0633686	0.0443889	0.0357397	0.0508803	0.0633059	0.0573033	0.0423348	0.032513	0.0484239	0.0158117
est	0.0630469	0.085608	0.0868326	0.0619855	0.0390434	0.0486539	0.0393379	0.0225028	0.0191112	0.0107619	0.00967511	0.011618	0.0112292	0.00818221	0.00908967	0.0104708	0.0114435	0.00941499	0.0150974	0.0148015	0.0184861	0.0281941	0.024945	0.0309475	0.0330459	0.0183877	0.0146453	0.0133505	0.0127781	0.0165227	0.0129954	0.0166889	0.0188297	0.0210704	0.0278756	0.0227957	0.02117	0.038991	0.0203741
le	0.0474117	0.0416882	0.0313841	0.0167527	0.00950931	0.0122507	0.0130981	0.010712	0.00851005	0.00875784	0.00758809	0.0095208	0.0103463	0.00809304	0.0156831	0.0131668	0.0242047	0.0214434	0.0222908	0.0159579	0.0165305	0.0144544	0.0125141	0.0181652	0.0242064	0.0247897	0.0333217	0.034056	0.0270072	0.0408093	0.0252255	0.040819	0.0428534	0.0420667	0.0506524	0.0505964	0.0396684	0.0604975	0.0533967
fils	0.0557349	0.0342947	0.0162563	0.00977347	0.00811601	0.00922166	0.00910932	0.00987406	0.00900835	0.00905073	0.00747763	0.010288	0.0102514	0.00866015	0.0188752	0.0125534	0.0251203	0.0168134	0.016691	0.0130431	0.0173106	0.0159338	0.0127273	0.0126004	0.021523	0.0161064	0.0315087	0.0286864	0.0244612	0.0304719	0.0223073	0.0335873	0.0256002	0.0632598	0.0645205	0.0652193	0.0545426	0.0904775	0.0589429
