 	a87	a23	a0	a61	a21	a47	a88	a31	a96	a93	a75	a85	a56	a90	a25	a56	a62	a75	a5	a61	a47	a83	a9	a99	a87	a97	a87	a97	a87	a23	a87	a97	</S>
nous	0.0805347	0.0644607	0.0684356	0.0499755	0.0664896	0.0341747	0.0313545	0.0172596	0.0196158	0.0137853	0.015055	0.0167701	0.0237096	0.0194777	0.0112446	0.0119491	0.0173328	0.0167585	0.0181535	0.0252568	0.0312429	0.0280068	0.0268443	0.0260132	0.029411	0.0325548	0.0266077	0.0208678	0.0274894	0.0235112	0.030344	0.0340646	0.0412484
avons	0.0185235	0.0238329	0.0230873	0.0370261	0.0446203	0.0367366	0.0328579	0.0396747	0.0403346	0.0399974	0.0338899	0.0284278	0.0337309	0.0430613	0.0389988	0.0195827	0.0129102	0.0206216	0.0237103	0.0188077	0.0255637	0.0221173	0.0291326	0.0245444	0.0297758	0.031028	0.0320938	0.0318607	0.0273	0.0357849	0.0287529	0.0372476	0.0343661
fait	0.03326	0.0183601	0.00807151	0.00766724	0.0096756	0.0113765	0.0110066	0.0170175	0.0210331	0.026982	0.0197315	0.0238828	0.0253206	0.0305686	0.0216997	0.0205911	0.0196139	0.0143574	0.0144447	0.019904	0.033307	0.0289423	0.0650679	0.0248474	0.0347641	0.0502194	0.053262	0.0480406	0.0648822	0.0645579	0.0567695	0.0697168	0.0310587
un	0.0607024	0.0484009	0.0406484	0.0208326	0.0225039	0.0263101	0.0240589	0.0310368	0.0471637	0.046699	0.0517845	0.0591336	0.0899415	0.0421932	0.0406127	0.0468977	0.0491264	0.0259279	0.0151258	0.0158454	0.0146799	0.00999114	0.0113035	0.0100875	0.00778345	0.0135689	0.0163207	0.0120882	0.0212361	0.0176566	0.0172262	0.0180521	0.0250603
détour	0.047111	0.0438128	0.0507786	0.0356683	0.0289576	0.0280529	0.031241	0.0218443	0.0254023	0.0450141	0.0671149	0.0810271	0.122415	0.0458644	0.0259034	0.0208875	0.0196022	0.018185	0.0195369	0.0125021	0.0165812	0.0232345	0.0136939	0.0186336	0.0206242	0.0143775	0.014289	0.0204182	0.018261	0.0131294	0.0137329	0.0127675	0.00933557
en	0.105973	0.0915772	0.0902579	0.0480924	0.0293637	0.0284465	0.0381821	0.0270267	0.0385554	0.0265747	0.0182033	0.0155533	0.016676	0.0080976	0.00486519	0.00764219	0.013355	0.0184839	0.0178997	0.0287819	0.0355733	0.022687	0.0142996	0.0314528	0.0142354	0.0240596	0.0228477	0.0292611	0.0247295	0.0320153	0.0236499	0.0210468	0.0305348
passant	0.043964	0.035119	0.023451	0.0193934	0.0183954	0.0191902	0.0261191	0.0245437	0.0253983	0.0338175	0.0367245	0.0479135	0.0847907	0.0526253	0.0400012	0.0366265	0.0302291	0.0214633	0.0187266	0.0223731	0.0222722	0.0411055	0.0399438	0.0301618	0.0367902	0.0313016	0.0256997	0.0230605	0.0191762	0.0230702	0.0154014	0.0174474	0.0137041
derrière	0.0759309	0.0567594	0.0339622	0.0208437	0.0153906	0.00958875	0.0100082	0.0109375	0.0090289	0.00659202	0.00657254	0.00752694	0.00851106	0.0100208	0.00834776	0.00995876	0.023331	0.0145783	0.0112014	0.020525	0.026876	0.0298182	0.0285653	0.034531	0.0410606	0.0385205	0.0496698	0.0382322	0.0557864	0.0617701	0.0550684	0.0814714	0.0890143
la	0.0863095	0.0592729	0.0285729	0.0179266	0.0147232	0.00881913	0.00674205	0.00906402	0.00654632	0.00387312	0.0034273	0.0041244	0.00466594	0.00602675	0.00560662	0.00732122	0.013129	0.00790972	0.00743451	0.0152754	0.0228873	0.0253993	0.0297216	0.0358229	0.0364159	0.0415289	0.0451747	0.037225	0.0512191	0.0731055	0.0701149	0.0991284	0.115486
maison	0.0396285	0.0254468	0.0155588	0.00856453	0.00499076	0.00491028	0.00451748	0.0076289	0.00806998	0.00715193	0.00684445	0.00945858	0.011468	0.0117052	0.0112081	0.012698	0.0302629	0.0271914	0.0204078	0.036317	0.036672	0.0436835	0.0498519	0.0447637	0.042444	0.0536406	0.063139	0.0478761	0.0551076	0.0724254	0.0481584	0.061783	0.0764256
</S>	0.0558465	0.0317423	0.0169295	0.00601262	0.00260597	0.00102321	0.000909799	0.00169374	0.00161642	0.000923982	0.00072145	0.000914278	0.000950401	0.000978237	0.00102115	0.00268071	0.0103708	0.00945379	0.00756515	0.0180419	0.0274845	0.0336618	0.0387976	0.051483	0.0411896	0.0536514	0.0610343	0.0591719	0.0536833	0.11042	0.0878555	0.109578	0.0999871
