 	a66	a87	a23	a30	a13	a53	a93	a75	a79	a7	a15	a79	a56	a75	a5	a12	a47	a62	a88	a75	a21	a12	a96	a12	a18	a71	a38	a10	a87	a23	a99	a87	</S>
le	0.0217647	0.0251662	0.0333022	0.0252327	0.0396348	0.0533701	0.0744708	0.0473727	0.0436745	0.0256488	0.0194728	0.0272623	0.0403887	0.0138002	0.0160189	0.00855929	0.016048	0.0172632	0.0116151	0.0126915	0.0191204	0.0268562	0.0239088	0.0473823	0.0320083	0.0511215	0.024814	0.0246787	0.0238007	0.0272631	0.033931	0.0284277	0.0639298
chef	0.00468566	0.0132083	0.0171201	0.0134251	0.0291321	0.0420342	0.0281723	0.036838	0.0481925	0.0815592	0.0678618	0.101665	0.136661	0.141592	0.0835065	0.0716735	0.0441193	0.0177595	0.00625888	0.00472877	0.00141284	0.00189107	0.00069944	0.000715442	0.000372296	0.000690117	0.000248318	0.000404896	0.000232781	0.000560049	0.000895329	0.00133142	0.00035296
de	0.062543	0.0590617	0.062062	0.0462856	0.0522549	0.0468743	0.0837703	0.0540582	0.0448674	0.0634643	0.0972017	0.0379252	0.0263159	0.0281254	0.0251188	0.0326017	0.0185933	0.0178497	0.0133147	0.0147998	0.024608	0.0244056	0.00872018	0.00821816	0.00655961	0.00659351	0.00374645	0.00308009	0.00373234	0.00549495	0.00746247	0.00822279	0.00206801
notre	0.0413095	0.0243656	0.0160134	0.00905912	0.0145921	0.0126039	0.0192635	0.0186426	0.0281028	0.0265083	0.0780544	0.081761	0.0972272	0.0716415	0.0465125	0.0651748	0.0482583	0.0183883	0.0171023	0.0159434	0.008293	0.00586976	0.00965658	0.00872812	0.0132494	0.0154776	0.018657	0.0272272	0.0217999	0.0259471	0.030988	0.0397064	0.0238755
village	0.0285616	0.0498673	0.0428756	0.0500428	0.0688355	0.0615324	0.056038	0.0341736	0.0310406	0.0273865	0.025826	0.027626	0.0203178	0.0305656	0.0303632	0.019618	0.0204732	0.0214095	0.0192123	0.0206468	0.015552	0.0161405	0.00858904	0.0187884	0.0202112	0.0311806	0.0218617	0.0306081	0.0320299	0.0344016	0.0307258	0.0282765	0.0252226
a	0.0279885	0.0306153	0.0280984	0.0281649	0.0347273	0.0600307	0.0581339	0.0650376	0.0377531	0.0559299	0.0476764	0.0275586	0.032505	0.0188265	0.0141104	0.0121875	0.018623	0.0246739	0.0260547	0.0296481	0.0364792	0.0298707	0.0256117	0.0381418	0.0251411	0.034919	0.00579215	0.00940108	0.0137567	0.0179073	0.0224066	0.0204838	0.0417453
une	0.0407159	0.0261373	0.021215	0.0194066	0.0176647	0.0203142	0.022113	0.0255586	0.0162631	0.030469	0.0392633	0.0270788	0.0102041	0.00812703	0.00717006	0.00656215	0.0111117	0.0144804	0.0146288	0.0305975	0.0474508	0.0388291	0.031942	0.0428653	0.0491759	0.034992	0.031494	0.043183	0.0432315	0.0638273	0.0577413	0.0573508	0.0488355
tête	0.0559361	0.0521433	0.0475255	0.0520468	0.0372212	0.0340305	0.0263972	0.0208298	0.0111848	0.0145793	0.0133024	0.0117031	0.00457907	0.00847171	0.0218795	0.0149295	0.0196519	0.0282997	0.0325262	0.0627376	0.0844286	0.0612022	0.0189212	0.0345886	0.0266305	0.0244272	0.0170332	0.0208784	0.0218034	0.0340933	0.0352922	0.0319848	0.0187412
chauve	0.0261942	0.0569805	0.0616328	0.042348	0.0783286	0.0646151	0.0305884	0.0205606	0.0196294	0.0111304	0.00812893	0.0131801	0.0124777	0.0155278	0.0142734	0.0140867	0.0163748	0.0176827	0.0177626	0.0176322	0.0145832	0.0151792	0.0145939	0.0295575	0.0257921	0.073533	0.0198699	0.0371059	0.0345365	0.0510401	0.0436017	0.037077	0.0443954
</S>	0.0275207	0.0343342	0.0326176	0.0244847	0.0358127	0.0407854	0.028346	0.0210215	0.0187719	0.0146569	0.0115352	0.0121451	0.00984207	0.00804288	0.00664983	0.00532847	0.00854011	0.0102844	0.013709	0.0134681	0.0246214	0.0178863	0.0154054	0.0608947	0.0406947	0.0483461	0.0194906	0.0244773	0.0398979	0.0586002	0.0610759	0.0706047	0.140108
