 	a87	a79	a90	a13	a53	a90	a56	a96	a31	a21	a5	a43	a0	a96	a75	a85	a47	a37	a26	a15	a56	a11	a24	a88	a18	a31	a88	a38	a47	a24	a31	a47	a56	a96	a13	a9	a99	a40	a47	a41	a37	a26	a21	a12	a96	a5	a18	a71	a9	a87	a10	a99	a87	a10	a87	a10	</S>
le	0.0197581	0.0112164	0.0115096	0.0260987	0.030179	0.0305106	0.0437895	0.071718	0.0423894	0.0255689	0.021031	0.017413	0.016436	0.0196087	0.0126414	0.0153189	0.00992581	0.00913534	0.0166073	0.0172178	0.010996	0.016177	0.0132255	0.0130532	0.0124539	0.0188538	0.0104041	0.0144083	0.0116351	0.0108145	0.00772896	0.00977733	0.00755443	0.00774055	0.00659871	0.00674883	0.00548958	0.0064999	0.00579031	0.00390902	0.00579827	0.00617775	0.00656642	0.00613535	0.013906	0.0136898	0.0110244	0.0191408	0.0172616	0.0217815	0.0221073	0.0265973	0.025294	0.0280428	0.0275755	0.0443349	0.0366337
chef	0.00469418	0.00924458	0.0077531	0.00985786	0.0244081	0.0350756	0.0367116	0.013652	0.0344411	0.0314263	0.025618	0.0257177	0.0279745	0.0390051	0.139708	0.0837947	0.095492	0.0471263	0.0149428	0.0295996	0.0167433	0.0175273	0.0182803	0.00940389	0.00755286	0.0137071	0.012997	0.019787	0.0165377	0.0195518	0.0148657	0.00939704	0.0111158	0.0156285	0.0106587	0.0125337	0.00946483	0.00562518	0.00331384	0.00374047	0.00259009	0.0026526	0.000999787	0.000885273	0.000672252	0.00045033	0.00033492	0.000391382	0.00036521	0.000303925	0.000342035	0.000350304	0.000906298	0.000370587	0.00143601	0.000959379	0.00131452
de	0.00713673	0.00812542	0.0105142	0.0161795	0.0141979	0.019348	0.0243476	0.042765	0.0612599	0.0776076	0.0733435	0.0424693	0.0246498	0.0367313	0.0221184	0.0530315	0.0635668	0.0307184	0.0227395	0.0306991	0.0198667	0.0482979	0.0299463	0.0259234	0.0200737	0.0271129	0.0228755	0.0244265	0.0121595	0.02761	0.0119224	0.00398924	0.00768633	0.00598508	0.00411662	0.00460354	0.00356536	0.00247992	0.00234932	0.00145658	0.00157814	0.0022308	0.00177802	0.00198415	0.000449608	0.000185517	0.000129439	0.000249889	0.000218844	0.000310585	0.000180074	0.000144151	0.000746858	0.000272745	0.000577975	0.000573461	0.000393432
canton	0.0276077	0.0126901	0.00888763	0.00410283	0.00534639	0.00710075	0.013184	0.0180644	0.0189868	0.0143766	0.0262923	0.0144896	0.0215591	0.0192327	0.0384144	0.0525677	0.0395401	0.0365793	0.0183187	0.0207677	0.0167322	0.0207039	0.0275408	0.0241846	0.0203262	0.0285846	0.0223687	0.0225251	0.0175615	0.0216827	0.0267897	0.0375132	0.0178557	0.016171	0.0154663	0.0106136	0.0100541	0.00914697	0.00650162	0.0060742	0.00661773	0.00571616	0.00561126	0.00341854	0.00286855	0.00423422	0.00878463	0.00734645	0.010011	0.0158471	0.022357	0.0180871	0.0178526	0.0243908	0.0171393	0.0185648	0.0146471
mbochi	0.014514	0.00854935	0.0106517	0.0123704	0.0152041	0.0158602	0.013483	0.0127112	0.0104451	0.0134448	0.0161728	0.014135	0.0245689	0.0260896	0.0302314	0.0283138	0.0250936	0.0377429	0.0378127	0.0342592	0.0365702	0.021748	0.04109	0.0351227	0.039142	0.0236945	0.0262096	0.0249095	0.0288258	0.0189622	0.0176501	0.0139312	0.0115173	0.00854194	0.00829298	0.00540769	0.00327519	0.00476519	0.0077746	0.00536996	0.00726013	0.0067446	0.0116031	0.0068823	0.00667922	0.00532095	0.0077196	0.0114112	0.0177339	0.0189726	0.0176978	0.0184611	0.0166877	0.0159053	0.0148851	0.0193298	0.012251
nommé	0.00794983	0.00552038	0.00762571	0.0126575	0.0204145	0.020115	0.0171137	0.0174366	0.0101404	0.010355	0.0182895	0.0130578	0.012815	0.0146522	0.0123347	0.0163061	0.0158413	0.0242777	0.0339349	0.0526898	0.0487301	0.0521709	0.052616	0.0712455	0.0874822	0.0261407	0.0312981	0.0197861	0.015319	0.0165467	0.0125321	0.00948403	0.0111847	0.0101532	0.0053677	0.00698548	0.00503202	0.00888069	0.00783614	0.00634215	0.0093683	0.00937119	0.0118851	0.0184299	0.0109828	0.00915698	0.00968054	0.00912118	0.00745709	0.0126124	0.00897043	0.00848351	0.00618144	0.0061612	0.00380421	0.00527991	0.00439278
dénis	0.00567291	0.00558607	0.0100634	0.010393	0.00968026	0.014177	0.0190186	0.0309392	0.0235617	0.0270039	0.0300708	0.0234765	0.0171153	0.0316627	0.0208923	0.0318955	0.0436651	0.0409476	0.034693	0.0373438	0.033056	0.0403874	0.0315728	0.0433995	0.0502485	0.0218131	0.0266554	0.0125412	0.0120646	0.0110493	0.00752945	0.00669914	0.0100782	0.00929234	0.00661698	0.0114336	0.00888514	0.0100306	0.0102534	0.0102425	0.0107488	0.0114508	0.0141653	0.0122581	0.0105747	0.0080048	0.0115331	0.00733374	0.00975769	0.0130391	0.011006	0.00960766	0.00785516	0.00582169	0.00403666	0.00722103	0.00387803
yongo	0.0148562	0.00795294	0.010978	0.0132951	0.0236227	0.0309613	0.0469504	0.0577418	0.0638605	0.042396	0.041678	0.0435358	0.0364789	0.0460208	0.050153	0.0478613	0.0573648	0.0441931	0.0248825	0.0258842	0.0145561	0.013845	0.0133086	0.010765	0.0152513	0.0124567	0.0139889	0.00952999	0.011928	0.00923276	0.00519035	0.00557619	0.00290531	0.00405728	0.00461284	0.00584854	0.00285034	0.00334496	0.00625323	0.00422979	0.00585094	0.00730911	0.00621266	0.00503612	0.00602732	0.00292913	0.00320311	0.00469394	0.00464001	0.00471119	0.00398591	0.00542674	0.00618794	0.00493622	0.00651205	0.00908067	0.0128586
était	0.00533506	0.0078887	0.00883934	0.00681187	0.00928521	0.0104999	0.0143751	0.0202703	0.0186173	0.017086	0.021403	0.0252	0.0259601	0.0325298	0.0283774	0.0285993	0.0274165	0.0258866	0.0274076	0.0229961	0.0336812	0.0269444	0.0330178	0.0337495	0.0382553	0.0201438	0.0263025	0.0203397	0.020973	0.0132253	0.00808555	0.0106697	0.0159725	0.0210877	0.010964	0.0175091	0.0172715	0.0232632	0.0200718	0.0132222	0.0130013	0.0119284	0.0106182	0.0138278	0.0162588	0.0157867	0.00835428	0.0123867	0.0178327	0.0161341	0.00974386	0.0108429	0.011441	0.0053629	0.00433554	0.0086711	0.00393837
autoritaire	0.00502129	0.00592911	0.0082397	0.00636946	0.00877126	0.0121161	0.0165149	0.0174847	0.0154313	0.0117881	0.018016	0.0218929	0.0208082	0.0190411	0.0211726	0.0205131	0.0207437	0.0233255	0.0157644	0.0173027	0.0270396	0.0197899	0.0229466	0.0252666	0.0263301	0.0172441	0.0191408	0.0195972	0.0194298	0.0121971	0.0111754	0.0161503	0.0186055	0.0261472	0.017058	0.0181573	0.0164195	0.019224	0.0298534	0.0189774	0.0211532	0.0225743	0.0177935	0.0182606	0.0210495	0.015554	0.0145516	0.0187335	0.0183681	0.0140433	0.0115649	0.0175373	0.0139254	0.0145942	0.0133023	0.0252408	0.0147573
