 	a66	a87	a23	a10	a87	a23	a57	a53	a69	a20	a15	a0	a98	a79	a37	a61	a96	a15	a44	a96	a66	a71	a38	a53	a15	a7	a84	a57	a87	a10	a87	a23	a87	</S>
la	0.0394911	0.0526309	0.0451925	0.0487157	0.0519005	0.0439035	0.0259306	0.0214938	0.0180249	0.0190908	0.0318666	0.013036	0.0131734	0.0140062	0.0106196	0.0183805	0.0149989	0.00773394	0.00663292	0.00696357	0.00952598	0.0123467	0.0243984	0.0454948	0.0335428	0.0385906	0.0587067	0.0455379	0.0334377	0.0378567	0.0392428	0.0330762	0.0268209	0.0576357
mère	0.00363413	0.00707001	0.00812103	0.0107429	0.0158632	0.0176491	0.024403	0.0194885	0.0409915	0.159707	0.221356	0.14141	0.0599161	0.0769036	0.0440118	0.0313877	0.0179335	0.0128942	0.0206531	0.0158931	0.010056	0.0105517	0.00661136	0.00597635	0.00345507	0.00189329	0.000984726	0.000734921	0.000736888	0.000761057	0.00143057	0.00134611	0.00196348	0.00346916
a	0.00905268	0.0113046	0.0117412	0.0127394	0.0130668	0.0139007	0.0135182	0.0132732	0.0141735	0.0198358	0.0233985	0.10625	0.0765622	0.0592386	0.0789247	0.0418857	0.0743242	0.0312033	0.0443989	0.0442585	0.033988	0.0237803	0.0153724	0.0231452	0.0201874	0.0146665	0.0170532	0.0241757	0.023514	0.0201768	0.0220286	0.0196064	0.0171391	0.0121155
donné	0.0181589	0.0155482	0.00965686	0.00902841	0.011076	0.00686209	0.0114205	0.00592908	0.00546266	0.0105014	0.0143314	0.0392707	0.0551033	0.10565	0.12264	0.0897831	0.058516	0.0469105	0.0713123	0.0638798	0.0766289	0.0391687	0.00634874	0.00738388	0.00835227	0.0103778	0.00683374	0.00822978	0.00955963	0.0105501	0.0121795	0.00846903	0.00809438	0.0167825
un	0.0790042	0.0803873	0.0616476	0.0442125	0.0513769	0.0316174	0.0233257	0.0198674	0.00896962	0.023379	0.0160526	0.0396103	0.0461455	0.0396884	0.0413595	0.0583449	0.076405	0.0363457	0.0384457	0.0264207	0.0260404	0.006484	0.00245077	0.00604307	0.00814833	0.00675787	0.0057057	0.0102537	0.0077705	0.00988971	0.0117029	0.0154961	0.0137422	0.0269087
coup	0.0582494	0.0536665	0.0371295	0.0234969	0.02927	0.0200614	0.0173404	0.0128863	0.00775102	0.018713	0.012123	0.0364946	0.0523696	0.0502682	0.0374065	0.0428361	0.0548121	0.0438129	0.0249364	0.0172031	0.0195791	0.015055	0.00964533	0.0154938	0.0132872	0.014771	0.0135824	0.0205852	0.0234396	0.0242193	0.0326918	0.0369198	0.0424568	0.0674471
de	0.0422261	0.0237709	0.0213944	0.0165917	0.0149292	0.0135923	0.0106163	0.00593692	0.00636492	0.0110826	0.017014	0.0116502	0.0170795	0.011597	0.006024	0.0047244	0.00379568	0.00316042	0.00430916	0.00675151	0.0204597	0.0416662	0.0374044	0.0322511	0.0193007	0.0308276	0.0441909	0.0518544	0.0557796	0.0694582	0.0729681	0.0672772	0.074744	0.129207
bâton	0.0284134	0.0261437	0.0224284	0.021277	0.0255105	0.0184562	0.0248715	0.0146736	0.0107355	0.0332409	0.0529822	0.0374464	0.0460754	0.046812	0.0461738	0.0587843	0.0561294	0.0251726	0.0472587	0.0443512	0.0217778	0.0458502	0.0475465	0.0391961	0.0146018	0.0130892	0.0136839	0.0114561	0.0192289	0.0240107	0.0181471	0.0139432	0.0161909	0.0143408
à	0.0438052	0.0343477	0.0326029	0.0269403	0.0252226	0.0192585	0.0216536	0.0139331	0.0102819	0.0174882	0.0279225	0.0269028	0.0302581	0.0176283	0.0158426	0.0205072	0.0160951	0.0134196	0.0114717	0.0174231	0.0192317	0.0300739	0.0406218	0.0486058	0.0284092	0.0404312	0.0350097	0.0245498	0.0366235	0.050385	0.0501916	0.0354679	0.043586	0.0738078
son	0.0486605	0.0332988	0.0242232	0.015201	0.0122552	0.00934768	0.00654996	0.00539732	0.00340041	0.00289933	0.00550457	0.01031	0.0130405	0.0116523	0.00954418	0.0240779	0.0144917	0.00969153	0.00638907	0.00755739	0.00650253	0.00677917	0.0178849	0.0248478	0.0227357	0.0387969	0.0415856	0.0362897	0.0515281	0.0651733	0.0860012	0.0720092	0.103234	0.153139
enfant	0.0365993	0.0266591	0.019751	0.0120697	0.0119853	0.00923442	0.00618734	0.00498558	0.00404116	0.00481327	0.00626696	0.0138383	0.0226265	0.0227934	0.0233798	0.0308156	0.0194623	0.0167109	0.00999253	0.00863784	0.0116701	0.01087	0.0165205	0.0205307	0.0204084	0.0227936	0.027713	0.0293265	0.0394713	0.0537133	0.0813324	0.0649076	0.0813775	0.208515
</S>	0.0479074	0.0491649	0.0341996	0.025933	0.0193539	0.0147766	0.00673298	0.00483543	0.00488712	0.00867984	0.0208895	0.0316378	0.0233634	0.010086	0.00688383	0.0126996	0.00917586	0.00685	0.00375611	0.00405929	0.0100684	0.00776087	0.0165199	0.0188683	0.0238672	0.0284101	0.0418504	0.0438457	0.0482522	0.0630808	0.0621518	0.0566884	0.0660338	0.16673
