 	a66	a87	a23	a40	a36	a2	a21	a5	a98	a47	a36	a7	a37	a96	a56	a43	a75	a92	a98	a47	a36	a26	a57	a10	a87	a23	a87	a97	</S>
la	0.0434902	0.0489548	0.0372624	0.0604009	0.0907397	0.0446128	0.102975	0.0792665	0.0500223	0.0275646	0.0261762	0.0174575	0.00766134	0.00908667	0.00818043	0.00866301	0.00981159	0.015175	0.017307	0.0164877	0.0272516	0.0306948	0.0310715	0.0235063	0.0214539	0.022606	0.0261303	0.0273199	0.0686698
ciga	0.00149186	0.00357235	0.00778909	0.0289504	0.0743212	0.0887329	0.0900762	0.19871	0.199877	0.144626	0.0942575	0.0193678	0.017586	0.00734134	0.0028125	0.00362237	0.00268049	0.00127944	0.00212452	0.0015033	0.000927073	0.000819554	0.000486247	0.000625511	0.000584854	0.000425106	0.000837989	0.00213121	0.00244061
rette	0.124136	0.134061	0.102556	0.0922859	0.109434	0.0732183	0.0399781	0.035571	0.0211662	0.0112486	0.0082041	0.00515621	0.00586554	0.011276	0.010962	0.00968735	0.00939144	0.00652699	0.0100188	0.00969346	0.00935515	0.0112943	0.00895891	0.0116385	0.0127513	0.0171364	0.0278718	0.0421365	0.0284207
fait	0.097921	0.0829501	0.0950269	0.0535157	0.025493	0.042076	0.0170535	0.0139018	0.00940466	0.0049912	0.00373112	0.0104181	0.0296245	0.0456174	0.050393	0.0382224	0.0180891	0.0140086	0.0143049	0.0136759	0.0205738	0.0169001	0.017405	0.0214761	0.0175263	0.0245593	0.0308308	0.0339746	0.136335
perdre	0.0824813	0.0757946	0.0408824	0.030057	0.0101702	0.0139807	0.0113114	0.0106838	0.0100371	0.0104689	0.00978274	0.00966866	0.00886288	0.0138843	0.0232106	0.0252504	0.0249843	0.0267683	0.01278	0.0155856	0.0301792	0.0254017	0.0325122	0.044884	0.0414413	0.0593744	0.0547772	0.0583699	0.186415
le	0.0776224	0.0541163	0.0388976	0.0310184	0.0155343	0.020062	0.0125948	0.00575703	0.00559868	0.00534387	0.00380966	0.00528236	0.00470341	0.0090804	0.0141567	0.0152971	0.0406617	0.0419771	0.048209	0.0728025	0.062407	0.0588642	0.0645164	0.0564052	0.039379	0.0519928	0.0418401	0.0404548	0.0616153
bon	0.0334532	0.0242509	0.0131245	0.0111596	0.0100398	0.0232659	0.0213781	0.0121367	0.012413	0.00972498	0.00422131	0.00584981	0.00840905	0.0146091	0.0156817	0.0115245	0.0504774	0.0678748	0.0576023	0.0735513	0.0465642	0.0402461	0.0637679	0.0576167	0.0702569	0.0803043	0.0575545	0.0453876	0.0575537
sens	0.0609577	0.0512229	0.0282975	0.0279384	0.0146143	0.0207979	0.0124178	0.0067929	0.00347785	0.00166357	0.00298384	0.0146033	0.0228921	0.0465555	0.0655423	0.022906	0.0213169	0.0286262	0.0134398	0.0193034	0.030199	0.0272021	0.0393254	0.0450882	0.0568797	0.107828	0.0819861	0.0697861	0.0553557
aux	0.0771451	0.0678489	0.0466785	0.0318833	0.0124901	0.0156496	0.0181929	0.0232789	0.0275049	0.0198543	0.0244758	0.0357184	0.0262981	0.0361567	0.0405175	0.0266656	0.0237478	0.0298772	0.0131394	0.017853	0.0349147	0.030902	0.0412328	0.0366674	0.0420284	0.0456978	0.0466478	0.0465853	0.0603479
enfants	0.0608835	0.0629873	0.0532309	0.0454989	0.0234638	0.0305092	0.0214212	0.0330905	0.0334737	0.0232403	0.025158	0.0266027	0.0301707	0.0337633	0.0361856	0.018814	0.0148264	0.0238491	0.0103027	0.0137771	0.0284687	0.0233745	0.0362058	0.0295602	0.0321845	0.0386929	0.0457261	0.0519743	0.092564
</S>	0.0480434	0.0501142	0.0379079	0.0483823	0.0394988	0.0331719	0.0364706	0.0264708	0.017377	0.0158899	0.0165563	0.0272283	0.0146682	0.0209881	0.022477	0.0120033	0.0120026	0.0223285	0.0138908	0.015461	0.0320948	0.0338133	0.0424363	0.0385916	0.045826	0.069295	0.0697956	0.0702098	0.0670067
