 	a66	a87	a10	a87	a97	a99	a83	a62	a31	a88	a62	a83	a96	a70	a93	a34	a47	a31	a0	a11	a70	a34	a56	a96	a75	a6	a36	a26	a82	a3	a97	a3	a97	a99	a3	</S>
j'	0.0502931	0.0486785	0.0407897	0.0280622	0.0264675	0.0242892	0.0299082	0.0231864	0.0194204	0.0201974	0.0116401	0.0147944	0.0171991	0.0124516	0.00722176	0.0115434	0.00831519	0.00340135	0.00440125	0.00343197	0.00523727	0.0121214	0.0215492	0.0476577	0.0450494	0.051807	0.0432281	0.0505413	0.0471615	0.0326565	0.040742	0.0431154	0.0341433	0.0417548	0.0307931	0.0467491
ai	0.0407227	0.0295451	0.0479709	0.0331842	0.0393458	0.0342056	0.0311672	0.0322713	0.0458853	0.0432175	0.0363415	0.0332838	0.0457587	0.0482091	0.0341789	0.0350435	0.0436576	0.0282052	0.0328564	0.0182993	0.034878	0.0182411	0.0131743	0.0165162	0.0120527	0.0213033	0.0224185	0.0165627	0.0178164	0.0148399	0.0135048	0.0131883	0.0108812	0.0105017	0.0108768	0.0198945
reçu	0.0164955	0.0189061	0.0257214	0.0238817	0.033932	0.0243638	0.0343946	0.0482807	0.0567367	0.0498983	0.0517816	0.0389197	0.0533049	0.0459136	0.0417767	0.0235881	0.0278119	0.0165528	0.0256261	0.0213291	0.0319017	0.0211007	0.0126101	0.0102729	0.0103416	0.0157771	0.0130308	0.0224399	0.0295931	0.0209412	0.0220782	0.0231718	0.023394	0.0180453	0.0263848	0.0197013
la	0.211698	0.0642506	0.0364909	0.0159112	0.0146554	0.00450664	0.0101287	0.00491132	0.0137349	0.00355251	0.0038206	0.0036342	0.00403053	0.00297569	0.00402495	0.00202904	0.0075329	0.00707097	0.0293874	0.0275184	0.0432156	0.020112	0.0148629	0.0125115	0.0188594	0.0224071	0.0210359	0.0332993	0.0409659	0.0365087	0.0425655	0.066008	0.0342506	0.044869	0.0471796	0.0294845
lettre	0.0841334	0.0299317	0.035148	0.0192785	0.0212534	0.0109189	0.0108016	0.00844048	0.0148427	0.0162484	0.0193333	0.0234496	0.0213276	0.0224045	0.0415393	0.0255132	0.0142768	0.00925281	0.00390976	0.00288363	0.00362299	0.00770553	0.010414	0.0122353	0.0149831	0.026498	0.0592495	0.0495534	0.0220019	0.0237667	0.0318027	0.0515844	0.0482804	0.0516841	0.0816081	0.0701221
que	0.105882	0.078466	0.0840475	0.0491383	0.0391901	0.0310308	0.026862	0.0194395	0.0157168	0.00937173	0.0082381	0.00783778	0.00807218	0.00890242	0.0115963	0.00830279	0.00969601	0.00956809	0.0140262	0.0120904	0.0197519	0.015748	0.0172611	0.0210641	0.0176907	0.0197803	0.0171909	0.0241072	0.030201	0.0373708	0.0274362	0.035155	0.0373677	0.0398838	0.0377968	0.0447198
tu	0.0904648	0.0675559	0.0496459	0.0250813	0.0133471	0.00645528	0.0116533	0.00652802	0.00687118	0.00178993	0.00145763	0.00143975	0.00186014	0.00204023	0.00221223	0.00111003	0.00325171	0.00676348	0.0140897	0.0239252	0.0214194	0.0199074	0.0253898	0.0355053	0.020256	0.0368752	0.0248096	0.0347303	0.04329	0.0557258	0.0702228	0.075608	0.0506305	0.0523143	0.067633	0.0281399
m'	0.0848892	0.0524923	0.0436019	0.0202569	0.0106511	0.00592405	0.0114621	0.00621538	0.00617911	0.00279119	0.00142202	0.00127894	0.00210544	0.00226729	0.00131331	0.00166895	0.00274142	0.00605069	0.0118901	0.0151619	0.0269914	0.0296885	0.0243717	0.037804	0.0203694	0.0463918	0.0292606	0.0437659	0.0605148	0.0747531	0.060639	0.0593241	0.0435133	0.0508097	0.0684202	0.0330193
as	0.0460203	0.0280442	0.0227664	0.0135161	0.0115782	0.0103144	0.0101297	0.00973744	0.00963857	0.00460958	0.00379069	0.00399407	0.0051617	0.00445506	0.00295762	0.00511526	0.00547217	0.0115073	0.0158683	0.0197421	0.0173859	0.0147889	0.0115284	0.0178605	0.0131612	0.0295831	0.0218713	0.0269688	0.0788717	0.0900341	0.0756404	0.0692433	0.0658976	0.0593629	0.0939556	0.0694271
envoyée	0.043776	0.0298565	0.0213041	0.0159443	0.0163395	0.0141165	0.0150703	0.0153006	0.0176828	0.0112553	0.010472	0.0129238	0.0157705	0.0162168	0.0143155	0.0278773	0.0170428	0.038314	0.0381924	0.0593076	0.0414364	0.0250249	0.0219611	0.0130878	0.00644406	0.0186203	0.0110952	0.0152269	0.0383594	0.0509948	0.0408955	0.0379158	0.0376947	0.0373654	0.0726835	0.0801156
</S>	0.0164237	0.0133872	0.0114768	0.00962632	0.00942564	0.00559132	0.012308	0.00783883	0.00651503	0.00707393	0.00279845	0.00546967	0.00598488	0.00539328	0.00584791	0.00280268	0.0052582	0.00665142	0.010277	0.0158267	0.0174002	0.0161987	0.0257712	0.0321612	0.0196505	0.023449	0.017643	0.0284423	0.0421303	0.061937	0.0566781	0.0477415	0.0634885	0.10023	0.143227	0.137875
