 	a23	a38	a53	a90	a56	a75	a96	a66	a38	a75	a98	a73	a44	a53	a4	a57	a40	a73	a44	a11	a93	a70	a90	a4	a57	a82	a54	a73	a44	a4	a13	a75	a56	a90	a94	a58	a82	a87	</S>
on	0.0423166	0.0256514	0.0598485	0.14572	0.101036	0.0597748	0.0456548	0.0367151	0.0299393	0.0226161	0.0162373	0.0191272	0.0116047	0.0127217	0.00917224	0.00659862	0.00822029	0.00468492	0.00900838	0.0140167	0.0104541	0.0078342	0.0182824	0.0256439	0.0122335	0.0128921	0.0117843	0.0163812	0.0124512	0.0184788	0.0169389	0.0232274	0.016329	0.0297316	0.0132313	0.0195538	0.0179237	0.0116781	0.0242861
ne	0.0171782	0.0172195	0.0188094	0.0371469	0.042501	0.074493	0.112098	0.0836495	0.0561933	0.0657566	0.10177	0.0618234	0.0393389	0.0131806	0.0122843	0.0104928	0.00858961	0.00352771	0.00612016	0.00432391	0.00829687	0.00830403	0.00835487	0.00579969	0.00756822	0.0112623	0.0109727	0.0124788	0.0133749	0.016012	0.0229457	0.0202413	0.0125332	0.0117617	0.00862512	0.00800327	0.00662148	0.00870798	0.0116389
peut	0.0838509	0.022283	0.0209879	0.022203	0.028714	0.0201136	0.051537	0.0452021	0.0357856	0.0490332	0.0398131	0.0285034	0.0256201	0.011131	0.00596061	0.00550509	0.00966762	0.0034478	0.00350923	0.00307191	0.00435837	0.00238713	0.0032488	0.00213035	0.00205488	0.00285123	0.00306584	0.00744091	0.0109504	0.011111	0.0196047	0.0240074	0.0269485	0.0266558	0.0427166	0.0696858	0.0694464	0.105497	0.0498986
pas	0.0582379	0.0372957	0.0268522	0.0152492	0.0295583	0.0414113	0.05908	0.0619777	0.0505484	0.056191	0.0354954	0.0292181	0.0207902	0.0142842	0.0174694	0.0179743	0.0206944	0.0095826	0.0109268	0.00917698	0.0148497	0.00742562	0.0138262	0.00756462	0.0151531	0.0148862	0.0137818	0.0185111	0.0226808	0.0223121	0.0237059	0.0288539	0.0195533	0.0213987	0.0148785	0.0256347	0.0205817	0.0185371	0.053851
manger	0.05175	0.0323162	0.0222863	0.0169402	0.0161947	0.0280188	0.0310442	0.0333195	0.0358395	0.0357215	0.0383734	0.0340772	0.0460398	0.0391054	0.0404772	0.0466601	0.0393758	0.0373605	0.0490357	0.0302995	0.0473755	0.0315677	0.0313941	0.0285675	0.0305384	0.012962	0.0111996	0.00528907	0.00542373	0.00665182	0.00599568	0.00964229	0.00703663	0.0100273	0.00591205	0.0100924	0.00748696	0.0112271	0.0173749
autant	0.0405037	0.0235306	0.0192381	0.0163879	0.0181051	0.0209678	0.0257366	0.0275604	0.0397875	0.0347131	0.0428563	0.0521369	0.0385744	0.0497424	0.0418968	0.0475674	0.026676	0.0182309	0.0195261	0.0119717	0.0176401	0.0139014	0.0177081	0.0207447	0.0253695	0.0126437	0.0203917	0.0128271	0.0134704	0.0191775	0.0151996	0.0277228	0.0195147	0.0287915	0.0209707	0.0221562	0.0193523	0.023601	0.0331073
sans	0.0925494	0.0397492	0.0191148	0.0124645	0.0240899	0.00969892	0.0183831	0.0177433	0.0093589	0.0196165	0.0199352	0.0220531	0.00900134	0.011152	0.011909	0.0147704	0.00843893	0.00394686	0.00896812	0.00608669	0.0192829	0.0126648	0.0381971	0.0550489	0.0349851	0.0230259	0.0363848	0.0186119	0.0172543	0.0187736	0.0133061	0.031051	0.0187985	0.0308728	0.0289826	0.0497923	0.0484007	0.0698354	0.055701
être	0.0185486	0.0105326	0.009222	0.0107608	0.0138861	0.0115651	0.0154306	0.0174655	0.0127867	0.02024	0.0173784	0.0177371	0.0111474	0.00953883	0.00878077	0.0155073	0.00952124	0.00569598	0.0122935	0.00820962	0.0163509	0.0163526	0.022667	0.0269387	0.031532	0.0220528	0.0346364	0.0333734	0.0529466	0.0468308	0.0270513	0.0616293	0.0627396	0.0523412	0.0409806	0.0504485	0.0422733	0.0545412	0.0480656
malade	0.0443206	0.0379079	0.0233746	0.0109999	0.0128053	0.010476	0.0154682	0.011465	0.00742515	0.0103182	0.00670621	0.00931678	0.010411	0.00808471	0.0144859	0.0124395	0.0169014	0.0102622	0.0195382	0.0167067	0.0279394	0.0204267	0.0220058	0.0354015	0.0217172	0.0144981	0.017942	0.027185	0.0228031	0.0302737	0.0252221	0.040745	0.0460271	0.0431044	0.0470885	0.0434928	0.0564558	0.0551461	0.0931123
</S>	0.0313221	0.0196164	0.0106225	0.00714236	0.0109603	0.00856807	0.0101555	0.0092175	0.00419896	0.00875671	0.00539481	0.00633844	0.00451916	0.00456738	0.00806739	0.00800476	0.00957575	0.005801	0.00940789	0.00845839	0.0147364	0.0100032	0.0122531	0.0131513	0.00795911	0.0084687	0.0110288	0.014214	0.0198839	0.028173	0.0394339	0.0561695	0.0681837	0.0734065	0.0692044	0.0666883	0.0732447	0.0905395	0.132562
