 	a23	a87	a10	a50	a62	a61	a75	a25	a75	a66	a90	a56	a70	a0	a83	a9	a53	a90	a25	a44	a62	a88	a9	a75	a47	a41	a37	a66	a9	a87	a23	a10	a9	a10	a87	a23	a87	</S>
l'	0.114916	0.0874999	0.0533876	0.0444159	0.0367169	0.0265189	0.0148646	0.0131663	0.0127102	0.00909651	0.00982907	0.00793422	0.0102192	0.00944556	0.00767286	0.00944307	0.00944645	0.010428	0.00698139	0.00482958	0.00754686	0.0103706	0.00743759	0.020316	0.022119	0.0432351	0.0453372	0.0410312	0.0393535	0.0212246	0.0196715	0.0181374	0.0201179	0.0299082	0.0191343	0.0287094	0.0269434	0.0798835
épine	0.00841812	0.0112777	0.0128875	0.0160394	0.0219239	0.0473078	0.0263451	0.0371082	0.044609	0.0346669	0.0486537	0.0731954	0.0416967	0.0520082	0.0561179	0.0248317	0.0323802	0.036399	0.030525	0.0324876	0.0461198	0.059087	0.0266482	0.0348956	0.0182198	0.0270957	0.0438662	0.0139219	0.0128807	0.00345672	0.00238899	0.00252295	0.00279554	0.00395516	0.00407454	0.00315747	0.00420451	0.00183023
a	0.0387288	0.0135858	0.0254273	0.0314167	0.0404471	0.0400765	0.0364363	0.0528628	0.0500659	0.0634785	0.0592152	0.125537	0.0393708	0.0426873	0.049021	0.0179233	0.019518	0.0206264	0.0191317	0.0150492	0.00991549	0.0037896	0.0023832	0.00478368	0.00915305	0.00577871	0.0103571	0.00519811	0.00636685	0.00884869	0.0139733	0.00991559	0.0125085	0.0211752	0.0148674	0.0189178	0.0287253	0.0127366
fait	0.0113281	0.00573579	0.00409554	0.00636576	0.00828425	0.0122734	0.00900028	0.0107545	0.00584193	0.0111607	0.0148826	0.0206283	0.0203134	0.026319	0.0569416	0.04136	0.114432	0.0906542	0.091195	0.06279	0.0376979	0.0216748	0.0364111	0.0266147	0.0144696	0.0119253	0.0129518	0.0135125	0.0167164	0.0189576	0.0238507	0.0198404	0.0200074	0.02158	0.018012	0.0237383	0.018218	0.0194646
éclater	0.0585636	0.0504605	0.0277145	0.0292591	0.0625855	0.0353678	0.0443152	0.0210793	0.0172734	0.0226694	0.0205596	0.0154245	0.0116469	0.01247	0.0109341	0.016775	0.0303171	0.0488691	0.0293512	0.0394984	0.0319076	0.031334	0.0295253	0.0301403	0.0232931	0.0151719	0.0145748	0.0146104	0.0152297	0.0182383	0.0191393	0.018183	0.0175298	0.0252011	0.0162365	0.0240518	0.0220095	0.0284895
le	0.109954	0.0540025	0.049697	0.0352219	0.0402016	0.0234317	0.030151	0.0202576	0.0128052	0.00815484	0.00919047	0.00947811	0.00720978	0.0113686	0.0108137	0.00593507	0.00584159	0.00486353	0.00242354	0.0024447	0.00385466	0.00440635	0.00819349	0.0117587	0.0220697	0.0446499	0.0346115	0.0375582	0.0335081	0.0349433	0.030652	0.0394941	0.0343435	0.0312766	0.0280903	0.0346387	0.0253519	0.0871529
pneu	0.0241486	0.0189037	0.0214662	0.0194443	0.0723788	0.0586522	0.0948202	0.0716887	0.0544864	0.0690742	0.0492571	0.0385748	0.015975	0.0208136	0.0194205	0.0201319	0.0274261	0.0390547	0.0226334	0.0232787	0.0224267	0.0202674	0.015372	0.0175871	0.0233226	0.0134918	0.0129508	0.00804061	0.00734503	0.00906309	0.00959363	0.00868287	0.00784479	0.0097072	0.00771329	0.0082011	0.00884122	0.00791983
du	0.10771	0.056256	0.0364016	0.0231778	0.022642	0.0148539	0.0293153	0.0168776	0.0173053	0.0169529	0.0165728	0.0260257	0.0230221	0.0257891	0.0153539	0.0119237	0.00969157	0.0154119	0.00781865	0.00750481	0.0089756	0.010612	0.0109801	0.0112558	0.0211237	0.014004	0.0185446	0.0152435	0.0216265	0.0341734	0.0316343	0.0237113	0.0319725	0.053563	0.0578625	0.0366961	0.054785	0.0426299
vélo	0.00764072	0.02696	0.0448273	0.0344924	0.0742133	0.0440715	0.0459153	0.0492294	0.0401228	0.0241363	0.0512982	0.0413034	0.0380294	0.0309467	0.00980449	0.0157552	0.0215945	0.03232	0.0310601	0.0329125	0.0502413	0.0460692	0.0279393	0.0333189	0.0560483	0.0169235	0.0198139	0.00954794	0.00628753	0.00893079	0.00835888	0.00266486	0.00266336	0.00364111	0.00276565	0.0024701	0.00327885	0.00240301
</S>	0.0916259	0.0486403	0.0355772	0.0172896	0.0221474	0.00544999	0.00928182	0.00529332	0.00588797	0.00337353	0.00376312	0.00352357	0.00415834	0.00436813	0.00398305	0.00615663	0.00813473	0.00934748	0.00744234	0.00801857	0.0149012	0.0235874	0.0159622	0.0199257	0.0157838	0.0170557	0.0200713	0.0262789	0.0285963	0.0348824	0.0335918	0.0270974	0.0364287	0.0648153	0.0583545	0.0632366	0.0731491	0.122819
