 	a66	a87	a23	a87	a23	a18	a50	a96	a43	a56	a44	a4	a11	a62	a21	a85	a6	a21	a85	a47	a79	a7	a84	a87	a23	a99	a97	a87	</S>
j'	0.0606945	0.0579195	0.0423965	0.0344945	0.0280244	0.027709	0.0270393	0.020346	0.0179042	0.025985	0.017527	0.0306034	0.0300269	0.0302546	0.0300596	0.0257785	0.045378	0.0507746	0.0591194	0.0515089	0.0530644	0.0218754	0.0213176	0.0248467	0.0286326	0.0292102	0.0318508	0.0386211	0.0370373
ai	0.0453708	0.0360399	0.0428485	0.0744436	0.0970699	0.0960076	0.0613506	0.0387331	0.0246837	0.0204257	0.0261305	0.0296049	0.0151454	0.0165581	0.0188774	0.0337384	0.0171831	0.0245406	0.0300584	0.0175693	0.0263608	0.0204164	0.033855	0.0313751	0.0316713	0.0321314	0.0244202	0.0178665	0.0155238
juré	0.024616	0.0218941	0.027972	0.0519608	0.0527497	0.0691702	0.0519	0.0412883	0.0246817	0.0249882	0.0138294	0.0147016	0.0126514	0.0143343	0.0272076	0.0282944	0.0144684	0.0218623	0.0372989	0.024463	0.0479306	0.0267193	0.0328921	0.0410038	0.0512999	0.0607449	0.0547521	0.0478167	0.0365083
de	0.0834685	0.0559177	0.0444901	0.0319143	0.0356133	0.0382134	0.0525817	0.0553983	0.0256254	0.0264155	0.0232902	0.0234883	0.0210377	0.0268971	0.0266986	0.0246567	0.0312447	0.0403949	0.0431571	0.0275681	0.0190588	0.0266037	0.0259743	0.0248594	0.0227148	0.0259575	0.0349859	0.0176058	0.064168
ne	0.0798277	0.0586088	0.0442575	0.0287301	0.0203251	0.0163012	0.0178774	0.0223283	0.0219608	0.0270279	0.0255155	0.033521	0.0273454	0.024117	0.0245071	0.0229232	0.0241698	0.022461	0.0222814	0.0181185	0.0327316	0.0297476	0.0331897	0.0491285	0.0437412	0.0632042	0.0605917	0.0633865	0.0420746
plus	0.0473695	0.0338064	0.0308369	0.0254123	0.02027	0.0175615	0.015612	0.0183179	0.0161886	0.0175339	0.0168679	0.019698	0.0157069	0.0124462	0.00808224	0.00755357	0.00925681	0.0179748	0.0286758	0.0462073	0.0546472	0.077209	0.0828743	0.0669856	0.0480968	0.068938	0.0580669	0.0610052	0.0567986
manger	0.0485839	0.0475746	0.0549483	0.050147	0.038861	0.0532397	0.0387359	0.0394986	0.0249402	0.0291437	0.0241094	0.0298784	0.028291	0.0227791	0.0191502	0.0168317	0.0147818	0.0176026	0.0241031	0.029863	0.0276955	0.0453509	0.0445077	0.0397776	0.0378454	0.0409986	0.0412606	0.0347174	0.0347829
de	0.0918439	0.049454	0.0446254	0.0265208	0.0221525	0.0232523	0.0213667	0.0169276	0.0138048	0.0150897	0.0113432	0.0155309	0.0273749	0.0225437	0.0200083	0.0147497	0.0140858	0.0219846	0.0250304	0.0270465	0.0338228	0.044765	0.0749205	0.0673523	0.0465066	0.0589799	0.0596598	0.0506798	0.0385774
sa	0.0649153	0.0364461	0.0255188	0.0156117	0.0129617	0.0107903	0.0110797	0.00925986	0.0101036	0.0124389	0.0104282	0.0130092	0.0253346	0.028716	0.0254814	0.0175334	0.0240175	0.0395177	0.041637	0.0480732	0.0410377	0.0410253	0.0734728	0.0666815	0.0470532	0.0608465	0.0670044	0.0597215	0.0602828
nourriture	0.0501968	0.0334022	0.0164707	0.0126296	0.01323	0.0125812	0.0169605	0.0148371	0.013489	0.0187626	0.0153399	0.0202824	0.0277559	0.0232638	0.021975	0.0178311	0.021914	0.0289065	0.0349427	0.0462443	0.0370647	0.0309109	0.0532061	0.0605631	0.0439396	0.062833	0.074938	0.0763432	0.0991863
</S>	0.0316702	0.0105142	0.00644967	0.00282263	0.00191758	0.00124479	0.00179194	0.00191316	0.0018469	0.00218178	0.00192894	0.00294758	0.00452659	0.00597518	0.00510483	0.00851275	0.0125992	0.0228473	0.038005	0.0599004	0.0980304	0.0568571	0.064808	0.0792414	0.0790065	0.095843	0.0894023	0.103304	0.108807
