 	a23	a87	a23	a13	a9	a54	a30	a41	a26	a41	a2	a30	a41	a37	a12	a32	a25	a24	a41	a85	a30	a11	a21	a61	a21	a61	a43	a75	a41	a18	a75	a41	a37	a41	a90	a20	a84	a87	</S>
le	0.0442165	0.0353871	0.0275657	0.0297065	0.0264198	0.0240299	0.0236694	0.0188754	0.0179978	0.0175689	0.02486	0.0215213	0.018506	0.0189916	0.025914	0.0254231	0.0230463	0.0167432	0.0171502	0.0144316	0.0193753	0.0140342	0.0153706	0.0185993	0.0173428	0.0160424	0.0289067	0.0210751	0.0321964	0.0203537	0.0208853	0.0342089	0.0324383	0.0280552	0.030833	0.0324659	0.0409991	0.0311328	0.0736606
chien	0.00216102	0.00874814	0.0192456	0.0282554	0.0274916	0.0533059	0.0366451	0.0297314	0.0361317	0.0520594	0.067119	0.0551668	0.0376485	0.0381558	0.0364403	0.0388207	0.030673	0.0656175	0.0462419	0.0609919	0.0438547	0.0313755	0.0251943	0.0298488	0.0101744	0.0228428	0.0101686	0.00735012	0.0111056	0.00790696	0.00576703	0.00319835	0.00359744	0.00257372	0.00300585	0.0024787	0.00152423	0.00280505	0.00457714
a	0.0347221	0.0260709	0.0399182	0.0311088	0.0596977	0.0511285	0.0237323	0.0315012	0.0473375	0.0646155	0.0404372	0.0355952	0.0360216	0.0441873	0.0536154	0.0444932	0.0269964	0.0166296	0.0148377	0.0235339	0.0110058	0.00681989	0.00970619	0.00949478	0.00957331	0.0110142	0.0059662	0.0118712	0.0107723	0.0146053	0.0150725	0.0183492	0.0211525	0.0120552	0.0232723	0.0212507	0.0155491	0.010925	0.0153641
attrapé	0.0254439	0.0427995	0.033107	0.0241064	0.0155173	0.0334616	0.0398483	0.0300478	0.0371152	0.0448784	0.0198899	0.04941	0.0506971	0.0419734	0.073442	0.0414132	0.0324819	0.0351656	0.0261972	0.036575	0.0223629	0.0265844	0.0295622	0.0242983	0.0232065	0.0267478	0.0148049	0.0182546	0.00946788	0.00715058	0.00684703	0.0066186	0.00559463	0.00528524	0.00520827	0.00711501	0.00448188	0.00645446	0.0163841
l'	0.0816657	0.0696749	0.0529572	0.0533863	0.0441719	0.0392724	0.0286096	0.0193413	0.0195463	0.0150189	0.0100301	0.0172589	0.0211187	0.015083	0.0117365	0.0098296	0.0165445	0.0165035	0.022308	0.0230868	0.0190548	0.0178158	0.0147566	0.0279029	0.0527844	0.0347105	0.0279473	0.0386794	0.028328	0.0280709	0.0307578	0.0172297	0.00943288	0.00727061	0.00727092	0.0104062	0.0148544	0.0109304	0.0146523
os	0.0480564	0.0444235	0.0485217	0.0397047	0.0496504	0.033515	0.0203261	0.0157079	0.0187466	0.0242691	0.0318473	0.0332101	0.0488093	0.0488064	0.0396831	0.0428671	0.0716096	0.0339636	0.0268155	0.0174422	0.0300403	0.0119797	0.0156501	0.0240804	0.0169167	0.0199234	0.015498	0.0225384	0.0126072	0.0153331	0.0136689	0.00802642	0.00909579	0.00635909	0.00628113	0.00849594	0.0086092	0.0055354	0.011385
qu'	0.0455412	0.0263346	0.0269904	0.0246539	0.0196606	0.0241272	0.0163786	0.0116171	0.0152665	0.0145445	0.0101937	0.0176709	0.0251842	0.0371424	0.0383146	0.0349208	0.0270267	0.0162119	0.0152412	0.0161417	0.010477	0.0111358	0.0131466	0.0128871	0.0121266	0.0105059	0.0107494	0.0108674	0.00948344	0.0110792	0.0138502	0.013455	0.0394574	0.0568203	0.0546416	0.0611311	0.062186	0.0589195	0.0639178
a	0.0266656	0.0181144	0.0142531	0.0123858	0.0203439	0.0172051	0.00847933	0.0105034	0.0122211	0.0143036	0.02803	0.0183981	0.0179709	0.0189953	0.018906	0.0174352	0.0243751	0.0176189	0.0155056	0.0152874	0.0101466	0.00972185	0.00897475	0.0108827	0.0084749	0.0177117	0.0192389	0.0132003	0.0154086	0.0138643	0.0185183	0.0181887	0.0425332	0.0521377	0.0817015	0.0599882	0.0783496	0.0781778	0.095783
jeté	0.0267178	0.0206664	0.0164966	0.0108532	0.00808754	0.010293	0.00891389	0.0051507	0.00492968	0.00833755	0.00833449	0.0215475	0.0179989	0.0250304	0.0320135	0.0187192	0.02955	0.0250793	0.0293643	0.0260772	0.0402887	0.0310869	0.0188667	0.0364217	0.0425142	0.0387616	0.0619092	0.0492841	0.02913	0.0317455	0.0309809	0.0277497	0.0335876	0.030356	0.0361756	0.0285727	0.0331035	0.0250083	0.0202959
son	0.10549	0.0831302	0.0971714	0.0544361	0.0263817	0.0311587	0.0212408	0.00914861	0.0059004	0.00953091	0.0119258	0.0187011	0.0179977	0.013377	0.0190071	0.0159193	0.0192638	0.00949718	0.012973	0.0137902	0.00608945	0.00483721	0.00381683	0.00928725	0.0120587	0.0105216	0.0123998	0.0108	0.0125957	0.0133555	0.0124896	0.0116067	0.0223719	0.0313344	0.0489191	0.0282631	0.05445	0.0395862	0.0591762
maître	0.101586	0.085444	0.0949332	0.049759	0.0322744	0.0234751	0.0144293	0.00865217	0.00660665	0.00811924	0.0121053	0.0124723	0.0151241	0.0125029	0.0256699	0.0179879	0.0213586	0.0126437	0.0138249	0.013455	0.00930121	0.00644668	0.00691006	0.0108487	0.0102943	0.00984008	0.0136909	0.014358	0.0152337	0.0216003	0.0216893	0.0157498	0.0212366	0.0257496	0.0325375	0.0224437	0.0482493	0.0327935	0.0786034
</S>	0.078645	0.0601408	0.0611082	0.0366505	0.022606	0.0226895	0.00881263	0.00768896	0.00964969	0.0114302	0.0220883	0.00911822	0.00777125	0.00635407	0.00715136	0.00626201	0.00709073	0.00387477	0.00497101	0.00589333	0.00267339	0.00225056	0.00239971	0.00462961	0.00538023	0.00514594	0.00870585	0.00720855	0.00962889	0.0128374	0.013683	0.0111479	0.0205488	0.0278893	0.0567737	0.0285829	0.0655795	0.045791	0.269147
