 	a66	a87	a23	a13	a53	a15	a79	a37	a96	a37	a93	a96	a66	a90	a25	a79	a56	a62	a88	a93	a34	a62	a88	a9	a10	a87	a23	a99	a97	</S>
la	0.0373599	0.062057	0.0682205	0.0547614	0.0649187	0.0600854	0.0361038	0.0303211	0.0305343	0.0284392	0.0385053	0.0264301	0.0301836	0.0250251	0.0148151	0.018178	0.00890307	0.00947716	0.0101873	0.0277025	0.0293848	0.023335	0.0357747	0.0277275	0.0308288	0.0368156	0.034954	0.0365367	0.020134	0.0423005
maman	0.00353338	0.0107401	0.0180507	0.0579751	0.13856	0.0996552	0.105113	0.0424974	0.114687	0.147963	0.131651	0.047658	0.0203776	0.0151525	0.0107469	0.00762867	0.0040475	0.00232902	0.00474585	0.00226054	0.00111277	0.00124845	0.000938049	0.00109706	0.000860184	0.00150568	0.00172848	0.00308718	0.00233693	0.000712951
est	0.0664345	0.065804	0.0508308	0.055618	0.0539425	0.0446099	0.0251317	0.00881657	0.0200698	0.0505804	0.0961459	0.0852281	0.0511131	0.0363696	0.0224998	0.026699	0.028988	0.0126815	0.0096815	0.0081276	0.00583267	0.00868974	0.011053	0.0193253	0.0133584	0.0179726	0.0218973	0.0260349	0.0440005	0.0124633
partie	0.0214809	0.0104057	0.00791736	0.0103605	0.0249347	0.0301165	0.0308629	0.018463	0.0392604	0.0371157	0.0436062	0.0635435	0.079697	0.0779337	0.0784571	0.0586964	0.042366	0.0229797	0.0563252	0.0261148	0.0225109	0.0308532	0.0181711	0.0179137	0.0182554	0.0186558	0.0198961	0.0254502	0.0257383	0.021918
chercher	0.116585	0.0449694	0.0229424	0.0118517	0.00686242	0.00992949	0.0111194	0.0177067	0.0287604	0.0271979	0.0481108	0.044867	0.0721635	0.0788377	0.0666193	0.0537731	0.0431585	0.021691	0.0248334	0.0158316	0.0195784	0.0176897	0.0204944	0.00821603	0.0168176	0.0180245	0.0155695	0.0276766	0.0327107	0.0554116
de	0.0520952	0.0296682	0.0263356	0.0205128	0.0216136	0.020558	0.0263918	0.0512748	0.0412955	0.0421047	0.0371949	0.0193765	0.0184824	0.0181039	0.0239433	0.0314845	0.0312651	0.0187649	0.0292722	0.0263716	0.0436159	0.0368325	0.0448521	0.022737	0.0395903	0.0262897	0.0228483	0.0285504	0.0285154	0.120059
l'	0.0356384	0.0218406	0.01935	0.0173898	0.0157958	0.0157152	0.0183918	0.0231106	0.0356641	0.0312043	0.0304398	0.0215187	0.0235378	0.025107	0.0305522	0.0438662	0.0463875	0.0423766	0.0321543	0.0340489	0.0263136	0.0263255	0.0329557	0.0361191	0.0447996	0.0377491	0.0433562	0.0463731	0.0603457	0.0815729
eau	0.0526233	0.0325353	0.0194384	0.0172353	0.0136125	0.0131501	0.011169	0.011721	0.0302455	0.0341181	0.0368313	0.0297969	0.0360328	0.0285945	0.0272577	0.0376829	0.0434389	0.0289562	0.0227544	0.0219197	0.0183697	0.0196293	0.0250994	0.0244942	0.0348254	0.0366444	0.0371627	0.072714	0.0802003	0.101747
à	0.0273027	0.0160795	0.00909802	0.00532849	0.00315701	0.00315473	0.00554144	0.00731475	0.0152021	0.0221136	0.0129583	0.00665718	0.0106967	0.0134803	0.0180152	0.0144827	0.0158234	0.0168987	0.0294141	0.047132	0.0692762	0.0528139	0.0788547	0.05813	0.0623219	0.063129	0.0684786	0.0885286	0.0719161	0.0867003
la	0.0198243	0.0118285	0.00582015	0.0048742	0.00419558	0.00467619	0.00443845	0.00748816	0.00998147	0.0216163	0.0163726	0.00753857	0.0089921	0.0109166	0.0168027	0.0184561	0.0252633	0.0302033	0.0319206	0.0601495	0.0692549	0.0557479	0.0535529	0.0645739	0.0707156	0.0532487	0.0534459	0.0659542	0.0580895	0.134058
source	0.0214417	0.0155435	0.0142703	0.0162773	0.00903281	0.00824413	0.00861057	0.00992822	0.0136059	0.0210939	0.0246884	0.0236491	0.0238894	0.0263707	0.0245304	0.0357008	0.0349915	0.0417841	0.0431643	0.0468898	0.0462002	0.0406306	0.0536547	0.0560178	0.0506209	0.0503233	0.0507223	0.0563864	0.065715	0.0660221
</S>	0.0352136	0.026637	0.0182192	0.0228215	0.0177685	0.0177082	0.0177176	0.0189709	0.0302933	0.0649872	0.0555728	0.0265381	0.0132773	0.0113358	0.00741531	0.0120595	0.0158402	0.0194977	0.0168082	0.0205402	0.022865	0.022743	0.0318647	0.0283615	0.0459786	0.0652876	0.0554882	0.0624395	0.0892306	0.106519
