 	a87	a79	a94	a98	a85	a75	a85	a37	a90	a25	a85	a18	a0	a96	a61	a75	a85	a66	a11	a96	a13	a9	a87	a23	a87	</S>
l'	0.0460317	0.0784636	0.0682159	0.0458571	0.0391647	0.032459	0.025937	0.0174073	0.0166666	0.011639	0.00772695	0.00660193	0.00463206	0.00610869	0.0081098	0.016165	0.0286852	0.0443928	0.0427884	0.0573835	0.056742	0.0522954	0.0621634	0.0776249	0.0579674	0.0887708
enfant	0.00580368	0.0225637	0.0171535	0.043333	0.0919006	0.110099	0.104597	0.108141	0.108879	0.0745195	0.0489184	0.0538764	0.0431722	0.0248438	0.0182551	0.0246837	0.020935	0.00620674	0.00484069	0.0041195	0.00921192	0.00530381	0.00731914	0.0125657	0.0155873	0.0131712
est	0.0629366	0.0523519	0.0531483	0.047201	0.0878744	0.099561	0.108802	0.0721539	0.0598	0.0499797	0.0377407	0.0286614	0.0195871	0.014192	0.00599336	0.0049376	0.00478046	0.00552502	0.0113044	0.0149933	0.0231432	0.0211699	0.0333858	0.0300234	0.0288485	0.0219053
en	0.0164811	0.00902724	0.00609288	0.00303656	0.00462553	0.00516603	0.0158875	0.0280602	0.0727514	0.185165	0.114278	0.0791306	0.0800742	0.0437982	0.025312	0.0172419	0.0125558	0.0185509	0.0261957	0.0288821	0.0437705	0.045467	0.0378495	0.0275284	0.0291748	0.0238971
train	0.0344572	0.0232391	0.0174592	0.0116639	0.00849273	0.00782821	0.00628318	0.011235	0.0330973	0.0583027	0.119889	0.128213	0.146117	0.133493	0.0761385	0.0454382	0.0371019	0.0214629	0.0151281	0.0198287	0.0131775	0.00529614	0.00589613	0.00605198	0.00678639	0.00792328
d'	0.0421328	0.0306199	0.0299324	0.0194388	0.020882	0.0205811	0.0370695	0.0385225	0.0272748	0.0213872	0.00798129	0.0109088	0.00659128	0.0179973	0.0133355	0.0106672	0.0118819	0.0134406	0.0178996	0.0237804	0.0481372	0.0714559	0.0929726	0.10497	0.127294	0.132845
ouvrir	0.0539364	0.0644031	0.0528872	0.0567579	0.0596717	0.0579542	0.092799	0.0668144	0.0526774	0.0600568	0.0508097	0.0474819	0.0435263	0.0330987	0.0148053	0.00612205	0.00513022	0.00540227	0.00903952	0.012827	0.0263161	0.024527	0.0218104	0.022965	0.0303167	0.0278635
la	0.0433851	0.0200688	0.016445	0.0130521	0.00965193	0.00665167	0.00742667	0.00774016	0.00710897	0.013274	0.0129078	0.0178754	0.0152966	0.0164692	0.0106086	0.0115886	0.0190875	0.0392606	0.0510414	0.0981096	0.152971	0.135889	0.100822	0.0612298	0.064123	0.0479154
marmite	0.0408857	0.0240123	0.0184548	0.010619	0.00788548	0.00503107	0.00491659	0.00507911	0.00557866	0.0064297	0.00589914	0.00490452	0.00534094	0.00674436	0.00705958	0.00589461	0.00656447	0.0179332	0.0306721	0.0540001	0.126466	0.147631	0.146732	0.109592	0.100981	0.0946923
</S>	0.0291228	0.0198421	0.0173261	0.0114165	0.00741673	0.00463138	0.00376925	0.00301531	0.00300089	0.00312262	0.0030928	0.00250186	0.00310275	0.00524706	0.00803723	0.00922811	0.0156096	0.0426052	0.0501747	0.0757984	0.114211	0.115711	0.110731	0.101213	0.0997299	0.140342
