 	a66	a87	a23	a87	a23	a44	a58	a40	a47	a92	a56	a43	a61	a62	a88	a71	a44	a13	a38	a75	a47	a7	a37	a56	a94	a34	a56	a93	a44	a13	a3	a99	a97	a99	a38	a11	a75	a92	a79	a98	a79	a7	a62	a47	a62	a88	a71	a9	a10	a87	a23	a97	a57	</S>
il	0.0110698	0.0216322	0.0246791	0.0402688	0.0310128	0.023047	0.02533	0.0304154	0.0410726	0.0301518	0.030972	0.0294625	0.0346539	0.0297235	0.021128	0.0259503	0.0259127	0.0463514	0.0256984	0.0448503	0.0470416	0.0229825	0.0244099	0.0199126	0.0230543	0.0293536	0.0166483	0.0183003	0.0109184	0.0104706	0.00861193	0.00618639	0.0051982	0.00363974	0.00325059	0.00324	0.00324816	0.0075752	0.00492851	0.00584165	0.00810131	0.00591624	0.00803148	0.0091555	0.00922707	0.00760431	0.0166162	0.0108246	0.00803405	0.0112407	0.00908186	0.00684137	0.00809247	0.0130376
faut	0.00704305	0.00666939	0.00791274	0.00777018	0.0195754	0.0144685	0.03776	0.0363032	0.0350588	0.0185479	0.0123169	0.0111465	0.0104797	0.021369	0.0122499	0.020598	0.0214342	0.0172633	0.0158266	0.0136751	0.00887151	0.0142116	0.0125273	0.0079709	0.011203	0.00746678	0.00501088	0.00916541	0.00660471	0.00561121	0.0100789	0.0200924	0.0114603	0.014154	0.0132938	0.0176707	0.0187618	0.016901	0.0188551	0.0274743	0.0291226	0.0221055	0.0240918	0.0266784	0.0300246	0.0357742	0.0348688	0.0341313	0.0312398	0.0287686	0.0331969	0.0274811	0.024811	0.0128512
te	0.0287117	0.0202651	0.0200653	0.0142057	0.0102059	0.00744291	0.005648	0.00986581	0.0178527	0.0109707	0.00888947	0.00761194	0.00620169	0.0200384	0.0081042	0.00482189	0.00569273	0.0258319	0.0318334	0.0350201	0.017384	0.0216606	0.0164207	0.0172045	0.0243025	0.0271634	0.0179934	0.0170933	0.0268469	0.0381226	0.0270037	0.0337726	0.0218617	0.017011	0.0159156	0.0183445	0.0128824	0.00591746	0.00942675	0.00681615	0.0108072	0.00597997	0.0108851	0.010524	0.0101721	0.0119064	0.0116849	0.0162622	0.0222987	0.0277997	0.0324281	0.0302518	0.0390249	0.0675518
couvrir	0.0368844	0.0141235	0.0072948	0.00918043	0.00610214	0.005102	0.00408155	0.00877231	0.00755436	0.0142906	0.0227268	0.0178738	0.020887	0.0229132	0.0136741	0.0121241	0.0188044	0.0240544	0.0210466	0.0169261	0.0201803	0.0216797	0.0189242	0.0163026	0.0201967	0.0279401	0.0194436	0.0391308	0.0341972	0.0185266	0.026342	0.0312844	0.0350459	0.031689	0.0396198	0.0352293	0.0213025	0.0144045	0.0148856	0.0100109	0.0124461	0.0085494	0.0106022	0.00765684	0.0109103	0.00720247	0.00938008	0.0112456	0.0149246	0.0160961	0.0162406	0.0138734	0.0133495	0.0467705
avec	0.0305511	0.013523	0.00875869	0.0103997	0.0111519	0.00961792	0.00827976	0.0159586	0.0106628	0.0119156	0.0113992	0.0120875	0.00964093	0.0225511	0.0182374	0.00964166	0.0117233	0.0216105	0.0278063	0.021426	0.0226294	0.0345739	0.0246475	0.0248436	0.0282461	0.0332001	0.0220081	0.0437124	0.039425	0.0211791	0.0161668	0.0351302	0.0210262	0.0221098	0.0283211	0.0278742	0.013723	0.00663787	0.0127266	0.00942099	0.0119609	0.00957307	0.0131682	0.0113597	0.013607	0.00965066	0.0111147	0.0138997	0.0170586	0.0180924	0.0169438	0.0157327	0.0236689	0.0296248
un	0.0115569	0.00731059	0.00856812	0.00548334	0.0107821	0.00838194	0.00933085	0.0133564	0.0201644	0.020696	0.0095791	0.0103791	0.0135745	0.0161587	0.0228975	0.014181	0.0109871	0.0289359	0.0384252	0.0833519	0.0567912	0.0594668	0.0729769	0.0331933	0.0415974	0.0212379	0.017745	0.0417144	0.0310147	0.0169701	0.0193359	0.0329532	0.0201864	0.0193998	0.0105979	0.0065977	0.00518803	0.00332509	0.00428375	0.00453503	0.00409759	0.00325142	0.00626294	0.00928052	0.0125281	0.00752472	0.00821969	0.00784589	0.00997344	0.00954803	0.0108765	0.00962238	0.00955382	0.00820408
pagne	0.0331084	0.0201236	0.0182268	0.0108815	0.0091129	0.00507051	0.00288027	0.00221617	0.00480952	0.00720262	0.00635606	0.0111887	0.0137772	0.0201857	0.0188975	0.0111912	0.00856238	0.0199111	0.0287368	0.0482699	0.0277298	0.0349385	0.0517154	0.0336228	0.0466037	0.0230679	0.0215859	0.0393541	0.0436347	0.0430613	0.0344347	0.0420336	0.0336682	0.0384692	0.0275572	0.0204738	0.0101465	0.00359378	0.00838165	0.00443814	0.00578602	0.00302339	0.00378168	0.00538314	0.0111326	0.0080671	0.00865612	0.00537307	0.00952779	0.0104572	0.00923708	0.010624	0.0109667	0.00876425
quand	0.0281556	0.0167687	0.00997083	0.0111034	0.00622784	0.00401159	0.00189668	0.00190389	0.00349179	0.00669273	0.0061571	0.0121679	0.0106399	0.0200694	0.0175541	0.0134444	0.0121657	0.0317015	0.0333239	0.0537241	0.037916	0.0374517	0.0482988	0.045213	0.0491516	0.0278959	0.026437	0.0292198	0.0271889	0.0282637	0.0257869	0.0196905	0.0221316	0.019456	0.0211001	0.0179289	0.0105517	0.00675719	0.0148743	0.00949435	0.0124809	0.00575348	0.00829876	0.00700592	0.0106406	0.00752213	0.0140216	0.0094536	0.0167543	0.0168546	0.015128	0.0148173	0.0170356	0.0182541
il	0.0540509	0.028834	0.0119499	0.0148224	0.011103	0.00534697	0.00173839	0.0012654	0.00176209	0.00216526	0.00294409	0.0035629	0.00279234	0.00692734	0.00750149	0.00977745	0.00917174	0.0245908	0.0286183	0.0346323	0.034942	0.0355188	0.0334018	0.0304281	0.0464296	0.0396276	0.0301611	0.0286113	0.0363894	0.0384776	0.0257055	0.021811	0.0235307	0.0196215	0.0260194	0.0266886	0.0119597	0.00871006	0.0161871	0.00725018	0.0119971	0.00710599	0.00804387	0.00683115	0.00869801	0.00699749	0.0113182	0.00938234	0.0124927	0.0182536	0.0133533	0.0200514	0.0232082	0.0372384
fait	0.0242067	0.0131235	0.0068186	0.00798605	0.00635347	0.00403702	0.00286462	0.00193425	0.00221672	0.00513436	0.00775278	0.0224016	0.0150193	0.0249712	0.0347427	0.0277597	0.0287678	0.0352086	0.0302403	0.0332645	0.0315894	0.0355687	0.0352377	0.0292964	0.0366091	0.0279154	0.020692	0.0273184	0.0295411	0.0260299	0.0270079	0.0302991	0.0273153	0.0266808	0.0269563	0.024382	0.0126889	0.00602215	0.0122717	0.00551352	0.00938124	0.00502647	0.00702669	0.00603169	0.00843771	0.0062893	0.00866071	0.00936645	0.011375	0.0165871	0.0121032	0.0159492	0.0198729	0.0301527
froid	0.0200785	0.00564557	0.00229913	0.00300507	0.00263601	0.00186377	0.00156574	0.000891568	0.00111396	0.00382768	0.00687318	0.0227872	0.0164177	0.0365156	0.0365667	0.0209608	0.0244769	0.0301507	0.0328757	0.0312904	0.0249526	0.0349365	0.0293097	0.0309696	0.0358814	0.0294437	0.0170397	0.0212701	0.0216731	0.0191939	0.0204283	0.0265986	0.0236275	0.0234057	0.0226738	0.0167535	0.0149091	0.00953594	0.0187509	0.00899342	0.0138033	0.00708014	0.00982794	0.00929786	0.0137864	0.00816103	0.0126316	0.011394	0.0182797	0.026377	0.0223665	0.0266779	0.0319343	0.0361935
</S>	0.00990022	0.00364742	0.00113581	0.00257564	0.00174564	0.00115259	0.00158657	0.000945553	0.00179732	0.00393141	0.00543462	0.0246447	0.0246058	0.0343723	0.0325523	0.030021	0.0306031	0.0351808	0.0411158	0.0310476	0.0290541	0.0387866	0.0412581	0.0460385	0.036784	0.0273285	0.0111224	0.0122277	0.0102936	0.00895002	0.0146857	0.0156637	0.0151747	0.0140968	0.014692	0.0128068	0.0111095	0.00942265	0.0131409	0.00770403	0.0152601	0.00858237	0.0119136	0.0135844	0.0189307	0.0103505	0.0186552	0.0146178	0.0212683	0.0347766	0.0251828	0.0289302	0.0330377	0.0365732
