 	a23	a87	a23	a40	a20	a73	a94	a26	a11	a24	a98	a71	a9	a87	a23	a79	a20	a94	a62	a88	a54	a73	a84	a53	a94	a13	a54	a98	a73	a94	a26	a12	a75	a41	a7	a84	a57	a87	a23	a40	a73	a94	a66	a50	a83	a9	a38	a73	a94	a18	a90	a94	a53	a4	a53	a4	a57	a38	a54	a73	a84	a87	</S>
maintenant	0.0279859	0.0254971	0.0324095	0.0306849	0.0361252	0.0186433	0.0173041	0.016556	0.0244904	0.029187	0.0486426	0.0390887	0.0278364	0.0202002	0.0195914	0.00919905	0.00946582	0.00553268	0.00411854	0.00412509	0.00412248	0.00888619	0.00625313	0.00505124	0.00718768	0.005444	0.0089644	0.00892838	0.0136946	0.0087082	0.010329	0.0144361	0.0122404	0.0132237	0.0118118	0.0145004	0.0143866	0.0171724	0.0173638	0.00860061	0.0358511	0.0291354	0.0161821	0.0199616	0.0177975	0.0107261	0.00995811	0.00899506	0.00754045	0.00653541	0.00940337	0.003476	0.00535504	0.00501918	0.00768699	0.00704377	0.00989284	0.0126792	0.00803822	0.0136663	0.0262347	0.0249963	0.0458364
il	0.00890385	0.0118262	0.0140887	0.0126023	0.0224585	0.02096	0.0236831	0.034607	0.0358829	0.0346089	0.0279931	0.0248807	0.0202652	0.0215534	0.0193105	0.0134477	0.00714817	0.0113574	0.0196756	0.0202956	0.024401	0.0323357	0.0307275	0.0274834	0.0164187	0.0313733	0.0273116	0.0412123	0.0407916	0.0477192	0.0291248	0.0329666	0.0115888	0.0131156	0.0173622	0.0105679	0.00418979	0.00539641	0.00409175	0.00603646	0.00589384	0.00550241	0.00672278	0.00527498	0.00475931	0.00386638	0.00310997	0.00353551	0.00361651	0.00334958	0.00529179	0.00651443	0.00584097	0.00492928	0.00699634	0.00590919	0.00896844	0.00860509	0.00807694	0.00704136	0.00880106	0.00758674	0.0100436
gagne	0.02216	0.00881784	0.00827721	0.0145148	0.0177076	0.0205163	0.0256731	0.0420744	0.0349819	0.0596719	0.0557238	0.0585813	0.0332423	0.0491046	0.0487482	0.0237653	0.0144408	0.0154453	0.0144502	0.00481976	0.0135177	0.00472272	0.00644639	0.00526617	0.00666593	0.00463274	0.00649823	0.00899119	0.00379016	0.00781584	0.0104815	0.0153208	0.0139328	0.0143137	0.0148075	0.0162181	0.0104103	0.0106333	0.00888747	0.0212062	0.013917	0.0122662	0.0108025	0.0110313	0.0090447	0.00487563	0.00307527	0.00451515	0.00337815	0.0025305	0.00595611	0.00493985	0.0052067	0.00539508	0.00775361	0.00680394	0.012526	0.0140308	0.0121997	0.0122976	0.0245823	0.0176097	0.017987
sa	0.0310446	0.0235607	0.0102011	0.0206589	0.00952749	0.010205	0.0132095	0.0196813	0.0251175	0.0428555	0.0349142	0.0395343	0.0354569	0.0307428	0.0350574	0.0288989	0.0278226	0.0181047	0.0153857	0.0152399	0.0111355	0.0119401	0.0116478	0.0139409	0.00563767	0.00515517	0.00583759	0.00681752	0.0131423	0.0123916	0.0163713	0.016032	0.0135821	0.0107765	0.00829716	0.0133002	0.010069	0.00712709	0.0160247	0.0096865	0.0221741	0.0240922	0.0223105	0.024092	0.0249849	0.0215669	0.0199792	0.0226167	0.0184447	0.0305799	0.00806718	0.00667972	0.0047093	0.00313948	0.00247282	0.00313019	0.00316741	0.00327866	0.00297636	0.00330286	0.00601821	0.0028977	0.0131873
vie	0.0113432	0.00976105	0.0100344	0.00791246	0.0084014	0.00903758	0.00695168	0.00549131	0.0141702	0.00616338	0.00644879	0.0102672	0.0137932	0.0130242	0.0176763	0.032146	0.0278853	0.0203752	0.0200637	0.0273113	0.0102058	0.0155408	0.0119324	0.0105874	0.00919733	0.00994272	0.00872677	0.014357	0.0155743	0.0113481	0.0154696	0.015628	0.0241792	0.0301136	0.0410411	0.0318042	0.0335829	0.0417862	0.0372017	0.0189973	0.0193397	0.0245874	0.0312734	0.0213487	0.0244451	0.0240916	0.0208253	0.0217803	0.0174575	0.0167965	0.013914	0.00877002	0.0049115	0.0068882	0.00882739	0.0070467	0.00670607	0.00732949	0.00632759	0.00717068	0.00519871	0.00446368	0.00502616
sans	0.0242679	0.0234735	0.0290482	0.0340979	0.0267321	0.0167108	0.0132235	0.00949107	0.0321158	0.0160313	0.0147435	0.0208058	0.0229043	0.0159488	0.0113961	0.00909664	0.0113512	0.0135514	0.0147209	0.0310578	0.0106206	0.0266787	0.0177496	0.0159305	0.0139235	0.0139138	0.0114835	0.0166466	0.0280314	0.0142399	0.0164431	0.0156125	0.0131662	0.018633	0.0231769	0.0196265	0.0134727	0.0224927	0.0240828	0.00759805	0.0297005	0.0403963	0.0218005	0.0156567	0.0200639	0.0145249	0.00950117	0.0113666	0.0103199	0.00937938	0.0108687	0.00513121	0.00515436	0.00713014	0.00845587	0.00675733	0.00505125	0.00571002	0.00630865	0.00675043	0.00711615	0.00430681	0.00425806
avoir	0.0281698	0.0192888	0.0194629	0.0141524	0.00859847	0.00107272	0.000674982	0.00156753	0.00148943	0.00284167	0.0043322	0.00528857	0.00264739	0.00358404	0.00287591	0.00223593	0.00206073	0.0031716	0.00453655	0.0103709	0.0122035	0.0242974	0.0112638	0.0150842	0.0189503	0.0236746	0.0213401	0.038576	0.041904	0.0268732	0.0356081	0.0382076	0.0293765	0.0396922	0.0615285	0.0351782	0.020465	0.0392606	0.018031	0.0111735	0.0247827	0.0369047	0.0190048	0.0107432	0.0151671	0.0106696	0.00504328	0.00587478	0.00450858	0.0042026	0.00717709	0.0017039	0.00334872	0.00588151	0.0106431	0.00798429	0.00763089	0.0155827	0.017754	0.0193077	0.018323	0.0174887	0.0291621
besoin	0.0185558	0.0122245	0.00972778	0.00539067	0.00446499	0.0011993	0.000761413	0.00160402	0.00107722	0.00157097	0.00239119	0.0044854	0.00315848	0.00513942	0.00329899	0.00177646	0.00169764	0.0031902	0.00490482	0.017719	0.015904	0.023577	0.0175651	0.0210642	0.019869	0.0291797	0.0269295	0.0419145	0.0340763	0.0272355	0.0431554	0.0342353	0.0220178	0.0250087	0.0428903	0.0181972	0.0104315	0.0242329	0.0175668	0.010893	0.0207998	0.0281686	0.0246842	0.021117	0.0186283	0.017683	0.00827832	0.0141086	0.00791602	0.00931624	0.0135965	0.00645748	0.0111236	0.0106498	0.016505	0.0142381	0.0155305	0.0213007	0.0262767	0.0225345	0.0177826	0.0176549	0.025367
de	0.0129427	0.00926139	0.00922669	0.00725787	0.00635964	0.00214414	0.0013255	0.00261693	0.00188175	0.00267467	0.00369228	0.00455164	0.00528187	0.00693528	0.00551114	0.00289828	0.00294729	0.00396438	0.00654314	0.0197241	0.0199745	0.0289599	0.0249406	0.0284294	0.0262892	0.033828	0.0344425	0.0357318	0.037405	0.0320836	0.0383449	0.0339338	0.0255515	0.0283571	0.0345402	0.0228067	0.0138491	0.0201946	0.0156429	0.0102838	0.016838	0.0170563	0.0166685	0.0168498	0.0143812	0.0139427	0.0100385	0.0132393	0.00741097	0.00802051	0.0118084	0.00808786	0.0118955	0.0103483	0.0142284	0.0123473	0.0119695	0.017943	0.0219818	0.0197254	0.0139104	0.0198474	0.0281313
personne	0.014602	0.0164481	0.013932	0.00918263	0.00609321	0.00243972	0.0019343	0.00332353	0.00235726	0.00369939	0.0053467	0.00619364	0.0062966	0.00720015	0.00810217	0.00533683	0.00568909	0.0103776	0.0124092	0.0182074	0.0163438	0.0201958	0.0182151	0.0180475	0.0155329	0.0238379	0.020423	0.0220032	0.0262488	0.0194069	0.025605	0.0199579	0.0142754	0.0162398	0.0251498	0.0129445	0.0092322	0.0148638	0.012693	0.0102343	0.0137387	0.0151011	0.0157361	0.0144082	0.0152129	0.0151898	0.0131775	0.0171062	0.00999355	0.0158475	0.0148144	0.0107037	0.0131025	0.00708041	0.00872121	0.00833813	0.0136914	0.0263834	0.0343888	0.0299764	0.0274093	0.0528945	0.0863621
</S>	0.0154213	0.00526072	0.00409365	0.0023638	0.00167259	0.000487899	0.000501199	0.000553272	0.000635213	0.000995258	0.00183985	0.00231827	0.00135773	0.00186427	0.00220341	0.00157472	0.00153044	0.00270508	0.00403035	0.00940228	0.00756597	0.0168207	0.0113182	0.0105937	0.0117568	0.0116524	0.0109814	0.0101536	0.0132837	0.00995472	0.0106465	0.0116831	0.00764887	0.00769514	0.00794649	0.00474409	0.00388077	0.00490764	0.00393299	0.00402583	0.0119489	0.011013	0.00852632	0.00781153	0.00975354	0.00508351	0.00367604	0.00585405	0.00422075	0.00609881	0.0214978	0.0124262	0.0312096	0.032517	0.0423183	0.0397833	0.0401835	0.0605028	0.0671717	0.0736966	0.0627448	0.0965936	0.103364
