 	a66	a87	a23	a18	a50	a98	a18	a54	a56	a43	a11	a90	a15	a90	a93	a4	a15	a56	a44	a50	a98	a13	a71	a3	a87	a23	a18	a83	a50	a90	a94	a11	a20	a7	a84	a57	a87	</S>
celles-ci	0.0647126	0.082328	0.0680628	0.0665694	0.063353	0.0288313	0.0194363	0.0142917	0.00843781	0.00587906	0.00780947	0.00742292	0.0126558	0.0121815	0.0271385	0.0220759	0.0352735	0.0272578	0.0209571	0.025615	0.0265763	0.0159739	0.0105432	0.0128445	0.0156141	0.00846698	0.0123613	0.0160298	0.0178189	0.0218559	0.0296382	0.017615	0.019093	0.0325563	0.0274995	0.0334395	0.0396605	0.0221237
sont	0.0170553	0.011313	0.016144	0.00935512	0.00871592	0.0104792	0.0125473	0.0177394	0.0294501	0.0474329	0.0672783	0.0673566	0.0499734	0.0201828	0.00836275	0.00859929	0.00663698	0.0106102	0.0166909	0.0165742	0.0263451	0.021385	0.0261052	0.0222591	0.0428526	0.0254414	0.0258378	0.0231899	0.019467	0.0156889	0.0228118	0.0338591	0.0508029	0.0320011	0.0408679	0.0382857	0.0400326	0.0402692
des	0.0401521	0.0223702	0.00938876	0.00684536	0.00901194	0.0159841	0.0145998	0.0083771	0.0141352	0.0211455	0.0209656	0.0355031	0.0327091	0.0291929	0.0124193	0.0140007	0.00895746	0.0283101	0.0392403	0.039788	0.0472027	0.0365255	0.0389398	0.0313181	0.0524744	0.0333747	0.0284049	0.0284948	0.019846	0.0189287	0.0202531	0.0173855	0.0326994	0.0375991	0.035164	0.0326234	0.0343616	0.0313078
feuilles	0.0199795	0.0159616	0.00206856	0.0102091	0.00909078	0.02515	0.0174602	0.0267744	0.0376533	0.0527189	0.0530322	0.0493117	0.0790018	0.0809624	0.0498684	0.0370932	0.023173	0.0388443	0.0256118	0.0377772	0.0406954	0.0412106	0.0352984	0.0258508	0.0481384	0.0443643	0.0150829	0.0119003	0.00798869	0.00592604	0.00446	0.00680452	0.00568222	0.00351699	0.00299792	0.00233946	0.00145555	0.00454507
de	0.0459565	0.0278499	0.0232673	0.0166998	0.0163522	0.0138616	0.0120362	0.0110189	0.0080477	0.00643026	0.00836103	0.00704383	0.00905376	0.0104953	0.011014	0.0108788	0.00891052	0.00733322	0.0104071	0.00817735	0.00847359	0.00765764	0.00577952	0.0127872	0.0138195	0.0108662	0.0122797	0.00994301	0.0107898	0.0155946	0.0137777	0.0222173	0.0394371	0.0946345	0.0971262	0.0986602	0.179262	0.073699
manguier	0.0279831	0.0127289	0.00782079	0.0167184	0.0114633	0.0145529	0.0201625	0.0190559	0.0213324	0.0295	0.0287725	0.0196701	0.0226775	0.0188684	0.0183662	0.0237403	0.0134038	0.0171784	0.0264093	0.032559	0.0372623	0.0164664	0.0233855	0.0483977	0.0631944	0.0371824	0.0473896	0.0458787	0.038428	0.0299648	0.0311864	0.0269591	0.0328999	0.0410833	0.0303638	0.0228315	0.0134393	0.0107236
celles-là	0.059797	0.0311503	0.0310454	0.0312502	0.0192387	0.0283341	0.0357484	0.0327242	0.0242467	0.0517119	0.0536381	0.0394686	0.0349591	0.0202941	0.0147004	0.0174358	0.0142308	0.0198166	0.028056	0.0309305	0.0420879	0.0160065	0.0219973	0.0279166	0.0366765	0.0210605	0.019444	0.0190099	0.015477	0.0114494	0.013363	0.0211465	0.0219245	0.0182299	0.0171128	0.0133338	0.0128298	0.0321569
sont	0.0398775	0.018954	0.0227092	0.013889	0.0151185	0.0150417	0.0152846	0.0227347	0.0200963	0.0208466	0.0278246	0.0249354	0.0262387	0.0133327	0.0172153	0.0125397	0.0111037	0.009735	0.0120631	0.0114057	0.0185656	0.00549042	0.00792095	0.0110159	0.0172629	0.00861287	0.0109602	0.0268918	0.017041	0.0240347	0.0188616	0.0491795	0.0591295	0.0719891	0.0585406	0.0472271	0.077069	0.0992611
du	0.0344912	0.0267459	0.0323338	0.026386	0.0243981	0.0246587	0.0219791	0.0365918	0.0267941	0.0277246	0.0296491	0.0329398	0.0348211	0.0218324	0.0220283	0.0131196	0.0182279	0.0180557	0.0196699	0.0194824	0.0223331	0.0183582	0.0184213	0.0179541	0.0236419	0.017624	0.0178708	0.0200646	0.0193121	0.0188019	0.0158683	0.0327884	0.0338261	0.0276039	0.0270258	0.0195781	0.051485	0.085513
safoutier	0.0437167	0.0275928	0.0240551	0.0235038	0.0201048	0.0203876	0.0221363	0.0325476	0.0347103	0.0307098	0.0362266	0.0321191	0.0278939	0.026117	0.0180131	0.0232397	0.0152336	0.0194783	0.0293374	0.0243102	0.0180996	0.0176309	0.0161436	0.0165041	0.0157711	0.0179465	0.0197684	0.0165197	0.0173063	0.0138089	0.0211047	0.0335482	0.0467131	0.0338238	0.0556202	0.0369668	0.0338507	0.0374398
</S>	0.0505618	0.0294001	0.0267959	0.0106043	0.0108192	0.00842489	0.00735224	0.00766187	0.00861845	0.0067207	0.00889543	0.0071807	0.00759204	0.0042864	0.00424957	0.00352262	0.00298851	0.00395544	0.0121797	0.0120112	0.00911285	0.00641415	0.00775016	0.0123206	0.0109826	0.00866407	0.0167041	0.0329057	0.0243931	0.0252857	0.0393323	0.0783784	0.0904578	0.0761135	0.0978859	0.0600538	0.083514	0.0859102
