 	a66	a87	a23	a62	a88	a71	a88	a31	a96	a62	a31	a0	a24	a21	a47	a96	a24	a47	a61	a31	a43	a47	a96	a90	a69	a94	a21	a47	a31	a88	a71	a9	a99	a87	a23	a40	a36	a26	a21	a12	a18	a75	a85	a92	a6	a36	a27	a10	a87	a23	a97	</S>
la	0.0521177	0.0509982	0.0556892	0.030153	0.0202364	0.0210416	0.0257485	0.0304572	0.0168695	0.013612	0.0107605	0.0143297	0.0110434	0.0219023	0.0124244	0.0142089	0.0138656	0.0171082	0.0218239	0.0169116	0.0169971	0.0204829	0.0067285	0.00693002	0.0100156	0.0054172	0.0068157	0.00707035	0.00710698	0.00565938	0.00648117	0.0056759	0.00984546	0.0150434	0.0199553	0.0306539	0.0192527	0.0164806	0.0249046	0.0366904	0.0174233	0.00895616	0.0192591	0.0307094	0.00940314	0.0113316	0.0171753	0.0245447	0.021262	0.0342486	0.0199342	0.0362436
manière	0.00124654	0.00412078	0.00540074	0.00411657	0.00783076	0.00622223	0.00632806	0.00636275	0.00492813	0.0131967	0.00818796	0.0280487	0.034354	0.0818655	0.0291135	0.0553924	0.0379366	0.017841	0.0423727	0.0329959	0.0359948	0.044299	0.0473067	0.0463086	0.050615	0.0686829	0.0992378	0.102037	0.039883	0.017675	0.00386094	0.00256978	0.000859415	0.00172268	0.000666379	0.00100037	0.000838561	0.000671973	0.000550035	0.000689855	0.000379814	0.000907619	0.000361444	0.00045849	0.000366562	0.000397793	0.000510839	0.000834723	0.000713094	0.000401746	0.00074122	0.000595702
dont	0.0192138	0.0199954	0.0106858	0.0126388	0.0122138	0.00958362	0.00452996	0.00836236	0.0171384	0.0157841	0.0244369	0.0258805	0.0494424	0.0226419	0.0228109	0.019138	0.0222603	0.0386888	0.0498587	0.038951	0.0351356	0.0479329	0.0681935	0.0342435	0.0456971	0.0265714	0.0417433	0.0244334	0.0567343	0.0143191	0.0205859	0.0118251	0.0124177	0.013385	0.00474794	0.006273	0.00452156	0.00555342	0.00426049	0.00281283	0.00278302	0.0039713	0.00380936	0.00669869	0.00825096	0.00632482	0.0035224	0.00365894	0.00978521	0.0135937	0.00772926	0.00422964
ils	0.0275729	0.0266468	0.0168071	0.0129741	0.0100875	0.0101308	0.00988182	0.00688377	0.00749045	0.00497242	0.00944514	0.00419113	0.00681346	0.00496187	0.00786134	0.00759384	0.00979992	0.0171338	0.0162136	0.0140631	0.0179089	0.0182343	0.0165827	0.0151463	0.0255691	0.0172148	0.0281188	0.0166315	0.0124559	0.0185084	0.0184104	0.0148641	0.0357646	0.0165709	0.0121136	0.0322235	0.016784	0.0292799	0.0272745	0.0261615	0.0342724	0.0349189	0.0299606	0.0334074	0.0220334	0.0363308	0.0143337	0.0189567	0.0236936	0.0650804	0.0294102	0.0102593
ont	0.0109705	0.00955887	0.00553115	0.00432179	0.00545793	0.00599395	0.00917619	0.0144098	0.00848842	0.0101762	0.0269001	0.00341768	0.0135785	0.0192464	0.0179095	0.0272224	0.0219105	0.0134885	0.0237165	0.0162238	0.00840143	0.02104	0.0187202	0.0208653	0.0323747	0.0370818	0.071682	0.0586255	0.040584	0.0256663	0.0243272	0.0284264	0.0286087	0.0160947	0.0117206	0.0250838	0.0305169	0.0157729	0.0259877	0.0173451	0.00757816	0.0128381	0.017138	0.0148469	0.00836466	0.0154239	0.00998256	0.0107218	0.0219371	0.0254694	0.0181382	0.0109374
bouché	0.010078	0.00684222	0.00750181	0.00555621	0.00413231	0.00666279	0.00491091	0.00747384	0.0163822	0.00662931	0.011696	0.0110302	0.0149537	0.0160522	0.0276881	0.0276934	0.0399323	0.0385252	0.0547194	0.0320991	0.0326014	0.050884	0.0438859	0.0290993	0.0239479	0.0482602	0.0359154	0.0426503	0.0341342	0.0160828	0.0270719	0.0193148	0.0135199	0.0123105	0.010922	0.0235314	0.0195647	0.0197583	0.0153977	0.0209214	0.00901996	0.00911836	0.0115922	0.0109263	0.00991088	0.00754115	0.00328999	0.00609341	0.011299	0.0124115	0.00467552	0.0137885
le	0.0175507	0.0109593	0.0108653	0.0119258	0.00936883	0.0142138	0.00973734	0.0129725	0.0180319	0.0084805	0.0115377	0.00985131	0.0127942	0.0142501	0.0207907	0.0190105	0.0236245	0.0260242	0.0314576	0.0238456	0.0254526	0.0342631	0.032957	0.0249273	0.021899	0.0245726	0.0250524	0.0179617	0.0138143	0.00966268	0.0136063	0.0139188	0.00806622	0.0103421	0.0151115	0.0256638	0.02807	0.0280351	0.0253675	0.0233617	0.0157742	0.0213629	0.0162914	0.0211661	0.0251674	0.0325307	0.0114459	0.0218898	0.0284903	0.0214592	0.017505	0.0275194
ruisseau	0.0227562	0.0115743	0.0171985	0.0119044	0.00726835	0.00766544	0.00779202	0.00949649	0.0150185	0.0114111	0.0166269	0.0111421	0.0128252	0.0136574	0.0617217	0.0231944	0.023539	0.0250808	0.0153376	0.0258045	0.0202049	0.0201608	0.0228142	0.0240777	0.0199371	0.0129945	0.0143228	0.00716262	0.00503453	0.00860391	0.0113203	0.0109803	0.0140432	0.0116334	0.0184823	0.0321911	0.0275452	0.0273433	0.0204304	0.0172477	0.0265592	0.0189282	0.0234449	0.0213251	0.0203171	0.0247455	0.0236741	0.0476955	0.0218849	0.0170287	0.0134572	0.0433945
révèle	0.0204918	0.00855308	0.0108641	0.0112877	0.010163	0.00959562	0.00547375	0.0111477	0.0166657	0.0114845	0.0161332	0.00895964	0.0122653	0.00926974	0.0367358	0.0217813	0.0293614	0.0288143	0.0214418	0.0211215	0.0199218	0.0184598	0.0233201	0.0263798	0.0206929	0.0186787	0.0149558	0.00965729	0.0082933	0.018958	0.0217922	0.0183568	0.0136871	0.0125051	0.0131407	0.0304833	0.0285903	0.0273222	0.023266	0.0250016	0.0252303	0.0280282	0.0230833	0.0215491	0.0123663	0.0206866	0.0157136	0.0252035	0.026923	0.0278293	0.0297673	0.028546
un	0.0238041	0.022279	0.0268903	0.0109333	0.00664588	0.00663692	0.0119965	0.0112347	0.0161443	0.0174139	0.0285011	0.013145	0.0171949	0.0186017	0.0499708	0.0356921	0.035655	0.0270168	0.0322829	0.0338529	0.0272314	0.0309113	0.0209022	0.0271665	0.0225569	0.0174118	0.0131152	0.0100639	0.00790881	0.0141461	0.0191592	0.011576	0.0141656	0.0146679	0.0156284	0.0195172	0.0297504	0.0154918	0.0173639	0.0154547	0.00859999	0.0132141	0.00915425	0.012546	0.0113511	0.0135014	0.0142445	0.0166988	0.0219382	0.0159315	0.0217456	0.0309934
