 	a66	a87	a23	a83	a50	a62	a12	a18	a12	a96	a23	a12	a18	a43	a24	a11	a90	a44	a70	a62	a12	a18	a34	a90	a69	a4	a58	a40	a54	a36	a37	a70	a66	a94	a26	a57	a82	a10	a87	a23	a87	</S>
l'	0.0358737	0.0344566	0.0307333	0.0345146	0.0399173	0.0453502	0.0616901	0.0590734	0.0356978	0.0352033	0.0304731	0.0308899	0.0137445	0.0180496	0.0156315	0.0131182	0.0127455	0.0122824	0.00928509	0.0112716	0.0136593	0.0172958	0.014702	0.0330718	0.0204193	0.0242198	0.0133993	0.0220488	0.0166668	0.016131	0.0147696	0.0142423	0.0130889	0.0174211	0.0120358	0.0164206	0.0172512	0.0174675	0.0179859	0.019371	0.0219802	0.0463502
autre	0.00309374	0.00308293	0.00603968	0.00372075	0.0110553	0.00692688	0.0113754	0.0216221	0.0369945	0.0655427	0.0581839	0.0944192	0.0640724	0.0750657	0.0479945	0.0960283	0.0670819	0.072348	0.0317081	0.0251435	0.0160451	0.011864	0.0149659	0.0154209	0.021302	0.0177377	0.0180305	0.0287678	0.0177333	0.00684276	0.00636015	0.00598322	0.0033381	0.00130513	0.00109144	0.00084255	0.000887765	0.00109698	0.00213812	0.000802586	0.0047864	0.00115816
chose	0.0164295	0.00831931	0.0207302	0.0110594	0.0143365	0.0161171	0.0285068	0.0248962	0.028519	0.0470385	0.0278587	0.0426029	0.0788013	0.0486459	0.069607	0.0564621	0.0862012	0.104211	0.0658283	0.0643534	0.0224411	0.0158188	0.00893484	0.00421908	0.00287115	0.00260553	0.00213549	0.00335216	0.00714142	0.00403315	0.00471523	0.00436321	0.00434501	0.00497639	0.00332941	0.00669681	0.00678628	0.00610376	0.00708542	0.00348019	0.0123899	0.00165175
qu'	0.0481197	0.0270345	0.0258528	0.0158712	0.0151121	0.0121246	0.0162484	0.0122458	0.00836842	0.0130328	0.0071961	0.0110864	0.0228209	0.0205671	0.0291514	0.025004	0.0420328	0.0552011	0.055456	0.09568	0.0840946	0.0635177	0.0286116	0.0297705	0.0181111	0.0207075	0.0160668	0.0348477	0.0253466	0.00757179	0.00827533	0.00817764	0.00856658	0.00641026	0.00750657	0.0074276	0.0080942	0.00857719	0.00941274	0.0107981	0.0110102	0.0188915
il	0.0676716	0.0530371	0.0340959	0.0306868	0.033336	0.0180727	0.0194964	0.0204513	0.0171027	0.0220372	0.0134939	0.0221135	0.027092	0.0315122	0.0314146	0.0255122	0.0243317	0.0275354	0.0363459	0.0419481	0.0803162	0.0495806	0.0256536	0.0325252	0.015898	0.0130126	0.00831502	0.0138434	0.0109081	0.0138133	0.00726255	0.0106751	0.0101423	0.00903644	0.0129784	0.0104003	0.00980123	0.00915088	0.00964419	0.0113059	0.0115936	0.026856
m'	0.0190468	0.0132257	0.0128125	0.0111465	0.00733724	0.00615952	0.00720188	0.00591314	0.00561471	0.00669083	0.00683681	0.0117369	0.0240058	0.0145902	0.0307577	0.025372	0.0395837	0.0550888	0.0912201	0.0836042	0.0767244	0.0864611	0.0503216	0.0539043	0.0361078	0.0427322	0.0275354	0.0193773	0.015412	0.0151926	0.00868778	0.00899304	0.0070927	0.00771	0.0106603	0.00619047	0.00688417	0.0068303	0.00718683	0.00853251	0.00650975	0.0130082
a	0.0210694	0.00837906	0.00974773	0.00887049	0.00610063	0.00795204	0.0141178	0.0161824	0.0183515	0.020942	0.0166408	0.0289507	0.0397942	0.0298659	0.0382597	0.0311236	0.036685	0.055431	0.0759874	0.0437082	0.0465212	0.0677011	0.0400606	0.0357748	0.0180696	0.0205548	0.0111554	0.0174667	0.0229807	0.0216133	0.0166808	0.0142759	0.0119883	0.0140856	0.0117302	0.0179339	0.0170049	0.0115705	0.0111618	0.0133855	0.0140166	0.0161085
promise	0.0233815	0.00982324	0.012035	0.0111996	0.00912953	0.0093369	0.0182484	0.0305044	0.0315815	0.0390881	0.0474909	0.0619073	0.047934	0.0388549	0.0519335	0.0297571	0.025701	0.0330261	0.0341955	0.0174349	0.00964975	0.0174616	0.0121906	0.0148897	0.0118563	0.0128914	0.00764809	0.00818143	0.00848706	0.0137936	0.0162358	0.0231122	0.021297	0.0219402	0.0175855	0.0374728	0.0282182	0.020696	0.0225799	0.0269485	0.0314003	0.032901
c'	0.0236339	0.0183607	0.0237863	0.0200988	0.0158567	0.0109948	0.0116822	0.0105722	0.0125077	0.0120504	0.0120294	0.0114681	0.0109198	0.00848715	0.0104336	0.00765785	0.00619966	0.0197359	0.0209368	0.0322292	0.0262634	0.0332468	0.0326738	0.0307766	0.0325699	0.0236027	0.0206535	0.0142424	0.0162136	0.0226372	0.0160119	0.0217108	0.0279822	0.0303309	0.0304106	0.0457825	0.0388911	0.0420986	0.0459668	0.0485003	0.042323	0.0574703
était	0.0156147	0.0163344	0.0162231	0.0139875	0.00998627	0.00898938	0.00961685	0.0123337	0.0135193	0.0184867	0.0204796	0.0280026	0.0329656	0.0349758	0.0337651	0.0145328	0.0219924	0.0323012	0.0425371	0.0611871	0.050623	0.0780438	0.0469904	0.0381608	0.0249381	0.0199614	0.0123861	0.0111549	0.0158925	0.0217753	0.0152465	0.0163751	0.0185331	0.0152928	0.0216057	0.0182279	0.0173004	0.0183081	0.017768	0.0211256	0.0180292	0.0244301
une	0.0170798	0.0135985	0.0153794	0.0116748	0.0103904	0.00721873	0.00773685	0.0103096	0.0107258	0.0125868	0.0101251	0.0161449	0.0191004	0.0168696	0.021757	0.0160243	0.0294495	0.0559853	0.0483672	0.0567778	0.0487378	0.0664057	0.0550148	0.0400345	0.0501263	0.0340957	0.0231479	0.0279803	0.0284981	0.0279513	0.026312	0.0147024	0.0157332	0.019432	0.017626	0.013318	0.011711	0.0127776	0.0125596	0.0122538	0.0161119	0.0181687
chemise	0.0179263	0.0164815	0.0144283	0.0141826	0.0154502	0.0136684	0.0186237	0.0265634	0.0286329	0.0308171	0.0329924	0.0389877	0.0405149	0.0358743	0.0415552	0.0349114	0.0373397	0.0546665	0.0442732	0.0375588	0.0383839	0.0398919	0.0297424	0.0181874	0.0257997	0.0182615	0.0149663	0.0179669	0.0124199	0.0149796	0.0106169	0.0110952	0.0103466	0.0126395	0.012959	0.0133769	0.00973612	0.0112217	0.0141413	0.0129071	0.0161897	0.0387217
</S>	0.0265242	0.0234412	0.0260901	0.023092	0.0209342	0.017689	0.0132487	0.0177341	0.0141036	0.0152811	0.0162742	0.0165666	0.0224926	0.0206783	0.0187726	0.0155839	0.01727	0.0198498	0.0201765	0.020806	0.0179	0.0148451	0.0118561	0.013978	0.0149135	0.0112302	0.00774921	0.00799334	0.0073719	0.0113615	0.00790817	0.0151666	0.0222374	0.0264121	0.0246446	0.0336039	0.0308917	0.0436856	0.0523462	0.0645555	0.0778619	0.094879
