 	a23	a87	a23	a99	a62	a5	a18	a61	a88	a61	a12	a88	a75	a25	a90	a94	a76	a73	a47	a56	a96	a75	a85	a37	a6	a36	a2	a57	a87	a10	a87	a23	a99	a62	a31	a83	a62	a47	a61	a75	a25	a44	a90	a98	a47	a2	a75	a47	a96	a83	a9	a10	a87	a23	a10	a87	a23	a87	</S>
cette	0.0468513	0.0538663	0.0350257	0.0320314	0.0343534	0.0317351	0.0232745	0.0326426	0.0336731	0.0363586	0.0332479	0.022255	0.0196515	0.0214553	0.0155536	0.0181099	0.0154327	0.0170464	0.0214875	0.0217214	0.0268542	0.020854	0.0138562	0.012146	0.0135066	0.0182612	0.0198411	0.0304176	0.0156548	0.0127139	0.0110081	0.00663838	0.00579593	0.00483266	0.00957393	0.007874	0.0129856	0.00848434	0.00923033	0.00370643	0.00851471	0.00900034	0.00993736	0.00804821	0.00623077	0.00511996	0.00437003	0.00950842	0.007792	0.0058062	0.00622424	0.00533618	0.00809674	0.0100187	0.0101386	0.00884333	0.0117119	0.012549	0.022745
nourriture	0.00257738	0.00476583	0.00811505	0.00708505	0.00727619	0.011581	0.00322537	0.00524144	0.0150672	0.0144557	0.0188948	0.0214672	0.0291066	0.0492401	0.0513637	0.0910666	0.0693982	0.0857626	0.0890676	0.0547055	0.0424783	0.0357546	0.0332664	0.0117562	0.0169523	0.00748254	0.0103161	0.0223463	0.0290212	0.0283468	0.0175861	0.0109238	0.00713943	0.0051601	0.00690771	0.0206074	0.00329902	0.00644241	0.00580029	0.00400374	0.00510922	0.00618037	0.0061278	0.00405988	0.00167865	0.00213933	0.000675478	0.00133819	0.00126142	0.000569521	0.000350163	0.000392102	0.000447999	0.000788408	0.000316713	0.000612717	0.000749555	0.00138389	0.000764751
ira	0.0122615	0.00611291	0.00913716	0.00624594	0.00243468	0.00849669	0.00547143	0.00492794	0.00544264	0.0109878	0.00929451	0.010954	0.0197612	0.0109697	0.00791347	0.00412906	0.0056783	0.0131635	0.0359637	0.0209799	0.0340602	0.0398499	0.0316622	0.039561	0.056841	0.0507554	0.0275085	0.045181	0.0474217	0.0429783	0.0460242	0.0459858	0.0533361	0.040288	0.0382162	0.0259093	0.017181	0.00944081	0.00721463	0.00785955	0.00276102	0.0034752	0.00335669	0.00206493	0.00345885	0.00487151	0.0029825	0.00330407	0.00459745	0.00311316	0.00473821	0.00309629	0.0052063	0.0051615	0.00681232	0.0051318	0.00492095	0.00757313	0.00577341
chez	0.0346647	0.0291658	0.0160512	0.0135585	0.0219477	0.00671439	0.0104333	0.00664588	0.010021	0.00993466	0.00710074	0.00691056	0.00895375	0.00677588	0.0112275	0.00994232	0.0108381	0.0135868	0.0197338	0.0165677	0.0157078	0.0200962	0.0173081	0.0416621	0.0296675	0.0245046	0.0136304	0.0137832	0.0195834	0.0213975	0.0188355	0.0205125	0.0245836	0.0195114	0.0195998	0.0260464	0.0240075	0.0241022	0.0178056	0.0241611	0.0199329	0.0201023	0.018765	0.0292691	0.0342664	0.018634	0.0114209	0.0073845	0.0116297	0.00797329	0.0108189	0.00918416	0.0148481	0.0126329	0.013129	0.0102011	0.0115733	0.0148939	0.0160602
ngala	0.0375363	0.0233467	0.0150424	0.00779168	0.00654691	0.00407184	0.0049334	0.00690896	0.0120341	0.0079858	0.00989873	0.0105936	0.0118163	0.00836963	0.0148758	0.0128496	0.0213636	0.023612	0.0209964	0.0305418	0.0282626	0.0446069	0.0331193	0.0581186	0.04558	0.0624709	0.0449407	0.0247545	0.0190383	0.0232741	0.0198286	0.0136079	0.0169167	0.0148059	0.0187967	0.0236197	0.0317749	0.0250988	0.0168327	0.00906148	0.00882136	0.00494083	0.00586314	0.00359672	0.00391676	0.00390868	0.00313994	0.00478639	0.00341628	0.00400594	0.00537451	0.00555083	0.00793473	0.00746456	0.00840403	0.00606503	0.00972366	0.0118911	0.0255709
celle-ci	0.0139245	0.00442392	0.00540313	0.00504846	0.00316062	0.00781653	0.00735513	0.00590526	0.00997413	0.00775833	0.0134381	0.00810695	0.0165882	0.0115295	0.00732847	0.00936947	0.0108867	0.0173084	0.0360658	0.0216859	0.0309624	0.049963	0.0481027	0.0532523	0.0564301	0.0516556	0.0308164	0.0186268	0.016327	0.0195016	0.0199254	0.0212266	0.0294879	0.0293483	0.0250469	0.030071	0.033418	0.0215072	0.0125279	0.011352	0.0121785	0.00892373	0.00965931	0.00581435	0.0106393	0.0091827	0.00553684	0.00620506	0.00573981	0.0059721	0.00736078	0.00720983	0.0097855	0.00968127	0.00640268	0.00647025	0.00788802	0.0143069	0.0184165
ira	0.0283954	0.013578	0.0137072	0.012792	0.0060492	0.0077414	0.00578829	0.00664649	0.00582185	0.00539039	0.00569511	0.00555955	0.00828246	0.00564421	0.00908059	0.00970823	0.0141906	0.0208619	0.0212964	0.0204966	0.0310436	0.0344283	0.0293793	0.0623619	0.0464932	0.0584191	0.0313526	0.017505	0.0139553	0.0170725	0.0191689	0.0149963	0.021917	0.0153088	0.0134151	0.0122153	0.0273539	0.0375303	0.0223911	0.016297	0.0150712	0.0145075	0.0182627	0.0119329	0.00897256	0.00778941	0.00407957	0.00736257	0.00556717	0.00691416	0.00788227	0.00674651	0.0113497	0.0142237	0.0154848	0.0186942	0.0177475	0.0212322	0.0168487
chez	0.0144127	0.00661225	0.00379368	0.00348339	0.00318955	0.00333037	0.00283183	0.00356798	0.00557363	0.00600245	0.00652992	0.00700441	0.0128595	0.0129064	0.0121666	0.0179547	0.0187893	0.0288291	0.0254667	0.0168678	0.0321296	0.0363048	0.0279752	0.0655804	0.0340366	0.0371323	0.0157744	0.0117942	0.0107657	0.0153085	0.015765	0.021259	0.0200647	0.0168397	0.0165368	0.0155737	0.0300602	0.0277867	0.0246514	0.0156934	0.0138807	0.0196475	0.0182356	0.0153296	0.010308	0.0091274	0.0054848	0.0112678	0.00905816	0.00961914	0.0153688	0.0117088	0.0189654	0.0198402	0.0209639	0.0186956	0.0172267	0.0245241	0.027543
apendi	0.0326559	0.0251097	0.0119278	0.00924014	0.00571587	0.0054509	0.00272066	0.00258918	0.00449783	0.00414421	0.00490096	0.00538426	0.00912702	0.01038	0.0169561	0.0259377	0.0293324	0.025867	0.0227368	0.0241033	0.036071	0.026442	0.0243942	0.0311993	0.0270457	0.0406137	0.0202493	0.0165553	0.00879317	0.0140576	0.0116828	0.0106175	0.00686819	0.00789522	0.00824154	0.00474777	0.00641959	0.00747627	0.00690041	0.00391056	0.00396765	0.00410175	0.00491962	0.00533266	0.00609944	0.00538002	0.00599126	0.0140853	0.0113223	0.00851131	0.0125112	0.0152293	0.0250938	0.0319986	0.0413134	0.0357835	0.0386682	0.0599883	0.0707436
</S>	0.0134426	0.0108405	0.00745752	0.00915094	0.00790564	0.00739657	0.00736893	0.00875079	0.0117065	0.012539	0.0111689	0.0112498	0.0216007	0.0240897	0.0198215	0.0306455	0.023766	0.0298981	0.023987	0.0186177	0.0251971	0.0230027	0.0207302	0.0307683	0.0227074	0.0270913	0.0152914	0.0119073	0.00900042	0.0104139	0.00988201	0.00837253	0.00760829	0.00622962	0.00892421	0.00996259	0.0154626	0.0225994	0.0256182	0.0169994	0.0164414	0.0184849	0.0172573	0.0124595	0.0112137	0.00761581	0.00402848	0.00815644	0.00587814	0.00826797	0.00863647	0.0135858	0.0182587	0.0299896	0.0260194	0.0357244	0.0338056	0.0457966	0.0392075
