 	a66	a10	a87	a23	a83	a54	a47	a6	a85	a47	a25	a76	a41	a37	a62	a83	a13	a47	a62	a83	a9	a99	a87	a23	a99	a62	a21	a85	a44	a93	a31	a88	a13	a93	a56	a34	a47	a98	a71	a0	a62	a88	a34	a83	a18	a53	a25	a56	a75	a70	a13	a11	a62	a21	a75	a90	a69	a58	a82	a10	a87	a23	a97	a87	</S>
cet	0.0277425	0.0297424	0.0229189	0.0256342	0.0355482	0.0176939	0.0180564	0.0219504	0.0317908	0.0350365	0.0254078	0.0235348	0.0153876	0.0146954	0.013572	0.00823809	0.0102532	0.00826205	0.009287	0.0146152	0.0146511	0.0194018	0.027809	0.0268323	0.0182772	0.024399	0.0183157	0.0360447	0.0232707	0.0331367	0.0337508	0.0284806	0.027529	0.0192211	0.0189668	0.0167501	0.0152584	0.011256	0.00855336	0.0103453	0.00826037	0.00810162	0.00753825	0.0131687	0.0106386	0.00593058	0.00817919	0.00486504	0.0068058	0.00426089	0.00180399	0.00407184	0.00341995	0.00387083	0.00339168	0.00382106	0.0058187	0.00412301	0.00521682	0.00470694	0.00511471	0.0054395	0.0066842	0.00735454	0.0157962
enfant	0.0018429	0.00456859	0.00739268	0.00884843	0.0139831	0.07061	0.194331	0.0959053	0.178956	0.0507208	0.0351114	0.0417007	0.022607	0.0269468	0.0347538	0.01553	0.0156118	0.0127675	0.00886827	0.0136717	0.00994255	0.0106671	0.0121342	0.012508	0.00765003	0.00427032	0.00648337	0.00526137	0.00244415	0.0058962	0.00416641	0.001914	0.00635114	0.00162017	0.00281744	0.00208472	0.0025886	0.00236152	0.00338207	0.00180237	0.00126562	0.00207349	0.00182799	0.00115922	0.00103031	0.00206794	0.00366398	0.00219067	0.00119378	0.00162778	0.00144681	0.00139107	0.0029169	0.000751825	0.000858152	0.000579383	0.00174457	0.000580653	0.0010953	0.000923789	0.00108171	0.0010434	0.00115705	0.00181333	0.00344197
est	0.0210494	0.0200961	0.0123484	0.0105049	0.0168553	0.0388883	0.0278328	0.0307826	0.048254	0.0596731	0.0217229	0.0209677	0.0292733	0.03961	0.0345123	0.0231836	0.022009	0.0317441	0.0179723	0.0212698	0.018449	0.0225736	0.0184349	0.0150371	0.0179871	0.0201129	0.0141115	0.00966904	0.0146755	0.0201813	0.0187612	0.0199895	0.0171572	0.0108034	0.013825	0.0101075	0.0075344	0.011623	0.0116784	0.00803119	0.0071372	0.00512253	0.0048634	0.00187298	0.00334122	0.00351392	0.00176211	0.00208022	0.000935229	0.00167892	0.00158041	0.00159191	0.00162986	0.00799328	0.00468015	0.00666085	0.00848615	0.00805264	0.00836769	0.0101371	0.00945858	0.0112465	0.0173218	0.0114503	0.00974242
un	0.0119742	0.00452987	0.00182341	0.00305569	0.00211291	0.00222194	0.00136304	0.00178041	0.00272874	0.0105103	0.0193495	0.0234942	0.0295778	0.0163004	0.0138628	0.0209935	0.0287172	0.0218401	0.0187659	0.0283512	0.0131262	0.0114508	0.00710567	0.00823102	0.00722562	0.00784409	0.0101098	0.0119719	0.0190058	0.0132722	0.0245347	0.0196643	0.0298101	0.0246074	0.0235256	0.0123346	0.00964506	0.0116307	0.0264136	0.0138456	0.0116818	0.0138029	0.023628	0.0411833	0.037774	0.0276281	0.0185303	0.0560972	0.0322133	0.0485373	0.026256	0.0110245	0.00955989	0.00586413	0.00462793	0.00481628	0.00375434	0.00448301	0.00367861	0.00720758	0.00688776	0.00577023	0.00838794	0.00713099	0.0107669
mauvais	0.0170393	0.0170885	0.0116851	0.011775	0.00873261	0.00593186	0.0068737	0.00724633	0.00879815	0.0119212	0.0269498	0.026961	0.0312129	0.0168425	0.0146279	0.0226641	0.0287154	0.0316041	0.0407669	0.0436481	0.0215663	0.0253358	0.0133585	0.0192128	0.0232164	0.020712	0.0214341	0.0269685	0.032234	0.0180047	0.0265301	0.0228347	0.0267487	0.0320508	0.0295494	0.0246674	0.021189	0.0186306	0.021598	0.0129583	0.0124288	0.0123622	0.013551	0.0159208	0.0164272	0.00936722	0.0122833	0.00821458	0.00918652	0.00734978	0.00545785	0.00385145	0.00181345	0.00121802	0.00105893	0.00111248	0.00171833	0.000788829	0.000700817	0.00244165	0.00170688	0.00202376	0.00248849	0.00245804	0.00418527
garçon	0.0108252	0.0113035	0.00653243	0.00655376	0.0042302	0.00495149	0.00612234	0.00676201	0.00751625	0.0153597	0.0336212	0.0534729	0.0541142	0.0504755	0.0388952	0.0450345	0.0491843	0.0448222	0.0544022	0.0484096	0.0295899	0.0301029	0.014819	0.016267	0.0181143	0.0298987	0.0251457	0.013518	0.0184084	0.0200545	0.0157148	0.0134302	0.0124138	0.0119807	0.0177743	0.0139805	0.0122364	0.0122605	0.010788	0.0065511	0.00503584	0.00396077	0.00458327	0.00413284	0.00550927	0.00324185	0.00384265	0.00216914	0.00318635	0.00296497	0.00322403	0.00306863	0.00225508	0.00453973	0.00397334	0.00414853	0.00498088	0.00352277	0.00292165	0.00527763	0.0049026	0.00528515	0.00736874	0.00402729	0.00623967
c'	0.0140504	0.00947899	0.0090122	0.00843801	0.00638216	0.00445832	0.00298021	0.00429425	0.00294153	0.00675997	0.0118342	0.0136041	0.018283	0.0147458	0.0137041	0.022259	0.0271792	0.0291847	0.0624561	0.0437513	0.047216	0.044283	0.0297242	0.0314964	0.042436	0.0354458	0.0278785	0.0273642	0.0464036	0.0306345	0.0317159	0.0235122	0.0138073	0.0169576	0.0240482	0.0172446	0.0214178	0.0132327	0.0112091	0.0101169	0.00859415	0.00619277	0.00656463	0.00666017	0.00640726	0.00418173	0.00347748	0.00346749	0.00386844	0.00310133	0.00197708	0.00326227	0.00319196	0.00442947	0.004233	0.0061561	0.00577898	0.00369368	0.00569681	0.00778041	0.00519768	0.00470937	0.00703827	0.0043661	0.00803133
est	0.0187553	0.0130356	0.00789978	0.00576566	0.00512995	0.00396048	0.00202433	0.00185303	0.00201323	0.00289803	0.00432647	0.00642053	0.0220086	0.0215338	0.032996	0.0493052	0.0472578	0.0452327	0.0405794	0.0332388	0.0376829	0.0399233	0.0348158	0.0329031	0.0331011	0.0343882	0.0314461	0.024166	0.0255439	0.0282717	0.0222033	0.023265	0.0132309	0.0156483	0.0158949	0.0157889	0.0180458	0.0161267	0.0151697	0.0149946	0.00986631	0.00559543	0.00560902	0.0078358	0.00563336	0.00512249	0.00311521	0.00316467	0.00300703	0.00204344	0.00173321	0.00269471	0.00256916	0.00468664	0.00491237	0.00466776	0.00663212	0.00462986	0.00333948	0.00734623	0.0067164	0.00971751	0.013172	0.0101045	0.00724025
pourquoi	0.0163304	0.0145518	0.00852655	0.00778964	0.00535879	0.0039239	0.00275779	0.00303202	0.00278332	0.0034989	0.00649887	0.00759426	0.0113236	0.0141497	0.0182386	0.0150963	0.0290562	0.0270455	0.0291994	0.0377645	0.0275702	0.0308764	0.0247457	0.022009	0.039116	0.0274014	0.0343728	0.0387425	0.025831	0.0279453	0.0235144	0.0182499	0.0158098	0.0221226	0.0273515	0.0178413	0.0155337	0.0146901	0.0204743	0.0181965	0.0174478	0.0170906	0.018278	0.0217849	0.0165326	0.0106116	0.0112484	0.00974249	0.00961396	0.0130147	0.00591114	0.00665745	0.00668382	0.00520867	0.00275993	0.00506493	0.00475602	0.00326072	0.00492557	0.00809073	0.00723409	0.00742743	0.0100189	0.00661006	0.0131109
tous	0.0257978	0.0164063	0.0138112	0.0112988	0.0167102	0.0106433	0.00499344	0.0060076	0.00330545	0.00279525	0.00594205	0.00829813	0.0130413	0.0195075	0.0163553	0.0152766	0.0203834	0.0188456	0.0158676	0.0169862	0.0185053	0.0272596	0.0290541	0.0291418	0.0339581	0.0377415	0.02898	0.0359285	0.0330491	0.031959	0.0247524	0.0187229	0.0174788	0.0161546	0.015088	0.0107734	0.00897882	0.00679649	0.00737104	0.00811422	0.00830632	0.00708344	0.00665704	0.0115313	0.0109705	0.00966378	0.00636238	0.0100623	0.00904331	0.00985013	0.00424825	0.00637365	0.00582141	0.00587077	0.00460074	0.00804018	0.0108049	0.00570683	0.00915858	0.018537	0.0194766	0.0228061	0.0251883	0.0237963	0.0379594
