 	a66	a10	a87	a23	a83	a93	a70	a93	a56	a21	a5	a56	a90	a4	a93	a70	a62	a21	a5	a43	a62	a75	a85	a47	a92	a37	a90	a25	a79	a56	a75	a98	a79	a44	a93	a70	a0	a88	a66	a9	a3	a87	a40	a7	a44	a56	a96	a44	a98	a15	a54	a47	a7	a93	a4	a70	a13	a53	a56	a44	a4	a57	a3	a87	a23	a87	a23	a87	a85	</S>
yongo	0.0210666	0.026558	0.0349451	0.0267056	0.038028	0.038573	0.0234656	0.0452558	0.0587717	0.0410711	0.0342143	0.0353881	0.037527	0.0284835	0.0257217	0.024136	0.0273265	0.0251382	0.0156384	0.0122934	0.0123839	0.00912656	0.00664886	0.00272764	0.00665506	0.00380109	0.00327524	0.00650621	0.00688634	0.00933675	0.0105159	0.00697002	0.0127755	0.0080207	0.0128933	0.0195589	0.010072	0.0114503	0.0105014	0.0055519	0.00480783	0.00846715	0.00723277	0.00695222	0.00923762	0.0146638	0.0113636	0.0159933	0.0129639	0.0101232	0.0120436	0.0100092	0.0136576	0.00684183	0.00497661	0.00529773	0.00187025	0.00215331	0.002685	0.00267766	0.0067163	0.00382385	0.002375	0.00191889	0.00309541	0.00324427	0.00386325	0.00438558	0.00482876	0.00576495
qui	0.00843878	0.0147134	0.0187739	0.0100307	0.0186278	0.0346333	0.0268368	0.0425579	0.0476699	0.0968092	0.0476089	0.0392191	0.0383283	0.0348804	0.0264327	0.0372192	0.0238171	0.0175029	0.0186612	0.0182032	0.0135923	0.0163326	0.00741766	0.00431125	0.0104314	0.00522149	0.00326359	0.00522572	0.00427527	0.00425453	0.0064103	0.00378245	0.0052184	0.00382506	0.0071899	0.0148241	0.00658872	0.0166794	0.018165	0.0147123	0.00830039	0.0106396	0.00880674	0.00482465	0.00735504	0.00625231	0.00887972	0.00664493	0.00429938	0.00281681	0.00279379	0.00294256	0.00901119	0.00401385	0.00492199	0.00465903	0.00326946	0.00569037	0.00504121	0.00980645	0.00933551	0.00972742	0.00643202	0.00441922	0.00688932	0.00600103	0.011016	0.00497036	0.0154871	0.0120666
était	0.0135023	0.00715626	0.0067618	0.00298049	0.00173823	0.00383468	0.00686277	0.004644	0.00483168	0.0160922	0.0110487	0.00727329	0.00626258	0.0173514	0.0114391	0.0195274	0.0154326	0.0304553	0.0133362	0.0131143	0.0331404	0.0214487	0.0291832	0.0265468	0.0363954	0.0332718	0.0107437	0.0142901	0.0133849	0.0186215	0.0180356	0.0123359	0.0319926	0.00709596	0.0174757	0.0181319	0.0157864	0.0242781	0.0316847	0.0356135	0.0326487	0.0227796	0.0266648	0.0171917	0.0286434	0.0203778	0.0258787	0.0120082	0.0174145	0.00598107	0.0137377	0.00322656	0.00680816	0.00203442	0.00267846	0.00137952	0.00140284	0.00318376	0.00267977	0.00400759	0.00359454	0.00378321	0.00798449	0.00706159	0.00733655	0.00998407	0.00766367	0.0126076	0.0122802	0.0138749
chef	0.0148404	0.00747461	0.0103717	0.00469366	0.00472008	0.00574371	0.0100677	0.00371339	0.0051707	0.00551533	0.00787747	0.00558538	0.00717538	0.00944383	0.00818758	0.00549413	0.00665443	0.00742768	0.0128352	0.00766836	0.00802282	0.00553034	0.00602156	0.00942045	0.00580097	0.0116264	0.0107863	0.00739758	0.00918323	0.0077071	0.0105554	0.00839832	0.0111417	0.00923553	0.0121519	0.0130781	0.0148254	0.0150955	0.0145334	0.0469075	0.0474321	0.0180731	0.0356862	0.0560015	0.0275967	0.0147192	0.0154785	0.017727	0.00894098	0.00907318	0.0193764	0.0169571	0.0168862	0.0158693	0.0261257	0.0228088	0.0210328	0.0275718	0.0217017	0.015319	0.0183941	0.0135293	0.0215232	0.0201932	0.0156812	0.016185	0.0115936	0.0155104	0.0171221	0.00781041
de	0.0538636	0.0322964	0.020998	0.0166479	0.012687	0.0101956	0.0117764	0.00475353	0.00261528	0.00146359	0.00258634	0.00234057	0.00355699	0.00575779	0.0110526	0.00922668	0.00713729	0.0153067	0.0149574	0.0149095	0.0146801	0.00875591	0.00741592	0.0148716	0.0242293	0.0162772	0.020477	0.0157432	0.0207517	0.0242411	0.0205168	0.0246472	0.0290763	0.0315292	0.0339646	0.0466886	0.0421963	0.0355362	0.0310814	0.0375593	0.0292447	0.0277782	0.0357883	0.0143412	0.0169479	0.0190149	0.0111147	0.00772713	0.00704207	0.00762005	0.00725091	0.00877086	0.0113899	0.00788434	0.00488972	0.00188793	0.00208089	0.00231421	0.00153733	0.00108548	0.000999471	0.00195885	0.0022781	0.0022054	0.00202087	0.00265477	0.00131073	0.00186408	0.00304636	0.00158262
can	0.025178	0.0117013	0.00896373	0.00819311	0.00693913	0.00718762	0.00766017	0.00695326	0.00566675	0.00490078	0.00444473	0.00476538	0.00910156	0.0118118	0.0147223	0.0140918	0.0213617	0.0180868	0.0165718	0.0195768	0.0147048	0.0131243	0.0158917	0.0312405	0.0217739	0.0200517	0.0283976	0.0279825	0.0324055	0.0239434	0.023339	0.0535104	0.0220622	0.0434291	0.0436119	0.0321722	0.039216	0.0252637	0.0254124	0.0249275	0.021795	0.0194677	0.0430392	0.0187606	0.0143018	0.0166079	0.00896946	0.00428258	0.00477969	0.00374055	0.00436518	0.00526845	0.00514873	0.00523119	0.00329739	0.00233657	0.00145799	0.00217921	0.00165153	0.00172998	0.00345145	0.00362506	0.00190354	0.00233847	0.00217041	0.00200819	0.00138583	0.00139265	0.00163482	0.00133995
ton	0.0313871	0.0176943	0.0145513	0.00771862	0.00877449	0.00615406	0.00983131	0.00474471	0.00447648	0.0029399	0.0030489	0.00278056	0.00572249	0.00940581	0.012679	0.0116829	0.0130477	0.016915	0.0202453	0.0189077	0.0116956	0.00929462	0.011497	0.0243716	0.0195307	0.0149606	0.0281936	0.0285946	0.0348653	0.0296247	0.0206614	0.0380281	0.0171154	0.0418577	0.0432763	0.0387042	0.0276399	0.0285265	0.0254228	0.0196017	0.0218913	0.0128564	0.0389181	0.0143572	0.0163156	0.0210553	0.0117227	0.00622522	0.00707974	0.00528548	0.00678759	0.00594002	0.00887632	0.00723149	0.0072473	0.00536525	0.00469147	0.005481	0.00374533	0.00449983	0.00687091	0.00836539	0.00400157	0.00563986	0.00413997	0.00656085	0.00268972	0.00269846	0.00431691	0.0029737
mbochi	0.0152999	0.00953456	0.0103058	0.005617	0.0075589	0.00623307	0.00691944	0.00692429	0.00592488	0.00296905	0.00346763	0.00336219	0.00658922	0.00593571	0.0124508	0.00790387	0.0115935	0.00930154	0.0143407	0.0150465	0.00898786	0.00584441	0.00695396	0.0163149	0.00930862	0.0185799	0.035118	0.0178895	0.0302051	0.017108	0.0127684	0.0330235	0.0149562	0.0462939	0.0441963	0.0316575	0.0322284	0.023495	0.0227512	0.0191742	0.0339151	0.0209314	0.0668552	0.024294	0.0362077	0.0340088	0.0261237	0.0150844	0.0137052	0.00886661	0.0145032	0.00676047	0.0153069	0.00544929	0.00692659	0.00538921	0.00188599	0.00344724	0.00221418	0.00227294	0.00512884	0.00381894	0.00259267	0.0041207	0.00443555	0.00358186	0.00290774	0.0054883	0.00386279	0.00578131
voyageait	0.039356	0.0181631	0.0117971	0.00445805	0.00361694	0.00575209	0.0186024	0.0057481	0.00662223	0.00418753	0.00735017	0.00393663	0.00467341	0.00960695	0.0117074	0.00606087	0.009564	0.015064	0.025439	0.0198617	0.0196866	0.0101537	0.0125385	0.0209584	0.0201714	0.0300516	0.0388184	0.0219366	0.0266512	0.0224748	0.0185838	0.0225632	0.0245931	0.0145866	0.0216676	0.0194665	0.0117228	0.011386	0.00935965	0.00714618	0.00792405	0.00784393	0.00859623	0.00663403	0.0118356	0.0133566	0.0117756	0.0057957	0.00832095	0.00929771	0.0148444	0.0104338	0.0157785	0.0129944	0.0163721	0.012823	0.00703488	0.0135775	0.00878003	0.0105567	0.0177659	0.020674	0.0165088	0.0111913	0.0229465	0.025511	0.013505	0.0153196	0.0162252	0.00969242
toujours	0.0267014	0.0156757	0.0168213	0.00888275	0.00619452	0.0130768	0.0121101	0.00785455	0.00385744	0.00250173	0.00147276	0.00119927	0.00317489	0.00479977	0.00506663	0.00474526	0.00369947	0.00491301	0.00627051	0.00725663	0.00652585	0.00223609	0.00284002	0.00527164	0.00633432	0.00799762	0.020786	0.00834205	0.0146329	0.0118446	0.00774008	0.0146976	0.016955	0.0189235	0.0196929	0.0231955	0.0228071	0.0117893	0.0182352	0.020041	0.0196989	0.0219915	0.0116065	0.0209473	0.0195118	0.0198271	0.0224963	0.0201337	0.022687	0.026333	0.0368629	0.0278859	0.0486266	0.0330448	0.030879	0.0294942	0.0174058	0.0219598	0.0112802	0.0131612	0.0151714	0.0136318	0.00663169	0.00899487	0.00759832	0.0124709	0.00996508	0.00563129	0.0203981	0.00651048
