 	a66	a87	a79	a4	a69	a58	a53	a90	a15	a25	a79	a56	a32	a24	a9	a38	a12	a31	a43	a47	a31	a47	a31	a47	a18	a62	a21	a85	a92	a37	a21	a6	a36	a2	a57	a87	a23	a99	a97	</S>
dans	0.0362344	0.0529497	0.058717	0.0532178	0.0470367	0.040295	0.0564497	0.0328511	0.0327915	0.0451346	0.0383235	0.0207567	0.029005	0.0227853	0.0180567	0.0155721	0.0129933	0.00861246	0.00727035	0.00591798	0.00610198	0.00355674	0.00427647	0.00409568	0.00369856	0.00938806	0.0131858	0.0285906	0.0184923	0.0118008	0.0196167	0.0228764	0.0298017	0.0407953	0.0220385	0.0199222	0.0275403	0.0251301	0.0178036	0.0363174
notre	0.0134844	0.0136601	0.0185095	0.0269159	0.0496907	0.0480988	0.0480328	0.0643805	0.0617588	0.0355998	0.0314981	0.032476	0.0374113	0.019396	0.0157459	0.0139149	0.0115623	0.0108141	0.00983164	0.0118517	0.014098	0.0111397	0.00906035	0.00852254	0.00732524	0.00792262	0.00706841	0.0123552	0.0147077	0.0283622	0.0307039	0.0345941	0.0568899	0.0200324	0.0241787	0.0287385	0.0278696	0.021176	0.0389758	0.0216462
village	0.00987598	0.0122391	0.018498	0.0171009	0.0191931	0.019295	0.013602	0.0822901	0.101294	0.165705	0.0737376	0.0952559	0.0758923	0.0510066	0.0524829	0.0228414	0.0220228	0.0275316	0.0101353	0.00850498	0.0192003	0.0110438	0.0114626	0.00895435	0.00656527	0.00566336	0.00471842	0.00483084	0.00471934	0.00480043	0.00196589	0.0044299	0.00255391	0.00137019	0.000949174	0.00177211	0.00102157	0.00169115	0.00212466	0.00165821
les	0.0586126	0.0419862	0.0342032	0.0283777	0.0404409	0.0441691	0.0418591	0.0426088	0.0547559	0.060903	0.061976	0.0713759	0.052013	0.0412725	0.0432682	0.0336119	0.0262905	0.0219723	0.0169589	0.00960696	0.00975899	0.00948083	0.00752236	0.00676638	0.00601999	0.0076918	0.00465373	0.00556102	0.00466599	0.00610499	0.00636673	0.0060755	0.00743377	0.00864801	0.00849013	0.0127733	0.0135114	0.01261	0.0140079	0.0155943
feuilles	0.061329	0.049159	0.0419951	0.0379039	0.0255734	0.0170014	0.00935421	0.01949	0.0157244	0.0213308	0.0327391	0.0200773	0.0281764	0.0347088	0.0560916	0.0466873	0.045026	0.0299657	0.0296546	0.02043	0.0184908	0.0172314	0.0217996	0.0221793	0.0298714	0.0304181	0.0281401	0.0194998	0.015329	0.0171916	0.00834908	0.0113957	0.00902763	0.00995247	0.0115671	0.0150927	0.0187738	0.0128461	0.0205478	0.0198785
de	0.0714995	0.0349272	0.0317806	0.0227328	0.0249548	0.0316273	0.028149	0.0293103	0.0386645	0.0410447	0.0563438	0.0451243	0.0941001	0.0489185	0.0352792	0.0252845	0.0261823	0.0161701	0.020939	0.023614	0.0232738	0.00788866	0.0128541	0.0142778	0.00832408	0.0189886	0.0135567	0.0208056	0.00989049	0.0184398	0.0164466	0.0178084	0.0111025	0.00919219	0.0107303	0.00810931	0.00832156	0.00927209	0.0093167	0.00475413
l'	0.0598039	0.0288137	0.0222293	0.018766	0.0302072	0.028773	0.0243153	0.0438977	0.0398158	0.0526964	0.0973423	0.0483069	0.0712171	0.0445917	0.0238477	0.0130151	0.0114895	0.00938488	0.0111931	0.0119891	0.0144438	0.00641016	0.0127852	0.0138705	0.00978797	0.0164374	0.0136724	0.0137397	0.0106304	0.0182662	0.0265588	0.0253085	0.0243778	0.0201389	0.0181691	0.0112446	0.0113002	0.0114434	0.0240281	0.00569106
arbuste	0.0417477	0.0300986	0.021787	0.023113	0.0262554	0.0266628	0.0184929	0.0392315	0.0332578	0.0461612	0.0539706	0.0357354	0.0448796	0.0185937	0.0140259	0.0126577	0.0117619	0.00974912	0.0132821	0.016054	0.0133045	0.00977614	0.00947171	0.00784623	0.00533071	0.00695498	0.0107657	0.0182147	0.0162888	0.0232966	0.0310139	0.0378719	0.050347	0.0361854	0.0358699	0.0281078	0.0276544	0.0226466	0.0562171	0.015318
esyese	0.0768718	0.0583955	0.0283524	0.021265	0.025992	0.0261179	0.0172615	0.0317203	0.0243367	0.0314108	0.0456924	0.0225606	0.0283115	0.0150625	0.0128198	0.0127812	0.0141878	0.0116066	0.0124871	0.0074226	0.00507261	0.00319782	0.00437485	0.00507508	0.00539316	0.00953411	0.0114162	0.0220641	0.0128733	0.0284126	0.0225514	0.0391779	0.0367122	0.038314	0.0304016	0.0365985	0.0455686	0.0301207	0.0695118	0.0189734
sont	0.096642	0.0871468	0.0417843	0.0321871	0.0241157	0.0194744	0.0118626	0.0137838	0.0117373	0.0150595	0.0155304	0.0130256	0.0126057	0.0101121	0.00968686	0.0116426	0.0111856	0.0130325	0.0137969	0.00869715	0.00668332	0.00568743	0.00801708	0.0151804	0.0112728	0.0181487	0.0182488	0.0373553	0.0195494	0.0282281	0.0254201	0.0355457	0.0404241	0.0363903	0.0420094	0.0363192	0.037762	0.0386307	0.0377892	0.0282289
