 	a66	a87	a23	a40	a73	a7	a20	a47	a15	a7	a79	a15	a98	a15	a98	a6	a0	a90	a25	a92	a85	a6	a36	a12	a96	a61	a88	a24	a88	a71	a9	a10	a87	a23	a87	</S>
les	0.0447615	0.0423056	0.029025	0.0262632	0.0861099	0.0400408	0.0644994	0.0624867	0.0773468	0.0314518	0.0153825	0.0447393	0.0250736	0.0261735	0.0123243	0.0100034	0.0111568	0.00885478	0.00975938	0.0110482	0.0122183	0.0101704	0.00881992	0.011538	0.0184564	0.0174208	0.0262192	0.0300189	0.0245605	0.0263368	0.0208621	0.0166313	0.0121427	0.0152694	0.0149611	0.0555676
hommes	0.00348081	0.00601062	0.00702695	0.0173686	0.00969174	0.0132109	0.0234882	0.0389462	0.0378205	0.0341486	0.0205808	0.0413583	0.0282551	0.0320705	0.0405634	0.0875451	0.164422	0.13723	0.0829023	0.0278066	0.0603745	0.0310202	0.0160234	0.0112017	0.00356541	0.00396082	0.00200691	0.00103306	0.00177981	0.00113141	0.00207736	0.0019734	0.00170505	0.00175826	0.00369203	0.00276949
se	0.0630421	0.0649354	0.0755217	0.0449501	0.0560266	0.0501905	0.0263129	0.0501647	0.0415318	0.0416513	0.0467872	0.0623152	0.0334357	0.0375268	0.0187051	0.0146665	0.0208462	0.0161651	0.0282305	0.0113227	0.0127225	0.0127671	0.00869843	0.00490586	0.00539218	0.0099726	0.00520058	0.00390381	0.00569515	0.00617379	0.0111883	0.0152618	0.0200666	0.0219157	0.0243895	0.0274181
rendent	0.0148397	0.0122837	0.00950781	0.00964659	0.0182851	0.024974	0.0157036	0.0269499	0.0201696	0.0338488	0.0305567	0.0385439	0.030361	0.0491793	0.0533101	0.048748	0.0843288	0.0928115	0.0757262	0.0766317	0.0495476	0.0458477	0.0303604	0.0141595	0.0174407	0.0138745	0.0065501	0.00739991	0.00504564	0.0100866	0.00660973	0.00730716	0.00616652	0.00523361	0.0054401	0.00252403
dans	0.0229653	0.0123636	0.0167723	0.0286745	0.0297462	0.0275519	0.0323555	0.0257622	0.0271071	0.0300101	0.023987	0.0204115	0.0137138	0.0148992	0.0126506	0.0125344	0.0159431	0.0188785	0.0259715	0.0315105	0.0453474	0.0454573	0.057146	0.0548554	0.0690981	0.08202	0.0558895	0.0374481	0.0251744	0.0331597	0.013442	0.01102	0.00976628	0.00662919	0.00509035	0.00464744
le	0.0542349	0.0253381	0.0196723	0.0210273	0.0308655	0.0490966	0.0501105	0.0348131	0.0473852	0.0397714	0.042753	0.0305237	0.0190619	0.0224016	0.0188321	0.0204093	0.0322446	0.0338354	0.0301389	0.0372814	0.0268223	0.0205773	0.0167412	0.0188392	0.026624	0.0274609	0.0288019	0.0264343	0.0229832	0.0202906	0.0207225	0.0212413	0.0180534	0.0160688	0.0119916	0.0165508
sanctuaire	0.0456745	0.0309892	0.0252654	0.0251208	0.0284213	0.0275538	0.0659246	0.0518701	0.0618254	0.0597907	0.0682732	0.0463519	0.0388259	0.0421601	0.0316952	0.0232019	0.012858	0.0154408	0.0164359	0.0353337	0.0271466	0.0214667	0.0135745	0.0133951	0.0216801	0.0155887	0.00920755	0.0161044	0.0212413	0.0128158	0.0160902	0.0142966	0.0131121	0.0136827	0.00963726	0.007948
du	0.053844	0.0317823	0.0282748	0.0105613	0.0181018	0.0152213	0.0204131	0.0357934	0.0549618	0.0566703	0.0612787	0.0937357	0.0591905	0.038444	0.0208785	0.0172531	0.0104706	0.012203	0.0127391	0.0142907	0.0128781	0.0100077	0.00635112	0.00637583	0.0127399	0.0132992	0.0080468	0.0157597	0.0260124	0.0233435	0.0328211	0.0312952	0.0345755	0.0261971	0.0305039	0.0436847
kyebhe-kyebhe	0.0377501	0.024774	0.0259774	0.016958	0.0135966	0.0137426	0.0251169	0.0283266	0.0453027	0.037155	0.0301002	0.0540695	0.0370855	0.0294323	0.0178674	0.0122196	0.0100251	0.0157661	0.0194554	0.0241137	0.0218354	0.0151435	0.0203902	0.02297	0.026282	0.0270304	0.0181605	0.0226358	0.0482668	0.0398302	0.0497902	0.0355256	0.0303161	0.0343648	0.0294247	0.0391991
</S>	0.0445349	0.0194395	0.0139954	0.00509169	0.00976471	0.00895114	0.00877483	0.0157072	0.0239037	0.0189072	0.00645318	0.0272859	0.0112037	0.00973273	0.00462007	0.00420779	0.00581129	0.00555881	0.00845874	0.00543317	0.00648664	0.00505929	0.00611206	0.00900793	0.0213607	0.0300113	0.0266852	0.0430039	0.0517253	0.0489732	0.0713845	0.0748633	0.0652912	0.056654	0.078942	0.146604
